scaffold_group,compound_key,library,plate_id,well_location,unique_sample_id,filename,collection,size_mb,duplicate_acquisition_at_well,candidate_filenames_if_duplicate
O=S(=O)(NC1CCCC(N2c3ccccc3Oc3ccccc32)C1)c1ccccc1,WGKGADVPRVLHHZ,MCEBIO,1D1,C24,pluskal_mce_1D1_C24_id,peak/mzml_20220601_positive/20220613_100AGC_60000Res_2pluskal_mce_1D1_C24_id.mzML,mzml_20220601_positive,8,True,peak/mzml_20220601_positive/20220613_100AGC_60000Res_2pluskal_mce_1D1_C24_id.mzML;peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_C24_id.mzML
O=C(C(Cc1ccccc1)NS(=O)(=O)c1ccc2c(c1)CCNC2)N1CCCC1,JCKGSPAAPQRPBW,MCEBIO,1D1,A12,pluskal_mce_1D1_A12_id,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A12_id.mzML,mzml_20220601_positive,9,True,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A12_id.mzML;peak/mzml_20220601_positive/20220601_100AGC_pluskal_mce_1D1_A12_id.mzML;peak/mzml_20220601_positive/20220601_pluskal_mce_1D1_A12_id.mzML
O=c1ncccn1C1CCCO1,JFIWEPHGRUDAJN,MCEBIO,1D1,A13,pluskal_mce_1D1_A13_id,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A13_id.mzML,mzml_20220601_positive,9,True,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A13_id.mzML;peak/mzml_20220601_positive/20220601_100AGC_pluskal_mce_1D1_A13_id.mzML;peak/mzml_20220601_positive/20220601_pluskal_mce_1D1_A13_id.mzML
O=C(Nc1ccccc1)Nc1ccc2nnsc2c1,NUUSUAWULNXMGF,MCEBIO,1D1,A14,pluskal_mce_1D1_A14_id,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A14_id.mzML,mzml_20220601_positive,9,True,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A14_id.mzML;peak/mzml_20220601_positive/20220601_100AGC_pluskal_mce_1D1_A14_id.mzML;peak/mzml_20220601_positive/20220601_pluskal_mce_1D1_A14_id.mzML
O=C1C(=Cc2cccs2)CCC1=Cc1cccs1,KPFZCKDPBMGECB,MCEBIO,1D1,A1,pluskal_mce_1D1_A1_id,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A1_id.mzML,mzml_20220601_positive,8,True,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A1_id.mzML;peak/mzml_20220601_positive/20220601_100AGC_pluskal_mce_1D1_A1_id.mzML;peak/mzml_20220601_positive/20220601_pluskal_mce_1D1_A1_id.mzML
c1ccc(CC2CCN(c3ncnc4[nH]ccc34)CC2)cc1,RZIDZIGAXXNODG,MCEBIO,1D1,A21,pluskal_mce_1D1_A21_id,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A21_id.mzML,mzml_20220601_positive,9,True,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A21_id.mzML;peak/mzml_20220601_positive/20220601_100AGC_pluskal_mce_1D1_A21_id.mzML;peak/mzml_20220601_positive/20220601_pluskal_mce_1D1_A21_id.mzML
c1ccc(COc2ncnc3nc[nH]c23)cc1,KRWMERLEINMZFT,MCEBIO,1D1,A23,pluskal_mce_1D1_A23_id,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A23_id.mzML,mzml_20220601_positive,9,True,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A23_id.mzML;peak/mzml_20220601_positive/20220601_100AGC_pluskal_mce_1D1_A23_id.mzML;peak/mzml_20220601_positive/20220601_pluskal_mce_1D1_A23_id.mzML
O=C(Cn1c(=O)[nH]c2cnc(-c3ccccc3)nc21)NCc1ccccc1,NBMBIEOUVBHEBM,MCEBIO,1D1,A24,pluskal_mce_1D1_A24_id,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A24_id.mzML,mzml_20220601_positive,9,True,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A24_id.mzML;peak/mzml_20220601_positive/20220601_100AGC_pluskal_mce_1D1_A24_id.mzML;peak/mzml_20220601_positive/20220601_pluskal_mce_1D1_A24_id.mzML
O=c1[nH]cnc2c1NC(CNc1ccccc1)CN2,ZNOVTXRBGFNYRX,MCEBIO,1D1,A3,pluskal_mce_1D1_A3_id,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A3_id.mzML,mzml_20220601_positive,9,True,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A3_id.mzML;peak/mzml_20220601_positive/20220601_100AGC_pluskal_mce_1D1_A3_id.mzML;peak/mzml_20220601_positive/20220601_pluskal_mce_1D1_A3_id.mzML
O=C(Nc1ccccc1)c1ccc(Nc2nnc(-c3ccccc3)c3ccccc23)cc1,UPKNGUQNXSMHBE,MCEBIO,1D1,A4,pluskal_mce_1D1_A4_id,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A4_id.mzML,mzml_20220601_positive,8,True,peak/mzml_20220601_positive/20220613_100AGC_60000Res_pluskal_mce_1D1_A4_id.mzML;peak/mzml_20220601_positive/20220601_100AGC_pluskal_mce_1D1_A4_id.mzML;peak/mzml_20220601_positive/20220601_pluskal_mce_1D1_A4_id.mzML
