checkpoint,value_hypothesis,split_scope,instrument,category,quantity,n,n_distinct,mean,min,q01,q05,q25,q50,q75,q95,q99,max
iceberg21_msg_simulation_gen,as_trained,train,ALL,ALL,presented_value (eV if read as eV),99341,165,37.70213708337947,0.0,6.0,6.0,20.0,30.0,50.0,90.0,150.0,358.0
iceberg21_msg_simulation_gen,as_trained,train,ALL,ALL,presented_value*mz/500 (eV if read as NCE),99341,52086,23.992704389293944,0.0,1.8745127999999998,3.5421658775999996,9.754691000000001,18.0049952,32.520776399999995,60.8568304,99.73895280000018,712.818096
iceberg21_msg_simulation_gen,as_trained,train,ALL,ALL,presented_value*500/mz (NCE if read as eV),99341,52089,68.09299063243421,0.0,5.223852423112734,11.54433405239142,28.782544422979065,53.67462314629619,88.18509086415392,179.2661560635383,296.7627875008088,873.5116332338177
iceberg21_msg_simulation_gen,as_trained,train,ALL,ALL,precursor_mz,99341,13795,314.70146327895225,60.081045906016,116.1434,147.0804,230.0552,301.07066,373.0716,557.3044,757.2189000000001,995.556
iceberg21_msg_simulation_gen,as_trained,train,ALL,CAT1_RAW_NCE,presented_value (eV if read as eV),19045,6,37.41270674717774,15.0,15.0,15.0,20.0,30.0,60.0,60.0,60.0,75.0
iceberg21_msg_simulation_gen,as_trained,train,ALL,CAT1_RAW_NCE,presented_value*mz/500 (eV if read as NCE),19045,15333,28.259218104699396,3.9630569999999996,7.201615748,10.08327056,14.764719600000001,23.411279599999997,40.2214524,55.8209976,70.57514059200001,119.33381879999999
iceberg21_msg_simulation_gen,as_trained,train,ALL,CAT1_RAW_NCE,presented_value*500/mz (NCE if read as eV),19045,15333,52.880249956774634,7.705551599239974,15.069495151735094,19.187703389951988,27.77427127602918,44.08819873549167,74.04399575757522,103.03140020382463,147.00640877250376,258.463361224689
iceberg21_msg_simulation_gen,as_trained,train,ALL,CAT1_RAW_NCE,source_NCE (MSnLib setting),19045,6,37.41270674717774,15.0,15.0,15.0,20.0,30.0,60.0,60.0,60.0,75.0
iceberg21_msg_simulation_gen,as_trained,train,ALL,CAT1_RAW_NCE,source_NCE*mz/500 (lab-frame eV equivalent),19045,15333,28.259218104699396,3.9630569999999996,7.201615748,10.08327056,14.764719600000001,23.411279599999997,40.2214524,55.8209976,70.57514059200001,119.33381879999999
iceberg21_msg_simulation_gen,as_trained,train,ALL,CAT1_RAW_NCE,precursor_mz,19045,5215,377.3973958083486,116.07061,164.09307,238.32358200000004,319.11761,367.17647,427.20162,531.27093,734.32344,994.44849
