DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,DATA_SOURCES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT
DTXSID00146058,Tetrazepam,10379-14-3,IQWYAQCHYZHJOS-UHFFFAOYSA-N,"7-Chloro-5-(cyclohex-1-en-1-yl)-1-methyl-1,3-dihydro-2H-1,4-benzodiazepin-2-one",CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CCCCC1,"InChI=1S/C16H17ClN2O/c1-19-14-8-7-12(17)9-13(14)16(18-10-15(19)20)11-5-3-2-4-6-11/h5,7-9H,2-4,6,10H2,1H3",C16H17ClN2O,288.78,288.1029409,28,85,30,5
DTXSID00157826,Remifentanil,132875-61-7,ZTVQQQVZCWLTDF-UHFFFAOYSA-N,Methyl 1-(3-methoxy-3-oxopropyl)-4-[phenyl(propanoyl)amino]piperidine-4-carboxylate,CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC,"InChI=1S/C20H28N2O5/c1-4-17(23)22(16-8-6-5-7-9-16)20(19(25)27-3)11-14-21(15-12-20)13-10-18(24)26-2/h5-9H,4,10-15H2,1-3H3",C20H28N2O5,376.453,376.199822,19,2717,35,11
DTXSID00159825,XLR-11,1364933-54-9,PXLDPUUMIHVLEC-UHFFFAOYSA-N,"[1-(5-Fluoropentyl)-1H-indol-3-yl](2,2,3,3-tetramethylcyclopropyl)methanone",CC1(C)C(C(=O)C2=CN(CCCCCF)C3=CC=CC=C23)C1(C)C,"InChI=1S/C21H28FNO/c1-20(2)19(21(20,3)4)18(24)16-14-23(13-9-5-8-12-22)17-11-7-6-10-15(16)17/h6-7,10-11,14,19H,5,8-9,12-13H2,1-4H3",C21H28FNO,329.459,329.2154927,12,14,29,-
DTXSID00162394,Pramiverine,14334-40-8,SBEOBYJLAQKTQX-UHFFFAOYSA-N,"N-(Propan-2-yl)-2~3~,2~4~,2~5~,2~6~-tetrahydro-2~2~H-[1~1~,2~1~:2~1~,3~1~-terphenyl]-2~4~-amine",CC(C)NC1CCC(CC1)(C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C21H27N/c1-17(2)22-20-13-15-21(16-14-20,18-9-5-3-6-10-18)19-11-7-4-8-12-19/h3-12,17,20,22H,13-16H2,1-2H3",C21H27N,293.454,293.2143499,13,-,22,2
DTXSID00169424,Renyfoline,1729-61-9,WOVTUUKKGNHVFZ-UHFFFAOYSA-N,4-[(9H-Fluoren-9-ylidene)methyl]benzene-1-carboximidamide,NC(=N)C1=CC=C(C=C2C3=CC=CC=C3C3=CC=CC=C23)C=C1,"InChI=1S/C21H16N2/c22-21(23)15-11-9-14(10-12-15)13-20-18-7-3-1-5-16(18)17-6-2-4-8-19(17)20/h1-13H,(H3,22,23)",C21H16N2,296.373,296.1313485,9,-,23,2
DTXSID00169742,Pyrinoline,1740-22-3,NCZXKYCNHGRFHE-UHFFFAOYSA-N,"{3-[Di(pyridin-2-yl)methylidene]cyclopenta-1,4-dien-1-yl}di(pyridin-2-yl)methanol",OC(C1=CC(C=C1)=C(C1=CC=CC=N1)C1=CC=CC=N1)(C1=CC=CC=N1)C1=CC=CC=N1,"InChI=1S/C27H20N4O/c32-27(24-11-3-7-17-30-24,25-12-4-8-18-31-25)21-14-13-20(19-21)26(22-9-1-5-15-28-22)23-10-2-6-16-29-23/h1-19,32H",C27H20N4O,416.484,416.1637113,11,-,26,2
DTXSID00170510,2C-B-FLY,178557-21-6,YZDFADGMVOSVIX-UHFFFAOYSA-N,"2-(8-Bromo-2,3,6,7-tetrahydrobenzo[1,2-b:4,5-b']difuran-4-yl)ethan-1-amine",NCCC1=C2CCOC2=C(Br)C2=C1OCC2,"InChI=1S/C12H14BrNO2/c13-10-9-3-6-15-11(9)7(1-4-14)8-2-5-16-12(8)10/h1-6,14H2",C12H14BrNO2,284.153,283.020792,9,-,25,-
DTXSID00184293,Piritramide [INN:BAN:DCF],302-41-0,IHEHEFLXQFOQJO-UHFFFAOYSA-N,"1'-(3-Cyano-3,3-diphenylpropyl)[1,4'-bipiperidine]-4'-carboxamide",NC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)N1CCCCC1,"InChI=1S/C27H34N4O/c28-22-26(23-10-4-1-5-11-23,24-12-6-2-7-13-24)14-19-30-20-15-27(16-21-30,25(29)32)31-17-8-3-9-18-31/h1-2,4-7,10-13H,3,8-9,14-21H2,(H2,29,32)",C27H34N4O,430.596,430.2732617,26,251,34,3
DTXSID00192277,Fludiazepam,3900-31-0,ROYOYTLGDLIGBX-UHFFFAOYSA-N,"7-Chloro-5-(2-fluorophenyl)-1-methyl-1,3-dihydro-2H-1,4-benzodiazepin-2-one",CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,"InChI=1S/C16H12ClFN2O/c1-20-14-7-6-10(17)8-12(14)16(19-9-15(20)21)11-4-2-3-5-13(11)18/h2-8H,9H2,1H3",C16H12ClFN2O,302.73,302.0622189,24,10,36,8
DTXSID00192454,Proscaline,39201-78-0,HYWLMSUAZVDUFW-UHFFFAOYSA-N,"2-(3,5-Dimethoxy-4-propoxyphenyl)ethan-1-amine",CCCOC1=C(OC)C=C(CCN)C=C1OC,"InChI=1S/C13H21NO3/c1-4-7-17-13-11(15-2)8-10(5-6-14)9-12(13)16-3/h8-9H,4-7,14H2,1-3H3",C13H21NO3,239.315,239.1521435,8,-,15,-
DTXSID00199685,Phenazepam,51753-57-2,CGMJQQJSWIRRRL-UHFFFAOYSA-N,"7-Bromo-5-(2-chlorophenyl)-1,3-dihydro-2H-1,4-benzodiazepin-2-one",ClC1=CC=CC=C1C1=NCC(=O)NC2=C1C=C(Br)C=C2,"InChI=1S/C15H10BrClN2O/c16-9-5-6-13-11(7-9)15(18-8-14(20)19-13)10-3-1-2-4-12(10)17/h1-7H,8H2,(H,19,20)",C15H10BrClN2O,349.61,347.966504,18,234,70,-
DTXSID0020074,Gabapentin,60142-96-3,UGJMXCAKCUNAIE-UHFFFAOYSA-N,[1-(Aminomethyl)cyclohexyl]acetic acid,NCC1(CC(O)=O)CCCCC1,"InChI=1S/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)",C9H17NO2,171.24,171.1259288,54,3053,177,29
DTXSID0020076,Amitrole,61-82-5,KLSJWNVTNUYHDU-UHFFFAOYSA-N,"1H-1,2,4-Triazol-3-amine",NC1=NNC=N1,"InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)",C2H4N4,84.082,84.04359615,92,7089,200,28
DTXSID0020232,Caffeine,58-08-2,RYYVLZVUVIJVGH-UHFFFAOYSA-N,"1,3,7-Trimethyl-3,7-dihydro-1H-purine-2,6-dione",CN1C=NC2=C1C(=O)N(C)C(=O)N2C,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",C8H10N4O2,194.194,194.0803756,119,21207,287,2384
