instrument_type,ce_repr,n_rows,fewest_decimals_within_4ulp,ulps_from_that_rounding
<NA>,8.755370000000001,1,5.0,1.0
<NA>,17.806420000000003,1,5.0,1.0
Orbitrap,2.6026780000000005,1,6.0,1.0
Orbitrap,2.6807510000000003,2,6.0,1.0
Orbitrap,2.7822340000000003,2,6.0,1.0
Orbitrap,3.2622340000000003,2,6.0,1.0
Orbitrap,3.2626580000000005,2,6.0,1.0
Orbitrap,3.3214460000000003,1,6.0,1.0
Orbitrap,3.3217259999999995,1,6.0,1.0
Orbitrap,3.640185999999999,1,6.0,2.0
Orbitrap,3.751136999999999,4,6.0,2.0
Orbitrap,3.803784495499999,2,10.0,2.0
Orbitrap,3.8443020000000008,2,6.0,2.0
Orbitrap,3.882352000000001,1,6.0,2.0
Orbitrap,3.900963000000001,2,6.0,2.0
Orbitrap,3.951091499999999,1,7.0,2.0
Orbitrap,3.962051999999999,1,6.0,2.0
Orbitrap,4.001480000000001,1,5.0,1.0
Orbitrap,4.083362999999999,4,6.0,1.0
Orbitrap,4.233404999999999,1,6.0,1.0
Orbitrap,4.281791999999999,1,6.0,1.0
Orbitrap,4.282520000000001,1,5.0,1.0
Orbitrap,4.412412000000001,4,6.0,1.0
Orbitrap,4.4190640000000005,1,6.0,1.0
Orbitrap,4.502770000000001,2,5.0,1.0
Orbitrap,4.562118000000001,4,6.0,1.0
Orbitrap,4.591220999999999,1,6.0,1.0
Orbitrap,4.6630720000000005,2,6.0,1.0
Orbitrap,4.702882000000001,1,6.0,1.0
Orbitrap,4.744426000000001,1,6.0,1.0
Orbitrap,4.770618000000001,1,6.0,1.0
Orbitrap,4.779532000000001,1,6.0,1.0
Orbitrap,4.783005999999999,1,6.0,1.0
Orbitrap,4.8022194890000005,1,9.0,1.0
Orbitrap,4.884542000000001,2,6.0,1.0
Orbitrap,4.891607999999999,4,6.0,1.0
Orbitrap,4.893351000000001,4,6.0,1.0
Orbitrap,4.893689999999999,4,5.0,1.0
Orbitrap,4.942658000000001,2,6.0,1.0
Orbitrap,4.952224500000001,1,7.0,1.0
