instrument_type,simulation_challenge,ce_value_set,n_rows,n_unique_ce,n_unique_inchikey,pearson_ce_precursor_mz,spearman_ce_precursor_mz
<NA>,all,all_nonmissing,39,16,35,0.37922489534847886,0.3661535684489367
<NA>,all,ce_integer,30,7,28,0.24879721034248467,0.2814731437887
<NA>,all,ce_non_integer,9,9,8,0.49450643963970353,0.4686233489032049
<NA>,all,ce_integer_in_msnlib_audit_set,12,2,12,0.07558171828890209,0.13101394402234404
<NA>,all,ce_integer_not_in_msnlib_audit_set,18,5,16,0.24239152115766488,0.10851523765009685
<NA>,all,ratio_near_int_d2,9,9,8,0.49450643963970353,0.4686233489032049
<NA>,all,ratio_not_near_int_d2,30,7,28,0.24879721034248467,0.2814731437887
<NA>,all,ce_non_integer_ratio_near_int_d2,9,9,8,0.49450643963970353,0.4686233489032049
<NA>,all,ce_non_integer_ratio_not_near_int_d2,0,0,0,,
<NA>,all,ce_integer_ratio_near_int_d2,0,0,0,,
<NA>,all,ce_integer_ratio_not_near_int_d2,30,7,28,0.24879721034248467,0.2814731437887
<NA>,all,ratio_near_int_tight,9,9,8,0.49450643963970353,0.4686233489032049
<NA>,all,ratio_not_near_int_tight,30,7,28,0.24879721034248467,0.2814731437887
<NA>,all,ce_non_integer_ratio_near_int_tight,9,9,8,0.49450643963970353,0.4686233489032049
<NA>,all,ce_non_integer_ratio_not_near_int_tight,0,0,0,,
<NA>,all,ce_integer_ratio_near_int_tight,0,0,0,,
<NA>,all,ce_integer_ratio_not_near_int_tight,30,7,28,0.24879721034248467,0.2814731437887
<NA>,all,ce_decimals_0,30,7,28,0.24879721034248467,0.2814731437887
<NA>,all,ce_decimals_1,0,0,0,,
<NA>,all,ce_decimals_2,0,0,0,,
<NA>,all,ce_decimals_3,0,0,0,,
<NA>,all,ce_decimals_4,2,2,2,,
<NA>,True,all_nonmissing,0,0,0,,
<NA>,True,ce_integer,0,0,0,,
<NA>,True,ce_non_integer,0,0,0,,
<NA>,True,ce_integer_in_msnlib_audit_set,0,0,0,,
<NA>,True,ce_integer_not_in_msnlib_audit_set,0,0,0,,
<NA>,True,ratio_near_int_d2,0,0,0,,
<NA>,True,ratio_not_near_int_d2,0,0,0,,
<NA>,True,ce_non_integer_ratio_near_int_d2,0,0,0,,
<NA>,True,ce_non_integer_ratio_not_near_int_d2,0,0,0,,
<NA>,True,ce_integer_ratio_near_int_d2,0,0,0,,
<NA>,True,ce_integer_ratio_not_near_int_d2,0,0,0,,
<NA>,True,ratio_near_int_tight,0,0,0,,
<NA>,True,ratio_not_near_int_tight,0,0,0,,
<NA>,True,ce_non_integer_ratio_near_int_tight,0,0,0,,
<NA>,True,ce_non_integer_ratio_not_near_int_tight,0,0,0,,
<NA>,True,ce_integer_ratio_near_int_tight,0,0,0,,
<NA>,True,ce_integer_ratio_not_near_int_tight,0,0,0,,
<NA>,True,ce_decimals_0,0,0,0,,
<NA>,True,ce_decimals_1,0,0,0,,
<NA>,True,ce_decimals_2,0,0,0,,
<NA>,True,ce_decimals_3,0,0,0,,
<NA>,True,ce_decimals_4,0,0,0,,
<NA>,False,all_nonmissing,39,16,35,0.37922489534847886,0.3661535684489367
<NA>,False,ce_integer,30,7,28,0.24879721034248467,0.2814731437887
<NA>,False,ce_non_integer,9,9,8,0.49450643963970353,0.4686233489032049
<NA>,False,ce_integer_in_msnlib_audit_set,12,2,12,0.07558171828890209,0.13101394402234404
<NA>,False,ce_integer_not_in_msnlib_audit_set,18,5,16,0.24239152115766488,0.10851523765009685
<NA>,False,ratio_near_int_d2,9,9,8,0.49450643963970353,0.4686233489032049
<NA>,False,ratio_not_near_int_d2,30,7,28,0.24879721034248467,0.2814731437887
<NA>,False,ce_non_integer_ratio_near_int_d2,9,9,8,0.49450643963970353,0.4686233489032049
<NA>,False,ce_non_integer_ratio_not_near_int_d2,0,0,0,,
<NA>,False,ce_integer_ratio_near_int_d2,0,0,0,,
<NA>,False,ce_integer_ratio_not_near_int_d2,30,7,28,0.24879721034248467,0.2814731437887
<NA>,False,ratio_near_int_tight,9,9,8,0.49450643963970353,0.4686233489032049
<NA>,False,ratio_not_near_int_tight,30,7,28,0.24879721034248467,0.2814731437887
<NA>,False,ce_non_integer_ratio_near_int_tight,9,9,8,0.49450643963970353,0.4686233489032049
<NA>,False,ce_non_integer_ratio_not_near_int_tight,0,0,0,,
<NA>,False,ce_integer_ratio_near_int_tight,0,0,0,,
<NA>,False,ce_integer_ratio_not_near_int_tight,30,7,28,0.24879721034248467,0.2814731437887
<NA>,False,ce_decimals_0,30,7,28,0.24879721034248467,0.2814731437887
<NA>,False,ce_decimals_1,0,0,0,,
<NA>,False,ce_decimals_2,0,0,0,,
<NA>,False,ce_decimals_3,0,0,0,,
<NA>,False,ce_decimals_4,2,2,2,,
Orbitrap,all,all_nonmissing,82998,9999,15364,0.08799993359919756,0.10657531759964968
Orbitrap,all,ce_integer,58860,32,13971,-0.14242071543426635,-0.1255686056094253
Orbitrap,all,ce_non_integer,24138,9967,2420,0.5357745715332887,0.47138163653639525
Orbitrap,all,ce_integer_in_msnlib_audit_set,50792,6,13610,-0.06430871089690739,-0.052462650073096355
Orbitrap,all,ce_integer_not_in_msnlib_audit_set,8068,26,2216,-0.10568436735071733,-0.07498548552108056
Orbitrap,all,ratio_near_int_d2,25095,9977,2833,0.5109228934776181,0.4536500550744063
Orbitrap,all,ratio_not_near_int_d2,57903,40,13916,-0.14103289428144758,-0.12381554796183035
Orbitrap,all,ce_non_integer_ratio_near_int_d2,24106,9959,2408,0.5365675427318576,0.47202197559031783
Orbitrap,all,ce_non_integer_ratio_not_near_int_d2,32,9,16,0.530588911718887,0.7324136418171217
Orbitrap,all,ce_integer_ratio_near_int_d2,989,18,504,-0.1934414910443341,-0.20689814660748204
Orbitrap,all,ce_integer_ratio_not_near_int_d2,57871,31,13906,-0.141468054392309,-0.12426041359699425
Orbitrap,all,ratio_near_int_tight,24109,9959,2408,0.5364740337265383,0.47172463442249035
Orbitrap,all,ratio_not_near_int_tight,58889,40,13978,-0.14208493708021494,-0.12522557520560734
Orbitrap,all,ce_non_integer_ratio_near_int_tight,24104,9958,2407,0.5367157322981887,0.4721563433552544
Orbitrap,all,ce_non_integer_ratio_not_near_int_tight,34,9,17,0.584172450345783,0.7475038014700309
Orbitrap,all,ce_integer_ratio_near_int_tight,5,1,5,,
Orbitrap,all,ce_integer_ratio_not_near_int_tight,58855,31,13967,-0.14247088181375775,-0.12560248756535117
Orbitrap,all,ce_decimals_0,58860,32,13971,-0.14242071543426635,-0.1255686056094253
Orbitrap,all,ce_decimals_1,0,0,0,,
Orbitrap,all,ce_decimals_2,3,3,3,0.817905007152376,0.5
Orbitrap,all,ce_decimals_3,76,33,27,0.43227052100518026,0.2801839963778064
Orbitrap,all,ce_decimals_4,489,229,146,0.5712941364735515,0.42798206933395366
Orbitrap,True,all_nonmissing,81323,9905,15150,0.08824176868870749,0.10486407699059304
Orbitrap,True,ce_integer,57395,31,13757,-0.14695444565453264,-0.1308064829571424
Orbitrap,True,ce_non_integer,23928,9874,2411,0.5371063971683927,0.4716398131489143
Orbitrap,True,ce_integer_in_msnlib_audit_set,49891,6,13430,-0.0671858628879282,-0.054471828085847204
Orbitrap,True,ce_integer_not_in_msnlib_audit_set,7504,25,2063,-0.06372623485061488,-0.027441984496737
Orbitrap,True,ratio_near_int_d2,24865,9884,2808,0.5122260588920732,0.45347597262405454
Orbitrap,True,ratio_not_near_int_d2,56458,39,13700,-0.1455117775558418,-0.1289876379894159
Orbitrap,True,ce_non_integer_ratio_near_int_d2,23896,9866,2399,0.5379004767703367,0.4722847101987609
Orbitrap,True,ce_non_integer_ratio_not_near_int_d2,32,9,16,0.530588911718887,0.7324136418171217
Orbitrap,True,ce_integer_ratio_near_int_d2,969,18,486,-0.20126047214817472,-0.21676524989767645
Orbitrap,True,ce_integer_ratio_not_near_int_d2,56426,30,13690,-0.1459638187440132,-0.12944570864399685
Orbitrap,True,ratio_near_int_tight,23899,9866,2399,0.5378033719396543,0.47197922752125077
Orbitrap,True,ratio_not_near_int_tight,57424,39,13764,-0.14660157777245084,-0.13045009851938089
Orbitrap,True,ce_non_integer_ratio_near_int_tight,23894,9865,2398,0.5380486316847308,0.47241860983487494
Orbitrap,True,ce_non_integer_ratio_not_near_int_tight,34,9,17,0.584172450345783,0.7475038014700309
Orbitrap,True,ce_integer_ratio_near_int_tight,5,1,5,,
Orbitrap,True,ce_integer_ratio_not_near_int_tight,57390,30,13753,-0.14700380276118452,-0.1308395622694308
Orbitrap,True,ce_decimals_0,57395,31,13757,-0.14695444565453264,-0.1308064829571424
Orbitrap,True,ce_decimals_1,0,0,0,,
Orbitrap,True,ce_decimals_2,3,3,3,0.817905007152376,0.5
Orbitrap,True,ce_decimals_3,76,33,27,0.43227052100518026,0.2801839963778064
Orbitrap,True,ce_decimals_4,489,229,146,0.5712941364735515,0.42798206933395366
Orbitrap,False,all_nonmissing,1675,107,658,0.14646437922003447,0.144190686363836
Orbitrap,False,ce_integer,1465,14,644,0.07834934988085213,0.07442331200002376
Orbitrap,False,ce_non_integer,210,93,16,0.5157107454847768,0.5016441483014829
Orbitrap,False,ce_integer_in_msnlib_audit_set,901,5,532,0.12613626336504594,0.11882957919025477
Orbitrap,False,ce_integer_not_in_msnlib_audit_set,564,9,346,0.03424581722184007,0.034282691405803666
Orbitrap,False,ratio_near_int_d2,230,100,34,0.49454815301387894,0.4837117237725812
Orbitrap,False,ratio_not_near_int_d2,1445,14,640,0.07785548585521043,0.07321154132486335
Orbitrap,False,ce_non_integer_ratio_near_int_d2,210,93,16,0.5157107454847768,0.5016441483014829
Orbitrap,False,ce_non_integer_ratio_not_near_int_d2,0,0,0,,
Orbitrap,False,ce_integer_ratio_near_int_d2,20,7,18,0.2348492404584577,0.3415970728795959
Orbitrap,False,ce_integer_ratio_not_near_int_d2,1445,14,640,0.07785548585521043,0.07321154132486335
Orbitrap,False,ratio_near_int_tight,210,93,16,0.5157107454847768,0.5016441483014829
Orbitrap,False,ratio_not_near_int_tight,1465,14,644,0.07834934988085213,0.07442331200002376
Orbitrap,False,ce_non_integer_ratio_near_int_tight,210,93,16,0.5157107454847768,0.5016441483014829
Orbitrap,False,ce_non_integer_ratio_not_near_int_tight,0,0,0,,
Orbitrap,False,ce_integer_ratio_near_int_tight,0,0,0,,
Orbitrap,False,ce_integer_ratio_not_near_int_tight,1465,14,644,0.07834934988085213,0.07442331200002376
Orbitrap,False,ce_decimals_0,1465,14,644,0.07834934988085213,0.07442331200002376
Orbitrap,False,ce_decimals_1,0,0,0,,
Orbitrap,False,ce_decimals_2,0,0,0,,
Orbitrap,False,ce_decimals_3,0,0,0,,
Orbitrap,False,ce_decimals_4,0,0,0,,
QTOF,all,all_nonmissing,38709,233,4436,-0.02696430654394961,-0.037512614396472146
QTOF,all,ce_integer,37348,36,4378,-0.030942070408680487,-0.04281922329583168
QTOF,all,ce_non_integer,1361,197,690,0.43995036307672863,0.3982831409821771
QTOF,all,ce_integer_in_msnlib_audit_set,11120,5,3624,0.003717610847931518,0.016605877465010372
QTOF,all,ce_integer_not_in_msnlib_audit_set,26228,31,4258,-0.04997448124886488,-0.06425612750323516
QTOF,all,ratio_near_int_d2,917,31,383,0.1150996455387671,0.18621282746524428
QTOF,all,ratio_not_near_int_d2,37792,226,4401,-0.03212618128732326,-0.04741546006386178
QTOF,all,ce_non_integer_ratio_near_int_d2,30,11,16,0.42757773995840803,0.04751217721080092
QTOF,all,ce_non_integer_ratio_not_near_int_d2,1331,191,674,0.5387216730768932,0.415190577550223
QTOF,all,ce_integer_ratio_near_int_d2,887,20,370,0.11483759484393634,0.19398546161947308
QTOF,all,ce_integer_ratio_not_near_int_d2,36461,35,4341,-0.036287076433819045,-0.05326380184229706
QTOF,all,ratio_near_int_tight,198,6,124,0.1705184194605015,0.2424247682337392
QTOF,all,ratio_not_near_int_tight,38511,227,4434,-0.031585630555353704,-0.04652916993703238
QTOF,all,ce_non_integer_ratio_near_int_tight,8,5,5,0.039422411378646334,0.4814814814814814
QTOF,all,ce_non_integer_ratio_not_near_int_tight,1353,192,685,0.529605358066207,0.4010849063084248
QTOF,all,ce_integer_ratio_near_int_tight,190,1,119,,
QTOF,all,ce_integer_ratio_not_near_int_tight,37158,35,4378,-0.035756307972694384,-0.05229248128151388
QTOF,all,ce_decimals_0,37348,36,4378,-0.030942070408680487,-0.04281922329583168
QTOF,all,ce_decimals_1,847,79,431,0.3559236004428905,0.195031186893535
QTOF,all,ce_decimals_2,452,97,231,0.9796557524633924,0.9859839763035124
QTOF,all,ce_decimals_3,0,0,0,,
QTOF,all,ce_decimals_4,0,0,0,,
QTOF,True,all_nonmissing,37706,233,4274,-0.021564981023370913,-0.03383649373493523
QTOF,True,ce_integer,36345,36,4216,-0.025454528063961448,-0.039510499634394125
QTOF,True,ce_non_integer,1361,197,690,0.43995036307672863,0.3982831409821771
QTOF,True,ce_integer_in_msnlib_audit_set,10707,5,3489,0.028392489682256737,0.04818390876415407
QTOF,True,ce_integer_not_in_msnlib_audit_set,25638,31,4120,-0.04752023848686978,-0.06406842103753943
QTOF,True,ratio_near_int_d2,898,31,373,0.12876122624363265,0.18497519060387435
QTOF,True,ratio_not_near_int_d2,36808,226,4240,-0.026877005395920826,-0.043771755849104976
QTOF,True,ce_non_integer_ratio_near_int_d2,30,11,16,0.42757773995840803,0.04751217721080092
QTOF,True,ce_non_integer_ratio_not_near_int_d2,1331,191,674,0.5387216730768932,0.415190577550223
QTOF,True,ce_integer_ratio_near_int_d2,868,20,360,0.12826194052996298,0.19267412708822565
QTOF,True,ce_integer_ratio_not_near_int_d2,35477,35,4180,-0.030950158214855035,-0.05000837780706358
QTOF,True,ratio_near_int_tight,196,6,123,0.1705116583696422,0.24300192983037358
QTOF,True,ratio_not_near_int_tight,37510,227,4272,-0.026146726641877647,-0.042820115031378975
QTOF,True,ce_non_integer_ratio_near_int_tight,8,5,5,0.039422411378646334,0.4814814814814814
QTOF,True,ce_non_integer_ratio_not_near_int_tight,1353,192,685,0.529605358066207,0.4010849063084248
QTOF,True,ce_integer_ratio_near_int_tight,188,1,118,,
QTOF,True,ce_integer_ratio_not_near_int_tight,36157,35,4216,-0.030226879025650393,-0.04895351441854744
QTOF,True,ce_decimals_0,36345,36,4216,-0.025454528063961448,-0.039510499634394125
