instrument_type,collision_energy,ce_repr,ce_decimals,n_rows,n_simulation_challenge,n_unique_inchikey,n_adduct_MH,precursor_mz_min,precursor_mz_median,precursor_mz_max,frac_of_instrument_nonmissing
<NA>,15.0,15,0,11,0,11,11,154.0978,190.1079,330.1358,0.28205128205128205
<NA>,25.0,25,0,6,0,5,6,104.0709,334.6896,370.1653,0.15384615384615385
<NA>,28.0,28,0,6,0,6,6,220.0974,287.15215,355.1545,0.15384615384615385
<NA>,6.0,6,0,3,0,3,3,164.1081,180.1034,224.1286,0.07692307692307693
<NA>,35.0,35,0,2,0,2,2,175.1065,176.5706,178.0347,0.05128205128205128
<NA>,8.755370000000001,8.755370000000001,15,1,0,1,1,175.1074,175.1074,175.1074,0.02564102564102564
<NA>,8.7554,8.7554,4,1,0,1,1,175.108,175.108,175.108,0.02564102564102564
<NA>,10.0,10,0,1,0,1,1,189.1352,189.1352,189.1352,0.02564102564102564
<NA>,14.956405,14.956405,6,1,0,1,1,299.1281,299.1281,299.1281,0.02564102564102564
<NA>,15.157965,15.157965,6,1,0,1,1,303.1593,303.1593,303.1593,0.02564102564102564
<NA>,17.806420000000003,17.806420000000003,15,1,0,1,1,445.1605,445.1605,445.1605,0.02564102564102564
<NA>,19.56468,19.56468,5,1,0,1,1,163.039,163.039,163.039,0.02564102564102564
<NA>,29.37874,29.37874,5,1,0,1,1,734.4685,734.4685,734.4685,0.02564102564102564
<NA>,30.0,30,0,1,0,1,1,238.0377,238.0377,238.0377,0.02564102564102564
<NA>,34.4466,34.4466,4,1,0,1,1,287.055,287.055,287.055,0.02564102564102564
<NA>,53.41926,53.41926,5,1,0,1,1,445.1605,445.1605,445.1605,0.02564102564102564
Orbitrap,60.0,60,0,15272,15132,12682,15132,75.0553,373.12818,994.44849,0.1840044338417793
Orbitrap,20.0,20,0,12571,12332,11238,12332,106.04987,384.15877,991.59886,0.15146148099954215
Orbitrap,30.0,30,0,8572,8414,6691,8414,75.0553,363.132925,994.44849,0.10327959709872526
Orbitrap,45.0,45,0,6513,6154,4753,6154,75.0553,350.1863,985.4978637695312,0.07847177040410612
Orbitrap,15.0,15,0,5638,5633,4059,5633,75.0553,347.107265,991.59886,0.06792934769512518
Orbitrap,75.0,75,0,2226,2226,1131,2226,75.0553,284.0538,926.5108,0.02681992337164751
Orbitrap,35.0,35,0,2167,1919,1112,1919,74.0964,288.1805419921875,985.4978637695312,0.026109062868984796
Orbitrap,90.0,90,0,2106,2106,1045,2106,75.0553,281.14665,926.5108,0.025374105400130124
Orbitrap,55.0,55,0,755,735,238,735,116.07061,269.1648,931.5973,0.009096604737463553
Orbitrap,65.0,65,0,619,415,524,415,104.0706024169922,367.1152038574219,976.5239868164062,0.007458011036410516
Orbitrap,120.0,120,0,403,403,205,403,103.0324,284.0716,804.4893,0.004855538687679221
Orbitrap,150.0,150,0,403,403,203,403,103.0324,284.1194,804.4893,0.004855538687679221
Orbitrap,180.0,180,0,399,399,200,399,103.0324,287.131,804.4893,0.004807344755295308
Orbitrap,80.0,80,0,310,308,150,308,86.0344,245.6261,837.5318,0.0037350297597532472
Orbitrap,10.0,10,0,249,235,118,235,106.04987,377.0861,784.4162,0.003000072290898576
Orbitrap,40.0,40,0,227,213,104,213,106.04987,359.1497,931.5973,0.0027350056627870553
Orbitrap,50.0,50,0,223,175,90,175,106.04987,388.1187,921.4866,0.0026868117304031424
Orbitrap,70.0,70,0,105,105,58,105,106.04987,282.0214,734.46852,0.0012650907250777127
Orbitrap,25.0,25,0,55,43,37,43,102.09133911132812,290.1750793457031,787.4238891601562,0.000662666570278802
Orbitrap,10.687424,10.687424,6,20,20,2,20,267.1856,267.1856,267.1856,0.00024096966191956433
Orbitrap,18.702992,18.702992,6,20,20,2,20,267.1856,267.1856,267.1856,0.00024096966191956433
Orbitrap,21.374848,21.374848,6,20,20,2,20,267.1856,267.1856,267.1856,0.00024096966191956433
Orbitrap,28.17404,28.17404,5,20,20,4,20,352.1755,352.1755,352.1755,0.00024096966191956433
Orbitrap,31.695795,31.695795,6,20,20,4,20,352.1755,352.1755,352.1755,0.00024096966191956433
Orbitrap,35.21755,35.21755,5,20,20,4,20,352.1755,352.1755,352.1755,0.00024096966191956433
Orbitrap,38.739305,38.739305,6,20,20,4,20,352.1755,352.1755,352.1755,0.00024096966191956433
Orbitrap,42.26106,42.26106,5,20,20,4,20,352.1755,352.1755,352.1755,0.00024096966191956433
Orbitrap,42.749696,42.749696,6,20,20,2,20,267.1856,267.1856,267.1856,0.00024096966191956433
Orbitrap,45.782815,45.782815,6,20,20,4,20,352.1755,352.1755,352.1755,0.00024096966191956433
Orbitrap,49.30457,49.30457,5,20,20,4,20,352.1755,352.1755,352.1755,0.00024096966191956433
Orbitrap,52.826325,52.826325,6,20,20,4,20,352.1755,352.1755,352.1755,0.00024096966191956433
Orbitrap,56.34808,56.34808,5,20,20,4,20,352.1755,352.1755,352.1755,0.00024096966191956433
Orbitrap,59.869835,59.869835,6,19,19,4,19,352.1755,352.1755,352.1755,0.0002289211788235861
Orbitrap,24.652285,24.652285,6,18,18,4,18,352.1755,352.1755,352.1755,0.00021687269572760788
Orbitrap,63.39159,63.39159,5,18,18,4,18,352.1755,352.1755,352.1755,0.00021687269572760788
Orbitrap,6.902747725,6.902747725,9,17,17,4,17,138.0549545,138.0549545,138.0549545,0.00020482421263162969
Orbitrap,5.0,5,0,16,16,8,16,106.04987,132.10191,241.03113,0.00019277572953565146
Orbitrap,5.343712,5.343712,6,16,16,2,16,267.1856,267.1856,267.1856,0.00019277572953565146
Orbitrap,24.046704,24.046704,6,16,16,2,16,267.1856,267.1856,267.1856,0.00019277572953565146
Orbitrap,26.71856,26.71856,5,16,16,2,16,267.1856,267.1856,267.1856,0.00019277572953565146
Orbitrap,29.36214,29.36214,5,16,16,3,16,163.123,163.123,163.123,0.00019277572953565146
Orbitrap,29.390416,29.390416,6,16,16,2,16,267.1856,267.1856,267.1856,0.00019277572953565146
Orbitrap,34.734128000000005,34.734128000000005,15,16,16,2,16,267.1856,267.1856,267.1856,0.00019277572953565146
Orbitrap,40.07784,40.07784,5,16,16,2,16,267.1856,267.1856,267.1856,0.00019277572953565146
Orbitrap,8.015568000000002,8.015568000000002,15,14,14,2,14,267.1856,267.1856,267.1856,0.00016867876334369502
Orbitrap,16.031136000000004,16.031136000000004,15,14,14,2,14,267.1856,267.1856,267.1856,0.00016867876334369502
Orbitrap,17.784157999999998,17.784157999999998,15,14,14,1,14,254.0594,254.0594,254.0594,0.00016867876334369502
Orbitrap,32.06227200000001,32.06227200000001,14,14,14,2,14,267.1856,267.1856,267.1856,0.00016867876334369502
Orbitrap,37.405984,37.405984,6,14,14,2,14,267.1856,267.1856,267.1856,0.00016867876334369502
Orbitrap,39.871376000000005,39.871376000000005,15,14,14,2,14,249.1961,249.1961,249.1961,0.00016867876334369502
Orbitrap,42.339042,42.339042,6,14,14,1,14,235.2169,235.2169,235.2169,0.00016867876334369502
Orbitrap,70.4351,70.4351,4,14,14,4,14,352.1755,352.1755,352.1755,0.00016867876334369502
Orbitrap,7.702493455,7.702493455,9,13,13,7,13,154.0498691,154.0498691,154.0498691,0.00015663028024771682
Orbitrap,27.614004,27.614004,6,13,13,3,13,230.1167,230.1167,230.1167,0.00015663028024771682
Orbitrap,41.421006,41.421006,6,13,13,3,13,230.1167,230.1167,230.1167,0.00015663028024771682
Orbitrap,44.855298000000005,44.855298000000005,15,13,13,2,13,249.1961,249.1961,249.1961,0.00015663028024771682
Orbitrap,6.603275960000001,6.603275960000001,15,12,12,4,12,132.0655192,132.0655192,132.0655192,0.0001445817971517386
Orbitrap,7.621782,7.621782,6,12,12,1,12,254.0594,254.0594,254.0594,0.0001445817971517386
Orbitrap,13.35928,13.35928,5,12,12,2,12,267.1856,267.1856,267.1856,0.0001445817971517386
Orbitrap,13.569972,13.569972,6,12,12,3,12,226.1662,226.1662,226.1662,0.0001445817971517386
Orbitrap,13.807002,13.807002,6,12,12,3,12,230.1167,230.1167,230.1167,0.0001445817971517386
Orbitrap,15.243564,15.243564,6,12,12,1,12,254.0594,254.0594,254.0594,0.0001445817971517386
Orbitrap,15.831634,15.831634,6,12,12,3,12,226.1662,226.1662,226.1662,0.0001445817971517386
Orbitrap,15.851748,15.851748,6,12,12,3,12,264.1958,264.1958,264.1958,0.0001445817971517386
Orbitrap,20.354958,20.354958,6,12,12,3,12,226.1662,226.1662,226.1662,0.0001445817971517386
Orbitrap,20.710503,20.710503,6,12,12,3,12,230.1167,230.1167,230.1167,0.0001445817971517386
Orbitrap,21.13053,21.13053,5,12,12,3,12,352.1755,352.1755,352.1755,0.0001445817971517386
Orbitrap,22.865346,22.865346,6,12,12,1,12,254.0594,254.0594,254.0594,0.0001445817971517386
Orbitrap,23.777622000000004,23.777622000000004,15,12,12,3,12,264.1958,264.1958,264.1958,0.0001445817971517386
Orbitrap,26.09968,26.09968,5,12,12,2,12,163.123,163.123,163.123,0.0001445817971517386
Orbitrap,27.139944,27.139944,6,12,12,3,12,226.1662,226.1662,226.1662,0.0001445817971517386
Orbitrap,30.487128,30.487128,6,12,12,1,12,254.0594,254.0594,254.0594,0.0001445817971517386
Orbitrap,31.703496,31.703496,6,12,12,3,12,264.1958,264.1958,264.1958,0.0001445817971517386
Orbitrap,33.92493,33.92493,5,12,12,3,12,226.1662,226.1662,226.1662,0.0001445817971517386
Orbitrap,34.887454,34.887454,6,12,12,2,12,249.1961,249.1961,249.1961,0.0001445817971517386
Orbitrap,38.10891,38.10891,5,12,12,1,12,254.0594,254.0594,254.0594,0.0001445817971517386
Orbitrap,39.62937,39.62937,5,12,12,3,12,264.1958,264.1958,264.1958,0.0001445817971517386
Orbitrap,40.709916,40.709916,6,12,12,3,12,226.1662,226.1662,226.1662,0.0001445817971517386
Orbitrap,47.55524400000001,47.55524400000001,14,12,12,3,12,264.1958,264.1958,264.1958,0.0001445817971517386
Orbitrap,66.913345,66.913345,6,12,12,4,12,352.1755,352.1755,352.1755,0.0001445817971517386
Orbitrap,80.205,80.205,3,12,12,6,12,142.0418,193.5968,302.1863,0.0001445817971517386
Orbitrap,14.363377,14.363377,6,11,11,1,11,205.1911,205.1911,205.1911,0.00013253331405576037
Orbitrap,27.411571,27.411571,6,11,11,2,11,249.1961,249.1961,249.1961,0.00013253331405576037
Orbitrap,34.51750500000001,34.51750500000001,14,11,11,3,11,230.1167,230.1167,230.1167,0.00013253331405576037
Orbitrap,40.649504,40.649504,6,11,11,1,11,254.0594,254.0594,254.0594,0.00013253331405576037
Orbitrap,5.203530225000001,5.203530225000001,15,10,10,5,10,104.0706045,104.0706045,104.0706045,0.00012048483095978216
Orbitrap,7.652731005,7.652731005,9,10,10,4,10,153.0546201,153.0546201,153.0546201,0.00012048483095978216
Orbitrap,8.207644,8.207644,6,10,10,1,10,205.1911,205.1911,205.1911,0.00012048483095978216
Orbitrap,9.202208,9.202208,6,10,10,1,10,230.0552,230.0552,230.0552,0.00012048483095978216
Orbitrap,9.78738,9.78738,5,10,10,3,10,163.123,163.123,163.123,0.00012048483095978216
Orbitrap,10.162376,10.162376,6,10,10,1,10,254.0594,254.0594,254.0594,0.00012048483095978216
Orbitrap,10.508939,10.508939,6,10,10,2,10,150.1277,150.1277,150.1277,0.00012048483095978216
Orbitrap,12.125124,12.125124,6,10,10,2,10,202.0854,202.0854,202.0854,0.00012048483095978216
Orbitrap,12.311466,12.311466,6,10,10,1,10,205.1911,205.1911,205.1911,0.00012048483095978216
Orbitrap,13.237154,13.237154,6,10,10,1,10,189.1022,189.1022,189.1022,0.00012048483095978216
Orbitrap,13.769332,13.769332,6,10,10,1,10,344.2333,344.2333,344.2333,0.00012048483095978216
Orbitrap,15.321988,15.321988,6,10,10,1,10,383.0497,383.0497,383.0497,0.00012048483095978216
Orbitrap,15.661926,15.661926,6,10,10,2,10,261.0321,261.0321,261.0321,0.00012048483095978216
Orbitrap,16.103864,16.103864,6,10,10,1,10,230.0552,230.0552,230.0552,0.00012048483095978216
Orbitrap,16.415288,16.415288,6,10,10,1,10,205.1911,205.1911,205.1911,0.00012048483095978216
Orbitrap,18.404416,18.404416,6,10,10,1,10,230.0552,230.0552,230.0552,0.00012048483095978216
Orbitrap,19.57476,19.57476,5,10,10,3,10,163.123,163.123,163.123,0.00012048483095978216
Orbitrap,20.324752,20.324752,6,10,10,1,10,254.0594,254.0594,254.0594,0.00012048483095978216
Orbitrap,21.67206,21.67206,5,10,10,3,10,361.201,361.201,361.201,0.00012048483095978216
Orbitrap,24.096331,24.096331,6,10,10,1,10,344.2333,344.2333,344.2333,0.00012048483095978216
Orbitrap,24.250248,24.250248,6,10,10,2,10,202.0854,202.0854,202.0854,0.00012048483095978216
Orbitrap,24.46845,24.46845,5,10,10,3,10,163.123,163.123,163.123,0.00012048483095978216
Orbitrap,26.813479,26.813479,6,10,10,1,10,383.0497,383.0497,383.0497,0.00012048483095978216
Orbitrap,27.538664,27.538664,6,10,10,1,10,344.2333,344.2333,344.2333,0.00012048483095978216
Orbitrap,30.643976,30.643976,6,10,10,1,10,383.0497,383.0497,383.0497,0.00012048483095978216
Orbitrap,32.395493,32.395493,6,10,10,2,10,249.1961,249.1961,249.1961,0.00012048483095978216
Orbitrap,32.830576,32.830576,6,10,10,1,10,205.1911,205.1911,205.1911,0.00012048483095978216
Orbitrap,36.375372,36.375372,6,10,10,2,10,202.0854,202.0854,202.0854,0.00012048483095978216
Orbitrap,36.808832,36.808832,6,10,10,1,10,230.0552,230.0552,230.0552,0.00012048483095978216
Orbitrap,37.634704,37.634704,6,10,10,1,10,235.2169,235.2169,235.2169,0.00012048483095978216
Orbitrap,43.375440000000005,43.375440000000005,15,10,10,2,10,271.0965,271.0965,271.0965,0.00012048483095978216
Orbitrap,46.985778,46.985778,6,10,10,2,10,261.0321,261.0321,261.0321,0.00012048483095978216
Orbitrap,50.074254,50.074254,6,10,10,2,10,278.1903,278.1903,278.1903,0.00012048483095978216
Orbitrap,55.077328,55.077328,6,10,10,1,10,344.2333,344.2333,344.2333,0.00012048483095978216
Orbitrap,61.287952,61.287952,6,10,10,1,10,383.0497,383.0497,383.0497,0.00012048483095978216
Orbitrap,64.64680200000001,64.64680200000001,14,10,10,1,10,359.1489,359.1489,359.1489,0.00012048483095978216
Orbitrap,73.95685499999999,73.95685499999999,14,10,10,4,10,352.1755,352.1755,352.1755,0.00012048483095978216
Orbitrap,6.605095235,6.605095235,9,9,9,3,9,132.1019047,132.1019047,132.1019047,0.00010843634786380394
Orbitrap,9.15325924,9.15325924,8,9,9,4,9,183.0651848,183.0651848,183.0651848,0.00010843634786380394
Orbitrap,14.68107,14.68107,5,9,9,3,9,163.123,163.123,163.123,0.00010843634786380394
Orbitrap,16.088556,16.088556,6,9,9,2,9,134.0713,134.0713,134.0713,0.00010843634786380394
Orbitrap,16.108169,16.108169,6,9,9,3,9,230.1167,230.1167,230.1167,0.00010843634786380394
Orbitrap,16.20753,16.20753,5,9,9,2,9,270.1255,270.1255,270.1255,0.00010843634786380394
Orbitrap,16.809257999999996,16.809257999999996,15,9,9,2,9,280.1543,280.1543,280.1543,0.00010843634786380394
Orbitrap,21.010311,21.010311,6,9,9,1,9,300.1473,300.1473,300.1473,0.00010843634786380394
Orbitrap,22.094316000000003,22.094316000000003,15,9,9,2,9,184.1193,184.1193,184.1193,0.00010843634786380394
Orbitrap,24.132834000000003,24.132834000000003,15,9,9,2,9,134.0713,134.0713,134.0713,0.00010843634786380394
Orbitrap,29.057208000000003,29.057208000000003,15,9,9,2,9,242.1434,242.1434,242.1434,0.00010843634786380394
Orbitrap,30.578197,30.578197,6,9,9,1,9,235.2169,235.2169,235.2169,0.00010843634786380394
Orbitrap,31.323852,31.323852,6,9,9,2,9,261.0321,261.0321,261.0321,0.00010843634786380394
Orbitrap,32.930366,32.930366,6,9,9,1,9,235.2169,235.2169,235.2169,0.00010843634786380394
Orbitrap,34.038396,34.038396,6,9,9,1,9,189.1022,189.1022,189.1022,0.00010843634786380394
Orbitrap,34.72792,34.72792,5,9,9,1,9,217.0495,217.0495,217.0495,0.00010843634786380394
Orbitrap,35.568316,35.568316,6,9,9,1,9,254.0594,254.0594,254.0594,0.00010843634786380394
Orbitrap,45.730692000000005,45.730692000000005,15,9,9,1,9,254.0594,254.0594,254.0594,0.00010843634786380394
Orbitrap,57.17222399999999,57.17222399999999,14,9,9,1,9,357.3264,357.3264,357.3264,0.00010843634786380394
Orbitrap,57.46382400000001,57.46382400000001,14,9,9,1,9,359.1489,359.1489,359.1489,0.00010843634786380394
Orbitrap,74.943414,74.943414,6,9,9,1,9,416.3523,416.3523,416.3523,0.00010843634786380394
Orbitrap,4.103822,4.103822,6,8,8,1,8,205.1911,205.1911,205.1911,9.638786476782573e-05
Orbitrap,4.503831,4.503831,6,8,8,2,8,150.1277,150.1277,150.1277,9.638786476782573e-05
Orbitrap,4.601104,4.601104,6,8,8,1,8,230.0552,230.0552,230.0552,9.638786476782573e-05
Orbitrap,5.081188,5.081188,6,8,8,1,8,254.0594,254.0594,254.0594,9.638786476782573e-05
Orbitrap,5.904312730000001,5.904312730000001,15,8,8,3,8,118.0862546,118.0862546,118.0862546,9.638786476782573e-05
Orbitrap,6.155733000000001,6.155733000000001,15,8,8,1,8,205.1911,205.1911,205.1911,9.638786476782573e-05
Orbitrap,6.901656000000001,6.901656000000001,15,8,8,1,8,230.0552,230.0552,230.0552,9.638786476782573e-05
Orbitrap,6.903501,6.903501,6,8,8,3,8,230.1167,230.1167,230.1167,9.638786476782573e-05
Orbitrap,7.505406000000001,7.505406000000001,15,8,8,2,8,250.1802,250.1802,250.1802,9.638786476782573e-05
Orbitrap,7.660994,7.660994,6,8,8,1,8,383.0497,383.0497,383.0497,9.638786476782573e-05
Orbitrap,8.103765,8.103765,6,8,8,2,8,270.1255,270.1255,270.1255,9.638786476782573e-05
Orbitrap,8.404628999999998,8.404628999999998,15,8,8,2,8,280.1543,280.1543,280.1543,9.638786476782573e-05
Orbitrap,9.004332425000001,9.004332425000001,15,8,8,1,8,180.0866485,180.0866485,180.0866485,9.638786476782573e-05
Orbitrap,9.004419,9.004419,6,8,8,1,8,300.1473,300.1473,300.1473,9.638786476782573e-05
Orbitrap,9.007662,9.007662,6,8,8,2,8,150.1277,150.1277,150.1277,9.638786476782573e-05
Orbitrap,9.033549,9.033549,6,8,8,2,8,301.1183,301.1183,301.1183,9.638786476782573e-05
Orbitrap,9.053600075,9.053600075,9,8,8,3,8,181.0720015,181.0720015,181.0720015,9.638786476782573e-05
