instrument_type,adduct,simulation_challenge,fold,ce_missing,n_rows,n_unique_inchikey
<NA>,[M+H]+,False,test,False,3,2
<NA>,[M+H]+,False,test,True,247,221
<NA>,[M+H]+,False,train,False,36,33
<NA>,[M+H]+,False,train,True,3467,2860
<NA>,[M+H]+,False,val,True,299,264
<NA>,[M+Na]+,False,test,True,159,120
<NA>,[M+Na]+,False,train,True,825,756
<NA>,[M+Na]+,False,val,True,187,163
Orbitrap,[M+H]+,False,test,True,3267,413
Orbitrap,[M+H]+,False,train,True,51704,7727
Orbitrap,[M+H]+,False,val,True,3987,534
Orbitrap,[M+H]+,True,test,False,8374,2231
Orbitrap,[M+H]+,True,train,False,64738,10676
Orbitrap,[M+H]+,True,val,False,8211,2243
Orbitrap,[M+Na]+,False,test,False,147,56
Orbitrap,[M+Na]+,False,test,True,2935,318
Orbitrap,[M+Na]+,False,train,False,1369,540
Orbitrap,[M+Na]+,False,train,True,23085,3783
Orbitrap,[M+Na]+,False,val,False,159,62
Orbitrap,[M+Na]+,False,val,True,4082,399
QTOF,[M+H]+,False,test,True,595,400
QTOF,[M+H]+,False,train,True,11931,8037
QTOF,[M+H]+,False,val,True,672,481
QTOF,[M+H]+,True,test,False,1580,195
QTOF,[M+H]+,True,train,False,34603,3876
QTOF,[M+H]+,True,val,False,1523,203
QTOF,[M+Na]+,False,test,False,58,26
QTOF,[M+Na]+,False,test,True,191,147
QTOF,[M+Na]+,False,train,False,863,367
QTOF,[M+Na]+,False,train,True,1498,1075
QTOF,[M+Na]+,False,val,False,82,38
QTOF,[M+Na]+,False,val,True,227,199
