instrument,ce_str,n_rows,ce
Orbitrap,60,15244,60
Orbitrap,20,12888,20
Orbitrap,30,8880,30
Orbitrap,45,6484,45
Orbitrap,15,6220,15
Orbitrap,75,2310,75
Orbitrap,35,2289,35
Orbitrap,90,2129,90
Orbitrap,55,882,55
Orbitrap,10,673,10
Orbitrap,17,651,17
Orbitrap,16,646,16
Orbitrap,18,615,18
Orbitrap,13,564,13
Orbitrap,21,553,21
Orbitrap,8,548,8
Orbitrap,9,542,9
Orbitrap,14,538,14
Orbitrap,19,531,19
Orbitrap,24,524,24
Orbitrap,40,524,40
Orbitrap,12,520,12
Orbitrap,65,506,65
Orbitrap,6,504,6
Orbitrap,25,493,25
Orbitrap,22,478,22
Orbitrap,27,464,27
Orbitrap,7,461,7
Orbitrap,23,454,23
Orbitrap,26,454,26
Orbitrap,11,448,11
Orbitrap,32,423,32
Orbitrap,28,416,28
Orbitrap,29,414,29
Orbitrap,150,413,150
Orbitrap,120,408,120
Orbitrap,34,402,34
Orbitrap,180,399,180
Orbitrap,50,369,50
Orbitrap,80,366,80
Orbitrap,36,364,36
Orbitrap,39,358,39
Orbitrap,37,343,37
Orbitrap,42,328,42
Orbitrap,38,322,38
Orbitrap,5,320,5
Orbitrap,31,317,31
Orbitrap,33,310,33
Orbitrap,43,277,43
Orbitrap,46,263,46
Orbitrap,41,251,41
Orbitrap,48,243,48
Orbitrap,49,232,49
Orbitrap,51,228,51
Orbitrap,47,223,47
Orbitrap,44,207,44
Orbitrap,52,205,52
Orbitrap,54,205,54
Orbitrap,53,189,53
Orbitrap,70,184,70
Orbitrap,4,168,4
Orbitrap,58,168,58
Orbitrap,57,163,57
Orbitrap,56,160,56
Orbitrap,59,147,59
Orbitrap,66,134,66
Orbitrap,63,116,63
Orbitrap,61,114,61
Orbitrap,64,113,64
Orbitrap,62,93,62
Orbitrap,67,91,67
Orbitrap,68,86,68
Orbitrap,69,80,69
Orbitrap,72,80,72
Orbitrap,71,76,71
Orbitrap,77,73,77
Orbitrap,3,69,3
Orbitrap,73,67,73
Orbitrap,74,55,74
Orbitrap,89,53,89
Orbitrap,82,51,82
Orbitrap,78,48,78
Orbitrap,81,44,81
Orbitrap,76,43,76
Orbitrap,84,36,84
Orbitrap,87,36,87
Orbitrap,96,36,96
Orbitrap,83,34,83
Orbitrap,85,34,85
Orbitrap,88,32,88
Orbitrap,91,32,91
Orbitrap,79,31,79
Orbitrap,86,31,86
Orbitrap,93,29,93
Orbitrap,98,27,98
Orbitrap,109,25,109
Orbitrap,100,24,100
Orbitrap,94,24,94
Orbitrap,102,22,102
Orbitrap,2,22,2
Orbitrap,111,21,111
Orbitrap,95,20,95
Orbitrap,106,19,106
Orbitrap,116,19,116
Orbitrap,92,19,92
Orbitrap,103,17,103
Orbitrap,108,16,108
Orbitrap,99,16,99
Orbitrap,104,15,104
Orbitrap,118,15,118
Orbitrap,112,14,112
Orbitrap,97,14,97
Orbitrap,107,13,107
Orbitrap,129,13,129
Orbitrap,113,12,113
Orbitrap,128,12,128
Orbitrap,134,12,134
Orbitrap,110,11,110
Orbitrap,125,11,125
Orbitrap,101,10,101
Orbitrap,119,10,119
Orbitrap,123,10,123
Orbitrap,124,10,124
Orbitrap,154,10,154
Orbitrap,114,9,114
Orbitrap,115,9,115
Orbitrap,137,9,137
Orbitrap,105,8,105
Orbitrap,140,8,140
Orbitrap,149,8,149
Orbitrap,164,8,164
Orbitrap,142,7,142
Orbitrap,179,7,179
Orbitrap,133,6,133
Orbitrap,136,6,136
Orbitrap,160,6,160
Orbitrap,0,5,0
Orbitrap,117,5,117
Orbitrap,151,5,151
Orbitrap,122,4,122
Orbitrap,131,4,131
Orbitrap,135,4,135
Orbitrap,147,4,147
Orbitrap,206,4,206
Orbitrap,257,4,257
Orbitrap,309,4,309
Orbitrap,126,3,126
Orbitrap,127,3,127
Orbitrap,130,3,130
Orbitrap,132,3,132
Orbitrap,148,3,148
Orbitrap,158,3,158
Orbitrap,273,3,273
Orbitrap,121,2,121
Orbitrap,139,2,139
Orbitrap,141,2,141
Orbitrap,145,2,145
Orbitrap,146,2,146
Orbitrap,155,2,155
Orbitrap,156,2,156
Orbitrap,161,2,161
Orbitrap,163,2,163
Orbitrap,167,2,167
Orbitrap,177,2,177
Orbitrap,192,2,192
Orbitrap,194,2,194
Orbitrap,200,2,200
Orbitrap,202,2,202
Orbitrap,218,2,218
Orbitrap,236,2,236
Orbitrap,238,2,238
Orbitrap,251,2,251
Orbitrap,253,2,253
Orbitrap,295,2,295
Orbitrap,298,2,298
Orbitrap,301,2,301
Orbitrap,303,2,303
Orbitrap,327,2,327
Orbitrap,355,2,355
Orbitrap,358,2,358
Orbitrap,138,1,138
Orbitrap,143,1,143
Orbitrap,144,1,144
Orbitrap,153,1,153
Orbitrap,157,1,157
Orbitrap,162,1,162
Orbitrap,178,1,178
Orbitrap,182,1,182
Orbitrap,188,1,188
Orbitrap,195,1,195
Orbitrap,213,1,213
Orbitrap,228,1,228
QTOF,10,6808,10
QTOF,40,5999,40
QTOF,20,5623,20
QTOF,6,4339,6
QTOF,30,4198,30
QTOF,50,3058,50
QTOF,60,737,60
QTOF,70,613,70
QTOF,25,585,25
QTOF,80,577,80
QTOF,35,568,35
QTOF,90,492,90
QTOF,32,480,32
QTOF,100,454,100
QTOF,110,428,110
QTOF,120,393,120
QTOF,130,372,130
QTOF,140,340,140
QTOF,150,304,150
QTOF,0,188,0
QTOF,15,144,15
QTOF,27,139,27
QTOF,28,99,28
QTOF,26,93,26
QTOF,23,91,23
QTOF,24,81,24
QTOF,45,78,45
QTOF,5,69,5
QTOF,29,68,29
QTOF,22,62,22
QTOF,55,58,55
QTOF,21,55,21
QTOF,31,28,31
QTOF,19,25,19
QTOF,18,15,18
QTOF,34,8,34
QTOF,38,8,38
QTOF,42,6,42
QTOF,8,6,8
QTOF,33,4,33
QTOF,39,4,39
QTOF,41,2,41
QTOF,63,2,63
QTOF,72,2,72
QTOF,75,2,75
QTOF,36,1,36
