instrument_type,ce_is_integer,dist_lo,dist_hi,n_rows
<NA>,False,0.0,0.01,9
<NA>,False,0.01,0.02,0
<NA>,False,0.02,0.03,0
<NA>,False,0.03,0.04,0
<NA>,False,0.04,0.05,0
<NA>,False,0.05,0.06,0
<NA>,False,0.06,0.07,0
<NA>,False,0.07,0.08,0
<NA>,False,0.08,0.09,0
<NA>,False,0.09,0.1,0
<NA>,False,0.1,0.11,0
<NA>,False,0.11,0.12,0
<NA>,False,0.12,0.13,0
<NA>,False,0.13,0.14,0
<NA>,False,0.14,0.15,0
<NA>,False,0.15,0.16,0
<NA>,False,0.16,0.17,0
<NA>,False,0.17,0.18,0
<NA>,False,0.18,0.19,0
<NA>,False,0.19,0.2,0
<NA>,False,0.2,0.21,0
<NA>,False,0.21,0.22,0
<NA>,False,0.22,0.23,0
<NA>,False,0.23,0.24,0
<NA>,False,0.24,0.25,0
<NA>,False,0.25,0.26,0
<NA>,False,0.26,0.27,0
<NA>,False,0.27,0.28,0
<NA>,False,0.28,0.29,0
<NA>,False,0.29,0.3,0
<NA>,False,0.3,0.31,0
<NA>,False,0.31,0.32,0
<NA>,False,0.32,0.33,0
<NA>,False,0.33,0.34,0
<NA>,False,0.34,0.35,0
<NA>,False,0.35,0.36,0
<NA>,False,0.36,0.37,0
<NA>,False,0.37,0.38,0
<NA>,False,0.38,0.39,0
<NA>,False,0.39,0.4,0
<NA>,False,0.4,0.41,0
<NA>,False,0.41,0.42,0
<NA>,False,0.42,0.43,0
<NA>,False,0.43,0.44,0
<NA>,False,0.44,0.45,0
<NA>,False,0.45,0.46,0
<NA>,False,0.46,0.47,0
<NA>,False,0.47,0.48,0
<NA>,False,0.48,0.49,0
<NA>,False,0.49,0.5,0
<NA>,True,0.0,0.01,0
<NA>,True,0.01,0.02,1
<NA>,True,0.02,0.03,1
<NA>,True,0.03,0.04,0
<NA>,True,0.04,0.05,0
<NA>,True,0.05,0.06,0
<NA>,True,0.06,0.07,1
<NA>,True,0.07,0.08,0
<NA>,True,0.08,0.09,0
<NA>,True,0.09,0.1,0
<NA>,True,0.1,0.11,1
<NA>,True,0.11,0.12,2
<NA>,True,0.12,0.13,0
<NA>,True,0.13,0.14,0
<NA>,True,0.14,0.15,2
<NA>,True,0.15,0.16,1
<NA>,True,0.16,0.17,0
<NA>,True,0.17,0.18,0
<NA>,True,0.18,0.19,0
<NA>,True,0.19,0.2,1
<NA>,True,0.2,0.21,0
<NA>,True,0.21,0.22,1
<NA>,True,0.22,0.23,0
<NA>,True,0.23,0.24,1
<NA>,True,0.24,0.25,0
<NA>,True,0.25,0.26,0
<NA>,True,0.26,0.27,0
<NA>,True,0.27,0.28,0
<NA>,True,0.28,0.29,2
<NA>,True,0.29,0.3,2
<NA>,True,0.3,0.31,0
<NA>,True,0.31,0.32,0
<NA>,True,0.32,0.33,1
<NA>,True,0.33,0.34,1
<NA>,True,0.34,0.35,1
<NA>,True,0.35,0.36,0
<NA>,True,0.36,0.37,0
<NA>,True,0.37,0.38,0
<NA>,True,0.38,0.39,2
<NA>,True,0.39,0.4,1
<NA>,True,0.4,0.41,1
<NA>,True,0.41,0.42,2
<NA>,True,0.42,0.43,1
<NA>,True,0.43,0.44,3
<NA>,True,0.44,0.45,0
<NA>,True,0.45,0.46,1
<NA>,True,0.46,0.47,0
<NA>,True,0.47,0.48,0
<NA>,True,0.48,0.49,0
<NA>,True,0.49,0.5,0
Orbitrap,False,0.0,0.01,24106
Orbitrap,False,0.01,0.02,0
Orbitrap,False,0.02,0.03,0
Orbitrap,False,0.03,0.04,0
Orbitrap,False,0.04,0.05,2
Orbitrap,False,0.05,0.06,0
Orbitrap,False,0.06,0.07,2
Orbitrap,False,0.07,0.08,0
Orbitrap,False,0.08,0.09,0
Orbitrap,False,0.09,0.1,0
Orbitrap,False,0.1,0.11,0
Orbitrap,False,0.11,0.12,0
Orbitrap,False,0.12,0.13,0
Orbitrap,False,0.13,0.14,0
Orbitrap,False,0.14,0.15,0
Orbitrap,False,0.15,0.16,0
Orbitrap,False,0.16,0.17,0
Orbitrap,False,0.17,0.18,0
Orbitrap,False,0.18,0.19,0
Orbitrap,False,0.19,0.2,0
Orbitrap,False,0.2,0.21,0
Orbitrap,False,0.21,0.22,0
Orbitrap,False,0.22,0.23,0
Orbitrap,False,0.23,0.24,0
Orbitrap,False,0.24,0.25,0
Orbitrap,False,0.25,0.26,0
Orbitrap,False,0.26,0.27,0
Orbitrap,False,0.27,0.28,0
Orbitrap,False,0.28,0.29,0
Orbitrap,False,0.29,0.3,2
Orbitrap,False,0.3,0.31,0
Orbitrap,False,0.31,0.32,0
Orbitrap,False,0.32,0.33,22
Orbitrap,False,0.33,0.34,2
Orbitrap,False,0.34,0.35,0
Orbitrap,False,0.35,0.36,0
Orbitrap,False,0.36,0.37,0
Orbitrap,False,0.37,0.38,0
Orbitrap,False,0.38,0.39,2
Orbitrap,False,0.39,0.4,0
Orbitrap,False,0.4,0.41,0
Orbitrap,False,0.41,0.42,0
Orbitrap,False,0.42,0.43,0
Orbitrap,False,0.43,0.44,0
Orbitrap,False,0.44,0.45,0
Orbitrap,False,0.45,0.46,0
Orbitrap,False,0.46,0.47,0
Orbitrap,False,0.47,0.48,0
Orbitrap,False,0.48,0.49,0
Orbitrap,False,0.49,0.5,0
Orbitrap,True,0.0,0.01,1223
Orbitrap,True,0.01,0.02,1110
Orbitrap,True,0.02,0.03,1201
Orbitrap,True,0.03,0.04,1275
Orbitrap,True,0.04,0.05,1244
Orbitrap,True,0.05,0.06,1245
Orbitrap,True,0.06,0.07,1181
Orbitrap,True,0.07,0.08,1302
Orbitrap,True,0.08,0.09,1298
Orbitrap,True,0.09,0.1,1113
Orbitrap,True,0.1,0.11,1128
Orbitrap,True,0.11,0.12,1271
Orbitrap,True,0.12,0.13,1103
Orbitrap,True,0.13,0.14,1087
Orbitrap,True,0.14,0.15,1207
Orbitrap,True,0.15,0.16,1169
Orbitrap,True,0.16,0.17,1116
Orbitrap,True,0.17,0.18,1227
Orbitrap,True,0.18,0.19,874
Orbitrap,True,0.19,0.2,1078
Orbitrap,True,0.2,0.21,1129
Orbitrap,True,0.21,0.22,1106
Orbitrap,True,0.22,0.23,1161
Orbitrap,True,0.23,0.24,1449
Orbitrap,True,0.24,0.25,1126
Orbitrap,True,0.25,0.26,1079
Orbitrap,True,0.26,0.27,1177
Orbitrap,True,0.27,0.28,1202
Orbitrap,True,0.28,0.29,1085
Orbitrap,True,0.29,0.3,1217
Orbitrap,True,0.3,0.31,1372
Orbitrap,True,0.31,0.32,1433
Orbitrap,True,0.32,0.33,1134
Orbitrap,True,0.33,0.34,1164
Orbitrap,True,0.34,0.35,1249
Orbitrap,True,0.35,0.36,1193
Orbitrap,True,0.36,0.37,1111
Orbitrap,True,0.37,0.38,1126
Orbitrap,True,0.38,0.39,1203
Orbitrap,True,0.39,0.4,1087
Orbitrap,True,0.4,0.41,1121
Orbitrap,True,0.41,0.42,1108
Orbitrap,True,0.42,0.43,1214
Orbitrap,True,0.43,0.44,1242
Orbitrap,True,0.44,0.45,1161
Orbitrap,True,0.45,0.46,1074
Orbitrap,True,0.46,0.47,1218
Orbitrap,True,0.47,0.48,1158
Orbitrap,True,0.48,0.49,1177
Orbitrap,True,0.49,0.5,1132
QTOF,False,0.0,0.01,30
QTOF,False,0.01,0.02,28
QTOF,False,0.02,0.03,33
QTOF,False,0.03,0.04,27
QTOF,False,0.04,0.05,23
QTOF,False,0.05,0.06,39
QTOF,False,0.06,0.07,35
QTOF,False,0.07,0.08,47
QTOF,False,0.08,0.09,35
QTOF,False,0.09,0.1,17
QTOF,False,0.1,0.11,18
QTOF,False,0.11,0.12,13
QTOF,False,0.12,0.13,15
QTOF,False,0.13,0.14,16
QTOF,False,0.14,0.15,25
QTOF,False,0.15,0.16,24
QTOF,False,0.16,0.17,21
QTOF,False,0.17,0.18,27
QTOF,False,0.18,0.19,36
QTOF,False,0.19,0.2,40
QTOF,False,0.2,0.21,38
QTOF,False,0.21,0.22,28
QTOF,False,0.22,0.23,34
QTOF,False,0.23,0.24,30
QTOF,False,0.24,0.25,27
QTOF,False,0.25,0.26,21
QTOF,False,0.26,0.27,27
QTOF,False,0.27,0.28,30
QTOF,False,0.28,0.29,13
QTOF,False,0.29,0.3,22
QTOF,False,0.3,0.31,53
QTOF,False,0.31,0.32,31
QTOF,False,0.32,0.33,26
QTOF,False,0.33,0.34,34
QTOF,False,0.34,0.35,49
QTOF,False,0.35,0.36,28
QTOF,False,0.36,0.37,20
QTOF,False,0.37,0.38,24
QTOF,False,0.38,0.39,22
QTOF,False,0.39,0.4,24
QTOF,False,0.4,0.41,20
QTOF,False,0.41,0.42,30
QTOF,False,0.42,0.43,17
QTOF,False,0.43,0.44,16
QTOF,False,0.44,0.45,18
QTOF,False,0.45,0.46,30
QTOF,False,0.46,0.47,30
QTOF,False,0.47,0.48,10
QTOF,False,0.48,0.49,41
QTOF,False,0.49,0.5,19
QTOF,True,0.0,0.01,905
QTOF,True,0.01,0.02,682
QTOF,True,0.02,0.03,722
QTOF,True,0.03,0.04,726
QTOF,True,0.04,0.05,883
QTOF,True,0.05,0.06,605
QTOF,True,0.06,0.07,734
QTOF,True,0.07,0.08,1025
QTOF,True,0.08,0.09,775
QTOF,True,0.09,0.1,699
QTOF,True,0.1,0.11,845
QTOF,True,0.11,0.12,656
QTOF,True,0.12,0.13,680
QTOF,True,0.13,0.14,798
QTOF,True,0.14,0.15,730
QTOF,True,0.15,0.16,850
QTOF,True,0.16,0.17,780
QTOF,True,0.17,0.18,761
QTOF,True,0.18,0.19,680
QTOF,True,0.19,0.2,597
QTOF,True,0.2,0.21,739
QTOF,True,0.21,0.22,753
QTOF,True,0.22,0.23,753
QTOF,True,0.23,0.24,919
QTOF,True,0.24,0.25,672
QTOF,True,0.25,0.26,616
QTOF,True,0.26,0.27,647
QTOF,True,0.27,0.28,700
QTOF,True,0.28,0.29,739
QTOF,True,0.29,0.3,739
QTOF,True,0.3,0.31,909
QTOF,True,0.31,0.32,652
