instrument_type,ce_is_integer,ratio_nearest_int,n_rows,n_unique_ce,n_unique_inchikey,n_simulation_challenge,pearson_ce_mz,in_msnlib_audit_set,multiple_of_5
<NA>,False,25,4,4,4,0,1.0,False,True
<NA>,False,60,3,3,3,0,1.0,True,True
<NA>,False,20,2,2,2,0,,True,True
Orbitrap,False,25,2368,1603,1506,2342,0.9999999999999999,False,True
Orbitrap,False,60,2212,819,883,2201,1.0,True,True
Orbitrap,False,30,2097,795,838,2082,0.9999999999999993,True,True
Orbitrap,False,90,2073,709,772,2072,0.9999999999999998,False,True
Orbitrap,False,45,1906,611,658,1890,1.0,True,True
Orbitrap,False,75,1894,601,647,1885,0.9999999999999998,True,True
Orbitrap,False,35,1653,416,449,1635,1.0,False,True
Orbitrap,False,15,1509,561,596,1496,0.9999999999999996,True,True
Orbitrap,False,40,976,565,606,955,1.0,False,True
Orbitrap,False,50,860,444,474,845,1.0,False,True
Orbitrap,False,80,780,323,338,777,1.0,False,True
Orbitrap,False,70,714,328,343,704,0.9999999999999999,False,True
Orbitrap,False,20,637,339,347,620,0.9999999999999999,True,True
Orbitrap,False,55,489,136,144,477,0.9999999999999999,False,True
Orbitrap,False,65,480,125,133,468,1.0,False,True
Orbitrap,False,85,388,117,134,379,0.9999999999999999,False,True
Orbitrap,False,120,371,246,252,371,1.0,False,True
Orbitrap,False,105,355,105,122,355,0.9999999999999999,False,True
Orbitrap,False,95,309,108,125,309,1.0,False,True
Orbitrap,False,10,301,183,181,299,1.0,False,True
Orbitrap,False,100,295,108,124,295,0.9999999999999999,False,True
Orbitrap,False,150,261,202,207,261,1.0,False,True
Orbitrap,False,180,226,172,177,226,1.0,False,True
Orbitrap,False,115,211,56,57,211,0.9999999999999999,False,True
Orbitrap,False,125,166,42,43,166,1.0,False,True
Orbitrap,False,110,142,52,55,142,0.9999999999999997,False,True
Orbitrap,False,130,78,23,24,78,1.0,False,True
Orbitrap,False,140,48,23,24,48,1.0,False,True
Orbitrap,False,160,42,20,21,42,0.9999999999999998,False,True
Orbitrap,False,170,42,20,21,42,1.0,False,True
Orbitrap,False,135,34,16,17,34,0.9999999999999998,False,True
Orbitrap,False,145,34,16,17,34,1.0,False,True
Orbitrap,False,155,34,16,17,34,1.0,False,True
Orbitrap,False,165,34,16,17,34,0.9999999999999998,False,True
Orbitrap,False,175,32,15,16,32,0.9999999999999997,False,True
Orbitrap,False,185,30,14,15,30,1.0,False,True
Orbitrap,False,5,17,8,9,17,0.9999999999999999,False,True
Orbitrap,False,42,6,6,6,6,1.0,False,False
Orbitrap,False,172,2,1,1,2,,False,False
Orbitrap,True,28,54,1,50,53,,False,False
Orbitrap,True,49,46,5,42,45,0.9999999391245595,False,False
Orbitrap,True,51,40,6,32,39,0.9999999782098191,False,False
Orbitrap,True,34,36,3,34,36,0.9999999111149072,False,False
Orbitrap,True,21,34,2,31,34,0.9999995763952059,False,False
Orbitrap,True,63,34,4,26,33,0.9999999884825003,False,False
Orbitrap,True,84,34,1,26,34,,False,False
Orbitrap,True,42,32,3,28,31,0.9999999505478956,False,False
Orbitrap,True,47,28,2,21,28,0.9999999296283063,False,False
Orbitrap,True,68,25,3,23,25,0.9999999715098277,False,False
Orbitrap,True,119,25,6,15,25,0.9999999854271565,False,False
Orbitrap,True,98,24,2,21,24,0.9999999539543578,False,False
Orbitrap,True,17,23,2,22,23,0.9999994992635226,False,False
Orbitrap,True,23,22,1,14,22,,False,False
Orbitrap,True,46,21,3,16,20,0.9999999634105646,False,False
Orbitrap,True,102,20,2,14,20,0.9999999753241251,False,False
Orbitrap,True,83,19,1,12,19,,False,False
Orbitrap,True,94,19,1,17,19,,False,False
Orbitrap,True,25,15,2,11,15,0.9999996575667297,False,True
Orbitrap,True,92,15,2,11,15,0.9999999854685214,False,False
Orbitrap,True,126,15,3,9,15,0.9999999964211722,False,False
Orbitrap,True,55,13,2,11,7,0.999999304084652,False,True
Orbitrap,True,19,12,1,11,12,,False,False
Orbitrap,True,33,12,1,12,12,,False,False
Orbitrap,True,58,11,1,9,11,,False,False
Orbitrap,True,69,11,1,7,11,,False,False
Orbitrap,True,147,11,3,7,11,0.9999999309099825,False,False
Orbitrap,True,73,10,2,7,9,0.9999999579906198,False,False
Orbitrap,True,163,10,3,4,10,0.9999999826916692,False,False
Orbitrap,True,57,9,2,8,9,0.999999987447917,False,False
Orbitrap,True,153,9,4,5,9,0.9999999895151055,False,False
Orbitrap,True,89,8,1,8,7,,False,False
Orbitrap,True,115,8,2,3,8,0.9999999996175951,False,True
Orbitrap,True,12,7,2,5,7,0.9999999181687474,False,False
Orbitrap,True,38,7,1,7,7,,False,False
Orbitrap,True,53,7,3,4,6,0.9999999465740048,False,False
Orbitrap,True,29,6,1,6,6,,False,False
Orbitrap,True,65,6,1,6,5,,False,True
Orbitrap,True,76,6,2,3,6,0.9999999999999998,False,False
Orbitrap,True,105,6,2,2,6,1.0,False,True
Orbitrap,True,108,6,2,2,6,1.0,False,False
Orbitrap,True,138,6,2,3,6,0.9999999998369296,False,False
Orbitrap,True,199,6,1,3,6,,False,False
Orbitrap,True,294,6,1,2,6,,False,False
Orbitrap,True,0,5,1,5,5,,False,False
