instrument_type,ce_is_integer,ratio_nearest_int,n_rows,n_unique_ce,n_unique_inchikey,n_simulation_challenge,pearson_ce_mz,in_msnlib_audit_set,multiple_of_5
<NA>,False,25,4,4,4,0,1.0,False,True
<NA>,False,60,3,3,3,0,1.0,True,True
<NA>,False,20,2,2,2,0,,True,True
Orbitrap,False,25,2368,1603,1506,2342,0.9999999999999999,False,True
Orbitrap,False,60,2212,819,883,2201,1.0,True,True
Orbitrap,False,30,2097,795,838,2082,0.9999999999999993,True,True
Orbitrap,False,90,2073,709,772,2072,0.9999999999999998,False,True
Orbitrap,False,45,1906,611,658,1890,1.0,True,True
Orbitrap,False,75,1894,601,647,1885,0.9999999999999998,True,True
Orbitrap,False,35,1653,416,449,1635,1.0,False,True
Orbitrap,False,15,1509,561,596,1496,0.9999999999999996,True,True
Orbitrap,False,40,976,565,606,955,1.0,False,True
Orbitrap,False,50,860,444,474,845,1.0,False,True
Orbitrap,False,80,780,323,338,777,1.0,False,True
Orbitrap,False,70,714,328,343,704,0.9999999999999999,False,True
Orbitrap,False,20,637,339,347,620,0.9999999999999999,True,True
Orbitrap,False,55,489,136,144,477,0.9999999999999999,False,True
Orbitrap,False,65,480,125,133,468,1.0,False,True
Orbitrap,False,85,388,117,134,379,0.9999999999999999,False,True
Orbitrap,False,120,371,246,252,371,1.0,False,True
Orbitrap,False,105,355,105,122,355,0.9999999999999999,False,True
Orbitrap,False,95,309,108,125,309,1.0,False,True
Orbitrap,False,10,301,183,181,299,1.0,False,True
Orbitrap,False,100,295,108,124,295,0.9999999999999999,False,True
Orbitrap,False,150,261,202,207,261,1.0,False,True
Orbitrap,False,180,226,172,177,226,1.0,False,True
Orbitrap,False,115,211,56,57,211,0.9999999999999999,False,True
Orbitrap,False,125,166,42,43,166,1.0,False,True
Orbitrap,False,110,142,52,55,142,0.9999999999999997,False,True
Orbitrap,False,130,78,23,24,78,1.0,False,True
Orbitrap,False,140,48,23,24,48,1.0,False,True
Orbitrap,False,160,42,20,21,42,0.9999999999999998,False,True
Orbitrap,False,170,42,20,21,42,1.0,False,True
Orbitrap,False,135,34,16,17,34,0.9999999999999998,False,True
Orbitrap,False,145,34,16,17,34,1.0,False,True
Orbitrap,False,155,34,16,17,34,1.0,False,True
Orbitrap,False,165,34,16,17,34,0.9999999999999998,False,True
Orbitrap,False,175,32,15,16,32,0.9999999999999997,False,True
Orbitrap,False,185,30,14,15,30,1.0,False,True
Orbitrap,False,5,17,8,9,17,0.9999999999999999,False,True
Orbitrap,False,42,6,6,6,6,1.0,False,False
Orbitrap,True,0,5,1,5,5,,False,False
QTOF,False,120,6,3,3,6,1.0,False,True
QTOF,False,25,2,2,2,2,,False,True
QTOF,True,0,190,1,119,188,,False,False
