compound_id,scaffold_group,formula,theoretical_mh,nce,K1,K2,K3,abs_K1_K2,abs_K2_K3,abs_K1_K3,d_K1_K2,d_K2_K3,d_K1_K3,in_null_region_450_550,mass_within_5pct_of_500_(475.0_to_525.0),mass_within_10pct_of_500_(450.0_to_550.0),mass_within_20pct_of_500_(400.0_to_600.0)
AGCUFKNHQDVTAD,__ACYCLIC__AGCUFKNHQDVTAD,C6H2F13O3P,400.96067388088,30.0,30.0,24.0576404328528,24.0,5.9423595671472,0.05764043285279996,6.0,4.108590134988344,0.08712062442232991,4.108674489504276,False,False,False,True
AGCUFKNHQDVTAD,__ACYCLIC__AGCUFKNHQDVTAD,C6H2F13O3P,400.96067388088,60.0,60.0,48.1152808657056,48.0,11.8847191342944,0.11528086570559992,12.0,4.619577545776974,0.1741949389049324,4.619428913326836,False,False,False,True
AIBRSVLEQRWAEG,c1ccc(OP2OCC3(CO2)COP(Oc2ccccc2)OC3)cc1,C33H50O6P2,605.31553904688,30.0,30.0,36.3189323428128,36.0,6.318932342812801,0.3189323428128006,6.0,4.115887019965156,0.48078707573103296,4.108674489504276,False,False,False,False
AIBRSVLEQRWAEG,c1ccc(OP2OCC3(CO2)COP(Oc2ccccc2)OC3)cc1,C33H50O6P2,605.31553904688,60.0,60.0,72.6378646856256,72.0,12.637864685625601,0.6378646856256012,12.0,4.6487032044724685,0.9537846626715912,4.6194289133268365,False,False,False,False
AKNMPWVTPUHKCG,c1cc(Cc2cccc(C3CCCCC3)c2)cc(C2CCCCC2)c1,C27H36O2,393.27880685888,30.0,30.0,23.5967284115328,23.0,6.403271588467199,0.5967284115328013,7.0,4.1200189653724,0.8934828634253957,4.179874054282097,False,False,False,False
AKNMPWVTPUHKCG,c1cc(Cc2cccc(C3CCCCC3)c2)cc(C2CCCCC2)c1,C27H36O2,393.27880685888,60.0,60.0,47.1934568230656,47.0,12.806543176934397,0.19345682306560263,13.0,4.665443061554944,0.29213448064213604,4.68898273190977,False,False,False,False
ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,C6H13NO,116.10699050288,30.0,30.0,6.9664194301728,6.0,23.0335805698272,0.9664194301727997,24.0,5.191254556017768,1.4249240777787042,4.955170627870246,False,False,False,False
ALBYIUDWACNRRB,__ACYCLIC__ALBYIUDWACNRRB,C6H13NO,116.10699050288,60.0,60.0,13.9328388603456,13.0,46.0671611396544,0.9328388603455995,47.0,5.693035175758689,1.3777482158336734,5.89726914872261,False,False,False,False
AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,C8H14O4,175.09648539488,30.0,30.0,10.5057891236928,10.0,19.4942108763072,0.5057891236928,20.0,5.0009847256479505,0.7593456270033395,5.122666459361354,False,False,False,False
AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,C8H14O4,175.09648539488,60.0,60.0,21.0115782473856,21.0,38.9884217526144,0.011578247385600093,39.0,5.7866436301337565,0.017501428548528944,5.786976116436872,False,False,False,False
CGRTZESQZZGAAU,O=C(CCc1ccccc1)OCCC1OCC2(CO1)COC(CCOC(=O)CCc1ccccc1)OC2,C43H64O10,741.4572247148799,30.0,30.0,44.4874334828928,44.0,14.487433482892797,0.4874334828927971,14.0,4.941284215763687,0.7321438466056494,4.857905518117608,False,False,False,False
CGRTZESQZZGAAU,O=C(CCc1ccccc1)OCCC1OCC2(CO1)COC(CCOC(=O)CCc1ccccc1)OC2,C43H64O10,741.4572247148799,60.0,60.0,88.9748669657856,88.0,28.974866965785594,0.9748669657855942,28.0,5.701161942710664,1.436752306892026,5.688856340627141,False,False,False,False
DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,C13H16N2S2,265.08276697888,30.0,30.0,15.904966018732798,15.0,14.095033981267202,0.9049660187327984,15.0,4.87510879868268,1.3384053016780681,5.0059838155986105,False,False,False,False
DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,C13H16N2S2,265.08276697888,60.0,60.0,31.809932037465597,31.0,28.190067962534403,0.8099320374655967,29.0,5.712261917697926,1.2030630757119007,5.698004934182833,False,False,False,False
DQBHJILNHNRDTM,O=C1C=CCC=C1,C15H24O2,237.18490647488,30.0,30.0,14.2310943884928,14.0,15.7689056115072,0.2310943884927994,16.0,5.034154638719785,0.3488213917559589,5.025371576692579,False,False,False,False
DQBHJILNHNRDTM,O=C1C=CCC=C1,C15H24O2,237.18490647488,60.0,60.0,28.4621887769856,28.0,31.5378112230144,0.4621887769855988,32.0,5.036044359301761,0.6946691008235345,4.989193879513383,False,False,False,False
FLPKSBDJMLUTEX,O=C(OC1CCNCC1)C(Cc1ccccc1)C(=O)OC1CCNCC1,C42H72N2O5,685.5513998708799,30.0,30.0,41.13308399225279,41.0,11.133083992252793,0.13308399225279288,11.0,4.647266868215219,0.2010726085971897,4.654430094306775,False,False,False,False
FLPKSBDJMLUTEX,O=C(OC1CCNCC1)C(Cc1ccccc1)C(=O)OC1CCNCC1,C42H72N2O5,685.5513998708799,60.0,60.0,82.26616798450559,82.0,22.266167984505586,0.26616798450558576,22.0,5.342901252777667,0.40157581349357796,5.3707014603698475,False,False,False,False
GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,C9H18Cl3O4P,327.00810519288,30.0,30.0,19.6204863115728,19.0,10.379513688427199,0.620486311572801,11.0,4.679782329253592,0.928339959006261,4.6544300943067745,False,False,False,False
GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,C9H18Cl3O4P,327.00810519288,60.0,60.0,39.2409726231456,39.0,20.759027376854398,0.24097262314560197,21.0,5.293439546522211,0.363686693539475,5.333144826503071,False,False,False,False
HCILJBJJZALOAL,O=C(CCc1ccccc1)NNC(=O)CCc1ccccc1,C34H52N2O4,553.3999846108799,30.0,30.0,33.20399907665279,33.0,3.203999076652792,0.20399907665279216,3.0,3.7036706462453335,0.3080196641428851,3.581332560003559,False,False,False,True
