compound_id,n_records,n_records_nce30,n_records_nce60,instruments,resolutions,releases,theoretical_mh,formula,scaffold_group,representative_smiles
AGCUFKNHQDVTAD,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2024.06,400.96067388088,C6H2F13O3P,__ACYCLIC__AGCUFKNHQDVTAD,O=P(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
AIBRSVLEQRWAEG,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,605.31553904688,C33H50O6P2,c1ccc(OP2OCC3(CO2)COP(Oc2ccccc2)OC3)cc1,CC(C)(C)c1ccc(OP2OCC3(CO2)COP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)OC3)c(C(C)(C)C)c1
AKNMPWVTPUHKCG,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,393.27880685888,C27H36O2,c1cc(Cc2cccc(C3CCCCC3)c2)cc(C2CCCCC2)c1,Cc1cc(Cc2cc(C)cc(C3CCCCC3)c2O)c(O)c(C2CCCCC2)c1
ALBYIUDWACNRRB,2,1,1,Exploris 240 Thermo Scientific,15000,2024.11,116.10699050288,C6H13NO,__ACYCLIC__ALBYIUDWACNRRB,CCCCCC(N)=O
AOBIOSPNXBMOAT,2,1,1,Q Exactive Plus,15000,2024.11,175.09648539488,C8H14O4,C(COCC1CO1)OCC1CO1,C(COCC1CO1)OCC1CO1
CGRTZESQZZGAAU,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,741.4572247148799,C43H64O10,O=C(CCc1ccccc1)OCCC1OCC2(CO1)COC(CCOC(=O)CCc1ccccc1)OC2,Cc1cc(CCC(=O)OCC(C)(C)C2OCC3(CO2)COC(C(C)(C)COC(=O)CCc2cc(C)c(O)c(C(C)(C)C)c2)OC3)cc(C(C)(C)C)c1O
DEQZTKGFXNUBJL,2,1,1,Exploris 240 Thermo Scientific,15000,2024.11,265.08276697888,C13H16N2S2,c1ccc2sc(SNC3CCCCC3)nc2c1,c1ccc2sc(SNC3CCCCC3)nc2c1
DQBHJILNHNRDTM,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,237.18490647488,C15H24O2,O=C1C=CCC=C1,CC1(O)C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C1
FLPKSBDJMLUTEX,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,685.5513998708799,C42H72N2O5,O=C(OC1CCNCC1)C(Cc1ccccc1)C(=O)OC1CCNCC1,CCCCC(Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)(C(=O)OC1CC(C)(C)N(C)C(C)(C)C1)C(=O)OC1CC(C)(C)N(C)C(C)(C)C1
GTRSAMFYSUBAGN,2,1,1,Exploris 240 Thermo Scientific,15000,2024.11,327.00810519288,C9H18Cl3O4P,__ACYCLIC__GTRSAMFYSUBAGN,CC(Cl)COP(=O)(OCC(C)Cl)OCC(C)Cl
HCILJBJJZALOAL,4,2,2,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,553.3999846108799,C34H52N2O4,O=C(CCc1ccccc1)NNC(=O)CCc1ccccc1,CC(C)(C)c1cc(CCC(=O)NNC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O
HHRACYLRBOUBKM,2,1,1,Q Exactive Plus,15000,2024.11,207.13795628288,C13H18O2,c1ccc(OCC2CO2)cc1,CC(C)(C)c1ccc(OCC2CO2)cc1
HVLLSGMXQDNUAL,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2025.10,311.08315743688,C18H15O3P,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1
JEVCLNJEBFWVPD,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2024.06,333.07259621888,C16H16N2O2S2,c1ccc(SSc2ccccc2)cc1,CNC(=O)c1ccccc1SSc1ccccc1C(=O)NC
KGVPNLBXJKTABS,2,1,1,Exploris 240 Thermo Scientific,15000,2024.11,100.03930486688,C4H5NO2,O=c1cco[nH]1,Cc1cc(=O)[nH]o1
KUAUJXBLDYVELT,2,1,1,Exploris 240 Thermo Scientific,15000,2024.11,217.14343558688,C11H20O4,C(COCC1CO1)COCC1CO1,CC(C)(COCC1CO1)COCC1CO1
LFZSOJABLBVGRJ,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2024.06,283.11895215488,C15H14N4O2,O=C1Nc2ccc(=O)[nH]c2N(C2CC2)c2ncccc21,Cc1cc(=O)[nH]c2c1NC(=O)c1cccnc1N2C1CC1
LOMZTTMTKSVHAG,2,1,1,Exploris 240 Orbitrap Thermo Scientific,17500,2024.06,577.4058578388799,C29H56N2O9,O=C1CCCC(OC2CCCCO2)CCCCNCCCCO1,CCC1OC(=O)C(C)C(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CNC(C)C(O)C1(C)O
MBABOKRGFJTBAE,2,1,1,Exploris 240 Thermo Scientific,15000,2024.11,111.01104151888,C2H6O3S,__ACYCLIC__MBABOKRGFJTBAE,COS(C)(=O)=O
