record_id,source_file,compound_id,recorded_key14,release,ion_mode,precursor_type,nce,first_failed_rule,reason
MSBNK-Eawag-EQ00002451,MSBNK-Eawag-EQ00002451.txt,UPMXNNIRAGDFEH,UPMXNNIRAGDFEH,2024.11,NEGATIVE,[M-H]-,15.0,R1,ion_mode=NEGATIVE precursor_type=[M-H]-
MSBNK-Eawag-EQ00002452,MSBNK-Eawag-EQ00002452.txt,UPMXNNIRAGDFEH,UPMXNNIRAGDFEH,2024.11,NEGATIVE,[M-H]-,30.0,R1,ion_mode=NEGATIVE precursor_type=[M-H]-
MSBNK-Eawag-EQ00002453,MSBNK-Eawag-EQ00002453.txt,UPMXNNIRAGDFEH,UPMXNNIRAGDFEH,2024.11,NEGATIVE,[M-H]-,45.0,R1,ion_mode=NEGATIVE precursor_type=[M-H]-
MSBNK-Eawag-EQ00002454,MSBNK-Eawag-EQ00002454.txt,UPMXNNIRAGDFEH,UPMXNNIRAGDFEH,2024.11,NEGATIVE,[M-H]-,60.0,R1,ion_mode=NEGATIVE precursor_type=[M-H]-
MSBNK-Eawag-EQ00002455,MSBNK-Eawag-EQ00002455.txt,UPMXNNIRAGDFEH,UPMXNNIRAGDFEH,2024.11,NEGATIVE,[M-H]-,75.0,R1,ion_mode=NEGATIVE precursor_type=[M-H]-
MSBNK-Eawag-EQ00002456,MSBNK-Eawag-EQ00002456.txt,UPMXNNIRAGDFEH,UPMXNNIRAGDFEH,2024.11,NEGATIVE,[M-H]-,90.0,R1,ion_mode=NEGATIVE precursor_type=[M-H]-
MSBNK-Eawag-EQ00002457,MSBNK-Eawag-EQ00002457.txt,UPMXNNIRAGDFEH,UPMXNNIRAGDFEH,2024.11,NEGATIVE,[M-H]-,120.0,R1,ion_mode=NEGATIVE precursor_type=[M-H]-
MSBNK-Eawag-EQ00002458,MSBNK-Eawag-EQ00002458.txt,UPMXNNIRAGDFEH,UPMXNNIRAGDFEH,2024.11,NEGATIVE,[M-H]-,150.0,R1,ion_mode=NEGATIVE precursor_type=[M-H]-
MSBNK-Eawag-EQ00002459,MSBNK-Eawag-EQ00002459.txt,UPMXNNIRAGDFEH,UPMXNNIRAGDFEH,2024.11,NEGATIVE,[M-H]-,180.0,R1,ion_mode=NEGATIVE precursor_type=[M-H]-
MSBNK-Eawag-EQ00008401,MSBNK-Eawag-EQ00008401.txt,YOYAIZYFCNQIRF,YOYAIZYFCNQIRF,2024.11,POSITIVE,[M+H]+,15.0,R4,nce=15 not an adjudication cell (30 or 60)
MSBNK-Eawag-EQ00008402,MSBNK-Eawag-EQ00008402.txt,YOYAIZYFCNQIRF,YOYAIZYFCNQIRF,2024.11,POSITIVE,[M+H]+,30.0,R8,R8i: scaffold group guard: group in the MURU exposure registry
MSBNK-Eawag-EQ00008403,MSBNK-Eawag-EQ00008403.txt,YOYAIZYFCNQIRF,YOYAIZYFCNQIRF,2024.11,POSITIVE,[M+H]+,45.0,R4,nce=45 not an adjudication cell (30 or 60)
MSBNK-Eawag-EQ00008404,MSBNK-Eawag-EQ00008404.txt,YOYAIZYFCNQIRF,YOYAIZYFCNQIRF,2024.11,POSITIVE,[M+H]+,60.0,R8,R8i: scaffold group guard: group in the MURU exposure registry
MSBNK-Eawag-EQ00008405,MSBNK-Eawag-EQ00008405.txt,YOYAIZYFCNQIRF,YOYAIZYFCNQIRF,2024.11,POSITIVE,[M+H]+,75.0,R4,nce=75 not an adjudication cell (30 or 60)
MSBNK-Eawag-EQ00008601,MSBNK-Eawag-EQ00008601.txt,UFNOUKDBUJZYDE,UFNOUKDBUJZYDE,2024.11,POSITIVE,[M+H]+,15.0,R4,nce=15 not an adjudication cell (30 or 60)
MSBNK-Eawag-EQ00008602,MSBNK-Eawag-EQ00008602.txt,UFNOUKDBUJZYDE,UFNOUKDBUJZYDE,2024.11,POSITIVE,[M+H]+,30.0,R8,R8a: compound key in MassSpecGym 1.5 by the recorded InChIKey route
MSBNK-Eawag-EQ00008603,MSBNK-Eawag-EQ00008603.txt,UFNOUKDBUJZYDE,UFNOUKDBUJZYDE,2024.11,POSITIVE,[M+H]+,45.0,R4,nce=45 not an adjudication cell (30 or 60)
MSBNK-Eawag-EQ00008604,MSBNK-Eawag-EQ00008604.txt,UFNOUKDBUJZYDE,UFNOUKDBUJZYDE,2024.11,POSITIVE,[M+H]+,60.0,R8,R8a: compound key in MassSpecGym 1.5 by the recorded InChIKey route
MSBNK-Eawag-EQ00008605,MSBNK-Eawag-EQ00008605.txt,UFNOUKDBUJZYDE,UFNOUKDBUJZYDE,2024.11,POSITIVE,[M+H]+,75.0,R4,nce=75 not an adjudication cell (30 or 60)
MSBNK-Eawag-EQ00008606,MSBNK-Eawag-EQ00008606.txt,UFNOUKDBUJZYDE,UFNOUKDBUJZYDE,2024.11,POSITIVE,[M+H]+,90.0,R4,nce=90 not an adjudication cell (30 or 60)
MSBNK-Eawag-EQ00008607,MSBNK-Eawag-EQ00008607.txt,UFNOUKDBUJZYDE,UFNOUKDBUJZYDE,2024.11,POSITIVE,[M+H]+,120.0,R4,nce=120 not an adjudication cell (30 or 60)
MSBNK-Eawag-EQ00008608,MSBNK-Eawag-EQ00008608.txt,UFNOUKDBUJZYDE,UFNOUKDBUJZYDE,2024.11,POSITIVE,[M+H]+,150.0,R4,nce=150 not an adjudication cell (30 or 60)
