record_id,compound_id,recorded_key14,representative_smiles,formula,theoretical_mh,deposited_precursor_mz,nce,instrument,instrument_type,resolution,release,scaffold_group,source_file,blob_sha,order_index
MSBNK-Eawag-EQ01147902,AGCUFKNHQDVTAD,AGCUFKNHQDVTAD,O=P(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6H2F13O3P,400.96067388088,400.9607,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2024.06,__ACYCLIC__AGCUFKNHQDVTAD,MSBNK-Eawag-EQ01147902.txt,29f93c3226ae1128694c1552091d7c8cf5ca55bf,0
MSBNK-Eawag-EQ01147904,AGCUFKNHQDVTAD,AGCUFKNHQDVTAD,O=P(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6H2F13O3P,400.96067388088,400.9607,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2024.06,__ACYCLIC__AGCUFKNHQDVTAD,MSBNK-Eawag-EQ01147904.txt,7a9066d069df56dc6a39c5c031f3b132456c5dd9,1
MSBNK-Eawag-EQ1096302,AIBRSVLEQRWAEG,AIBRSVLEQRWAEG,CC(C)(C)c1ccc(OP2OCC3(CO2)COP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)OC3)c(C(C)(C)C)c1,C33H50O6P2,605.31553904688,605.3155,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,c1ccc(OP2OCC3(CO2)COP(Oc2ccccc2)OC3)cc1,MSBNK-Eawag-EQ1096302.txt,4245fc217f40e2c49eaaa15af3b82118ec11ca4d,2
MSBNK-Eawag-EQ1096304,AIBRSVLEQRWAEG,AIBRSVLEQRWAEG,CC(C)(C)c1ccc(OP2OCC3(CO2)COP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)OC3)c(C(C)(C)C)c1,C33H50O6P2,605.31553904688,605.3155,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,c1ccc(OP2OCC3(CO2)COP(Oc2ccccc2)OC3)cc1,MSBNK-Eawag-EQ1096304.txt,c423cafc0d531316920d80c065386009662f1620,3
MSBNK-Eawag-EQ01194502,AKNMPWVTPUHKCG,AKNMPWVTPUHKCG,Cc1cc(Cc2cc(C)cc(C3CCCCC3)c2O)c(O)c(C2CCCCC2)c1,C27H36O2,393.27880685888,393.2788,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,c1cc(Cc2cccc(C3CCCCC3)c2)cc(C2CCCCC2)c1,MSBNK-Eawag-EQ01194502.txt,146171076f6cad5a529fa0dce69c619cbf49e7d4,4
MSBNK-Eawag-EQ01194504,AKNMPWVTPUHKCG,AKNMPWVTPUHKCG,Cc1cc(Cc2cc(C)cc(C3CCCCC3)c2O)c(O)c(C2CCCCC2)c1,C27H36O2,393.27880685888,393.2788,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,c1cc(Cc2cccc(C3CCCCC3)c2)cc(C2CCCCC2)c1,MSBNK-Eawag-EQ01194504.txt,f2681dfa3fda173bedb21f75c50dbd5c5d9cde7f,5
MSBNK-Eawag-EQ01061902,ALBYIUDWACNRRB,ALBYIUDWACNRRB,CCCCCC(N)=O,C6H13NO,116.10699050288,116.107,30.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,__ACYCLIC__ALBYIUDWACNRRB,MSBNK-Eawag-EQ01061902.txt,1bdaf01fefbe3d09dcaa6218d2fe0ded7cfd82f6,6
MSBNK-Eawag-EQ01061904,ALBYIUDWACNRRB,ALBYIUDWACNRRB,CCCCCC(N)=O,C6H13NO,116.10699050288,116.107,60.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,__ACYCLIC__ALBYIUDWACNRRB,MSBNK-Eawag-EQ01061904.txt,ae0e14e9271160a1963f4cd29d69fad360f38055,7
MSBNK-Eawag-EQ01109402,AOBIOSPNXBMOAT,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,C8H14O4,175.09648539488,175.0965,30.0,Q Exactive Plus,LC-ESI-QFT,15000,2024.11,C(COCC1CO1)OCC1CO1,MSBNK-Eawag-EQ01109402.txt,d9ef62119d0d4cc29fe56c5daca936ba10d91302,8
MSBNK-Eawag-EQ01109404,AOBIOSPNXBMOAT,AOBIOSPNXBMOAT,C(COCC1CO1)OCC1CO1,C8H14O4,175.09648539488,175.0965,60.0,Q Exactive Plus,LC-ESI-QFT,15000,2024.11,C(COCC1CO1)OCC1CO1,MSBNK-Eawag-EQ01109404.txt,533f002c4cc221df7cf627e941e924e6401763b1,9
MSBNK-Eawag-EQ1085802,CGRTZESQZZGAAU,CGRTZESQZZGAAU,Cc1cc(CCC(=O)OCC(C)(C)C2OCC3(CO2)COC(C(C)(C)COC(=O)CCc2cc(C)c(O)c(C(C)(C)C)c2)OC3)cc(C(C)(C)C)c1O,C43H64O10,741.4572247148799,741.4572,30.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(CCc1ccccc1)OCCC1OCC2(CO1)COC(CCOC(=O)CCc1ccccc1)OC2,MSBNK-Eawag-EQ1085802.txt,2fbdad5a90f96e5a89b26f51c1dcdb28a3b347f3,10
MSBNK-Eawag-EQ1085804,CGRTZESQZZGAAU,CGRTZESQZZGAAU,Cc1cc(CCC(=O)OCC(C)(C)C2OCC3(CO2)COC(C(C)(C)COC(=O)CCc2cc(C)c(O)c(C(C)(C)C)c2)OC3)cc(C(C)(C)C)c1O,C43H64O10,741.4572247148799,741.4572,60.0,Exploris 240 Orbitrap Thermo Scientific,LC-ESI-QFT,17500,2025.10,O=C(CCc1ccccc1)OCCC1OCC2(CO1)COC(CCOC(=O)CCc1ccccc1)OC2,MSBNK-Eawag-EQ1085804.txt,35e95abe536ef70357793262a8a8dc60d7449c91,11
MSBNK-Eawag-EQ00388902,DEQZTKGFXNUBJL,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,C13H16N2S2,265.08276697888,265.0828,30.0,Exploris 240 Thermo Scientific,LC-ESI-QFT,15000,2024.11,c1ccc2sc(SNC3CCCCC3)nc2c1,MSBNK-Eawag-EQ00388902.txt,29783978aeaaf4969923e1fc9a4c35252f4bfcd5,12
