n,accession,source_url,repo,release,requested_blob_sha1,filename,bytes,sha256,git_blob_sha1_recomputed,blob_sha_verified,status,error
1,MSBNK-Eawag-EQ00326602,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/cd06e243c76d11e911d058d4434370b8e18840c8,MassBank/MassBank-data,2024.11,cd06e243c76d11e911d058d4434370b8e18840c8,MSBNK-Eawag-EQ00326602.txt,2138,47dd65ad8bee3752a75d7cd5f568f514994978bc4ca26379d804b8567e162dfb,cd06e243c76d11e911d058d4434370b8e18840c8,True,ok,
2,MSBNK-Eawag-EQ00326604,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/5688e9a5a700ff9271e710e8eb6f55db3ff0f696,MassBank/MassBank-data,2024.11,5688e9a5a700ff9271e710e8eb6f55db3ff0f696,MSBNK-Eawag-EQ00326604.txt,2011,ef19d00a27e691e0cddfdc02b20788c0e10de9ec2bdca76528a85653715b1483,5688e9a5a700ff9271e710e8eb6f55db3ff0f696,True,ok,
3,MSBNK-Eawag-EQ00343302,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/249d0592e28aa370c13213cd25bd28be059133f5,MassBank/MassBank-data,2024.11,249d0592e28aa370c13213cd25bd28be059133f5,MSBNK-Eawag-EQ00343302.txt,2187,bedb9e41572d7a8c1370a9874031ec3cb6ef70699eaec8bed15d3decb68b563d,249d0592e28aa370c13213cd25bd28be059133f5,True,ok,
4,MSBNK-Eawag-EQ00343304,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/a7f91a7d0a082cbf0de1ba9d360fe319d1801c0a,MassBank/MassBank-data,2024.11,a7f91a7d0a082cbf0de1ba9d360fe319d1801c0a,MSBNK-Eawag-EQ00343304.txt,2462,b48a028c4d376cd2d28d699cce28e9cee8c6f61aa2dd1c656020814094ab1174,a7f91a7d0a082cbf0de1ba9d360fe319d1801c0a,True,ok,
5,MSBNK-Eawag-EQ00348602,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/98639ce561ba8f54e1f0b17e8872808ba2241540,MassBank/MassBank-data,2024.11,98639ce561ba8f54e1f0b17e8872808ba2241540,MSBNK-Eawag-EQ00348602.txt,2018,fc81b561e04bb6094256ef068c12e7c7ced52abf621a2626a92ca609bcb095db,98639ce561ba8f54e1f0b17e8872808ba2241540,True,ok,
6,MSBNK-Eawag-EQ00348604,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/479593ecd59bb64dfbfb7bcad38c8a4b4bb53213,MassBank/MassBank-data,2024.11,479593ecd59bb64dfbfb7bcad38c8a4b4bb53213,MSBNK-Eawag-EQ00348604.txt,2457,c82f025b078d0890bce6984538339b991a308a225ce225bda18d23f2bd6ad518,479593ecd59bb64dfbfb7bcad38c8a4b4bb53213,True,ok,
7,MSBNK-Eawag-EQ00388902,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/29783978aeaaf4969923e1fc9a4c35252f4bfcd5,MassBank/MassBank-data,2024.11,29783978aeaaf4969923e1fc9a4c35252f4bfcd5,MSBNK-Eawag-EQ00388902.txt,2291,ae1cbd59dc48f4c8726ecb385ded5aa4e3dbca9ae15af081232ba81b82239bc0,29783978aeaaf4969923e1fc9a4c35252f4bfcd5,True,ok,
8,MSBNK-Eawag-EQ00388904,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/e6c2c9e5387441402632c6544df44a3e6a0b2b68,MassBank/MassBank-data,2024.11,e6c2c9e5387441402632c6544df44a3e6a0b2b68,MSBNK-Eawag-EQ00388904.txt,2277,69d297b9b54705b0d4c6ea556cd8766b94968a9bcef93f49f9ff659819328a10,e6c2c9e5387441402632c6544df44a3e6a0b2b68,True,ok,
9,MSBNK-Eawag-EQ01061902,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/1bdaf01fefbe3d09dcaa6218d2fe0ded7cfd82f6,MassBank/MassBank-data,2024.11,1bdaf01fefbe3d09dcaa6218d2fe0ded7cfd82f6,MSBNK-Eawag-EQ01061902.txt,2080,92a7fe8fa449f900f8b578d186cc564b1ea25502289b2214b66d1a9578db9316,1bdaf01fefbe3d09dcaa6218d2fe0ded7cfd82f6,True,ok,
10,MSBNK-Eawag-EQ01061904,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/ae0e14e9271160a1963f4cd29d69fad360f38055,MassBank/MassBank-data,2024.11,ae0e14e9271160a1963f4cd29d69fad360f38055,MSBNK-Eawag-EQ01061904.txt,2517,aa6578ad46bc6e14be035ab01c8cbb48abb51b3bfd6678734d6cd5f358a12592,ae0e14e9271160a1963f4cd29d69fad360f38055,True,ok,
11,MSBNK-Eawag-EQ01074902,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/d0ddfbacd741b4fe07b86be0f85d0c6e2c682407,MassBank/MassBank-data,2024.11,d0ddfbacd741b4fe07b86be0f85d0c6e2c682407,MSBNK-Eawag-EQ01074902.txt,2390,0f7678634a3f9d2c41eae79960cf4da1d8ed34a11828a00f61c40cd7e9a07ffb,d0ddfbacd741b4fe07b86be0f85d0c6e2c682407,True,ok,
12,MSBNK-Eawag-EQ01074904,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/00e7b07e63bbb9d5c1eb2177708f8229abb1d92f,MassBank/MassBank-data,2024.11,00e7b07e63bbb9d5c1eb2177708f8229abb1d92f,MSBNK-Eawag-EQ01074904.txt,2384,98defd388d7085f8e39816368362d1ffdc241c12fc6a5fed94fd6354f396e056,00e7b07e63bbb9d5c1eb2177708f8229abb1d92f,True,ok,
13,MSBNK-Eawag-EQ01074907,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/706f5fe8c56a44e640f941336f6446a8ada0bacb,MassBank/MassBank-data,2024.11,706f5fe8c56a44e640f941336f6446a8ada0bacb,MSBNK-Eawag-EQ01074907.txt,2295,884cbd1801590c4669ac86bb4d78ba0e13f255be189056f128b38b57cc8913cc,706f5fe8c56a44e640f941336f6446a8ada0bacb,True,ok,
14,MSBNK-Eawag-EQ01107102,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/74b00451de63c1219d7fdc1d14f3028bf04abd14,MassBank/MassBank-data,2024.11,74b00451de63c1219d7fdc1d14f3028bf04abd14,MSBNK-Eawag-EQ01107102.txt,2188,ac7b99c3a0b6de66b8913cb35926f6706287da041872d4829e4a0a3971bb4bee,74b00451de63c1219d7fdc1d14f3028bf04abd14,True,ok,
15,MSBNK-Eawag-EQ01107104,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/d77331953bdd018fc63cf64fa1eac780435458ea,MassBank/MassBank-data,2024.11,d77331953bdd018fc63cf64fa1eac780435458ea,MSBNK-Eawag-EQ01107104.txt,2132,e778f1cf6b7c91394ef6d4ce291c79f2b936c6217a537d4d3a0f4acdc49cbd50,d77331953bdd018fc63cf64fa1eac780435458ea,True,ok,
16,MSBNK-Eawag-EQ01109402,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/d9ef62119d0d4cc29fe56c5daca936ba10d91302,MassBank/MassBank-data,2024.11,d9ef62119d0d4cc29fe56c5daca936ba10d91302,MSBNK-Eawag-EQ01109402.txt,2894,7fe0731d9982ccb52553de100647245fe6166a59dc0577a732bed3bde1ec8f62,d9ef62119d0d4cc29fe56c5daca936ba10d91302,True,ok,
17,MSBNK-Eawag-EQ01109404,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/533f002c4cc221df7cf627e941e924e6401763b1,MassBank/MassBank-data,2024.11,533f002c4cc221df7cf627e941e924e6401763b1,MSBNK-Eawag-EQ01109404.txt,2554,2f214f71d6385278c4f3b82e5ef269c44ef4cef3c1056b7b8d17c2d9a87365db,533f002c4cc221df7cf627e941e924e6401763b1,True,ok,
18,MSBNK-Eawag-EQ01109502,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/d4db055ccc83d024f3a44add926ac790e784740d,MassBank/MassBank-data,2024.11,d4db055ccc83d024f3a44add926ac790e784740d,MSBNK-Eawag-EQ01109502.txt,2404,bc7e5833368fbd78cdee901cb56688c18b3dfb23e422614c6c8b6e4a80ec8a1f,d4db055ccc83d024f3a44add926ac790e784740d,True,ok,
19,MSBNK-Eawag-EQ01109504,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/1134d1259c50ffbf474b917743aae46e8ab86cb0,MassBank/MassBank-data,2024.11,1134d1259c50ffbf474b917743aae46e8ab86cb0,MSBNK-Eawag-EQ01109504.txt,2956,e1fc2cde92d3b7f6ca4a3824a20e123985aac39a1a7e9a69416879d4980e32c1,1134d1259c50ffbf474b917743aae46e8ab86cb0,True,ok,
