record_id,compound_id,scaffold_group,nce,model,mapping,cosine,js,drop_reason
MSBNK-Eawag-EQ00326602__ICEBERG_2_1__K1,GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,30,ICEBERG_2_1,K1,0.7440853249313902,0.7211294231506868,
MSBNK-Eawag-EQ00326602__ICEBERG_2_1__K2,GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,30,ICEBERG_2_1,K2,0.9964323186836455,0.9597893830023828,
MSBNK-Eawag-EQ00326602__ICEBERG_2_1__K3,GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,30,ICEBERG_2_1,K3,0.986324827305416,0.9426294387586591,
MSBNK-Eawag-EQ00326602__GLACIER__K1,GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,30,GLACIER,K1,0.6044900851107049,0.6829921308837711,
MSBNK-Eawag-EQ00326602__GLACIER__K2,GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,30,GLACIER,K2,0.5791774699136928,0.6502079312177552,
MSBNK-Eawag-EQ00326602__GLACIER__K3,GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,30,GLACIER,K3,0.717757855063435,0.7227143108252014,
MSBNK-Eawag-EQ00326604__ICEBERG_2_1__K1,GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,60,ICEBERG_2_1,K1,0.9933581720880369,0.914893016552866,
MSBNK-Eawag-EQ00326604__ICEBERG_2_1__K2,GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,60,ICEBERG_2_1,K2,0.9881830437800079,0.9004663677292447,
MSBNK-Eawag-EQ00326604__ICEBERG_2_1__K3,GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,60,ICEBERG_2_1,K3,0.9880162844418324,0.8976388233670428,
MSBNK-Eawag-EQ00326604__GLACIER__K1,GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,60,GLACIER,K1,0.7678163578859567,0.7234416454543312,
MSBNK-Eawag-EQ00326604__GLACIER__K2,GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,60,GLACIER,K2,0.7972091653834574,0.7408341032944654,
MSBNK-Eawag-EQ00326604__GLACIER__K3,GTRSAMFYSUBAGN,__ACYCLIC__GTRSAMFYSUBAGN,60,GLACIER,K3,0.8312933289394199,0.7626073859142763,
MSBNK-Eawag-EQ00343302__ICEBERG_2_1__K1,SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,30,ICEBERG_2_1,K1,0.9935300125281289,0.8880260060084275,
MSBNK-Eawag-EQ00343302__ICEBERG_2_1__K2,SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,30,ICEBERG_2_1,K2,0.9766792367031875,0.8199218514723414,
MSBNK-Eawag-EQ00343302__ICEBERG_2_1__K3,SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,30,ICEBERG_2_1,K3,0.990736267463459,0.8701192494526018,
MSBNK-Eawag-EQ00343302__GLACIER__K1,SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,30,GLACIER,K1,0.998232406641241,0.9472549150804465,
MSBNK-Eawag-EQ00343302__GLACIER__K2,SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,30,GLACIER,K2,0.8505317108097066,0.6419892036524639,
MSBNK-Eawag-EQ00343302__GLACIER__K3,SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,30,GLACIER,K3,0.7527445372506212,0.5770587873768578,
MSBNK-Eawag-EQ00343304__ICEBERG_2_1__K1,SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,60,ICEBERG_2_1,K1,0.8333590530665911,0.8078686505876478,
MSBNK-Eawag-EQ00343304__ICEBERG_2_1__K2,SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,60,ICEBERG_2_1,K2,0.8957716700629833,0.8355610657854958,
MSBNK-Eawag-EQ00343304__ICEBERG_2_1__K3,SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,60,ICEBERG_2_1,K3,0.8747704821210323,0.8375030121381392,
MSBNK-Eawag-EQ00343304__GLACIER__K1,SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,60,GLACIER,K1,0.6878026621474308,0.6536310810363255,
MSBNK-Eawag-EQ00343304__GLACIER__K2,SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,60,GLACIER,K2,0.4402602251737041,0.35372301424195485,
MSBNK-Eawag-EQ00343304__GLACIER__K3,SWZDQOUHBYYPJD,__ACYCLIC__SWZDQOUHBYYPJD,60,GLACIER,K3,0.30995807073884324,0.30644271481074725,
MSBNK-Eawag-EQ00348602__ICEBERG_2_1__K1,KGVPNLBXJKTABS,O=c1cco[nH]1,30,ICEBERG_2_1,K1,0.9982765366827945,0.938064516856158,
MSBNK-Eawag-EQ00348602__ICEBERG_2_1__K2,KGVPNLBXJKTABS,O=c1cco[nH]1,30,ICEBERG_2_1,K2,0.9999188416363548,0.9905395841489156,
MSBNK-Eawag-EQ00348602__ICEBERG_2_1__K3,KGVPNLBXJKTABS,O=c1cco[nH]1,30,ICEBERG_2_1,K3,0.9999188460792904,0.9905416813659279,
MSBNK-Eawag-EQ00348602__GLACIER__K1,KGVPNLBXJKTABS,O=c1cco[nH]1,30,GLACIER,K1,0.9983778266310966,0.9298240130204249,
MSBNK-Eawag-EQ00348602__GLACIER__K2,KGVPNLBXJKTABS,O=c1cco[nH]1,30,GLACIER,K2,0.9997109562837697,0.9787658689423826,
MSBNK-Eawag-EQ00348602__GLACIER__K3,KGVPNLBXJKTABS,O=c1cco[nH]1,30,GLACIER,K3,0.9997112345582722,0.9787755779934255,
MSBNK-Eawag-EQ00348604__ICEBERG_2_1__K1,KGVPNLBXJKTABS,O=c1cco[nH]1,60,ICEBERG_2_1,K1,0.9853045284103917,0.8360360280691086,
MSBNK-Eawag-EQ00348604__ICEBERG_2_1__K2,KGVPNLBXJKTABS,O=c1cco[nH]1,60,ICEBERG_2_1,K2,0.9860094970415245,0.8637635289779386,
MSBNK-Eawag-EQ00348604__ICEBERG_2_1__K3,KGVPNLBXJKTABS,O=c1cco[nH]1,60,ICEBERG_2_1,K3,0.9860096343537957,0.8637835823486604,
MSBNK-Eawag-EQ00348604__GLACIER__K1,KGVPNLBXJKTABS,O=c1cco[nH]1,60,GLACIER,K1,0.4599848875670078,0.6262761439410391,
MSBNK-Eawag-EQ00348604__GLACIER__K2,KGVPNLBXJKTABS,O=c1cco[nH]1,60,GLACIER,K2,0.9862221639572225,0.8801928543455436,
MSBNK-Eawag-EQ00348604__GLACIER__K3,KGVPNLBXJKTABS,O=c1cco[nH]1,60,GLACIER,K3,0.9862217644431238,0.8802018764954083,
MSBNK-Eawag-EQ00388902__ICEBERG_2_1__K1,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,30,ICEBERG_2_1,K1,0.5827008518817229,0.7691342206335907,
MSBNK-Eawag-EQ00388902__ICEBERG_2_1__K2,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,30,ICEBERG_2_1,K2,0.8951730297379106,0.9263079483322146,
MSBNK-Eawag-EQ00388902__ICEBERG_2_1__K3,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,30,ICEBERG_2_1,K3,0.965577531922619,0.9573075317466254,
MSBNK-Eawag-EQ00388902__GLACIER__K1,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,30,GLACIER,K1,0.6207646698003155,0.6890266008724366,
MSBNK-Eawag-EQ00388902__GLACIER__K2,DEQZTKGFXNUBJL,c1ccc2sc(SNC3CCCCC3)nc2c1,30,GLACIER,K2,0.7181534847767723,0.7881586028316924,
