parent_key,stratum,mh,compound_name,parent_smiles,formula,primary_source,primary_catalogue_id,primary_cid,vendors,catalogue_ids,n_listings,purity_stated,stock_status,scaffold_group
AADHOCZPXZFODY,H,782.72322,ALC-0315 analogue-2,CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCOCCO,C48H95NO6,MedChemexpress MCE,HY-153380,168355632.0,MedChemexpress MCE,MedChemexpress MCE:HY-153380,1,,,__ACYCLIC__AADHOCZPXZFODY
AADIIQJBIMAADJ,H,887.46349,"(1R,4S,6R,7S,8R,9S,13S,16S,18R)-16-[(2R,3R,4S,5R,6R)-5-hydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-10-one",CC1CC[C@@]2(OC1)O[C@H]1CC3[C@@H]4CC[C@@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)C4CC(=O)[C@]3(C)[C@H]1[C@@H]2C,C44H70O18,TargetMol,T125156,155978596.0,TargetMol,TargetMol:T125156,1,,,O=C1CC2C3CCC(OC4OCCC(OC5CCCCO5)C4OC4CCCCO4)CC3CCC2C2CC3OC4(CCCCO4)CC3C12
AAIPPJPUZKZIHC,H,840.26217,PROTAC BRAF-V600E degrader-2,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(CNC(=O)CCCCNc5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)cc4)cc23)c1F,C42H39F2N7O8S,MedChemexpress MCE,HY-137488,155551346.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-137488;TargetMol:T8744,2,,,O=C(CCCCNc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O)NCc1ccc(-c2cnc3[nH]cc(C(=O)c4ccccc4)c3c2)cc1
AAIXMIVJLTUMHO,H,898.40701,Ac-GpYLPQTV-NH2,CC(=O)NCC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O,C38H60N9O14P,MedChemexpress MCE,HY-P10201,170453340.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-P10201;TargetMol:TP2532,2,,,O=C(CCc1ccccc1)NCC(=O)N1CCCC1
AAJZUTNLESPXOT,H,809.47406,m-PEG17-acid,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)O,C36H72O19,MedChemexpress MCE,HY-140502,77078249.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-140502;TargetMol:T18157,2,,,__ACYCLIC__AAJZUTNLESPXOT
AAKJOZZAGIRTOJ,H,803.18766,"(2S,3S,4S,5R,6S)-3,4,5-Trihydroxy-6-((5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-3,6-bis(((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)oxy)-4H-chromen-7-yl)oxy)tetrahydro-2H-pyran-2-carboxylic acid",O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccc(O)cc4)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(=O)c3c(O)c2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C33H38O23,TargetMol,TN2432,102240411.0,TargetMol,TargetMol:TN2432,1,,,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2cc(OC3CCCCO3)c(OC3CCCCO3)cc12
AALHEPDXYGYRRZ,H,883.35953,3 inverted exclamation mark-O-Me-C(Bz)-2 inverted exclamation mark-phosphoramidite,COc1ccc(C(OC[C@H]2O[C@@H](N3C=CC(NC(=O)c4ccccc4)NC3=O)[C@@H](OP(OCCC#N)P(C(C)C)C(C)C)C2OC)(c2ccccc2)c2ccc(OC)cc2)cc1,C47H56N4O9P2,MedChemexpress MCE,HY-154481,168265859.0,MedChemexpress MCE,MedChemexpress MCE:HY-154481,1,,,O=C(NC1C=CN(C2CCC(COC(c3ccccc3)(c3ccccc3)c3ccccc3)O2)C(=O)N1)c1ccccc1
AALSAFLHXNIBQV,H,739.31716,"[(1R,3R,4R,9E,12S,13S,14R,15S)-3,4,12,13,15-pentaacetyloxy-6-hydroxy-4,8,11,11-tetramethyl-7,18-dioxo-19-oxatricyclo[13.4.0.02,6]nonadec-9-en-14-yl] 2-methylpropanoate",CC(=O)O[C@H]1[C@@H](OC(C)=O)C(C)(C)/C=C/C(C)C(=O)C2(O)C[C@@](C)(OC(C)=O)[C@H](OC(C)=O)C2[C@H]2OC(=O)CC[C@@]2(OC(C)=O)[C@@H]1OC(=O)C(C)C,C36H50O16,TargetMol,TN11942,24011660.0,TargetMol,TargetMol:TN11942,1,,,O=C1CCC2CCCCC=CCC(=O)C3CCCC3C2O1
AAPRWZFIOAUINZ,H,852.46544,"(2S)-2-[[(2S)-2-[(4S)-4-[[(2S,3S)-2-[[(2S)-2-[[(2R)-2-(aminomethyl)-3-methylbutanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]amino]-3-methylpentanoyl]amino]-3-oxo-1,4,5,10-tetrahydroazepino[3,4-b]indol-2-yl]pentanoyl]amino]-3-phenylpropanoic acid",CCC[C@@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)N1Cc2[nH]c3ccccc3c2C[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CN)C(C)C)[C@@H](C)CC)C1=O,C47H61N7O8,TargetMol,T32240,168012746.0,TargetMol,TargetMol:T32240,1,,,O=C(CCc1ccccc1)NCC(=O)NC1Cc2c([nH]c3ccccc23)CN(CC(=O)NCCc2ccccc2)C1=O
AAXHDXXSVPGFQV,H,811.44745,"(2S,3S,4S,5R,6R)-6-[(2R,3R,4S,5S,6S)-2-[[(3S,6aR,6bS,8aR,9R,14bS)-9-hydroxy-14b-(hydroxymethyl)-4,4,6a,6b,8a,11,11-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-6-carboxy-4,5-dihydroxyoxan-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",CC1(C)CC2C3=CCC4[C@@]5(CO)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)C5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)[C@H](O)C1,C42H66O15,TargetMol,T129173,155978606.0,TargetMol,TargetMol:T129173,1,,,C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C2C1
AAXMCYUUKFLUMJ,H,885.79057,"[2-[(9Z,12Z)-Octadeca-9,12-dienoyl]oxy-3-[(Z)-octadec-9-enoyl]oxypropyl] octadecanoate",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC,C57H104O6,MedChemexpress MCE,HY-170634,14299221.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-170634;TargetMol:T203299,2,,,__ACYCLIC__AAXMCYUUKFLUMJ
AAXYAFFKOSNMEB,H,789.07904,"Guanosine 5'-(tetrahydrogen triphosphate), P''->5'-ester with guanosine",Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C20H27N10O18P3,MedChemexpress MCE,HY-139099,135450902.0,MedChemexpress MCE,MedChemexpress MCE:HY-139099,1,,,O=c1[nH]cnc2c1ncn2C1CCC(CO[PH](=O)O[PH](=O)O[PH](=O)OCC2CCC(n3cnc4c(=O)[nH]cnc43)O2)O1
ABCVHPIKBGRCJA,H,710.6657,Lipidv-004,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,C44H87NO5,MedChemexpress MCE,HY-138171,126697428.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-138171;TargetMol:T39502,2,,,__ACYCLIC__ABCVHPIKBGRCJA
ABFJWRKPWCFTQP,H,887.80622,"[3-[(9Z,12Z)-Octadeca-9,12-dienoyl]oxy-2-octadecanoyloxypropyl] octadecanoate",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,C57H106O6,MedChemexpress MCE,HY-168390,9544185.0,MedChemexpress MCE;TargetMol,MedChemexpress MCE:HY-168390;TargetMol:T203195,2,,,__ACYCLIC__ABFJWRKPWCFTQP
ABFVOQUVIKYANW,H,896.16983,"methyl 5-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-5-oxopentanoate",COC(=O)CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C27H44N7O19P3S,TargetMol,TYD-04296,101185368.0,TargetMol,TargetMol:TYD-04296,1,,,c1ncc2ncn(C3CCCO3)c2n1
