bin_start,n_keys,frac_in_msnlib_v1,MCEBIO,MCEBIO;MCESCAF,MCEBIO;MCESCAF;NIHNP,MCEBIO;NIHNP,MCEBIO;OTAVAPEP,MCESCAF,MCESCAF;NIHNP,MCESCAF;OTAVAPEP,NIHNP,NOT_IN_MSNLIB_V1,OTAVAPEP
0,119,0.2773109243697479,4,0,0,5,0,0,0,0,24,86,0
2000,40,0.32499999999999996,10,0,0,1,0,0,0,0,2,27,0
4000,43,0.37209302325581395,13,0,0,2,0,0,0,0,1,27,0
6000,50,0.30000000000000004,15,0,0,0,0,0,0,0,0,35,0
8000,41,0.5365853658536586,22,0,0,0,0,0,0,0,0,19,0
10000,44,0.7272727272727273,30,0,0,1,0,0,0,0,1,12,0
12000,37,0.5675675675675675,21,0,0,0,0,0,0,0,0,16,0
14000,36,0.4444444444444444,16,0,0,0,0,0,0,0,0,20,0
16000,45,0.37777777777777777,16,0,0,1,0,0,0,0,0,28,0
18000,46,0.4347826086956522,18,1,0,1,0,0,0,0,0,26,0
20000,41,0.5853658536585367,23,0,0,1,0,0,0,0,0,17,0
22000,37,0.45945945945945943,17,0,0,0,0,0,0,0,0,20,0
24000,32,0.5625,18,0,0,0,0,0,0,0,0,14,0
26000,35,0.4571428571428572,15,0,0,0,0,0,0,0,1,19,0
28000,38,0.5789473684210527,22,0,0,0,0,0,0,0,0,16,0
30000,27,0.37037037037037035,8,0,0,2,0,0,0,0,0,17,0
32000,50,0.38,19,0,0,0,0,0,0,0,0,31,0
34000,47,0.46808510638297873,22,0,0,0,0,0,0,0,0,25,0
36000,45,0.5333333333333333,22,1,0,1,0,0,0,0,0,21,0
38000,47,0.44680851063829785,20,1,0,0,0,0,0,0,0,26,0
40000,41,0.4878048780487805,20,0,0,0,0,0,0,0,0,21,0
42000,55,0.36363636363636365,18,2,0,0,0,0,0,0,0,35,0
44000,66,0.36363636363636365,24,0,0,0,0,0,0,0,0,42,0
46000,73,0.34246575342465757,24,0,0,1,0,0,0,0,0,48,0
48000,48,0.39583333333333337,18,0,0,1,0,0,0,0,0,29,0
50000,43,0.32558139534883723,13,0,0,0,0,0,0,0,0,29,1
52000,75,0.2666666666666667,18,0,0,1,0,1,0,0,0,55,0
54000,67,0.3880597014925373,26,0,0,0,0,0,0,0,0,41,0
56000,64,0.328125,18,1,0,2,0,0,0,0,0,43,0
58000,80,0.25,19,0,0,0,0,0,0,0,1,60,0
60000,62,0.3548387096774194,21,0,0,1,0,0,0,0,0,40,0
62000,71,0.45070422535211263,31,0,0,1,0,0,0,0,0,39,0
64000,53,0.5094339622641509,23,0,0,4,0,0,0,0,0,26,0
66000,72,0.3472222222222222,23,0,0,2,0,0,0,0,0,47,0
68000,102,0.17647058823529416,17,0,0,1,0,0,0,0,0,84,0
70000,91,0.18681318681318682,16,1,0,0,0,0,0,0,0,74,0
72000,92,0.30434782608695654,28,0,0,0,0,0,0,0,0,64,0
74000,93,0.22580645161290325,19,0,0,2,0,0,0,0,0,72,0
76000,97,0.2680412371134021,25,1,0,0,0,0,0,0,0,71,0
78000,203,0.09852216748768472,17,0,0,2,0,0,0,0,0,183,1
80000,204,0.10784313725490191,21,1,0,0,0,0,0,0,0,182,0
82000,127,0.11811023622047245,15,0,0,0,0,0,0,0,0,112,0
84000,19,0.3157894736842105,4,0,0,1,0,0,0,0,1,13,0
86000,128,0.296875,7,1,0,6,0,0,0,0,24,90,0
88000,103,0.3106796116504854,30,0,0,1,0,0,0,0,1,71,0
90000,48,0.4375,19,0,0,0,0,0,0,0,2,27,0
92000,58,0.39655172413793105,17,0,0,5,0,0,0,0,1,35,0
94000,41,0.5609756097560976,15,0,0,6,0,0,0,0,2,18,0
96000,65,0.3846153846153846,22,0,0,2,0,0,0,0,1,40,0
98000,20,0.30000000000000004,6,0,0,0,0,0,0,0,0,14,0
100000,28,0.5357142857142857,10,0,0,5,0,0,0,0,0,13,0
102000,25,0.43999999999999995,6,0,0,2,0,0,0,0,3,14,0
104000,42,0.5238095238095238,7,0,0,10,0,0,0,0,5,20,0
106000,32,0.5,9,1,0,4,0,0,0,0,2,16,0
108000,29,0.4137931034482759,4,0,0,8,0,0,0,0,0,17,0
110000,52,0.5961538461538461,19,0,0,4,0,0,0,0,8,21,0
112000,39,0.46153846153846156,13,0,0,2,0,0,0,0,3,21,0
114000,32,0.5625,12,0,0,5,0,0,0,0,1,14,0
116000,44,0.34090909090909094,11,0,0,3,0,0,0,0,1,29,0
118000,40,0.375,6,0,0,6,0,0,0,0,3,25,0
120000,40,0.25,6,0,0,3,0,0,0,0,1,30,0
122000,38,0.368421052631579,10,0,0,3,0,0,0,0,1,24,0
124000,27,0.40740740740740744,6,0,0,0,0,0,0,0,5,16,0
126000,41,0.2682926829268293,10,0,0,1,0,0,0,0,0,30,0
128000,41,0.36585365853658536,12,0,0,1,0,0,0,0,2,26,0
130000,21,0.23809523809523814,5,0,0,0,0,0,0,0,0,16,0
132000,34,0.2941176470588235,5,0,0,2,0,0,0,0,3,24,0
134000,51,0.23529411764705888,7,0,0,2,0,0,0,0,3,39,0
136000,15,0.2666666666666667,1,0,0,0,0,0,0,0,3,11,0
138000,13,0.23076923076923073,1,0,0,0,0,0,0,0,2,10,0
140000,64,0.3125,19,0,0,1,0,0,0,0,0,44,0
142000,87,0.3908045977011494,27,0,1,2,0,0,0,0,4,53,0
144000,61,0.2786885245901639,11,0,0,1,0,0,0,0,4,44,1
146000,66,0.303030303030303,16,0,0,2,0,0,0,0,2,46,0
148000,82,0.6097560975609756,12,0,0,9,0,0,0,0,29,32,0
150000,90,0.6222222222222222,7,0,0,6,0,0,0,0,43,34,0
152000,127,0.6141732283464567,23,0,0,19,0,1,0,0,35,49,0
154000,180,0.7666666666666666,5,0,0,2,0,0,0,0,131,42,0
156000,108,0.787037037037037,5,0,0,2,0,0,0,0,78,23,0
158000,182,0.6758241758241759,1,0,0,5,0,0,0,0,117,59,0
160000,145,0.7586206896551724,9,0,0,11,0,0,0,0,90,35,0
162000,201,0.9104477611940298,8,0,0,4,0,0,0,0,171,18,0
164000,212,0.8867924528301887,8,0,0,18,0,0,0,0,162,24,0
166000,23,0.4782608695652174,5,0,0,1,0,0,0,0,5,12,0
168000,74,0.7837837837837838,9,0,0,5,0,0,0,0,44,16,0
170000,23,0.4782608695652174,9,0,0,1,0,0,0,0,1,12,0
172000,79,0.5063291139240507,40,0,0,0,0,0,0,0,0,39,0
174000,100,0.56,56,0,0,0,0,0,0,0,0,44,0
176000,87,0.5747126436781609,48,0,0,2,0,0,0,0,0,37,0
178000,461,0.1388286334056399,61,1,0,0,0,0,0,0,2,397,0
180000,232,0.3275862068965517,72,2,0,1,0,0,0,0,1,156,0
182000,235,0.4553191489361702,101,3,0,0,0,2,0,0,1,128,0
184000,257,0.38132295719844356,9,0,0,4,0,0,0,0,85,159,0
186000,323,0.4643962848297214,4,0,0,6,0,0,1,0,139,173,0
188000,396,0.06060606060606055,11,0,0,2,0,0,0,0,11,372,0
190000,305,1.0,0,0,0,5,0,0,0,0,300,0,0
192000,387,0.9948320413436692,0,0,0,9,0,0,0,0,376,2,0
194000,306,0.934640522875817,1,0,0,8,0,0,0,0,277,20,0
196000,216,0.8287037037037037,1,0,0,8,0,0,0,0,170,37,0
198000,250,0.11199999999999999,21,0,0,0,0,0,0,0,7,222,0
200000,170,0.24117647058823533,39,2,0,0,0,0,0,0,0,129,0
202000,382,0.8586387434554974,105,3,0,1,0,142,0,0,77,54,0
204000,667,0.9970014992503748,0,0,0,0,0,665,0,0,0,2,0
206000,659,0.9939301972685888,0,3,0,0,0,651,0,1,0,4,0
208000,658,0.9984802431610942,0,3,0,0,0,653,0,1,0,1,0
210000,659,1.0,0,0,0,0,0,658,0,1,0,0,0
