key,libraries,routes,in_msnlib_v1_0
AAAQFGUYHFJNHI,MCEBIO,parent;recorded,True
AAAUHBGRTHINSW,ENAMDISC,parent;recorded,False
AABFWJDLCCDJJN,MCEBIO,parent;recorded,True
AABYYGGKCQWHRA,ENAMDISC,parent;recorded,False
AACALNSOMDQMRY,MCEDIV,parent;recorded,False
AACCTXYABLUXPH,ENAMMOL,parent;recorded,False
AACFPJSJOWQNBN,MCEBIO,parent;recorded,True
AACUJFVOHGRMTR,MCEBIO,parent;recorded,True
AACVPYUISGWNOU,NIHNP,parent;recorded,True
AACWHNWGNNQFNJ,MCEDIV,parent;recorded,False
AADKMXSIGUGEMH,MCEDIV,parent;recorded,False
AADNEQWIZKTMBL,NIHNP,parent;recorded,True
AAEAWLCVAIUTBJ,MCEDIV;MCESCAF,parent;recorded,True
AAEZDRKCAQWFDB,MCEDIV,parent;recorded,False
AAFFHVRNHILQIJ,MCEDIV,parent;recorded,False
AAFJXZWCNVJTMK,MCEBIO;MCEDRUG,parent;recorded,True
AAFKBDRKIZNVOI,MCEDIV,parent;recorded,False
AAFLALGGEYRGTR,MCEBIO,parent;recorded,True
AAGFPTSOPGCENQ,MCEBIO,parent;recorded,True
AAHNBILIYONQLX,MCEBIO,parent;recorded,True
AAHPIJMQJAZYTM,MCEBIO,parent;recorded,True
AAHSTEUFCXJGIV,NIHNP,parent;recorded,True
AAHYTWRSQZFZCM,ENAMMOL,parent;recorded,False
AAIHLBNRYGCFEP,ENAMDISC,parent;recorded,False
AAIIJIOWYALNCC,NIHNP,parent;recorded,True
AAILVFJAIVKJQG,MCEDIV,parent;recorded,False
AAJANDWRABHMKV,MCEDIV;MCESCAF,parent;recorded,True
AAJCAOZPYSHLNJ,ENAMDISC,parent;recorded,False
AAJDRFVCBCLUGH,ENAMDISC,parent;recorded,False
AAJHMZZEADRWRN,MCEDIV,parent;recorded,False
AAJMQTLFRTZCJK,MCEBIO,parent;recorded,True
AAJNUQCUXATYLI,OTAVAPEP,parent;recorded,True
AAJOPMHTWQOBSN,MCEDIV,parent;recorded,False
AAKFSKGDIRKILO,ENAMMOL,parent;recorded,False
AAKIJNHCYGSNGW,MCEDIV,parent;recorded,False
AAKJLRGGTJKAMG,MCEBIO;MCEDRUG,parent;recorded,True
AAKPNRVLVGZWKZ,MCEDIV,parent;recorded,False
AAKRPNIMPXZCJY,ENAMDISC,parent;recorded,False
AALLCALQGXXWNA,MCEBIO;NIHNP,parent;recorded,True
AALLEWUCWSEWPN,OTAVAPEP,parent;recorded,True
AALSSIXXBDPENJ,MCEBIO,parent;recorded,True
AAMBVCCBNOIXNL,MCEDIV,parent;recorded,False
AAMWBCCOOVEHKO,MCEDIV,parent;recorded,False
AANCDRZKTQQELV,TARGETMOL,parent;recorded,False
AANLHOVYRNPCCG,MCEDIV;MCESCAF,parent;recorded,True
AAOADKHNFOGATJ,MCEDIV,parent;recorded,False
AAOLIMLEFKWKOY,MCEBIO,parent;recorded,True
AAOMTOLCSIHZLA,MCEDIV,parent;recorded,False
AAOQQWDQWALLNL,ENAMMOL,parent;recorded,False
AAPOCPWDQZSQRR,ENAMDISC,parent;recorded,False
AAPVVWIJQYJQDU,MCEDIV,parent;recorded,False
AAPXIVFAKVCIMH,MCEDIV,parent;recorded,False
AAQCMZVIQHLXPK,ENAMDISC,parent;recorded,False
AAQHUPAEJMTLMW,MCEDIV,parent;recorded,False
AARIHENRSOEJOC,NIHNP,parent;recorded,True
AARVTLIQNGAELZ,MCEBIO,parent;recorded,True
AASIYTPJJXHZJS,ENAMDISC,parent;recorded,False
AASLFELHFOYXIN,MCEDIV,parent;recorded,False
AASPGTOXCQXNOQ,ENAMMOL,parent;recorded,False
AASPJVSSGHFYEZ,ENAMDISC,parent;recorded,False
AATNJWXJPJWZJO,MCEDIV,parent;recorded,False
AATPYXMXFBBKFO,MCEBIO,parent;recorded,True
AATQPQPHHPJRIB,MCEDIV,parent;recorded,False
AATRFIAYPGUYMW,MCEDIV;MCESCAF,parent;recorded,True
AATXXTHMITUAOJ,MCEBIO,parent;recorded,True
AAUIACSLFPGISU,MCEDIV,parent;recorded,False
AAUQHXZZSVAPDF,MCEDIV,parent;recorded,False
AAUQLHHARJUJEH,MCEBIO,parent;recorded,True
AAUZPDAUBFXASQ,NIHNP,parent;recorded,True
AAVBRRZDZCAKSJ,MCESCAF,parent;recorded,True
AAVITBBBERPUIN,ENAMDISC,parent;recorded,False
AAVLZVTZNNAASM,ENAMDISC,parent;recorded,False
AAVYIKIZGPTVFN,ENAMMOL,parent;recorded,False
AAWZDTNXLSGCEK,MCEBIO;TARGETMOL,parent;recorded,True
AAXCQWCZXLOREK,MCEDIV,parent;recorded,False
AAXHLWMDTNCBRC,ENAMDISC,parent;recorded,False
AAYBONXFXJNZJR,MCESCAF,parent;recorded,True
AAYKKWVXFFYZTJ,ENAMMOL,parent;recorded,False
AAYYFZIKKOGURD,MCEDIV,parent;recorded,False
AAZTWZCBPDEUNH,ENAMDISC,parent;recorded,False
ABACVOXFUHDKNZ,MCEBIO,parent;recorded,True
ABAOVZSDPNRFSH,MCEDIV,parent;recorded,False
ABAQKFFSWRNBAB,MCEDIV,parent;recorded,False
ABAUQTFGZFERHJ,MCESCAF,parent;recorded,True
ABBAAUVWZONDMO,MCEDIV,parent;recorded,False
ABBADGFSRBWENF,MCEBIO,parent;recorded,True
ABBRQEIVBPGBHH,MCEDIV,parent;recorded,False
ABBVAMUCDQETDO,MCEDIV,parent;recorded,False
ABCGFHPGHXSVKI,MCEBIO,parent;recorded,True
ABCLDHGRVRRQTH,ENAMMOL,parent;recorded,False
ABCQZMQEKXPIFP,MCEDIV,parent;recorded,False
ABCWEWNWAYDITM,ENAMMOL,parent;recorded,False
ABDDQTDRAHXHOC,MCEBIO,parent;recorded,True
ABDKAPXRBAPSQN,MCEBIO,parent;recorded,True
ABDRZHVLIRZFQO,ENAMMOL,parent;recorded,False
ABEBRXHVBGVMII,MCEDIV,parent;recorded,False
ABEOZDBDXHFRPF,MCEDIV,parent;recorded,False
ABFCFCPCGMHSRX,MCEDIV,parent;recorded,False
ABFVFIZSXKRBRL,TARGETMOL,parent;recorded,False
ABGOSOMRWSYAOB,MCEBIO,parent;recorded,True
ABGPUQXRCXUIFE,MCESCAF,parent;recorded,True
ABGYPNGZQUTBTH,ENAMDISC,parent;recorded,False
ABGZKYLUNKBOCQ,ENAMDISC,parent;recorded,False
ABHHIGWFFMCQOC,NIHNP,parent;recorded,True
ABHPWDORHHCHDL,MCEDIV,parent;recorded,False
ABHSTJRFIMIPSW,MCEDIV,parent;recorded,False
ABIOLERGQNWMRB,MCEDIV,parent;recorded,False
ABJKWBDEJIDSJZ,MCEBIO;MCEDRUG,parent;recorded,True
ABJOCPBDVGJFLG,NIHNP,parent;recorded,True
ABJVQMQZVOYUMQ,MCEDIV,parent;recorded,False
ABKBDMPNGBOCLQ,ENAMDISC,parent;recorded,False
ABKCFISXPHPMMD,MCEDIV,parent;recorded,False
ABKCKTZJSCRJQJ,ENAMDISC,parent;recorded,False
ABKJCDILEUEJSH,MCEBIO,parent;recorded,True
ABMAUKFIVHZBGU,MCEDIV,parent;recorded,False
ABMLKKCDLVXVDG,MCEDIV,parent;recorded,False
ABMUNUSXKYUURV,MCEDIV,parent;recorded,False
ABMZSNRXQRQCQT,ENAMDISC,parent;recorded,False
ABNIDCXKNWWRAL,MCESCAF,parent;recorded,True
ABNUIFCAPXTGOU,MCEDIV,parent;recorded,False
ABNUOTJZDQDNBK,ENAMDISC,parent;recorded,False
ABOJUMOHOUTFOR,MCEDIV,parent;recorded,False
ABOPFTMRWVBHGJ,MCEDIV,parent;recorded,False
ABOPTWOWDLNBOE,NIHNP,parent;recorded,True
ABORWESIKJVKBN,NIHNP,parent;recorded,True
ABPRAVJDMXBCSR,ENAMDISC,parent;recorded,False
ABPZGPXYDKINAU,MCEDIV;MCESCAF,parent;recorded,True
ABQKMDIJZMNCPO,MCEDIV,parent;recorded,False
ABQPUKFFJVLSIX,MCEDIV,parent;recorded,False
ABQYNGFPMBXNJC,MCEDIV,parent;recorded,False
ABRISPFTOZIXMP,ENAMMOL,parent;recorded,False
ABRQHEWGUOURNR,ENAMDISC,parent;recorded,False
ABRULANJVVJLFI,TARGETMOL,parent;recorded,False
ABSKTKWHYYZMMT,MCEDIV,parent;recorded,False
ABSRQHVMZISTGC,ENAMDISC,parent;recorded,False
ABSZDLFPZYSNMZ,ENAMDISC,parent;recorded,False
ABTFXPJNHWGWLK,ENAMDISC,parent;recorded,False
ABTJEKLFRVKWNV,ENAMDISC,parent;recorded,False
ABTMPEWWLNFYJP,MCEDIV,parent;recorded,False
ABTNALLHJFCFRZ,NIHNP,parent;recorded,True
ABTYJJAVFPXGGG,ENAMDISC,parent;recorded,False
ABUPYBBLLDSUMF,ENAMMOL,parent;recorded,False
ABVAWTZOPFQHAB,ENAMDISC,parent;recorded,False
