compound_id,name,scaffold_group,representative_smiles,theoretical_mh,level,purity,tier,contributor_arm,n_records
ALOKGBOHBCZWBY,Nostolactone 4,O=c1oc(-c2ccccc2)cc(Cc2ccccc2)c1Cc1ccccc1,C1=CC(=CC=C1CC2=C(C(=O)OC(=C2)C3=CC=C(C=C3)O)CC4=C(C=C(C=C4)O)O)O,417.1332648268799,1,crude extract,T1_level1,MLU-ED,7
BDDHCMIGYUBMCI,Cyanostatin B,O=C(CCc1ccccc1)NCC(=O)N1CCCC1C(=O)NCCc1ccccc1,CCCCCCC[C@H]([C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N(C)[C@@H](C(C)CC)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC3=CC=C(C=C3)O)C(=O)O)O)N,754.4385549348799,2a,crude extract,T2_level2a,MLU-ED,7
BIRIZXULSMAMOU,Nostotrebin 6,O=C1C(Cc2ccccc2)=C(Cc2ccccc2)C(=O)C1(c1ccccc1)C1(c2ccccc2)C(=O)C(Cc2ccccc2)=C(Cc2ccccc2)C1=O,C1=CC(=CC=C1CC2=C(C(=O)C(C2=O)(C3=CC=C(C=C3)O)C4(C(=O)C(=C(C4=O)CC5=CC=C(C=C5)O)CC6=CC=C(C=C6)O)C7=CC=C(C=C7)O)CC8=CC=C(C=C8)O)O,799.2537738828801,1,crude extract,T1_level1,MLU-ED,7
CHDGJSXGBVKFIF,Insulapeptolide D,O=C1CN2CCCC(NC(=O)CNC(=O)C3NCCC3OC(=O)CNC(=O)C(Cc3ccccc3)N1)C2=O,C[C@@H]1CN(C([C@@H](NC(C)=O)CCCNC(N)=O)=O)[C@H](C(N[C@@H](CC(C)C)C(N[C@@H]2C([N@@]([C@@H]([C@H](CC)C)C(N(C)[C@H]3CC4=CC=C(OC)C=C4)=O)[C@H](O)CC2)=O)=O)=O)[C@@H]1OC([C@H]([C@H](C)CC)NC3=O)=O,970.5607953068803,1,reference material,T1_level1,MLU-ED,7
CLAPAZQQSRVIAI,Brunsvicamide B,O=C1CCCCCNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)CN1,CC[C@H]([C@H](C(O)=O)NC(N[C@@H]1C(N[C@H](C(N[C@H](C(N([C@H](C(N[C@H](C(NCCCC1)=O)CC2=CC=CC=C2)=O)CC3=CNC4=CC=CC=C43)C)=O)CC(C)C)=O)[C@H](CC)C)=O)=O)C,859.5076375388801,1,reference material,T1_level1,MLU-ED,7
CLSDHBVHQKWEJR,Nostocyclopeptide Ncp-E2-L,O=C(CCc1ccccc1)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCCC1,O=C(NC(C(NC(C(NC(C(N1C(C(NC(CC(C)C)C([H])=O)=O)CCC1)=O)CO)=O)C(C)CC)=O)CCC(N)=O)CNC(C(CC2=CC=C(O)C=C2)N)=O,761.4192164588798,2b,crude extract,T3_level2b_3,EAWAG-EC+EAWAG-ED,14
COYVFWSNQRUPIO,Nodulapeptin 881a,O=C1CCCCCNC(=O)CNC(=O)C(CCc2ccccc2)NC(=O)C(CCc2ccccc2)NC(=O)CN1,O=C(N(C(CCC1=CC=CC=C1)C(NC(COC(C)=O)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3,882.44298868288,2b,crude extract,T3_level2b_3,EAWAG-EC+EAWAG-ED,14
DTXKFCMLEVLURZ,Microginin 299C,O=C(NCCc1ccccc1)C1CCCN1C(=O)CCc1ccccc1,CC(C(NC([C@H](O)C(N)CCCCCCC)=O)C(N([C@H](C(N(C(C(N1CCCC1C(NC(C(O)=O)CC2=CC=C(O)C=C2)=O)=O)CC3=CC=C(O)C=C3)C)=O)C(C)C)C)=O)C,853.50696884288,2b,bioreagent,T3_level2b_3,EAWAG-EC+EAWAG-ED,14
FWWSPBIYNIQGJB,Insulapeptolide G,O=C1CN2CCCC(NC(=O)C(CCc3ccccc3)NC(=O)C(NC(=O)CNC(=O)C3CCCN3)COC(=O)CNC(=O)C(Cc3ccccc3)N1)C2=O,CCCC(N1[C@H](C(N[C@H](C(N[C@@H]([C@H](OC([C@H](C(C)C)N2)=O)C)C(N[C@@H](CCC3=CC=CC=C3)C(N[C@@H]4C([N@@]([C@H](C(N(C)[C@H](C2=O)CC5=CC=CC=C5)=O)[C@@H](C)O)[C@H](O)CC4)=O)=O)=O)=O)CO)=O)CCC1)=O,991.5135107668804,1,Bioreagent,T1_level1,MLU-ED,7
GKSSZFHZBNEQFN,Cyanopeptolin CP962,O=C1CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC(=O)CN1)C2=O,CCCC(NC(C(NC(C(NC(CCCNC(N)=N)C(NC1C(N(C(C(N(C(C(NC2C(C)C)=O)CC3=CC=CC=C3)C)=O)CC4=CC=CC=C4)C(O)CC1)=O)=O)=O)C(OC2=O)C)=O)CC(O)=O)=O,963.4934440188804,1,crude extract,T1_level1,EAWAG-EC+EAWAG-ED,14
GNRHIDBFAWGJDI,Anhydrocyanobacterin,O=C1OC(=Cc2ccccc2)C=C1Cc1ccc2c(c1)OCO2,CC(C)C1=C(C(=O)OC1=CC2=CC=C(C=C2)OC)CC3=CC4=C(C(=C3)Cl)OCO4,413.11502791887995,1,reference material,T1_level1,MLU-ED,7
HQMATMGVGJKSPD,Brunsvicamide C,O=C1CCCCCNC(=O)C(Cc2ccccc2)NC(=O)C(CC(=O)c2ccccc2)NC(=O)CNC(=O)CN1,CC[C@H]([C@H](C(O)=O)NC(N[C@@H]1C(N[C@H](C(N[C@H](C(N([C@@H](C(N[C@H](C(NCCCC1)=O)CC2=CC=CC=C2)=O)CC(C3=C(NC([H])=O)C=CC=C3)=O)C)=O)CC(C)C)=O)C(C)C)=O)=O)C,877.4818167148801,1,reference material,T1_level1,MLU-ED,7
IFKUPHYTIDOPIM,Microginin 756,O=C(CCCc1ccccc1)NCCc1ccccc1,O=C(NC(CC1=CC=C(O)C=C1)C(O)=O)C(CCC2=CC=C(O)C=C2)NC(C(CC(C)C)NC(C(C(C)C)NC(C(O)C(N[H])CCCCCCC)=O)=O)=O,756.4542049988801,2b,crude extract,T3_level2b_3,EAWAG-EC+EAWAG-ED,14
JKBXTXMXBDJJQA,Sphaerocyclamide,O=C1CNC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CN1,C[C@@H](C(N[C@@H](CCC(N)=O)C(NCC(N[C@@H](C(C)C)C(N[C@@H](CO)C(N[C@@H](CC(C=C1)=CC=C1OC/C=C(C)/C)C(N[C@H](C(N2CCC[C@H]2C3=O)=O)CC4=CC=CC=C4)=O)=O)=O)=O)=O)=O)N3[H],918.4719803028801,2a,crude extract,T2_level2a,EAWAG-EC+EAWAG-ED,14
JNMCFADRRBGAIM,MC-FL,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)C(Cc2ccccc2)NC(=O)CNC1=O,C[C@@H](\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(=O)O)C(=O)O)[C@H](Cc1ccccc1)OC,986.5233471788802,2b,crude extract,T3_level2b_3,EAWAG-EC+EAWAG-ED,14
KRNLOYZRJLTDBI,Spumigin D,O=C(CCc1ccccc1)NC(CCc1ccccc1)C(=O)N1CCCC1,OC1=CC=C(C[C@@H](O)C(N[C@@H](C(N2[C@H](C(NC(CCCNC(N)=N)CO)=O)CCC2)=O)CCC3=CC=C(O)C=C3)=O)C=C1,599.31877415088,2b,crude extract,T3_level2b_3,EAWAG-EC+EAWAG-ED,14
KSVGOBQTQGOLQM,Cyanopeptolin B,O=C1CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CN2CCCC(NC(=O)CN1)C2=O,CCCCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](N2[C@@H](CC[C@@H](C2=O)NC(=O)[C@@H](NC1=O)CCCCN)O)CC(C)C)C)CC3=CC=CC=C3)C(C)C)C,929.5342462108799,1,crude extract,T1_level1,EAWAG-EC+EAWAG-ED+MLU-ED,19
KVEGLZCDCVSBQX,Aeruginosin NOL3,O=C(CCc1ccccc1)N1CCC2CCCCC21,CCCCCC(N[C@H](C(N([C@H](C(NC(CO)CCCNC(N)=N)=O)C1)[C@@H]2[C@H]1CCC(O)C2)=O)CC3=CC=C(O)C=C3)=O,589.3708097228799,1,crude extract,T1_level1,EAWAG-EC+EAWAG-ED,14
MLBROOJXUZKDHY,Aerucyclamide D,O=C1NCC2=NC(CS2)C(=O)NC(Cc2ccccc2)C2=NC(CO2)C(=O)NCc2nc1cs2,C[C@@H]1[C@H]2C(=O)NCC3=NC(=CS3)C(=O)N[C@H](C4=N[C@@H](CS4)C(=O)N[C@H](C(=N2)O1)CC5=CC=CC=C5)CCSC,587.15634290688,2b,Bioreagent,T3_level2b_3,EAWAG-EC+EAWAG-ED,14
MPGIDXBHXRMMSY,Nocuolin A,C1=NNOCC1,CCCCCC1CC(CCCCC)=NN(C(CCO)=O)O1,299.23291928687996,2a,reference material,T2_level2a,EAWAG-EC+EAWAG-ED,14
NWKXLGDOMIUDOE,Microginin 761B,O=C(NC(Cc1ccccc1)C(=O)NCCc1ccccc1)C1CCCN1,NC(C(C(NC(C(N1C(CCC1)C(NC(CC2=CC=C(O)C=C2)C(NC(C(O)=O)CC3=CC=C(O)C=C3)=O)=O)=O)C(C)O)=O)O)CCCCCCCCl,762.3475470108799,2b,crude extract,T3_level2b_3,EAWAG-ED,7
OYHPNVXZUBWKJE,Nostocyclopeptide A2,O=C1CNC(=O)CNC(=O)C(Cc2ccccc2)N=CC(Cc2ccccc2)NC(=O)C2CCCN2C(=O)CNC(=O)CN1,CC[C@@H]([C@H]1C(N[C@@H](CO)C(N2C[C@@H](C)C[C@H]2C(N[C@@H](CC3=CC=CC=C3)/C=N\[C@@H](CC4=CC=C(O)C=C4)C(NCC(N[C@H](CCC(N)=O)C(N1)=O)=O)=O)=O)=O)=O)C,791.4086517748801,1,crude extract,T1_level1,EAWAG-EC+EAWAG-ED,14
PFXJYHPNSWNJBP,Muscoride A,c1coc(-c2coc(C3CCCN3)n2)n1,CC1=C(C2=NC(C(OC/C=C(C)\C)=O)=C(C)O2)N=C(C3CCCN3C(C(NC(C)(C=C)C)C(C)C)=O)O1,513.30714684688,2b,crude extract,T3_level2b_3,EAWAG-EC+EAWAG-ED,14
PSNOPSMXOBPNNV,Cryptophycin A,O=C1C=CCC(CC2OC2c2ccccc2)OC(=O)COC(=O)CCNC(=O)C(Cc2ccccc2)N1,C[C@@H]1CNC(=O)[C@@H](NC(=O)/C=C/C[C@H](OC(=O)[C@@H](OC1=O)CC(C)C)[C@H](C)[C@@H]2[C@H](O2)C3=CC=CC=C3)CC4=CC(=C(C=C4)OC)Cl,655.2780704828799,2a,crude extract,T2_level2a,MLU-ED,7
QACTZPSCGSGUNG,Pseudospumigin A,O=C(CCc1ccccc1)NCCCc1ccccc1,O=C(N[C@@H](C(N[C@H](C(NC(CCCNC(N)=N)C=O)=O)[C@@H](C)CC)=O)CCC1=CC=C(C=C1)O)C(CC2=CC=C(C=C2)O)O,613.3344242148798,2a,crude extract,T2_level2a,EAWAG-EC+EAWAG-ED,14
RYLVRVUEEVJKJO,Muscoride B,c1coc(-c2coc(-c3coc(C4CCCN4)n3)n2)n1,O=C([C@@H](NC/C=C(C)\C)[C@H](CC)C)N1CCC[C@H]1C2=NC(C3=NC(C4=NC(C(OC/C=C(C)/C)=O)=CO4)=C(O3)C)=CO2,580.3129604988799,2b,crude extract,T3_level2b_3,EAWAG-EC+EAWAG-ED,14
