record_id,file,series,parent_key,first_failed_rule,reason
MSBNK-EAWAG-EC001501,MSBNK-EAWAG-EC001501.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,PASS,eligible
MSBNK-EAWAG-EC001502,MSBNK-EAWAG-EC001502.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,PASS,eligible
MSBNK-EAWAG-EC001503,MSBNK-EAWAG-EC001503.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,PASS,eligible
MSBNK-EAWAG-EC001504,MSBNK-EAWAG-EC001504.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,PASS,eligible
MSBNK-EAWAG-EC001505,MSBNK-EAWAG-EC001505.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,PASS,eligible
MSBNK-EAWAG-EC001506,MSBNK-EAWAG-EC001506.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,PASS,eligible
MSBNK-EAWAG-EC001507,MSBNK-EAWAG-EC001507.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,PASS,eligible
MSBNK-EAWAG-EC001508,MSBNK-EAWAG-EC001508.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,H11,NCE outside the frozen grid
MSBNK-EAWAG-EC001509,MSBNK-EAWAG-EC001509.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,H11,NCE outside the frozen grid
MSBNK-EAWAG-EC001551,MSBNK-EAWAG-EC001551.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-EC001552,MSBNK-EAWAG-EC001552.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-EC001553,MSBNK-EAWAG-EC001553.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-EC001554,MSBNK-EAWAG-EC001554.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-EC001555,MSBNK-EAWAG-EC001555.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-EC001556,MSBNK-EAWAG-EC001556.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-EC001557,MSBNK-EAWAG-EC001557.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-EC001558,MSBNK-EAWAG-EC001558.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-EC001559,MSBNK-EAWAG-EC001559.txt,MSBNK-EAWAG-EC,MPGIDXBHXRMMSY,H1,not [M+H]+ (positive mode)
MSBNK-EAWAG-EC004101,MSBNK-EAWAG-EC004101.txt,MSBNK-EAWAG-EC,IURIYLBJXOYFRR,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004102,MSBNK-EAWAG-EC004102.txt,MSBNK-EAWAG-EC,IURIYLBJXOYFRR,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004103,MSBNK-EAWAG-EC004103.txt,MSBNK-EAWAG-EC,IURIYLBJXOYFRR,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004104,MSBNK-EAWAG-EC004104.txt,MSBNK-EAWAG-EC,IURIYLBJXOYFRR,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004105,MSBNK-EAWAG-EC004105.txt,MSBNK-EAWAG-EC,IURIYLBJXOYFRR,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004106,MSBNK-EAWAG-EC004106.txt,MSBNK-EAWAG-EC,IURIYLBJXOYFRR,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004107,MSBNK-EAWAG-EC004107.txt,MSBNK-EAWAG-EC,IURIYLBJXOYFRR,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004108,MSBNK-EAWAG-EC004108.txt,MSBNK-EAWAG-EC,IURIYLBJXOYFRR,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004109,MSBNK-EAWAG-EC004109.txt,MSBNK-EAWAG-EC,IURIYLBJXOYFRR,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004201,MSBNK-EAWAG-EC004201.txt,MSBNK-EAWAG-EC,XCGGFKXEWPNQFS,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004202,MSBNK-EAWAG-EC004202.txt,MSBNK-EAWAG-EC,XCGGFKXEWPNQFS,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004203,MSBNK-EAWAG-EC004203.txt,MSBNK-EAWAG-EC,XCGGFKXEWPNQFS,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004204,MSBNK-EAWAG-EC004204.txt,MSBNK-EAWAG-EC,XCGGFKXEWPNQFS,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004205,MSBNK-EAWAG-EC004205.txt,MSBNK-EAWAG-EC,XCGGFKXEWPNQFS,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004206,MSBNK-EAWAG-EC004206.txt,MSBNK-EAWAG-EC,XCGGFKXEWPNQFS,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004207,MSBNK-EAWAG-EC004207.txt,MSBNK-EAWAG-EC,XCGGFKXEWPNQFS,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004208,MSBNK-EAWAG-EC004208.txt,MSBNK-EAWAG-EC,XCGGFKXEWPNQFS,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC004209,MSBNK-EAWAG-EC004209.txt,MSBNK-EAWAG-EC,XCGGFKXEWPNQFS,H8,"model support: element set, heavy atoms <= 160, theoretical [M+H]+ <= 995.556"
MSBNK-EAWAG-EC013701,MSBNK-EAWAG-EC013701.txt,MSBNK-EAWAG-EC,YLSOIPHOXMRWGW,PASS,eligible
MSBNK-EAWAG-EC013702,MSBNK-EAWAG-EC013702.txt,MSBNK-EAWAG-EC,YLSOIPHOXMRWGW,PASS,eligible
MSBNK-EAWAG-EC013703,MSBNK-EAWAG-EC013703.txt,MSBNK-EAWAG-EC,YLSOIPHOXMRWGW,PASS,eligible
MSBNK-EAWAG-EC013704,MSBNK-EAWAG-EC013704.txt,MSBNK-EAWAG-EC,YLSOIPHOXMRWGW,PASS,eligible
MSBNK-EAWAG-EC013705,MSBNK-EAWAG-EC013705.txt,MSBNK-EAWAG-EC,YLSOIPHOXMRWGW,PASS,eligible
