parent_key,smiles,scaffold_group,inchikey_s4,taut_key,skel_key,formula_calc,msg15_taut_hit,msg15_skel_hit,muru_dev_pop_taut_hit,muru_dev_pop_skel_hit,pr7_taut_hit,pr7_skel_hit,pr8_comparator_taut_hit,pr8_comparator_skel_hit,design_a_taut_hit,design_a_skel_hit
ALOKGBOHBCZWBY,C1=CC(=CC=C1CC2=C(C(=O)OC(=C2)C3=CC=C(C=C3)O)CC4=C(C=C(C=C4)O)O)O,O=c1oc(-c2ccccc2)cc(Cc2ccccc2)c1Cc1ccccc1,ALOKGBOHBCZWBY-UHFFFAOYSA-N,ALOKGBOHBCZWBY,BRYPIAOYMBCVNU,C25H20O6,False,False,False,False,False,False,False,False,False,False
AQINXMPZZHMZRR,CCCCCCCC(C(C(NC(C(N(C)C(C(NC(CC1=CC=C(O)C=C1)C(NC(CC2=CC=C(O)C=C2)C(O)=O)=O)=O)CC(C)C)=O)C)=O)O)NC,O=C(CCc1ccccc1)NCCc1ccccc1,AQINXMPZZHMZRR-UHFFFAOYSA-N,AQINXMPZZHMZRR,FKVZOAUXNKYAMZ,C39H59N5O9,False,False,False,False,False,False,False,False,False,False
ASRBKZHDORPEHO,CC[C@H](C)[C@@H](C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)/C=C/C(=O)N1[C@H](C(=CC1=O)OC)C)N(C)C,O=C1C=CCN1,ASRBKZHDORPEHO-KYJIWOQOSA-N,ASRBKZHDORPEHO,PMXBCOPZLLRNOC,C31H52N4O7,True,True,False,False,False,False,False,False,False,False
BDDHCMIGYUBMCI,CCCCCCC[C@H]([C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N(C)[C@@H](C(C)CC)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC3=CC=C(C=C3)O)C(=O)O)O)N,O=C(CCc1ccccc1)NCC(=O)N1CCCC1C(=O)NCCc1ccccc1,BDDHCMIGYUBMCI-YGKFCERESA-N,BDDHCMIGYUBMCI,CCAIXPKWTSHRJT,C40H59N5O9,False,False,False,False,False,False,False,False,False,False
BIRIZXULSMAMOU,C1=CC(=CC=C1CC2=C(C(=O)C(C2=O)(C3=CC=C(C=C3)O)C4(C(=O)C(=C(C4=O)CC5=CC=C(C=C5)O)CC6=CC=C(C=C6)O)C7=CC=C(C=C7)O)CC8=CC=C(C=C8)O)O,O=C1C(Cc2ccccc2)=C(Cc2ccccc2)C(=O)C1(c1ccccc1)C1(c2ccccc2)C(=O)C(Cc2ccccc2)=C(Cc2ccccc2)C1=O,BIRIZXULSMAMOU-UHFFFAOYSA-N,ZFEYTWVNGXTTRS,DGEWPXMAXGLDGH,C50H38O10,False,False,False,False,False,False,False,False,False,False
CHDGJSXGBVKFIF,C[C@@H]1CN(C([C@@H](NC(C)=O)CCCNC(N)=O)=O)[C@H](C(N[C@@H](CC(C)C)C(N[C@@H]2C([N@@]([C@@H]([C@H](CC)C)C(N(C)[C@H]3CC4=CC=C(OC)C=C4)=O)[C@H](O)CC2)=O)=O)=O)[C@@H]1OC([C@H]([C@H](C)CC)NC3=O)=O,O=C1CN2CCCC(NC(=O)CNC(=O)C3NCCC3OC(=O)CNC(=O)C(Cc3ccccc3)N1)C2=O,CHDGJSXGBVKFIF-LMGIIRSZSA-N,CHDGJSXGBVKFIF,IUZGQVKHPLXCPJ,C48H75N9O12,False,False,False,False,False,False,False,False,False,False
CLAPAZQQSRVIAI,CC[C@H]([C@H](C(O)=O)NC(N[C@@H]1C(N[C@H](C(N[C@H](C(N([C@H](C(N[C@H](C(NCCCC1)=O)CC2=CC=CC=C2)=O)CC3=CNC4=CC=CC=C43)C)=O)CC(C)C)=O)[C@H](CC)C)=O)=O)C,O=C1CCCCCNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)CN1,CLAPAZQQSRVIAI-IRIVFKDGSA-N,CLAPAZQQSRVIAI,HWHPXSAESDYTMZ,C46H66N8O8,False,False,False,False,False,False,False,False,False,False
CLSDHBVHQKWEJR,O=C(NC(C(NC(C(NC(C(N1C(C(NC(CC(C)C)C([H])=O)=O)CCC1)=O)CO)=O)C(C)CC)=O)CCC(N)=O)CNC(C(CC2=CC=C(O)C=C2)N)=O,O=C(CCc1ccccc1)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCCC1,CLSDHBVHQKWEJR-UHFFFAOYSA-N,CLSDHBVHQKWEJR,QUOUKGHFWWDVOR,C36H56N8O10,False,False,False,False,False,False,False,False,False,False
COYVFWSNQRUPIO,O=C(N(C(CCC1=CC=CC=C1)C(NC(COC(C)=O)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3,O=C1CCCCCNC(=O)CNC(=O)C(CCc2ccccc2)NC(=O)C(CCc2ccccc2)NC(=O)CN1,COYVFWSNQRUPIO-UHFFFAOYSA-N,COYVFWSNQRUPIO,HFXKMNSWMYUEFC,C44H63N7O10S,False,False,False,False,False,False,False,False,False,False
DIAQQISRBBDJIM,C[C@@H](\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(=O)O)C(=O)O)[C@H](Cc1ccccc1)OC,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,DIAQQISRBBDJIM-DRSCAGMXSA-N,DIAQQISRBBDJIM,WEBWIWQWMBFTKI,C46H67N7O12,True,True,True,True,False,False,False,False,False,False
