n,accession,source_url,release,requested_blob_sha1,filename,bytes,sha256,git_blob_sha1_recomputed,blob_sha_verified,status,error
1,MSBNK-EAWAG-EC001501,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/30952bd0aa4d4d8a8ff07124e01677ead140f23c,2026.03,30952bd0aa4d4d8a8ff07124e01677ead140f23c,MSBNK-EAWAG-EC001501.txt,2843,0548e8d01763f30c91282932c4405205ac24fa868e84ee30cf4a1a970781f8c1,30952bd0aa4d4d8a8ff07124e01677ead140f23c,True,ok,
2,MSBNK-EAWAG-EC001502,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/a172f9ee0dc4d6b702bc306694a8e8bb5902411c,2026.03,a172f9ee0dc4d6b702bc306694a8e8bb5902411c,MSBNK-EAWAG-EC001502.txt,3087,257e662b90020f5e89289eb6a508de3940716004598ffa85b655cc3b2ef80bdc,a172f9ee0dc4d6b702bc306694a8e8bb5902411c,True,ok,
3,MSBNK-EAWAG-EC001503,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/1cd7be2c8111f2821cb1d6064f361ee20c6febdc,2026.03,1cd7be2c8111f2821cb1d6064f361ee20c6febdc,MSBNK-EAWAG-EC001503.txt,2961,50ed4f76de7a775a1304af5cc4a2a004025565102fff241635ea4018d3d2dab7,1cd7be2c8111f2821cb1d6064f361ee20c6febdc,True,ok,
4,MSBNK-EAWAG-EC001504,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/686a374e788e6c2aa039db0c38d1628d223b1902,2026.03,686a374e788e6c2aa039db0c38d1628d223b1902,MSBNK-EAWAG-EC001504.txt,3014,e0acb91917e251779a24c1d8a079514f128f6987464ace658d1aea616410c0d6,686a374e788e6c2aa039db0c38d1628d223b1902,True,ok,
5,MSBNK-EAWAG-EC001505,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/13c372b776e2a578e9504f157c58376ffda706bc,2026.03,13c372b776e2a578e9504f157c58376ffda706bc,MSBNK-EAWAG-EC001505.txt,2894,50b0545cb99a9445754e5f17e516ca9888cd22def8742c381d81f581e63a17c0,13c372b776e2a578e9504f157c58376ffda706bc,True,ok,
6,MSBNK-EAWAG-EC001506,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/3c45bc199cd2a0a599397d79dccdfbf7f7e55cfe,2026.03,3c45bc199cd2a0a599397d79dccdfbf7f7e55cfe,MSBNK-EAWAG-EC001506.txt,2941,9078080df5e237d682e5ef0b179604f78ef0dd506fe9ffa2985e7c0128ff5b1b,3c45bc199cd2a0a599397d79dccdfbf7f7e55cfe,True,ok,
7,MSBNK-EAWAG-EC001507,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/5f931c125b34862de8a745eff0f968146b10c996,2026.03,5f931c125b34862de8a745eff0f968146b10c996,MSBNK-EAWAG-EC001507.txt,2824,54b63fab176746def3775f031d85b9264ae82cc2c639b9720ce84f237578ec5f,5f931c125b34862de8a745eff0f968146b10c996,True,ok,
8,MSBNK-EAWAG-EC013701,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/f178530f5e0d2df781093fb6adb9b7aa642852d6,2026.03,f178530f5e0d2df781093fb6adb9b7aa642852d6,MSBNK-EAWAG-EC013701.txt,3002,69d60da229051d4bfe7d1e7cac1bf20ea5b9c33377b063a9c250706b73fdbc9d,f178530f5e0d2df781093fb6adb9b7aa642852d6,True,ok,
9,MSBNK-EAWAG-EC013702,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/7e7bbef2192d47927dfc153201b3f368a0d818c1,2026.03,7e7bbef2192d47927dfc153201b3f368a0d818c1,MSBNK-EAWAG-EC013702.txt,3133,3b8d2dc811ffea9c94ffd17daba82972f5f431b3bb0efec3a322b6e863a5fdb2,7e7bbef2192d47927dfc153201b3f368a0d818c1,True,ok,
10,MSBNK-EAWAG-EC013703,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/f13b7622fc29318d8bdbe36328eacfe295fb1349,2026.03,f13b7622fc29318d8bdbe36328eacfe295fb1349,MSBNK-EAWAG-EC013703.txt,3544,a4941d6ad72f98ffa32c9a7e586f8b462600aca4dd57f4f0cc175f6f4cdb6430,f13b7622fc29318d8bdbe36328eacfe295fb1349,True,ok,
11,MSBNK-EAWAG-EC013704,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/97124de516648c2bc2fff52c0ea24830a39f7685,2026.03,97124de516648c2bc2fff52c0ea24830a39f7685,MSBNK-EAWAG-EC013704.txt,3431,a3b4f8ee3f09f7276812a57b1fdb13918adc671e238b00a0da3cc6c209a8163e,97124de516648c2bc2fff52c0ea24830a39f7685,True,ok,
12,MSBNK-EAWAG-EC013705,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/9e677edb62b105ddfd368492821679b5407fa3b3,2026.03,9e677edb62b105ddfd368492821679b5407fa3b3,MSBNK-EAWAG-EC013705.txt,3646,1b65ae1a312f4371daa06fbb456e988a3bb0267bd4b7eb58f0ee668ce62e65a0,9e677edb62b105ddfd368492821679b5407fa3b3,True,ok,
13,MSBNK-EAWAG-EC013706,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/cc4fbc7cfb397c3c22b09d3dd3a7522caa4051b4,2026.03,cc4fbc7cfb397c3c22b09d3dd3a7522caa4051b4,MSBNK-EAWAG-EC013706.txt,3091,b28d6cc96a571c3e633cb67f84249d2415dc332ec44f8ee82e2db666d1004d1d,cc4fbc7cfb397c3c22b09d3dd3a7522caa4051b4,True,ok,
14,MSBNK-EAWAG-EC013707,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/8bb3495e7be3db56494d8e044ff36294f91b0315,2026.03,8bb3495e7be3db56494d8e044ff36294f91b0315,MSBNK-EAWAG-EC013707.txt,2912,8940f0688b7b1bb22978414a1608353a15cfed24d80e8b1b4363b229d407beac,8bb3495e7be3db56494d8e044ff36294f91b0315,True,ok,
15,MSBNK-EAWAG-EC014001,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/0f50fd9f6559f37a7c04786b2299355a5d1322db,2026.03,0f50fd9f6559f37a7c04786b2299355a5d1322db,MSBNK-EAWAG-EC014001.txt,2572,23d865b38af247ce7b7a0381e54383980f3549563a787587d7ee97b2360cb434,0f50fd9f6559f37a7c04786b2299355a5d1322db,True,ok,
16,MSBNK-EAWAG-EC014002,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/5cb43ab8e08880713c5a50687e6c25520646bd65,2026.03,5cb43ab8e08880713c5a50687e6c25520646bd65,MSBNK-EAWAG-EC014002.txt,2446,46f9c0664a3323ef3a63a62a1bdd700086e4e88264bf929a91887a1b953cdb98,5cb43ab8e08880713c5a50687e6c25520646bd65,True,ok,
17,MSBNK-EAWAG-EC014003,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/027830f398225855004d97a7e3b87b46ac94cc01,2026.03,027830f398225855004d97a7e3b87b46ac94cc01,MSBNK-EAWAG-EC014003.txt,2566,8a1b8f2e0d54e11bb3e78fcb9ba87e9aea4fe92332d6ebe11f41efc402ba3cd9,027830f398225855004d97a7e3b87b46ac94cc01,True,ok,
18,MSBNK-EAWAG-EC014004,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/f1909d71ff63c4b5da0d1c7d61926bfb0f2ca08b,2026.03,f1909d71ff63c4b5da0d1c7d61926bfb0f2ca08b,MSBNK-EAWAG-EC014004.txt,2565,ddd93484ce6ba1621f725882f21c5c3772fb49e4c0333f8a832c3f3e0be5f101,f1909d71ff63c4b5da0d1c7d61926bfb0f2ca08b,True,ok,
19,MSBNK-EAWAG-EC014005,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/a62fd7e19ed34296b3cd28cd6d8141c4b4b9e21e,2026.03,a62fd7e19ed34296b3cd28cd6d8141c4b4b9e21e,MSBNK-EAWAG-EC014005.txt,2678,1e1aacb3b22c738c8e888e0021dc8c50adffd70d0fc51fb2e0f6bddf172d083f,a62fd7e19ed34296b3cd28cd6d8141c4b4b9e21e,True,ok,
20,MSBNK-EAWAG-EC014006,https://api.github.com/repos/MassBank/MassBank-data/git/blobs/669320d813de7cd444e67f7d17ddcce03b7230c2,2026.03,669320d813de7cd444e67f7d17ddcce03b7230c2,MSBNK-EAWAG-EC014006.txt,2789,c16f7ce7f810821cbe04886f5b1c05ef935302cc0ea9007730ff9ff857c7b639,669320d813de7cd444e67f7d17ddcce03b7230c2,True,ok,
