record_id,compound_id,scaffold_group,nce,model,mapping,cosine,js,drop_reason
MSBNK-EAWAG-EC001501__ICEBERG_2_1__K1,MPGIDXBHXRMMSY,C1=NNOCC1,15,ICEBERG_2_1,K1,0.9182058446375394,0.5927999401800075,
MSBNK-EAWAG-EC001501__ICEBERG_2_1__K2,MPGIDXBHXRMMSY,C1=NNOCC1,15,ICEBERG_2_1,K2,0.9426983364890181,0.6644641305710006,
MSBNK-EAWAG-EC001501__ICEBERG_2_1__K3,MPGIDXBHXRMMSY,C1=NNOCC1,15,ICEBERG_2_1,K3,0.942671719460341,0.6705007636790994,
MSBNK-EAWAG-EC001501__GLACIER__K1,MPGIDXBHXRMMSY,C1=NNOCC1,15,GLACIER,K1,0.7060352681118413,0.4197351557848096,
MSBNK-EAWAG-EC001501__GLACIER__K2,MPGIDXBHXRMMSY,C1=NNOCC1,15,GLACIER,K2,0.9416539388996942,0.6587330827591287,
MSBNK-EAWAG-EC001501__GLACIER__K3,MPGIDXBHXRMMSY,C1=NNOCC1,15,GLACIER,K3,0.9422780552488331,0.6709311816372528,
MSBNK-EAWAG-EC001502__ICEBERG_2_1__K1,MPGIDXBHXRMMSY,C1=NNOCC1,20,ICEBERG_2_1,K1,0.6944082126912142,0.46636877096843676,
MSBNK-EAWAG-EC001502__ICEBERG_2_1__K2,MPGIDXBHXRMMSY,C1=NNOCC1,20,ICEBERG_2_1,K2,0.6038840184246793,0.39141151064067603,
MSBNK-EAWAG-EC001502__ICEBERG_2_1__K3,MPGIDXBHXRMMSY,C1=NNOCC1,20,ICEBERG_2_1,K3,0.6931902801494375,0.4597352715274907,
MSBNK-EAWAG-EC001502__GLACIER__K1,MPGIDXBHXRMMSY,C1=NNOCC1,20,GLACIER,K1,0.37366324409719964,0.3501052600834411,
MSBNK-EAWAG-EC001502__GLACIER__K2,MPGIDXBHXRMMSY,C1=NNOCC1,20,GLACIER,K2,0.6951064381556249,0.4444576957681332,
MSBNK-EAWAG-EC001502__GLACIER__K3,MPGIDXBHXRMMSY,C1=NNOCC1,20,GLACIER,K3,0.694479312960548,0.44059672066238187,
MSBNK-EAWAG-EC001503__ICEBERG_2_1__K1,MPGIDXBHXRMMSY,C1=NNOCC1,25,ICEBERG_2_1,K1,0.1805507061150747,0.2365013859918984,
MSBNK-EAWAG-EC001503__ICEBERG_2_1__K2,MPGIDXBHXRMMSY,C1=NNOCC1,25,ICEBERG_2_1,K2,0.23870125557320301,0.21319963468453373,
MSBNK-EAWAG-EC001503__ICEBERG_2_1__K3,MPGIDXBHXRMMSY,C1=NNOCC1,25,ICEBERG_2_1,K3,0.24184287888117217,0.21255648034589036,
MSBNK-EAWAG-EC001503__GLACIER__K1,MPGIDXBHXRMMSY,C1=NNOCC1,25,GLACIER,K1,0.05085212313733715,0.18822746670149215,
MSBNK-EAWAG-EC001503__GLACIER__K2,MPGIDXBHXRMMSY,C1=NNOCC1,25,GLACIER,K2,0.18996415368052674,0.1786989332089911,
MSBNK-EAWAG-EC001503__GLACIER__K3,MPGIDXBHXRMMSY,C1=NNOCC1,25,GLACIER,K3,0.17943599160432558,0.16647392719705256,
MSBNK-EAWAG-EC001504__ICEBERG_2_1__K1,MPGIDXBHXRMMSY,C1=NNOCC1,30,ICEBERG_2_1,K1,0.08558838853197295,0.1684879133790803,
MSBNK-EAWAG-EC001504__ICEBERG_2_1__K2,MPGIDXBHXRMMSY,C1=NNOCC1,30,ICEBERG_2_1,K2,0.015955680754632464,0.07253917865746795,
MSBNK-EAWAG-EC001504__ICEBERG_2_1__K3,MPGIDXBHXRMMSY,C1=NNOCC1,30,ICEBERG_2_1,K3,0.010413990661809277,0.0582800703948777,
MSBNK-EAWAG-EC001504__GLACIER__K1,MPGIDXBHXRMMSY,C1=NNOCC1,30,GLACIER,K1,0.30278264998143206,0.36634144595726115,
MSBNK-EAWAG-EC001504__GLACIER__K2,MPGIDXBHXRMMSY,C1=NNOCC1,30,GLACIER,K2,0.02724707887189891,0.10767677571455414,
MSBNK-EAWAG-EC001504__GLACIER__K3,MPGIDXBHXRMMSY,C1=NNOCC1,30,GLACIER,K3,0.01450214594029321,0.06804276042458113,
MSBNK-EAWAG-EC001505__ICEBERG_2_1__K1,MPGIDXBHXRMMSY,C1=NNOCC1,40,ICEBERG_2_1,K1,0.07495485204952534,0.17566001915444351,
MSBNK-EAWAG-EC001505__ICEBERG_2_1__K2,MPGIDXBHXRMMSY,C1=NNOCC1,40,ICEBERG_2_1,K2,0.025494747993709457,0.08650687743279906,
MSBNK-EAWAG-EC001505__ICEBERG_2_1__K3,MPGIDXBHXRMMSY,C1=NNOCC1,40,ICEBERG_2_1,K3,0.015119180041711809,0.06735159748599973,
MSBNK-EAWAG-EC001505__GLACIER__K1,MPGIDXBHXRMMSY,C1=NNOCC1,40,GLACIER,K1,0.6662983825348551,0.5746024054670495,
MSBNK-EAWAG-EC001505__GLACIER__K2,MPGIDXBHXRMMSY,C1=NNOCC1,40,GLACIER,K2,0.06917262622142922,0.19217814021671775,
MSBNK-EAWAG-EC001505__GLACIER__K3,MPGIDXBHXRMMSY,C1=NNOCC1,40,GLACIER,K3,0.033572618234763575,0.12843559589207343,
MSBNK-EAWAG-EC001506__ICEBERG_2_1__K1,MPGIDXBHXRMMSY,C1=NNOCC1,50,ICEBERG_2_1,K1,0.07265608685550619,0.1794875058877251,
MSBNK-EAWAG-EC001506__ICEBERG_2_1__K2,MPGIDXBHXRMMSY,C1=NNOCC1,50,ICEBERG_2_1,K2,0.022985670811768596,0.07631518873731946,
