cmp_key,recorded_key14s,parent_keys,scaffold_groups,n_distinct_smiles,smiles,name,uchem_ids,first_release,releases,n_records,nce_ladder,n_nce,instruments,n_instruments,precursor_mz,mh_calc,heavy_atoms,elements,n_frag_raw,formula,confidence,publication,authors,license,any_smiles_ik_mismatch,max_abs_mh_error_da,scaffold_group,n_scaffold_groups_in_records,uchem_id_in_2023_11_tree,in_msg15_any_route,in_msg15_recorded_route,in_msg15_parent_route,in_msg15_simchallenge,in_mspred_msg_labels,in_muru_registry_keys,in_muru_exposed_pop_keys,in_muru_dev_pop_keys,in_pr7_keys,in_comparator_keys,in_msnlib_9lib_keys,in_msnlib_v1_4lib_keys,in_multims2_reserved,sg_in_muru_registry,sg_in_muru_dev_pop,sg_in_pr7,sg_in_comparator,sg_in_msg15,acyclic,msg15_nn_tanimoto,msg15_nn_smiles,msg15_same_formula_n_structures,msg15_same_formula_max_tanimoto,tagged_release,ge3_nce,clean_compound_level,clean_primary,clean_conservative,clean_strict_msg_scaffold
AAOVKJBEBIDNHE,AAOVKJBEBIDNHE,AAOVKJBEBIDNHE,O=C1CN=C(c2ccccc2)c2ccccc2N1,1,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,"7-chloro-1-methyl-5-phenyl-3H-1,4-benzodiazepin-2-one",2626,2024.11,2024.11,9,"15,30,45,60,75,90,120,150,180",9,Q Exactive Plus,1,285.0789,285.07891718288005,20.0,"C,Cl,H,N,O",1,C16H13ClN2O,standard compound,,"F. Jud [dtc], K. Arturi [dtc], J. Hollender [dtc], A. Dax [com]",CC BY-SA,False,1.7182880071686668e-05,O=C1CN=C(c2ccccc2)c2ccccc2N1,1,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,1.0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,1.0,True,True,False,False,False,False
ADIMAYPTOBDMTL,ADIMAYPTOBDMTL,ADIMAYPTOBDMTL,O=C1CN=C(c2ccccc2)c2ccccc2N1,1,OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,"7-chloro-3-hydroxy-5-phenyl-1,3-dihydro-1,4-benzodiazepin-2-one",2743,2024.11,2024.11,9,"15,30,45,60,75,90,120,150,180",9,Q Exactive Plus,1,287.0582,287.05818173888,20.0,"C,Cl,H,N,O",1,C15H11ClN2O2,standard compound,,"F. Jud [dtc], K. Arturi [dtc], J. Hollender [dtc], A. Dax [com]",CC BY-SA,False,1.8261119976159534e-05,O=C1CN=C(c2ccccc2)c2ccccc2N1,1,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,1.0,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,2,1.0,True,True,False,False,False,False
AFJYYKSVHJGXSN,AFJYYKSVHJGXSN,AFJYYKSVHJGXSN,N=C1C=CC2C(=O)OC3CC(CC=CC(OC4CCCCO4)CC=CC=C4COC1C42)OC1(CCCC(C2CCCCC2)O1)C3,1,CC1CCC2(CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5=NO)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)O)OC)C)OC1C7CCCCC7,"6`-cyclohexyl-24-hydroxy-21-hydroxyimino-12-(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy-5`,11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2`-oxane]-2-one",11592,2024.06,2024.06,2,"15,30",2,Exploris 240 Orbitrap Thermo Scientific,1,770.4474,770.4473883028799,55.0,"C,H,N,O",1,C43H63NO11,standard compound,,"B. Beck [dtc,com], J. Hollender [dtc]",CC BY-SA,False,1.169712015780533e-05,N=C1C=CC2C(=O)OC3CC(CC=CC(OC4CCCCO4)CC=CC=C4COC1C42)OC1(CCCC(C2CCCCC2)O1)C3,1,False,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,1.0,CO[C@H]1C[C@H](O[C@@H]2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(CC[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)/C(=N\O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@]43O)O[C@@H](C)[C@@H]1O,1,1.0,True,False,False,False,False,False
AFSDNFLWKVMVRB,AFSDNFLWKVMVRB,AFSDNFLWKVMVRB,O=c1oc2cccc3c(=O)oc4cccc1c4c23,1,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,,11922,2025.10,2025.10,9,"15,30,45,60,75,90,120,150,180",9,Exploris 240 Orbitrap Thermo Scientific,1,303.0135,303.01354361887996,22.0,"C,H,O",1,C14H6O8,standard compound,tutorial,"Giulia Martella[dtc], Birgit Beck [dtc.com], Lena Aisch[dtc]",CC BY-SA,False,4.36188799426418e-05,O=c1oc2cccc3c(=O)oc4cccc1c4c23,1,False,True,True,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,1.0,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,1,1.0,True,True,False,False,False,False
AFWOYEYXUDHGHF,AFWOYEYXUDHGHF,AFWOYEYXUDHGHF,__ACYCLIC__AFWOYEYXUDHGHF,1,C(COP(=O)(O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,8-2-diPAP,2923,2024.06,2024.06,2,"15,30",2,Exploris 240 Orbitrap Thermo Scientific,1,990.9768,990.97683134488,59.0,"C,F,H,O,P",1,C20H9F34O4P,standard compound,,"B. Beck [dtc,com], J. Hollender [dtc]",CC BY-SA,False,3.1344879971584305e-05,__ACYCLIC__AFWOYEYXUDHGHF,1,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,1.0,O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1.0,True,False,False,False,False,False
AGCUFKNHQDVTAD,AGCUFKNHQDVTAD,AGCUFKNHQDVTAD,__ACYCLIC__AGCUFKNHQDVTAD,1,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,(Tridecafluorohexyl)phosphonic acid,11479,2024.06,2024.06,6,"15,30,45,60,75,90",6,Exploris 240 Orbitrap Thermo Scientific,1,400.9607,400.96067388088,23.0,"C,F,H,O,P",1,C6H2F13O3P,standard compound,,"B. Beck [dtc,com], J. Hollender [dtc]",CC BY-SA,False,2.611911997973948e-05,__ACYCLIC__AGCUFKNHQDVTAD,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.41935483870967744,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,,True,True,True,True,True,True
AIBRSVLEQRWAEG,AIBRSVLEQRWAEG,AIBRSVLEQRWAEG,c1ccc(OP2OCC3(CO2)COP(Oc2ccccc2)OC3)cc1,1,CC(C)(C)C1=CC(=C(C=C1)OP2OCC3(CO2)COP(OC3)OC4=C(C=C(C=C4)C(C)(C)C)C(C)(C)C)C(C)(C)C,,10963,2025.10,2025.10,9,"15,30,45,60,75,90,120,150,180",9,Exploris 240 Orbitrap Thermo Scientific,1,605.3155,605.31553904688,41.0,"C,H,O,P",1,C33H50O6P2,standard compound,"Meyer, C., Bär, M.L., Hollender, J.. Wastewater as a Dual Indicator of Human and Environmental Exposure to Synthetic Antioxidants: Occurrence and Fate in Biological and Advanced Wastewater Treatment. doi:10.1016/j.envint.2025.109709","C. Meyer [dtc, com], B. Beck [dtc, com], J. Hollender [dtc]",CC BY-SA,False,3.904687991962419e-05,c1ccc(OP2OCC3(CO2)COP(Oc2ccccc2)OC3)cc1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2926829268292683,CC(C)(C)c1ccc(O)c(O)c1,0,,True,True,True,True,True,True
AIONOLUJZLIMTK,AIONOLUJZLIMTK,AIONOLUJZLIMTK,O=C1CC(c2ccccc2)Oc2ccccc21,1,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,,11508,2024.06,2024.06,9,"15,30,45,60,75,90,120,150,180",9,Exploris 240 Orbitrap Thermo Scientific,1,303.0863,303.08631463487995,22.0,"C,H,O",1,C16H14O6,standard compound,"Meyer, C., Stravs, M., Hollender, J.. How Wastewater Reflects Human Metabolism - Suspect Screening of Pharmaceutical Metabolites in Wastewater Influent. doi:10.1021/acs.est.4c00968","C. Meyer [dtc], B. Beck [dtc,com], J. Hollender [dtc]",CC BY-SA,False,1.4634879960340186e-05,O=C1CC(c2ccccc2)Oc2ccccc21,1,False,True,True,True,True,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False,1.0,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,18,1.0,True,True,False,False,False,False
AKNMPWVTPUHKCG,AKNMPWVTPUHKCG,AKNMPWVTPUHKCG,c1cc(Cc2cccc(C3CCCCC3)c2)cc(C2CCCCC2)c1,1,CC1=CC(=C(C(=C1)C2CCCCC2)O)CC3=C(C(=CC(=C3)C)C4CCCCC4)O,,11945,2025.10,2025.10,6,"15,30,45,60,75,90",6,Exploris 240 Orbitrap Thermo Scientific,1,393.2788,393.27880685888,29.0,"C,H,O",1,C27H36O2,standard compound,tutorial,"Giulia Martella[dtc], Birgit Beck [dtc.com], Lena Aisch[dtc]",CC BY-SA,False,6.858879999072087e-06,c1cc(Cc2cccc(C3CCCCC3)c2)cc(C2CCCCC2)c1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.38095238095238093,Cc1cc(C2CCCCC2)n(O)c(=O)c1,0,,True,True,True,True,True,True
AKTGKEBIBGSCLD,AKTGKEBIBGSCLD,AKTGKEBIBGSCLD,O=[PH](c1ccccc1)c1ccccc1,1,CCP(=O)(C1=CC=CC=C1)C2=CC=CC=C2,Ethyldiphenylphosphine Oxide,11843,dev,dev,4,"15,30,45,60",4,Exploris 240 Orbitrap Thermo Scientific,1,231.0933,231.09332819687998,16.0,"C,H,O,P",1,C14H15OP,standard compound,,"G. Martella [dtc], B. Beck [dtc,com], L. Aisch [dtc]",CC BY-SA,False,2.8196879981123857e-05,O=[PH](c1ccccc1)c1ccccc1,1,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0,CCP(=O)(c1ccccc1)c1ccccc1,1,1.0,False,True,False,False,False,False
