s4_row,cyanometdb_id,name,formula,smiles,inchikey_s4,unit_id,unit_is_group,level,purity,source,hash_prev_massbank,muru_key,scaffold_group,ik_s4_valid_format,ik14_s4,mh_theor,formula_rdkit,inchikey_rdkit_raw,heavy_atoms,formula_match,ik14_rdkit_eq_s4,inchikeys_in_records,record_ik14_contains_s4_ik14,in_msg15_any_route,in_msg15_simchallenge,in_muru_registry,in_muru_exposed_populations,muru_population_hits,in_study2,in_comparator,in_msnlib_9lib,msg15_same_formula_keys,n_msg15_same_formula_other_key,scaf_in_muru_registry,scaf_in_study2,scaf_in_comparator,scaf_in_msg15,n_mh_records,mh_nce_set,n_mh_distinct_nce,n_mh_distinct_nce_first_mass_40,n_mh_distinct_nce_muru_window_ok,has_nce20_and_nce60,has_nce20_and_nce60_muru_window_ok,has_nce20_and_nce60_first_mass_40,n_mh_records_with_scan_range,mh_precursor_mz_median,mh_instruments,mh_series,mh_fragmentation,has_mh,mh_record_vs_theor_da,msg15_nn_tanimoto
0,21,Tutuilamide A,C51H69ClN8O12,O=C(N(C)[C@@H](CC1=CC=C(O)C=C1)C(N[C@@H](C(C)C)C2=O)=O)[C@H](CC3=CC=CC=C3)N([C@@H](CC4)O)C([C@H]4NC(/C(NC([C@@H](NC([C@H]([C@H](CC)C)NC([C@H](C)NC(C/C(C)=C/Cl)=O)=O)=O)[C@@H](C)O2)=O)=C/C)=O)=O,CWLDDHHTMAJFMM-LKVOOIPRSA-N,CMDB21,False,1,reference material,Schizothrix sp.,False,CWLDDHHTMAJFMM,C=C1NC(=O)CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC1=O)C2=O,True,CWLDDHHTMAJFMM,1021.4796237950001,C51H69ClN8O12,CWLDDHHTMAJFMM-LKVOOIPRSA-N,72.0,True,True,CWLDDHHTMAJFMM-LKVOOIPRSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,True,9.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,0.0,True,False,False,9.0,1021.4796,QExactive Plus,MSBNK-MLU-ED,HCD,True,2.3795000060999882e-05,0.7964601769911505
1,155,Balticidin C,C75H121N11O36,O=C(NC(C(O)C)C(NC(C(C)O)C(NC(C(C)O)C(NC(C(N/C(C(N[C@H](C(NCC(N(C(C(N[C@H](CCC(N)=O)C(O)=O)=O)C(C)O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](CO)O1)C)=O)=O)CCC(N)=O)=O)=C\C)=O)C(O)C2=CC=C(O)C=C2)=O)=O)=O)C(O)C(O[C@H]3[C@@H](O)[C@H](O[C@H]4O[C@@H](C(O)=O)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H](O)CO3)CCCCCCCCCCCCC,CXWFWZQJPYLHFZ-GGBPWVLZSA-N,CMDB155,False,1,crude extract,Anabaena cylindrica ,False,CXWFWZQJPYLHFZ,C=C(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CNC(=O)CCOC1CC(OC2CCCCO2)CCO1)C(=O)NCC(=O)NCC(=O)NCCOC1CCCCO1,True,CXWFWZQJPYLHFZ,1752.8048456589993,C75H121N11O36,CXWFWZQJPYLHFZ-GGBPWVLZSA-N,122.0,True,True,CXWFWZQJPYLHFZ-GGBPWVLZSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,False,9.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,0.0,True,False,False,0.0,1752.8048,QExactive Plus,MSBNK-MLU-ED,,True,4.5658999397346633e-05,0.28823529411764703
2,214,Molassamide,C48H66N8O13,C/C=C(NC1=O)/C(N[C@@H]2C(N([C@@H](CC3=CC=CC=C3)C(N(C)[C@H](C(N[C@@H](C(C)C)C(O[C@H](C)[C@@H]1NC([C@H]([C@@H](C)O)NC([C@H](C)NC(CCC)=O)=O)=O)=O)=O)CC4=CC=C(O)C=C4)=O)[C@H](O)CC2)=O)=O,KXSGCAPYMUMVSH-VFYPFKDGSA-N,CMDB214,False,1,crude extract,Rivularia sp. PCC 7116,False,KXSGCAPYMUMVSH,C=C1NC(=O)CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC1=O)C2=O,True,KXSGCAPYMUMVSH,963.4822106390003,C48H66N8O13,KXSGCAPYMUMVSH-VFYPFKDGSA-N,69.0,True,True,KXSGCAPYMUMVSH-VFYPFKDGSA-N,True,True,False,False,False,,False,False,False,KXSGCAPYMUMVSH,0,False,False,False,True,7.0,"15,20,25,30,40,50,60",7.0,0.0,0.0,True,False,False,0.0,963.4822,QExactive Plus,MSBNK-MLU-ED,,True,1.063900026565534e-05,1.0
3,258,Tychonamide A,C73H107N13O20,O=C([C@@H](CCC(N)=O)NC1=O)NCC(N2[C@@H](CCC2)C(N3[C@@H](CCC3)C(N[C@H]([C@@H](C)CC)C(N[C@@H](CO)C(N/C(C(N[C@@H]([C@@H](C)O)C(N[C@H](CCC4=CC=C(OC)C=C4)C(N5[C@@H](CCC5)C(NC(CC(OC([C@H](CC(C)C)N(C)C(C)=O)=O)CC(O)CC6=CC=CC=C6)C1O)=O)=O)=O)=O)=C/C)=O)=O)=O)=O)=O,ODQWSGPULNHBGL-MCIOLPHXSA-N,CMDB258,False,1,Bioreagent,Tychonema sp.,False,ODQWSGPULNHBGL,C=C1NC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CC(CCCCCc2ccccc2)NC(=O)C2CCCN2C(=O)C(CCc2ccccc2)NC(=O)CNC1=O,True,ODQWSGPULNHBGL,1486.782809290999,C73H107N13O20,ODQWSGPULNHBGL-MCIOLPHXSA-N,106.0,True,True,ODQWSGPULNHBGL-MCIOLPHXSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,False,,,,,,,,,,,,,,False,,0.36879432624113473
4,259,Tychonamide B,C72H105N13O19,O=C([C@@H](CCC(N)=O)NC1=O)NCC(N2[C@@H](CCC2)C(N3[C@@H](CCC3)C(N[C@H]([C@@H](C)CC)C(N[C@@H](CO)C(N/C(C(N[C@@H]([C@@H](C)O)C(N[C@H](CCC4=CC=CC=C4)C(N5[C@@H](CCC5)C(NC(CC(OC([C@H](CC(C)C)N(C)C(C)=O)=O)CC(O)CC6=CC=CC=C6)C1O)=O)=O)=O)=O)=C/C)=O)=O)=O)=O)=O,MTUBMTPWQGVXCG-UDDZTRNDSA-N,CMDB259,False,1,Bioreagent,Tychonema sp.,False,MTUBMTPWQGVXCG,C=C1NC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CC(CCCCCc2ccccc2)NC(=O)C2CCCN2C(=O)C(CCc2ccccc2)NC(=O)CNC1=O,True,MTUBMTPWQGVXCG,1456.7722446069993,C72H105N13O19,MTUBMTPWQGVXCG-UDDZTRNDSA-N,104.0,True,True,MTUBMTPWQGVXCG-UDDZTRNDSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,False,6.0,"15,20,25,30,40,50",6.0,0.0,0.0,False,False,False,0.0,1456.7722,QExactive Plus,MSBNK-MLU-ED,,True,4.460699915398436e-05,0.3880597014925373
5,525,Nostotrebin 6,C50H38O10,C1=CC(=CC=C1CC2=C(C(=O)C(C2=O)(C3=CC=C(C=C3)O)C4(C(=O)C(=C(C4=O)CC5=CC=C(C=C5)O)CC6=CC=C(C=C6)O)C7=CC=C(C=C7)O)CC8=CC=C(C=C8)O)O,BIRIZXULSMAMOU-UHFFFAOYSA-N,CMDB525,False,1,crude extract,Nostoc sp.,False,BIRIZXULSMAMOU,O=C1C(Cc2ccccc2)=C(Cc2ccccc2)C(=O)C1(c1ccccc1)C1(c2ccccc2)C(=O)C(Cc2ccccc2)=C(Cc2ccccc2)C1=O,True,BIRIZXULSMAMOU,799.2537738830001,C50H38O10,BIRIZXULSMAMOU-UHFFFAOYSA-N,60.0,True,True,BIRIZXULSMAMOU-UHFFFAOYSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,False,7.0,"15,20,25,30,40,50,60",7.0,0.0,0.0,True,False,False,0.0,799.2538,QExactive Plus,MSBNK-MLU-ED,,True,2.611699983390281e-05,0.37209302325581395
6,551,Cyanopeptolin CP990,C49H70N10O12,O=C(NC(C(NC(C(NC(CCCNC(N)=N)C(NC1C(N(C(C(N(C(C(NC2C(C)C)=O)CC3=CC=CC=C3)C)=O)CC4=CC=CC=C4)C(O)CC1)=O)=O)=O)C(OC2=O)C)=O)CC(O)=O)CCCCC,HFRWIDDUABJXBW-UHFFFAOYSA-N,CMDB551,False,1,crude extract,Nostoc edaphicum CCNP1411,False,HFRWIDDUABJXBW,O=C1CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC(=O)CN1)C2=O,True,HFRWIDDUABJXBW,991.5247441470003,C49H70N10O12,HFRWIDDUABJXBW-UHFFFAOYSA-N,71.0,True,True,HFRWIDDUABJXBW-UHFFFAOYSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,True,18.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,9.0,True,True,True,18.0,991.5247,Exploris 240 Thermo Scientific,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,HCD,True,4.414700026700302e-05,0.7837837837837838
7,616,Cyanopeptolin CP962,C47H66N10O12,CCCC(NC(C(NC(C(NC(CCCNC(N)=N)C(NC1C(N(C(C(N(C(C(NC2C(C)C)=O)CC3=CC=CC=C3)C)=O)CC4=CC=CC=C4)C(O)CC1)=O)=O)=O)C(OC2=O)C)=O)CC(O)=O)=O,GKSSZFHZBNEQFN-UHFFFAOYSA-N,CMDB616,False,1,crude extract,Nostoc edaphicum CCNP1411,False,GKSSZFHZBNEQFN,O=C1CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC(=O)CN1)C2=O,True,GKSSZFHZBNEQFN,963.4934440190004,C47H66N10O12,GKSSZFHZBNEQFN-UHFFFAOYSA-N,69.0,True,True,GKSSZFHZBNEQFN-UHFFFAOYSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,True,18.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,9.0,True,True,True,9.0,963.4934,Exploris 240 Thermo Scientific,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,HCD,True,4.401900048378593e-05,0.7345132743362832
8,642,Cyanopeptolin B,C46H72N8O12,CCCCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](N2[C@@H](CC[C@@H](C2=O)NC(=O)[C@@H](NC1=O)CCCCN)O)CC(C)C)C)CC3=CC=CC=C3)C(C)C)C,KSVGOBQTQGOLQM-PLGRJYAQSA-N ,CMDB642,False,1,crude extract,"industrial source (CyanoBiorech, now SIMRIS)",False,KSVGOBQTQGOLQM,O=C1CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CN2CCCC(NC(=O)CN1)C2=O,False,KSVGOBQTQGOLQM,929.534246211,C46H72N8O12,KSVGOBQTQGOLQM-WBJGGQTMSA-N,66.0,True,True,KSVGOBQTQGOLQM-PLGRJYAQSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,False,23.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,9.0,True,True,True,18.0,929.5342,Exploris 240 Thermo Scientific|QExactive Plus,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED|MSBNK-MLU-ED,HCD,True,4.621099992618838e-05,0.8571428571428571
9,653,Brunsvicamide B,C46H66N8O8,CC[C@H]([C@H](C(O)=O)NC(N[C@@H]1C(N[C@H](C(N[C@H](C(N([C@H](C(N[C@H](C(NCCCC1)=O)CC2=CC=CC=C2)=O)CC3=CNC4=CC=CC=C43)C)=O)CC(C)C)=O)[C@H](CC)C)=O)=O)C,CLAPAZQQSRVIAI-IRIVFKDGSA-N,CMDB653,False,1,reference material,Tychonema sp.,False,CLAPAZQQSRVIAI,O=C1CCCCCNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)CN1,True,CLAPAZQQSRVIAI,859.5076375390001,C46H66N8O8,CLAPAZQQSRVIAI-IRIVFKDGSA-N,62.0,True,True,CLAPAZQQSRVIAI-IRIVFKDGSA-N,True,False,False,False,False,,False,False,False,,0,False,False,False,False,9.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,0.0,True,False,False,0.0,859.5076,QExactive Plus,MSBNK-MLU-ED,,True,3.753900011815858e-05,0.7628865979381443
