cyanometdb_id,name,level,purity,unit_id,unit_is_group,muru_key,scaffold_group,mh_theor,formula_rdkit,heavy_atoms,mh_nce_set,n_mh_distinct_nce,n_mh_distinct_nce_first_mass_40,has_nce20_and_nce60,has_nce20_and_nce60_first_mass_40,mh_series,mh_instruments,in_msg15_any_route,in_msg15_simchallenge,in_muru_registry,in_study2,in_comparator,scaf_in_msg15,msg15_nn_tanimoto,P0_all_mh_ge3nce,P1_single_identity,P2_key_clean,P3_key_and_scaffold_clean,P4_P3_nce20_60,P5_P4_msg_range,P6_P4_muru_range,P7_P5_level1_2a,P8_P5_level1,P9_P5_first_mass_40,P10_P9_level1_2a
21,Tutuilamide A,1,reference material,CMDB21,False,CWLDDHHTMAJFMM,C=C1NC(=O)CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC1=O)C2=O,1021.479623795,C51H69ClN8O12,72.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,True,0.7964601769911505,True,True,True,True,True,False,True,False,False,False,False
155,Balticidin C,1,crude extract,CMDB155,False,CXWFWZQJPYLHFZ,C=C(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CNC(=O)CCOC1CC(OC2CCCCO2)CCO1)C(=O)NCC(=O)NCC(=O)NCCOC1CCCCO1,1752.8048456589993,C75H121N11O36,122.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.288235294117647,True,True,True,True,True,False,False,False,False,False,False
214,Molassamide,1,crude extract,CMDB214,False,KXSGCAPYMUMVSH,C=C1NC(=O)CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC1=O)C2=O,963.4822106390004,C48H66N8O13,69.0,"15,20,25,30,40,50,60",7.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,True,False,False,False,False,True,1.0,True,True,False,False,False,False,False,False,False,False,False
258,Tychonamide A,1,Bioreagent,CMDB258,False,ODQWSGPULNHBGL,C=C1NC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CC(CCCCCc2ccccc2)NC(=O)C2CCCN2C(=O)C(CCc2ccccc2)NC(=O)CNC1=O,1486.782809290999,C73H107N13O20,106.0,,,,,,,,False,False,False,False,False,False,0.3687943262411347,False,False,False,False,False,False,False,False,False,False,False
259,Tychonamide B,1,Bioreagent,CMDB259,False,MTUBMTPWQGVXCG,C=C1NC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CC(CCCCCc2ccccc2)NC(=O)C2CCCN2C(=O)C(CCc2ccccc2)NC(=O)CNC1=O,1456.7722446069993,C72H105N13O19,104.0,"15,20,25,30,40,50",6.0,0.0,False,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.3880597014925373,True,True,True,True,False,False,False,False,False,False,False
525,Nostotrebin 6,1,crude extract,CMDB525,False,BIRIZXULSMAMOU,O=C1C(Cc2ccccc2)=C(Cc2ccccc2)C(=O)C1(c1ccccc1)C1(c2ccccc2)C(=O)C(Cc2ccccc2)=C(Cc2ccccc2)C1=O,799.2537738830001,C50H38O10,60.0,"15,20,25,30,40,50,60",7.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.3720930232558139,True,True,True,True,True,True,True,True,True,False,False
551,Cyanopeptolin CP990,1,crude extract,CMDB551,False,HFRWIDDUABJXBW,O=C1CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC(=O)CN1)C2=O,991.5247441470004,C49H70N10O12,71.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,True,0.7837837837837838,True,True,True,True,True,True,True,True,True,True,True
616,Cyanopeptolin CP962,1,crude extract,CMDB616,False,GKSSZFHZBNEQFN,O=C1CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC(=O)CN1)C2=O,963.4934440190004,C47H66N10O12,69.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,True,0.7345132743362832,True,True,True,True,True,True,True,True,True,True,True
642,Cyanopeptolin B,1,crude extract,CMDB642,False,KSVGOBQTQGOLQM,O=C1CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CN2CCCC(NC(=O)CN1)C2=O,929.534246211,C46H72N8O12,66.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED|MSBNK-MLU-ED,Exploris 240 Thermo Scientific|QExactive Plus,False,False,False,False,False,False,0.8571428571428571,True,True,True,True,True,True,True,True,True,True,True
653,Brunsvicamide B,1,reference material,CMDB653,False,CLAPAZQQSRVIAI,O=C1CCCCCNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)CN1,859.5076375390001,C46H66N8O8,62.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.7628865979381443,True,True,True,True,True,True,True,True,True,False,False
702,Brunsvicamide C,1,reference material,CMDB702,False,HQMATMGVGJKSPD,O=C1CCCCCNC(=O)C(Cc2ccccc2)NC(=O)C(CC(=O)c2ccccc2)NC(=O)CNC(=O)CN1,877.4818167150001,C45H64N8O10,63.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.5454545454545454,True,True,True,True,True,True,True,True,True,False,False
861,Nodularin-R,1,reference material,CMDB861,False,IXBQSRWSVIBXNC,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC1=O,825.4505165869999,C41H60N8O10,59.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,True,True,True,False,False,True,1.0,True,True,False,False,False,False,False,False,False,False,False
867,Anabaenopeptin B,1,Bioreagent,CMDB867,False,ZDOVFDLIJJGVQM,O=C1CCCCCNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C(CCc2ccccc2)NC(=O)CN1,837.4617499670002,C41H60N10O9,60.0,"15,20,25,30,35,40,50,60,70",9.0,0.0,True,False,MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,True,True,False,False,False,True,1.0,True,True,False,False,False,False,False,False,False,False,False
923,Nostocyclopeptide A2,1,crude extract,CMDB923,False,OYHPNVXZUBWKJE,O=C1CNC(=O)CNC(=O)C(Cc2ccccc2)N=CC(Cc2ccccc2)NC(=O)C2CCCN2C(=O)CNC(=O)CN1,791.4086517750002,C40H54N8O9,57.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,False,0.4336283185840708,True,True,True,True,True,True,True,True,True,True,True
