identifier,inchikey,fold,simulation_challenge,adduct,instrument_type,collision_energy,precursor_mz,parent_mass,formula,precursor_formula,smiles,ce_missing,cyanometdb_name
MassSpecGymID0070019,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,150.743106,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070020,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,200.990808,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070021,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,301.486212,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070022,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,100.495404,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070023,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,75.371553,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070024,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,50.247702,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070025,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,251.23851,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070026,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,125.619255,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070027,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,25.123851,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070028,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,301.486212,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070029,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,251.23851,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070030,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,200.990808,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
