accession,cs_dir,cs_blob_sha,head_ce_string,head_frag_mode,head_ce_has_percent,head_ce_form,blob_2023_11,title,title_ce_text,title_adduct,api_instrument_type,api_ion_mode,design_row,in_2023_11_tree,blob_identical_2023_11,arm,n_conv_match,n_raw_match
MSBNK-AAFC-AC000300,AAFC,4a3271d26fa5ccb915fee28c44913fb53680a0c9,30(NCE),HCD,False,N(NCE),326f2ca582f7d9bd3e2fca91ba613ab431af7d9d,Ergocorninine; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+Na]+,30,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000846,AAFC,3cb6ad66073e9f6033ee97b3b4518be47d26b834,55(NCE),HCD,False,N(NCE),5a96384c45489451a58cdf7cca3d8e3b7e03022f,Ctrinin hydrate; LC-ESI-ITFT; MS2; CE: 55; R=17500; [M-H]-,55,[M-H]-,LC-ESI-ITFT,NEGATIVE,False,True,False,,,
MSBNK-AAFC-AC000487,AAFC,0be7ae959e649338fdfee98fd6174c1da372d73c,30(NCE),HCD,False,N(NCE),9b24ffb1c04d3feab242075893541d8e93b6067a,Fumonisin B2; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+Na]+,30,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000814,AAFC,a371d18a4ba77134131816df26f2d09b1b2e7d48,10(NCE),HCD,False,N(NCE),f8629fa967321db552b5f2a6d3299b46b4b7be81,Roquefortine L; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,10,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
MSBNK-AAFC-AC000903,AAFC,311a1d57c14d7e6253d05b1c45569773ec3efd0d,20(NCE),HCD,False,N(NCE),5ca79f1b2bcc99aafe89320a9576f5fb3929db1a,Trichodermamide C; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+Na]+,20,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,key_present_no_ce_match,0.0,0.0
MSBNK-AAFC-AC000517,AAFC,9505f0b3f4ced2b952002549491e55767d494109,10(NCE),HCD,False,N(NCE),cf7788e4e90bdc90557699b102562a8e9f92b155,Nivalenol; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+Na]+,10,[M+Na]+,LC-ESI-ITFT,POSITIVE,False,True,False,key_present_no_ce_match,0.0,0.0
MSBNK-AAFC-AC000805,AAFC,ecf2a6256a554d37c09ca9321c7126f1610bb274,55(NCE),HCD,False,N(NCE),c7c13560fa44126fe76d08e7c0d3f45f3a2499c6,Redoxcitrinin; LC-ESI-ITFT; MS2; CE: 55; R=17500; [M-H]-,55,[M-H]-,LC-ESI-ITFT,NEGATIVE,False,True,False,,,
MSBNK-AAFC-AC000218,AAFC,681ed9370d8478da7e301bd70d487d7b74bcb58a,50(NCE),HCD,False,N(NCE),fc4c531c21bc80bf99112d9c640270600611b2e4,Roquefortine C; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,50,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,both_arms_present,1.0,2.0
MSBNK-AAFC-AC000057,AAFC,340e39bf19818d15b568dd3378d61464be4710bd,30(NCE),HCD,False,N(NCE),7bb7df457107be72d025525132854124121a677d,Altenuene; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,30,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,both_arms_present,1.0,2.0
MSBNK-AAFC-AC000838,AAFC,b4da90049fcd6d054ec9c99756eae954493478a4,20(NCE),HCD,False,N(NCE),70bd1b625f40fc5c39f4cc95847a81bbdd6ff59d,Trichodermamide A; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+H]+,20,[M+H]+,LC-ESI-ITFT,POSITIVE,True,True,False,raw_only,0.0,2.0
