compound_id,dirs,n_records,recorded_key14,parent_key,scaffold_group,smiles,n_distinct_nce,nce_values,in_msg15_all_recorded,in_msg15_all_parent,in_msg15_train_recorded,in_msg15_val_recorded,in_msg15_test_recorded,in_msg15_simchallenge_all,in_muru_v2_development_population,in_muru_exposed_populations_union,in_muru_exposure_registry_full,in_pr7_msnlib_study2_population,in_comparator_common_population,in_msg15_any,excluded_any_key,excluded_scaffold,formula,canonical_tautomer_key,msg_same_formula_keys,msg_tautomer_equal_keys,mono_mass,MH_mz,MH_above_msg_1000_cap,in_muru_dev_range_70_1042.6
BLNVISNJTIRAHF,Eawag_Additional_Specs,1,BLNVISNJTIRAHF,BLNVISNJTIRAHF,c1ccccc1,C1=CC(=CC=C1C(=O)N)Cl,1,95,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C7H6ClNO,BLNVISNJTIRAHF,1,,155.0138,156.021076466812,False,True
DDULCZLFAKVKJB,AAFC,5,DDULCZLFAKVKJB,DDULCZLFAKVKJB,O=C1CCOC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,CC(C)CCCCCCCC[C@@H]1CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)O1)CC(C)C)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)O,5,10;20;30;40;55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C52H91N7O13,DDULCZLFAKVKJB,0,,1021.66749,1022.674766466812,True,True
DYKFCLLONBREIL,Eawag,9,DYKFCLLONBREIL,DYKFCLLONBREIL,O=C1C2=CC3C(=O)C=CCC3CC2Cc2ccccc21,[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,9,15;30;45;60;75;90;120;150;180,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C23H27N3O7,ZZZRUAITSXLWBH,2,FFTVPQUHLQBXQZ;ZZZRUAITSXLWBH,457.1849,458.19217646681204,False,True
HHWQIIWAFGDWOM,Eawag_Additional_Specs,1,HHWQIIWAFGDWOM,HHWQIIWAFGDWOM,c1ccccc1,N=C(O)/N=N/C(=C\O)c1cccc(Cl)c1Cl,1,55,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C9H7Cl2N3O2,VESYYBQDZWKJSN,1,VESYYBQDZWKJSN,258.9915,259.998776466812,False,True
JIGDOBKZMULDHS,Eawag,6,JIGDOBKZMULDHS,JIGDOBKZMULDHS,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,O=C2N[C@@H](\C=C\C(=C\[C@H](C)[C@@H](OC)Cc1ccccc1)C)[C@@H](C(=O)N[C@@H](C(=O)O)CCC(=O)N(/C(=C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)O)[C@@H](C(=O)N[C@H]2CCC/N=C(\N)N)C)CCC/N=C(\N)N)C)C)C,6,15;30;45;60;75;90,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C49H75N13O12,JIGDOBKZMULDHS,0,,1037.56581,1038.5730864668121,True,True
JIVQGWHGELHXHV,Eawag,9,JIVQGWHGELHXHV,JIVQGWHGELHXHV,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,CC=C1C(=O)NC(C(=O)NC(C(=O)NC(CC(=O)NC(C(=O)NC(C(C(=O)NC(CCC(=O)N1)C(=O)O)C)C=CC(=CC(C)C(CC2=CC=CC=C2)OC)C)CCCN=C(N)N)C(=O)O)CCCN=C(N)N)C,9,15;30;45;60;75;90;120;150;180,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C48H73N13O12,IRLXGMQLRCMDTN,0,,1023.5502,1024.557476466812,True,True
NJGWOFRZMQRKHT,AAFC,5,NJGWOFRZMQRKHT,NJGWOFRZMQRKHT,O=C1CCOC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,CC(C)CCCCCCCCC[C@@H]1CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)O1)CC(C)C)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)O,5,10;20;30;40;55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C53H93N7O13,NJGWOFRZMQRKHT,0,,1035.68314,1036.6904164668122,True,True
OWHASZQTEFAUJC,Eawag,9,OWHASZQTEFAUJC,OWHASZQTEFAUJC,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)C(Cc2ccccc2)NC(=O)CNC1=O,CO[C@@H](Cc1ccccc1)[C@@H](C)\C=C(C)\C=C\[C@@H]2NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](C)[C@@H](NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]2C)C(O)=O)C(O)=O,9,15;30;45;60;75;90;120;150;180,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C52H72N10O13,OWHASZQTEFAUJC,0,,1044.528,1045.535276466812,True,False
QAPJKCNKHLDDAK,HBM4EU,6,QAPJKCNKHLDDAK,QAPJKCNKHLDDAK,O=C1C=Cc2cccc3cccc1c23,O=C1C(OC)=C(O)C2=C(O)C=C(C)C3=C2C1=C(O)C=C3O,6,15;20;30;40;50;60,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C15H12O6,BLMOHJOHJFWGFR,22,LHEJVMYQRYQFKB,288.06339,289.07066646681204,False,True
QTXVAVXCBMYBJW,Eawag,6,QTXVAVXCBMYBJW,QTXVAVXCBMYBJW,O=c1c(Cc2ccccc2)coc2ccccc12,O=C\1c3c(OC(/O)=C/1C(c2ccccc2)CC(=O)C)cccc3,6,15;30;45;60;75;90,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C19H16O4,PJVWKTKQMONHTI,2,PJVWKTKQMONHTI,308.10486,309.112136466812,False,True
QWENRTYMTSOGBR,Eawag,6,QWENRTYMTSOGBR,QWENRTYMTSOGBR,c1c[nH]nn1,c1cnn[nH]1,6,15;30;45;60;75;90,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C2H3N3,QWENRTYMTSOGBR,1,,69.0327,70.039976466812,False,True
