compound_id,dirs,n_records,recorded_key14,parent_key,scaffold_group,smiles,n_distinct_nce,nce_values,in_msg15_all_recorded,in_msg15_all_parent,in_msg15_train_recorded,in_msg15_val_recorded,in_msg15_test_recorded,in_msg15_simchallenge_all,in_muru_v2_development_population,in_muru_exposed_populations_union,in_muru_exposure_registry_full,in_pr7_msnlib_study2_population,in_comparator_common_population,in_msg15_any,excluded_any_key,excluded_scaffold,formula,formula_in_msg
BIXZHMJUSMUDOQ,Eawag,5,BIXZHMJUSMUDOQ,BIXZHMJUSMUDOQ,c1ccccc1,C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],5,15;30;45;60;75,False,False,False,False,False,False,False,True,True,False,False,False,True,True,C6H4Cl2N2O2,False
BLNVISNJTIRAHF,Eawag_Additional_Specs,1,BLNVISNJTIRAHF,BLNVISNJTIRAHF,c1ccccc1,C1=CC(=CC=C1C(=O)N)Cl,1,95,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C7H6ClNO,True
CJIASZBWXIFQMU,Eawag,9,CJIASZBWXIFQMU,CJIASZBWXIFQMU,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CCNC(=O)CNC(=O)CNC1=O,CO[C@@H](Cc1ccccc1)[C@@H](C)/C=C(C)/C=C/[C@@H]2NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@@H](C)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]2C)C(O)=O)C(O)=O,9,15;30;45;60;75;90;120;150;180,False,False,False,False,False,False,True,True,True,False,False,False,True,True,C54H72N8O12,False
CQIUKKVOEOPUDV,NaToxAq,55,CQIUKKVOEOPUDV,CQIUKKVOEOPUDV,O=C1C=CC2=COCCC2=C1,C[C@H]1OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@@H]1C,24,10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125,False,False,False,False,False,False,True,True,True,False,False,False,True,True,C13H14O5,True
DDULCZLFAKVKJB,AAFC,5,DDULCZLFAKVKJB,DDULCZLFAKVKJB,O=C1CCOC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,CC(C)CCCCCCCC[C@@H]1CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)O1)CC(C)C)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)O,5,10;20;30;40;55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C52H91N7O13,False
DYKFCLLONBREIL,Eawag,9,DYKFCLLONBREIL,DYKFCLLONBREIL,O=C1C2=CC3C(=O)C=CCC3CC2Cc2ccccc21,[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,9,15;30;45;60;75;90;120;150;180,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C23H27N3O7,True
HHWQIIWAFGDWOM,Eawag_Additional_Specs,1,HHWQIIWAFGDWOM,HHWQIIWAFGDWOM,c1ccccc1,N=C(O)/N=N/C(=C\O)c1cccc(Cl)c1Cl,1,55,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C9H7Cl2N3O2,True
JIGDOBKZMULDHS,Eawag,6,JIGDOBKZMULDHS,JIGDOBKZMULDHS,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,O=C2N[C@@H](\C=C\C(=C\[C@H](C)[C@@H](OC)Cc1ccccc1)C)[C@@H](C(=O)N[C@@H](C(=O)O)CCC(=O)N(/C(=C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)O)[C@@H](C(=O)N[C@H]2CCC/N=C(\N)N)C)CCC/N=C(\N)N)C)C)C,6,15;30;45;60;75;90,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C49H75N13O12,False
JIVQGWHGELHXHV,Eawag,9,JIVQGWHGELHXHV,JIVQGWHGELHXHV,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,CC=C1C(=O)NC(C(=O)NC(C(=O)NC(CC(=O)NC(C(=O)NC(C(C(=O)NC(CCC(=O)N1)C(=O)O)C)C=CC(=CC(C)C(CC2=CC=CC=C2)OC)C)CCCN=C(N)N)C(=O)O)CCCN=C(N)N)C,9,15;30;45;60;75;90;120;150;180,False,False,False,False,False,False,False,False,False,False,False,False,False,True,C48H73N13O12,False
NJGWOFRZMQRKHT,AAFC,5,NJGWOFRZMQRKHT,NJGWOFRZMQRKHT,O=C1CCOC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,CC(C)CCCCCCCCC[C@@H]1CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)O1)CC(C)C)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)O,5,10;20;30;40;55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,C53H93N7O13,False
