dir,series,api_instrument_type,title_ce_has_percent,both_arms_present,key_not_in_msg_orbitrap_ce_rows,key_present_no_ce_match,percent_converted_only,raw_only
AAFC,AAFC-AC0,LC-APCI-ITFT,False,0,10,6,4,0
AAFC,AAFC-AC0,LC-ESI-ITFT,False,62,13,52,4,492
Eawag,Eawag-EA0,LC-ESI-ITFT,True,878,13,90,1537,38
Eawag,Eawag-EA1,LC-ESI-ITFT,True,8,0,2,30,2
Eawag,Eawag-EA2,LC-ESI-ITFT,True,590,2,102,1075,16
Eawag,Eawag-EQ0,LC-ESI-QFT,False,21,0,9,0,66
Eawag,Eawag-EQ0,LC-ESI-QFT,True,183,25,102,1177,4
Eawag,Eawag-EQ2,LC-ESI-QFT,False,19,0,18,0,79
Eawag,Eawag-EQ2,LC-ESI-QFT,True,0,0,1,8,0
Eawag,Eawag-EQ3,LC-ESI-QFT,False,115,29,80,1,2710
Eawag,Eawag-EQ3,LC-ESI-QFT,True,9,27,5,58,0
Eawag,Eawag-EQ4,LC-ESI-QFT,True,0,9,9,216,0
Eawag,Eawag-EQ5,LC-ESI-QFT,True,4,0,13,73,0
Eawag_Additional_Specs,Eawag_Additional_Specs-ET0,LC-ESI-QFT,False,16,0,5,0,147
Eawag_Additional_Specs,Eawag_Additional_Specs-ET1,LC-ESI-QFT,False,20,0,8,0,219
Eawag_Additional_Specs,Eawag_Additional_Specs-ET2,LC-ESI-QFT,False,12,0,5,0,119
Eawag_Additional_Specs,Eawag_Additional_Specs-ET2,LC-ESI-QFT,True,0,0,1,35,0
Eawag_Additional_Specs,Eawag_Additional_Specs-ET3,LC-ESI-QFT,True,0,0,1,35,0
Eawag_Additional_Specs,Eawag_Additional_Specs-ET4,LC-ESI-QFT,True,1,3,0,17,0
HBM4EU,HBM4,LC-ESI-ITFT,True,274,85,77,1435,12
HBM4EU,HBM4,LC-ESI-QFT,False,48,0,0,3,0
HBM4EU,HBM4,LC-ESI-QFT,True,69,0,0,255,0
NaToxAq,NaToxAq-NA0,LC-ESI-ITFT,True,294,57,295,2970,44
UFZ,UFZ-UA0,APCI-ITFT,True,8,9,1,19,2
UFZ,UFZ-UA0,ESI-ITFT,True,10,3,1,20,2
UFZ,UFZ-UA0,LC-ESI-ITFT,True,9,0,0,9,0
UFZ,UFZ-UA0,LC-ESI-QFT,True,3,1,1,24,0
UFZ,UFZ-UF4,LC-ESI-ITFT,False,155,0,26,1,442
UFZ,UFZ-UP0,LC-ESI-ITFT,True,0,0,19,86,0
UFZ,UFZ-WANA0,LC-ESI-ITFT,True,266,0,109,688,7
UFZ,UFZ-WANA1,LC-ESI-ITFT,True,0,0,9,36,0
UFZ,UFZ-WANA2,LC-ESI-ITFT,True,122,0,84,425,14
UFZ,UFZ-WANA3,LC-ESI-ITFT,True,16,0,14,87,3
UFZ,UFZ-WANA4,LC-ESI-ITFT,True,11,0,15,92,2
