dir,nce,n
AAFC,10.0,86
AAFC,20.0,90
AAFC,30.0,98
AAFC,35.0,62
AAFC,40.0,55
AAFC,45.0,3
AAFC,50.0,42
AAFC,55.0,56
Eawag,15.0,418
Eawag,30.0,369
Eawag,35.0,12
Eawag,45.0,397
Eawag,60.0,363
Eawag,75.0,399
Eawag,90.0,363
Eawag,120.0,200
Eawag,150.0,198
Eawag,180.0,196
Eawag_Additional_Specs,10.0,11
Eawag_Additional_Specs,15.0,158
Eawag_Additional_Specs,20.0,20
Eawag_Additional_Specs,25.0,1
Eawag_Additional_Specs,30.0,67
Eawag_Additional_Specs,35.0,4
Eawag_Additional_Specs,40.0,14
Eawag_Additional_Specs,45.0,42
Eawag_Additional_Specs,50.0,15
Eawag_Additional_Specs,60.0,52
Eawag_Additional_Specs,70.0,15
Eawag_Additional_Specs,75.0,42
Eawag_Additional_Specs,80.0,2
Eawag_Additional_Specs,90.0,42
HBM4EU,15.0,2
HBM4EU,20.0,4
HBM4EU,30.0,3
HBM4EU,40.0,2
HBM4EU,60.0,1
NaToxAq,10.0,1
NaToxAq,15.0,10
NaToxAq,20.0,11
NaToxAq,30.0,6
NaToxAq,35.0,7
NaToxAq,45.0,4
NaToxAq,65.0,5
UFZ,10.0,1
UFZ,20.0,10
UFZ,30.0,7
UFZ,35.0,86
UFZ,55.0,287
UFZ,60.0,2
UFZ,80.0,73
UFZ,90.0,6
