table_id,name,provider,compound_class,flavonoid_class,prenylation_type,cas,smiles,recorded_inchikey,key,scaffold_group,recorded_inchikey_block,inchi_derived_block,key_agrees_recorded,key_agrees_inchi,table_formula,parent_formula,formula_agrees,parent_monoisotopic,mh_mz,mh_in_dev_range,elements,parent_formal_charge,n_fragments_raw,in_msg15_any,msg15_folds,in_msg15_simchallenge,scaffold_in_msg15,in_muru_registry,in_muru_registry_direct,muru_exposed_populations,scaffold_in_muru_registry,in_study2_pop,scaffold_in_study2_pop,in_comparator_pop,scaffold_in_comparator_pop,in_msnlib_9lib,in_msnlib_v1_0,in_multims2_reserved,msg15_n_rows,msg15_n_rows_orbitrap_ce,msg15_adducts,msg15_key_first_identifier_num,is_prenylated,is_isolated_noncommercial,pass_L2_lenient_keys_plus_msg15,msg15_keys_same_formula,msg15_keys_same_formula_and_scaffold,pass_A_keys_muru_pr7_cmp,pass_B_plus_msg15_key,pass_C_plus_scaffold_muru_pr7_cmp,pass_D_plus_scaffold_not_in_msg15,pass_E_C_plus_mh_range_neutral_single
268,Eriodictyol,reference standard_TransMIT,flavonoid - flavanone,flavanone,none,552-58-9,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,SBHXYTNGIZCORC-UHFFFAOYSA-N,SBHXYTNGIZCORC,O=C1CC(c2ccccc2)Oc2ccccc21,SBHXYTNGIZCORC,SBHXYTNGIZCORC,True,True,C15H12O6,C15H12O6,True,288.06338810399996,289.07066410399995,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,177,0,[M+H]+;[M+Na]+,104858.0,False,False,False,22,4,False,False,False,False,False
275,Apigenin,reference standard_PlantMetaChem,flavonoid - flavone,flavone,none,520-36-5,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,KZNIFHPLKGYRTM-UHFFFAOYSA-N,KZNIFHPLKGYRTM,O=c1cc(-c2ccccc2)oc2ccccc12,KZNIFHPLKGYRTM,KZNIFHPLKGYRTM,True,True,C15H10O5,C15H10O5,True,270.05282342,271.06009942,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,81,8,[M+H]+;[M+Na]+,65393.0,False,False,False,29,18,False,False,False,False,False
281,Dihydrokaempferol,reference standard_PlantMetaChem,flavonoid - dihydroflavonol,dihydroflavonol,none,480-20-6,C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,PADQINQHPQKXNL-UHFFFAOYSA-N,PADQINQHPQKXNL,O=C1CC(c2ccccc2)Oc2ccccc21,PADQINQHPQKXNL,PADQINQHPQKXNL,True,True,C15H12O6,C15H12O6,True,288.06338810399996,289.07066410399995,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,33,0,[M+H]+,118993.0,False,False,False,22,4,False,False,False,False,False
282,Naringenin,reference standard_PlantMetaChem,flavonoid - flavanone,flavanone,none,67604-48-2,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,FTVWIRXFELQLPI-UHFFFAOYSA-N,FTVWIRXFELQLPI,O=C1CC(c2ccccc2)Oc2ccccc21,FTVWIRXFELQLPI,FTVWIRXFELQLPI,True,True,C15H12O5,C15H12O5,True,272.068473484,273.07574948399997,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,True,139,2,[M+H]+;[M+Na]+,50058.0,False,False,False,19,3,False,False,False,False,False
283,Apigenin 6-C-glucoside,reference standard_PlantMetaChem,flavonoid - flavone-C-glycoside,flavone,none,38953-85-4,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O,MYXNWGACZJSMBT-UHFFFAOYSA-N,MYXNWGACZJSMBT,O=c1cc(-c2ccccc2)oc2ccc(C3CCCCO3)cc12,MYXNWGACZJSMBT,MYXNWGACZJSMBT,True,True,C21H20O10,C21H20O10,True,432.1056468399998,433.1129228399998,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,98,9,[M+H]+;[M+Na]+,87728.0,False,False,False,15,1,False,False,False,False,False
284,"2,3-Dihydroxybenzoic acid",reference standard_Sigma-Aldrich,benzoic acids,,none,303-38-8,OC(=O)c1cccc(O)c1O,GLDQAMYCGOIJDV-UHFFFAOYSA-N,GLDQAMYCGOIJDV,c1ccccc1,GLDQAMYCGOIJDV,GLDQAMYCGOIJDV,True,True,C7H6O4,C7H6O4,True,154.026608672,155.033884672,True,C;O,0,1,False,,False,True,False,False,,True,False,False,False,False,True,True,False,0,0,,,False,False,True,5,4,True,True,False,False,False
285,"2,4-Dihydroxybenzoic acid",reference standard_Fluka,benzoic acids,,none,89-86-1,OC(=O)c1ccc(O)cc1O,UIAFKZKHHVMJGS-UHFFFAOYSA-N,UIAFKZKHHVMJGS,c1ccccc1,UIAFKZKHHVMJGS,UIAFKZKHHVMJGS,True,True,C7H6O4,C7H6O4,True,154.026608672,155.033884672,True,C;O,0,1,True,train,False,True,False,False,,True,False,False,False,False,True,True,False,7,0,[M+H]+,248126.0,False,False,False,5,4,True,False,False,False,False
286,"2,5-Dihydroxybenzoic acid",reference standard_Sigma-Aldrich,benzoic acids,,none,490-79-9,OC(=O)c1cc(O)ccc1O,WXTMDXOMEHJXQO-UHFFFAOYSA-N,WXTMDXOMEHJXQO,c1ccccc1,WXTMDXOMEHJXQO,WXTMDXOMEHJXQO,True,True,C7H6O4,C7H6O4,True,154.026608672,155.033884672,True,C;O,0,1,True,train,False,True,True,True,,True,False,False,False,False,True,True,False,5,0,[M+H]+,112526.0,False,False,False,5,4,False,False,False,False,False
287,"2,6-Dihydroxybenzoic acid",reference standard_Sigma-Aldrich,benzoic acids,,none,303-07-1,OC(=O)c1c(O)cccc1O,AKEUNCKRJATALU-UHFFFAOYSA-N,AKEUNCKRJATALU,c1ccccc1,AKEUNCKRJATALU,AKEUNCKRJATALU,True,True,C7H6O4,C7H6O4,True,154.026608672,155.033884672,True,C;O,0,1,True,train,True,True,False,False,,True,False,False,False,False,True,True,False,7,1,[M+H]+,172842.0,False,False,False,5,4,True,False,False,False,False
288,"3,4-Dihydroxybenzoic acid",reference standard_Sigma-Aldrich,benzoic acids,,none,99-50-3,OC(=O)c1ccc(O)c(O)c1,YQUVCSBJEUQKSH-UHFFFAOYSA-N,YQUVCSBJEUQKSH,c1ccccc1,YQUVCSBJEUQKSH,YQUVCSBJEUQKSH,True,True,C7H6O4,C7H6O4,True,154.026608672,155.033884672,True,C;O,0,1,True,train,False,True,False,False,,True,False,False,False,False,True,True,False,97,0,[M+H]+;[M+Na]+,198177.0,False,False,False,5,4,True,False,False,False,False
289,"3,5-Dihydroxybenzoic acid",reference standard_Sigma-Aldrich,benzoic acids,,none,99-10-5,OC(=O)c1cc(O)cc(O)c1,UYEMGAFJOZZIFP-UHFFFAOYSA-N,UYEMGAFJOZZIFP,c1ccccc1,UYEMGAFJOZZIFP,UYEMGAFJOZZIFP,True,True,C7H6O4,C7H6O4,True,154.026608672,155.033884672,True,C;O,0,1,False,,False,True,False,False,,True,False,False,False,False,True,True,False,0,0,,,False,False,True,5,4,True,True,False,False,False
309,Biochanin,reference standard_PlantMetaChem,flavonoid - isoflavone - O-methylated,isoflavone,none,491-80-5,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,WUADCCWRTIWANL-UHFFFAOYSA-N,WUADCCWRTIWANL,O=c1c(-c2ccccc2)coc2ccccc12,WUADCCWRTIWANL,WUADCCWRTIWANL,True,True,C16H12O5,C16H12O5,True,284.068473484,285.07574948399997,True,C;O,0,1,True,train,True,True,True,True,LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;LCSB-DEV;LCSB-NEG;LCSB-POS-V2-SPECTRA;V2-DEVELOPMENT-POPULATION,True,False,False,False,False,True,True,False,105,22,[M+H]+;[M+Na]+,87380.0,False,False,False,20,5,False,False,False,False,False
327,(-)-Epicatechin,reference standard_Extrasynthese,flavonoid - flavanol,flavanol,none,490-46-0,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-UKRRQHHQSA-N,PFTAWBLQPZVEMU,c1ccc(C2CCc3ccccc3O2)cc1,PFTAWBLQPZVEMU,PFTAWBLQPZVEMU,True,True,C15H14O6,C15H14O6,True,290.07903816799995,291.08631416799994,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,427,13,[M+H]+;[M+Na]+,62913.0,False,False,False,5,1,False,False,False,False,False
328,Quercetin,reference standard_Sigma-Aldrich,flavonoid - flavonol,flavonol,none,117-39-5,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,REFJWTPEDVJJIY-UHFFFAOYSA-N,REFJWTPEDVJJIY,O=c1cc(-c2ccccc2)oc2ccccc12,REFJWTPEDVJJIY,REFJWTPEDVJJIY,True,True,C15H10O7,C15H10O7,True,302.04265265999993,303.0499286599999,True,C;O,0,1,True,train,True,True,True,True,ENTACT-MIX-LISTS-499-503-505;LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;LCSB-NEG,True,False,False,False,False,True,True,False,201,8,[M+H]+;[M+Na]+,61515.0,False,False,False,10,8,False,False,False,False,False
330,Kaempferol,reference standard_MD & CK,flavonoid - flavonol,flavonol,none,520-18-3,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,IYRMWMYZSQPJKC-UHFFFAOYSA-N,IYRMWMYZSQPJKC,O=c1cc(-c2ccccc2)oc2ccccc12,IYRMWMYZSQPJKC,IYRMWMYZSQPJKC,True,True,C15H10O6,C15H10O6,True,286.04773803999996,287.05501403999995,True,C;O,0,1,True,train,True,True,True,True,LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;LCSB-NEG,True,False,False,False,False,True,True,False,77,34,[M+H]+,64151.0,False,False,False,13,9,False,False,False,False,False
331,Quercetin-3-O-glucopyranosid,reference standard_MD & CK,flavonoid - flavonol-O-glycoside,flavonol,none,482-35-9,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,OVSQVDMCBVZWGM-UHFFFAOYSA-N,OVSQVDMCBVZWGM,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,OVSQVDMCBVZWGM,OVSQVDMCBVZWGM,True,True,C21H20O12,C21H20O12,True,464.0954760799998,465.1027520799998,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,163,13,[M+H]+;[M+Na]+,65225.0,False,False,False,9,2,False,False,False,False,False
332,(-)-Epicatechin-gallate,reference standard_MD & CK,flavonoid - flavanol,flavanol,none,1257-08-5,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,LSHVYAFMTMFKBA-UHFFFAOYSA-N,LSHVYAFMTMFKBA,O=C(OC1Cc2ccccc2OC1c1ccccc1)c1ccccc1,LSHVYAFMTMFKBA,LSHVYAFMTMFKBA,True,True,C22H18O10,C22H18O10,True,442.08999677599985,443.09727277599984,True,C;O,0,1,True,test,True,True,True,True,,True,False,False,False,False,True,True,False,52,7,[M+H]+;[M+Na]+,152454.0,False,False,False,2,1,False,False,False,False,False
334,Cyanidin-3-glucoside,reference standard_MD & CK,flavonoid - anthocyanidin-O-glycoside,anthocyanidin,none,7084-24-4,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O.[Cl-],YTMNONATNXDQJF-UHFFFAOYSA-N,RKWHWFONKJEUEF,c1ccc(-c2[o+]c3ccccc3cc2OC2CCCCO2)cc1,YTMNONATNXDQJF,YTMNONATNXDQJF,False,False,C21H21ClO11,C21H21O11+,False,449.1078379120898,450.1151139120898,True,C;O,1,2,False,,False,False,True,True,,True,False,False,False,False,True,True,False,0,0,,,False,False,True,0,0,False,False,False,False,False
345,Quercetin-3-glucuronide,reference standard_AP,flavonoid - flavonol-O-glucuronide,flavonol,none,22688-79-5,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,DUBCCGAQYVUYEU-UHFFFAOYSA-N,DUBCCGAQYVUYEU,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,DUBCCGAQYVUYEU,DUBCCGAQYVUYEU,True,True,C21H18O13,C21H18O13,True,478.0747406359998,479.08201663599976,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,29,6,[M+H]+;[M+Na]+,129406.0,False,False,False,3,1,False,False,False,False,False
347,Schaftoside,reference standard_PhytoLab,"flavonoid - flavone-C,C-diglycoside",flavone,none,51938-32-0,C1C(C(C(C(O1)C2=C3C(=C(C(=C2O)C4C(C(C(C(O4)CO)O)O)O)O)C(=O)C=C(O3)C5=CC=C(C=C5)O)O)O)O,MMDUKUSNQNWVET-UHFFFAOYSA-N,MMDUKUSNQNWVET,O=c1cc(-c2ccccc2)oc2c(C3CCCCO3)cc(C3CCCCO3)cc12,MMDUKUSNQNWVET,MMDUKUSNQNWVET,True,True,C26H28O14,C26H28O14,True,564.1479055759999,565.1551815759999,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,29,6,[M+H]+;[M+Na]+,156714.0,False,False,False,11,2,False,False,False,False,False
372,pelargonidin-3-O-glucoside,reference standard_Extrasynthese,flavonoid - anthocyanidin-O-glycoside,anthocyanidin,none,18466-51-8,C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O)O.[Cl-],CAHGSEFWVUVGGL-UHFFFAOYSA-N,ABVCUBUIXWJYSE,c1ccc(-c2[o+]c3ccccc3cc2OC2CCCCO2)cc1,CAHGSEFWVUVGGL,CAHGSEFWVUVGGL,False,False,C21H21ClO10,C21H21O10+,False,433.1129232920898,434.1201992920898,True,C;O,1,2,False,,False,False,False,False,,True,False,False,False,False,False,False,False,0,0,,,False,False,True,0,0,True,True,False,False,False
374,Gallic acid,reference standard_Extrasynthese,benzoic acids,,none,149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O,LNTHITQWFMADLM-UHFFFAOYSA-N,LNTHITQWFMADLM,c1ccccc1,LNTHITQWFMADLM,LNTHITQWFMADLM,True,True,C7H6O5,C7H6O5,True,170.021523292,171.028799292,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,40,1,[M+H]+;[M+Na]+,115650.0,False,False,False,2,2,False,False,False,False,False
376,Neohesperidin,reference standard_Extrasynthese,flavonoid - flavanone-diglycoside (neo),flavanone,none,13241-33-3,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O,ARGKVCXINMKCAZ-UHFFFAOYSA-N,ARGKVCXINMKCAZ,O=C1CC(c2ccccc2)Oc2cc(OC3OCCCC3OC3CCCCO3)ccc21,ARGKVCXINMKCAZ,ARGKVCXINMKCAZ,True,True,C28H34O15,C28H34O15,True,610.1897703879999,611.197046388,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,39,6,[M+H]+;[M+Na]+,108416.0,False,False,False,4,3,False,False,False,False,False
378,Naringenin-7-O-glucoside,reference standard_Extrasynthese,flavonoid - flavanone-O-glycoside,flavanone,none,529-55-5,C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O,DLIKSSGEMUFQOK-UHFFFAOYSA-N,DLIKSSGEMUFQOK,O=C1CC(c2ccccc2)Oc2cc(OC3CCCCO3)ccc21,DLIKSSGEMUFQOK,DLIKSSGEMUFQOK,True,True,C21H22O10,C21H22O10,True,434.1212969039999,435.1285729039999,True,C;O,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,72,2,[M+H]+;[M+Na]+,117420.0,False,False,False,7,1,False,False,False,False,False
