precursorID,name,resolved,n_cids,hilicpos_0hr_raw_files,raw_files_any_mode,pubchem_title,smiles,key,scaffold_group,parent_formal_charge,mh_mz,in_msg15_recorded_all,in_msg15_parent_all,in_muru_registry,in_study2_pop,in_comparator_pop,in_msnlib_9lib,in_muru_exposed_populations,scaffold_in_muru_exposed_populations,scaffold_in_muru_registry,scaffold_in_study2_pop,scaffold_in_comparator_pop,scaffold_in_msg15_all
PM0000130,Benfotiamine,True,1,2,8,Benfotiamine,CC1=NC=C(C(=N1)N)CN(C=O)/C(=C(/CCOP(=O)(O)O)\SC(=O)C2=CC=CC=C2)/C,BTNNPSLJPBRMLZ,O=C(SC=CNCc1cncnc1)c1ccccc1,0.0,467.11486855299995,True,True,True,False,False,True,False,False,True,False,False,True
PM0000161,Bromhexine,True,1,2,8,Bromhexine,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2,OJGDCBLYJGHCIH,c1ccc(CNC2CCCCC2)cc1,0.0,375.00659930700004,True,True,True,False,False,True,False,False,True,False,False,True
PM0000277,Clidinium,True,1,2,16,Clidinium,C[N+]12CCC(CC1)C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,HOOSGZJRQIVJSZ,O=C(OC1C[NH+]2CCC1CC2)C(c1ccccc1)c1ccccc1,1.0,,False,False,True,False,False,True,False,False,True,False,False,False
PM0000353,Dipyrocetyl,True,1,2,8,Tosiben,CC(=O)OC1=CC=CC(=C1OC(=O)C)C(=O)O,NYIZXMGNIUSNKL,c1ccccc1,0.0,239.055014507,False,False,True,False,False,True,False,True,True,False,False,True
PM0000358,Docosanol,True,1,2,8,Behenyl Alcohol,CCCCCCCCCCCCCCCCCCCCCCO,NOPFSRXAKWQILS,__ACYCLIC__NOPFSRXAKWQILS,0.0,327.36214255899995,True,True,True,False,False,True,False,False,True,False,False,True
PM0000398,Ergocalciferol,True,1,2,16,Ergocalciferol,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,MECHNRXZTMCUDQ,C=C1CCCCC1=CC=C1CCCC2CCCC12,0.0,397.34649249499995,True,True,False,False,False,False,False,False,True,False,False,True
PM0000457,Furazolidone,True,1,2,16,Furazolidone,C1COC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],PLHJDBGFXBMTGZ,O=C1OCCN1N=Cc1ccco1,0.0,226.045846791,True,True,True,False,False,True,False,False,True,False,False,True
PM0000458,Furosemide,True,1,2,16,Furosemide,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,ZZUFCTLCJUWOSV,c1ccc(NCc2ccco2)cc1,0.0,331.014996599,True,True,True,False,False,True,True,True,True,False,False,True
PM0000462,Gallamine triethyl,False,0,2,16,,,,,,,,,,,,,,,,,,
PM0000468,Gemfibrozil,True,1,2,16,Gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,HEMJJKBWTPKOJG,c1ccccc1,0.0,251.164171031,True,True,True,False,False,True,True,True,True,False,False,True
PM0000471,Gentamicin,True,1,2,8,Gentamicin,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,CEAZRRDELHUEMR,C1CCC(OC2CCCC(OC3CCCCO3)C2)OC1,0.0,478.3235251830001,True,True,True,False,False,True,True,True,True,False,False,True
PM0000489,Histamine,True,1,2,16,Histamine,C1=C(NC=N1)CCN,NTYJJOPFIAHURM,c1c[nH]cn1,0.0,112.08692375499999,True,True,True,False,False,True,False,True,True,False,False,True
PM0000495,Hydrochlorothiazide,True,1,2,16,Hydrochlorothiazide,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,JZUFKLXOESDKRF,O=S1(=O)NCNc2ccccc21,0.0,297.971751883,True,True,True,False,False,False,True,False,True,False,False,True
PM0000497,Hydrocortisone 21-hemisuccinate,True,1,2,16,Hydrocortisone Succinate,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COC(=O)CCC(=O)O)O)C)O,VWQWXZAWFPZJDA,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,0.0,463.23264451499983,True,True,True,False,False,True,False,True,True,False,False,True
PM0000498,Hydrocortisone acetate,True,1,2,16,Hydrocortisone Acetate,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O,ALEXXDVDDISNDU,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,0.0,405.2271652109999,True,True,True,False,False,True,True,True,True,False,False,True
PM0000508,Ibuprofen,True,1,2,16,"Ibuprofen, (+-)-",CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,HEFNNWSXXWATRW,c1ccccc1,0.0,207.137956283,True,True,True,False,False,True,True,True,True,False,False,True
PM0000515,Imipramine,True,1,2,16,Imipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,BCGWQEUPMDMJNV,c1ccc2c(c1)CCc1ccccc1N2,0.0,281.201225235,True,True,True,False,False,True,True,True,True,False,False,True
PM0000520,Indomethacin,True,1,2,16,Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,CGIGDMFJXJATDK,O=C(c1ccccc1)n1ccc2ccccc21,0.0,358.0840621389999,True,True,True,False,False,True,True,True,True,False,False,True
PM0000529,Isoconazole,True,1,2,8,Isoconazole,C1=CC(=C(C(=C1)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,MPIPASJGOJYODL,c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,0.0,414.993300255,True,True,True,False,False,True,False,True,True,False,False,True
PM0000532,Isoniazid,True,1,2,8,Isoniazid,C1=CN=CC=C1C(=O)NN,QRXWMOHMRWLFEY,c1ccncc1,0.0,138.066188311,True,True,True,False,False,True,False,True,True,False,False,True
PM0000533,Isoproterenol,True,1,2,16,Isoproterenol,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,JWZZKOKVBUJMES,c1ccccc1,0.0,212.128119871,True,True,True,False,False,True,True,True,True,False,False,True
PM0000537,Isoxsuprine,True,1,2,16,Isoxsuprine,C[C@H](COC1=CC=CC=C1)N[C@H](C)[C@H](C2=CC=C(C=C2)O)O,BMUKKTUHUDJSNZ,c1ccc(CCNCCOc2ccccc2)cc1,0.0,302.17507006299996,True,True,True,False,False,True,False,False,True,False,False,True
PM0000567,Linagliptin,True,1,2,8,Linagliptin,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,LTXREWYXXSTFRX,O=c1[nH]c2nc(N3CCCCC3)[nH]c2c(=O)n1Cc1ncc2ccccc2n1,0.0,473.24079860300003,True,True,True,False,False,True,False,False,True,False,False,True
PM0000592,Mechlorethamine,True,1,2,16,Mechlorethamine,CN(CCCl)CCCl,HAWPXGHAZFHHAD,__ACYCLIC__HAWPXGHAZFHHAD,0.0,156.03413117899998,False,False,True,False,False,True,False,False,True,False,False,False
PM0000593,Meclizine,True,1,2,16,Meclizine,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,OCJYIGYOJCODJL,c1ccc(CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,0.0,391.193553011,True,True,False,False,False,False,False,False,True,False,False,True
PM0000638,Methylhomatropine,True,1,2,16,Methylhomatropine,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O)C,WKWOJBUWWZTUQV,O=C(Cc1ccccc1)OC1CC2CCC(C1)[NH2+]2,1.0,,False,False,True,False,False,True,False,False,True,False,False,True
PM0000711,Nilvadipine,True,1,2,8,Nilvadipine,CC1=C(C(C(=C(N1)C#N)C(=O)OC)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC(C)C,FAIIFDPAEUKBEP,C1=CC(c2ccccc2)C=CN1,0.0,386.13466179499994,True,True,True,False,False,True,False,False,True,False,False,True
PM0000717,Nithiamide,True,1,2,8,Nithiamide,CC(=O)NC1=NC=C(S1)[N+](=O)[O-],UJRRDDHEMZLWFI,c1cscn1,0.0,188.012438487,False,False,False,False,False,True,False,True,True,False,False,True
PM0000787,Pentolinium,True,1,2,8,Pentolinium,C[N+]1(CCCC1)CCCCC[N+]2(CCCC2)C,XSBSKEQEUFOSDD,C(CC[NH+]1CCCC1)CC[NH+]1CCCC1,2.0,,False,False,False,False,False,False,False,False,False,False,False,False
PM0000792,Perindopril,True,1,2,8,Perindopril,CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O,IPVQLZZIHOAWMC,C1CCC2NCCC2C1,0.0,369.23839859099996,True,True,True,False,False,True,False,False,True,False,False,True
