precursorID,name,drug_group,drug_class,formula_db,mono_mass_db,parent_id,smiles_db,key,raw_key14,scaffold_group,n_fragments_raw,parent_formal_charge,parent_mono_mass,mh_mz,elements,mw_subject_name,in_mw_subjects,hilicpos_raw_files,hilicpos_0hr_raw_files,c18pos_raw_files,feature_lists_aligned,db_MH_feature_modes,db_MH_in_hilicpos,db_MH_in_any_pos,in_msg15_recorded_all,in_msg15_parent_all,in_msg15_recorded_train,in_msg15_parent_train,in_msg15_simchallenge_recorded_all,in_muru_registry,in_muru_registry_direct,in_muru_exposed_union,in_study2_pop,in_comparator_pop,in_msnlib_v1_4lib,in_msnlib_9lib,in_muru_exposed_populations,in_muru_dev_population,in_msg15_parent_simchallenge,in_msg15_orbitrap_MH_parent,scaffold_in_muru_exposed_populations,scaffold_in_muru_registry,scaffold_in_study2_pop,scaffold_in_comparator_pop,scaffold_in_msg15_all,name_checked,name_resolved,name_key_matches_db,name_route_in_msg15,name_keys
PM0000001,"1,1-Cyclobutanedicarboxylic acid",Antiinflammatory and Immunomodulatory,Antineoplastic,C6H8O4,144.0423,2568,C1CC(C1)(C(=O)O)C(=O)O,CCQPAEQGAVNNIA,CCQPAEQGAVNNIA,C1CCC1,1,0,144.042258736,145.049535203,C;O,,False,0,0,0,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,CCQPAEQGAVNNIA
PM0000002,2-phenylethylalcohol,Antimicrobial,Antimicrobial,C8H10O,122.0731649,6054,C1=CC=C(C=C1)CCO,WRMNZCZEMHIOCP,WRMNZCZEMHIOCP,c1ccccc1,1,0,122.07316494,123.080441407,C;O,2-phenylethylalcohol,True,4,2,0,True,,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,True,True,False,False,True,True,False,,False,
PM0000003,2-thiouracil,Antimicrobial,Anti-viral,C4H4N2OS,128.0044335,1269845,C1=CNC(=S)NC1=O,ZEMGGZBWXRYJHK,ZEMGGZBWXRYJHK,O=c1cc[nH]c(=S)[nH]1,1,0,128.004433748,129.011710215,C;N;O;S,2-thiouracil,True,4,2,0,True,,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True,True,True,True,False,ZEMGGZBWXRYJHK
PM0000004,"2,2,2-tribromoethanol",Central nervous system,hypnotic,C2H3Br3O,279.7734025,6400,C(C(Br)(Br)Br)O,YFDSDPIBEUFTMI,YFDSDPIBEUFTMI,__ACYCLIC__YFDSDPIBEUFTMI,1,0,279.773401016,280.780677483,Br;C;O,,False,0,0,0,True,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,YFDSDPIBEUFTMI
PM0000005,4-amino 2-hydroxybenzoic acid,Antimicrobial,Anti-bacterial,C7H7NO3,153.0425931,4649,C1=CC(=C(C=C1N)O)C(=O)O,WUBBRNOQWQTFEX,WUBBRNOQWQTFEX,c1ccccc1,1,0,153.042593084,154.049869551,C;N;O,,False,0,0,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,False,,,,
PM0000006,"4-Chloro-3,5-dimethylphenol",Antimicrobial,Antiseptic,C8H9ClO,156.0341926,2723,CC1=CC(=CC(=C1Cl)C)O,OSDLLIBGSJNGJE,OSDLLIBGSJNGJE,c1ccccc1,1,0,156.034192588,157.041469055,C;Cl;O,,False,0,0,0,True,c18pos,False,True,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,True,True,False,False,True,True,True,True,False,OSDLLIBGSJNGJE
PM0000007,4-hydroxybutyric acid,Central nervous system,anesthetic,C4H8O3,104.0473441,10413,C(CC(=O)O)CO,SJZRECIVHVDYJC,SJZRECIVHVDYJC,__ACYCLIC__SJZRECIVHVDYJC,1,0,104.047344116,105.054620583,C;O,,False,0,0,0,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,SJZRECIVHVDYJC
PM0000008,5-Aminolevulinic acid,Antiinflammatory and Immunomodulatory,Antineoplastic,C5H9NO3,131.0582432,137,C(CC(=O)O)C(=O)CN,ZGXJTSGNIOSYLO,ZGXJTSGNIOSYLO,__ACYCLIC__ZGXJTSGNIOSYLO,1,0,131.058243148,132.065519615,C;N;O,5-Aminolevulinic acid,True,4,2,0,True,,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000009,5-fluorouracil,Antiinflammatory and Immunomodulatory,Antineoplastic,C4H3FN2O2,130.0178556,3385,C1=C(C(=O)NC(=O)N1)F,GHASVSINZRGABV,GHASVSINZRGABV,O=c1cc[nH]c(=O)[nH]1,1,0,130.017855556,131.025132023,C;F;N;O,5-fluorouracil,True,4,2,0,True,,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000010,6-aminocaproic acid,Hematological,hemostatic,C6H13NO2,131.0946287,564,C(CCC(=O)O)CCN,SLXKOJJOQWFEFD,SLXKOJJOQWFEFD,__ACYCLIC__SLXKOJJOQWFEFD,1,0,131.094628656,132.101905123,C;N;O,,False,0,0,0,True,c18pos;hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,,,,
