accession,jsonld_status,title,date_published,license,smiles,inchi,recorded_inchikey,recorded_formula,recorded_mono,t_name,lab,instrument_type,ion_mode,ce_form,ce_numbers,instrument_model_codesearch,ce_line_codesearch,fragmentation_mode_codesearch,ce_title_equals_line,key,scaffold_group,parent_formula,parent_mono,parent_formal_charge,n_fragments_raw,elements,recorded_block,inchi_block,mh_mz,mh_in_dev_range,smiles_fig3,name_fig3,ion_mode_fig3,fig3_smiles_key,fig3_key_agrees,in_msg15_any,msg15_folds,in_msg15_simchallenge,scaffold_in_msg15,in_muru_registry,in_muru_registry_direct,muru_exposed_populations,scaffold_in_muru_registry,in_study2_pop,scaffold_in_study2_pop,in_comparator_pop,scaffold_in_comparator_pop,in_msnlib_9lib,in_msnlib_v1_0,in_multims2_reserved,msg15_keys_same_formula,msg15_keys_same_formula_and_scaffold,is_orbitrap_type,is_pos,is_mh,is_esi,ce_single_numeric,labs
MSBNK-mFam-MC01_000001,200,25-Hydroxycholesterol; APCI-ITFT; MS2; CE: CID 45;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,CC(CCCC(C)(C)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,"InChI=1S/C27H46O2/c1-18(7-6-14-25(2,3)29)22-10-11-23-21-9-8-19-17-20(28)12-15-26(19,4)24(21)13-16-27(22,23)5/h8,18,20-24,28-29H,6-7,9-17H2,1-5H3",INBGSXNNRGWLJU-UHFFFAOYSA-N,C27H46O2,402.34978,25-Hydroxycholesterol,MC01,APCI-ITFT,NEGATIVE,single|unit=none|prefix=CID,45,Orbitrap Elite,CID 45,,True,INBGSXNNRGWLJU,C1=C2CCCCC2C2CCC3CCCC3C2C1,C27H46O2,402.349780712,0,1,C;O,INBGSXNNRGWLJU,INBGSXNNRGWLJU,403.357056712,True,CC(CCCC(C)(C)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,25-Hydroxycholesterol,ION_MODE NEGATIVE,INBGSXNNRGWLJU,True,False,,False,True,True,True,,True,False,False,False,False,True,True,False,2,0,True,False,False,False,True,MC01;MC10
MSBNK-mFam-MC01_000002,200,Campesterol; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,"InChI=1S/C28H48O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h9,18-20,22-26,29H,7-8,10-17H2,1-6H3",SGNBVLSWZMBQTH-UHFFFAOYSA-N,C28H48O,400.37052,Campesterol,MC01,APCI-ITFT,NEGATIVE,single|unit=none|prefix=HCD,90,Orbitrap Elite,HCD 90,,True,SGNBVLSWZMBQTH,C1=C2CCCCC2C2CCC3CCCC3C2C1,C28H48O,400.37051615599995,0,1,C;O,SGNBVLSWZMBQTH,SGNBVLSWZMBQTH,401.37779215599994,True,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,Campesterol,ION_MODE NEGATIVE,SGNBVLSWZMBQTH,True,True,train,False,True,False,False,,True,False,False,False,False,False,False,False,1,1,True,False,False,False,True,MC01
MSBNK-mFam-MC01_000003,200,Corticosterone; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,"InChI=1S/C21H30O4/c1-20-8-7-13(23)9-12(20)3-4-14-15-5-6-16(18(25)11-22)21(15,2)10-17(24)19(14)20/h9,14-17,19,22,24H,3-8,10-11H2,1-2H3",OMFXVFTZEKFJBZ-UHFFFAOYSA-N,C21H30O4,346.21441,Corticosterone,MC01,APCI-ITFT,NEGATIVE,single|unit=none|prefix=HCD,90,Orbitrap Elite,HCD 90,,True,OMFXVFTZEKFJBZ,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,C21H30O4,346.21440943999994,0,1,C;O,OMFXVFTZEKFJBZ,OMFXVFTZEKFJBZ,347.22168543999993,True,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,Corticosterone,ION_MODE NEGATIVE,OMFXVFTZEKFJBZ,True,True,train,True,True,True,True,LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;LCSB-CONFIRMATION,True,False,False,False,False,True,True,False,7,3,True,False,False,False,True,MC01;MC05;MC22
MSBNK-mFam-MC01_000004,200,6-alpha-methylprednisolone; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,"InChI=1S/C22H30O5/c1-12-8-14-15-5-7-22(27,18(26)11-23)21(15,3)10-17(25)19(14)20(2)6-4-13(24)9-16(12)20/h4,6,9,12,14-15,17,19,23,25,27H,5,7-8,10-11H2,1-3H3",VHRSUDSXCMQTMA-UHFFFAOYSA-N,C22H30O5,374.20932,6-alpha-methylprednisolone,MC01,APCI-ITFT,NEGATIVE,single|unit=none|prefix=HCD,90,Orbitrap Elite,HCD 90,,True,VHRSUDSXCMQTMA,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,C22H30O5,374.2093240599999,0,1,C;O,VHRSUDSXCMQTMA,VHRSUDSXCMQTMA,375.2166000599999,True,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,6-alpha-methylprednisolone,ION_MODE NEGATIVE,VHRSUDSXCMQTMA,True,True,train,True,True,True,True,LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;LCSB-DEV;LCSB-POS-V2-SPECTRA;V2-DEVELOPMENT-POPULATION;WUR-DEV-ANALYSIS;WUR-POS-IDENTITY,True,False,False,False,False,True,True,False,3,1,True,False,False,False,True,MC01
MSBNK-mFam-MC01_000005,200,Ergocalciferol; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,"InChI=1S/C28H44O/c1-19(2)20(3)9-10-22(5)26-15-16-27-23(8-7-17-28(26,27)6)12-13-24-18-25(29)14-11-21(24)4/h9-10,12-13,19-20,22,25-27,29H,4,7-8,11,14-18H2,1-3,5-6H3",MECHNRXZTMCUDQ-UHFFFAOYSA-N,C28H44O,396.33922,Ergocalciferol,MC01,APCI-ITFT,NEGATIVE,single|unit=none|prefix=HCD,90,Orbitrap Elite,HCD 90,,True,MECHNRXZTMCUDQ,C=C1CCCCC1=CC=C1CCCC2CCCC12,C28H44O,396.33921602799995,0,1,C;O,MECHNRXZTMCUDQ,MECHNRXZTMCUDQ,397.34649202799994,True,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,Ergocalciferol,ION_MODE NEGATIVE,MECHNRXZTMCUDQ,True,True,train,False,True,False,False,,True,False,False,False,False,False,False,False,2,1,True,False,False,False,True,MC01
MSBNK-mFam-MC01_000006,200,Abietic_acid; APCI-ITFT; MS2; CE: CID 45;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,"InChI=1S/C20H30O2/c1-13(2)14-6-8-16-15(12-14)7-9-17-19(16,3)10-5-11-20(17,4)18(21)22/h7,12-13,16-17H,5-6,8-11H2,1-4H3,(H,21,22)",RSWGJHLUYNHPMX-UHFFFAOYSA-N,C20H30O2,302.22458,Abietic_acid,MC01,APCI-ITFT,NEGATIVE,single|unit=none|prefix=CID,45,Orbitrap Elite,CID 45,,True,RSWGJHLUYNHPMX,C1=CC2=CCC3CCCCC3C2CC1,C20H30O2,302.2245802,0,1,C;O,RSWGJHLUYNHPMX,RSWGJHLUYNHPMX,303.2318562,True,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,Abietic_acid,ION_MODE NEGATIVE,RSWGJHLUYNHPMX,True,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,10,1,True,False,False,False,True,MC01;MC21
MSBNK-mFam-MC01_000007,200,1s-(-)-Verbenone; APCI-ITFT; MS2; CE: CID 40;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,CC1=CC(=O)C2CC1C2(C)C,"InChI=1S/C10H14O/c1-6-4-9(11)8-5-7(6)10(8,2)3/h4,7-8H,5H2,1-3H3",DCSCXTJOXBUFGB-UHFFFAOYSA-N,C10H14O,150.10447,1s-(-)-Verbenone,MC01,APCI-ITFT,NEGATIVE,single|unit=none|prefix=CID,40,Orbitrap Elite,CID 40,,True,DCSCXTJOXBUFGB,O=C1C=CC2CC1C2,C10H14O,150.104465068,0,1,C;O,DCSCXTJOXBUFGB,DCSCXTJOXBUFGB,151.111741068,True,CC1=CC(=O)C2CC1C2(C)C,1s-(-)-Verbenone,ION_MODE NEGATIVE,DCSCXTJOXBUFGB,True,False,,False,False,False,False,,False,False,False,False,False,True,False,False,10,0,True,False,False,False,True,MC01
MSBNK-mFam-MC01_000008,200,(-)-Borneol; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,CC1(C2CCC1(C(C2)O)C)C,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7-8,11H,4-6H2,1-3H3",DTGKSKDOIYIVQL-UHFFFAOYSA-N,C10H18O,154.13577,(-)-Borneol,MC01,APCI-ITFT,NEGATIVE,single|unit=none|prefix=HCD,90,Orbitrap Elite,HCD 90,,True,DTGKSKDOIYIVQL,C1CC2CCC1C2,C10H18O,154.135765196,0,1,C;O,DTGKSKDOIYIVQL,DTGKSKDOIYIVQL,155.14304119599998,True,CC1(C2CCC1(C(C2)O)C)C,(-)-Borneol,ION_MODE NEGATIVE,DTGKSKDOIYIVQL,True,False,,False,True,True,True,,True,False,False,False,False,True,True,False,6,0,True,False,False,False,True,MC01
MSBNK-mFam-MC01_000009,200,cis-Pinan-2-ol; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,CC1(C2CCC(C1C2)(C)O)C,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(3,11)8(9)6-7/h7-8,11H,4-6H2,1-3H3",YYWZKGZIIKPPJZ-UHFFFAOYSA-N,C10H18O,154.13577,cis-Pinan-2-ol,MC01,APCI-ITFT,NEGATIVE,single|unit=none|prefix=HCD,90,Orbitrap Elite,HCD 90,,True,YYWZKGZIIKPPJZ,C1CC2CC(C1)C2,C10H18O,154.135765196,0,1,C;O,YYWZKGZIIKPPJZ,YYWZKGZIIKPPJZ,155.14304119599998,True,CC1(C2CCC(C1C2)(C)O)C,cis-Pinan-2-ol,ION_MODE NEGATIVE,YYWZKGZIIKPPJZ,True,False,,False,False,False,False,,True,False,False,False,False,False,False,False,6,0,True,False,False,False,True,MC01
MSBNK-mFam-MC01_000010,200,2-cyclohexen-1-one; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,C1CC=CC(=O)C1,"InChI=1S/C6H8O/c7-6-4-2-1-3-5-6/h2,4H,1,3,5H2",FWFSEYBSWVRWGL-UHFFFAOYSA-N,C6H8O,96.05751,2-cyclohexen-1-one,MC01,APCI-ITFT,NEGATIVE,single|unit=none|prefix=HCD,90,Orbitrap Elite,HCD 90,,True,FWFSEYBSWVRWGL,O=C1C=CCCC1,C6H8O,96.057514876,0,1,C;O,FWFSEYBSWVRWGL,FWFSEYBSWVRWGL,97.064790876,True,C1CC=CC(=O)C1,2-cyclohexen-1-one,ION_MODE NEGATIVE,FWFSEYBSWVRWGL,True,False,,False,True,False,False,,True,False,False,False,False,False,False,False,0,0,True,False,False,False,True,MC01
