lab,instrument_type,ion_mode,n_records,n_keys,n_mh_records,n_mh_keys,instrument_models,ce_strings_top,n_distinct_ce_strings,ce_forms,adducts_top,max_distinct_ce_per_key_adduct,n_key_adduct_with_ge3_distinct_ce,n_key_adduct_with_ge2_distinct_ce,resolution_strings,date_published_range,licenses,codesearch_ce_line_coverage,codesearch_fragmentation_mode
MC01,APCI-ITFT,NEGATIVE,50,43,0,0,"{""Orbitrap Elite"": 50}","{""CID 35"": 30, ""HCD 90"": 14, ""CID 45"": 4, ""CID 40"": 2}",4,"{""single|unit=none|prefix=CID"": 36, ""single|unit=none|prefix=HCD"": 14}","{""[M-H]-"": 50}",1,0,0,"{""NA"": 50}",2023-01-17..2023-01-17,"{""https://creativecommons.org/licenses/by/4.0/"": 50}",50,{}
MC01,APCI-ITFT,POSITIVE,66,56,58,49,"{""Orbitrap Elite"": 66}","{""35 CID"": 57, ""70 HCD"": 9}",2,"{""single|unit=none|prefix=none"": 66}","{""[M+H]+"": 58, ""[M+H-H2O]+"": 7, ""[M]+"": 1}",2,0,1,"{""NA"": 66}",2023-01-17..2023-01-17,"{""https://creativecommons.org/licenses/by/4.0/"": 66}",66,{}
MC02,ESI-TOF,POSITIVE,1094,486,1094,486,"{""NOT_FETCHED"": 1094}","{""6.0000000"": 547, ""0.6458333"": 547}",2,"{""single|unit=none|prefix=none"": 1094}","{""[M+H]+"": 1094}",2,0,486,"{""NA"": 1094}",2023-03-06..2023-03-06,"{""https://creativecommons.org/licenses/by/4.0/"": 1094}",0,{}
MC03,LC-ESI-QTOF,POSITIVE,94,41,9,9,"{""NOT_FETCHED"": 94}","{""22.5eV"": 22, ""20eV"": 12, ""35eV"": 7, ""25eV"": 6, ""18eV"": 4, ""45eV"": 4, ""50eV"": 4, ""15eV"": 4, ""30eV"": 4, ""40eV"": 4, ""Ramped"": 3, ""16.6eV"": 2}",29,"{""single|unit=eV|prefix=none"": 91, ""range_or_ramp|unit=none|prefix=none"": 3}","{""[M+NH4]+"": 70, ""[M+Na]+"": 15, ""[M+H]+"": 9}",12,6,11,"{""NA"": 94}",2025-07-06..2025-07-19,"{""https://creativecommons.org/licenses/by/4.0/"": 94}",0,{}
MC04,LC-ESI-QTOF,POSITIVE,10,10,10,10,"{""NOT_FETCHED"": 10}","{""35eV"": 10}",1,"{""single|unit=eV|prefix=none"": 10}","{""[M+H]+"": 10}",1,0,0,"{""NA"": 10}",2023-02-07..2023-02-07,"{""https://creativecommons.org/licenses/by/4.0/"": 10}",0,{}
MC05,LC-ESI-QTOF,NEGATIVE,189,171,0,0,"{""NOT_FETCHED"": 189}","{""-10, -35, -60V"": 189}",1,"{""list_or_stepped|unit=V|prefix=none"": 189}","{""[M-H]-"": 189}",1,0,0,"{""NA"": 189}",2023-02-07..2023-02-07,"{""https://creativecommons.org/licenses/by/4.0/"": 189}",0,{}
MC06,LC-ESI-ITFT,NEGATIVE,4,4,0,0,"{""LTQ-Orbitrap Elite, Thermo Scientific Ultimate 3000 ultra-high-pressure liquid chromatography, Thermo Scientific"": 4}","{""35"": 4}",1,"{""single|unit=none|prefix=none"": 4}","{""[M-H]-"": 4}",1,0,0,"{""NA"": 4}",2023-02-07..2023-02-07,"{""https://creativecommons.org/licenses/by/4.0/"": 4}",4,{}
MC06,LC-ESI-QFT,NEGATIVE,44,39,0,0,"{""Thermo_Qexactive_Plus"": 44}","{""NCE_15_30_40"": 1, ""NCE_15_30_41"": 1, ""NCE_15_30_42"": 1, ""NCE_15_30_43"": 1, ""NCE_15_30_44"": 1, ""NCE_15_30_45"": 1, ""NCE_15_30_46"": 1, ""NCE_15_30_47"": 1, ""NCE_15_30_48"": 1, ""NCE_15_30_49"": 1, ""NCE_15_30_50"": 1, ""NCE_15_30_51"": 1}",44,"{""list_or_stepped|unit=nce|prefix=none"": 44}","{""[M-H]-"": 44}",2,0,5,"{""NA"": 44}",2023-02-08..2023-02-08,"{""https://creativecommons.org/licenses/by/4.0/"": 44}",44,{}
MC07,LC-ESI-QTOF,POSITIVE,124,116,89,84,"{""NOT_FETCHED"": 124}","{""20-40eV"": 124}",1,"{""range_or_ramp|unit=eV|prefix=none"": 124}","{""[M+H]+"": 89, ""[M+NH4]+"": 24, ""[M-H]-"": 7, ""[M+H-H2O]+"": 3, ""[M+Na]+"": 1}",1,0,0,"{""NA"": 124}",2023-02-08..2023-02-10,"{""https://creativecommons.org/licenses/by/4.0/"": 124}",0,{}
MC08,ESI-QTOF,NEGATIVE,13,12,0,0,"{""NOT_FETCHED"": 13}","{""30 eV"": 13}",1,"{""single|unit=eV|prefix=none"": 13}","{""[M-H]-"": 12, ""[M+FA-H]-"": 1}",1,0,0,"{""NA"": 13}",2023-02-08..2023-02-08,"{""https://creativecommons.org/licenses/by/4.0/"": 13}",0,{}
