key,scaffold_group,name,smiles,labs,instrument_types,instrument_models,n_records,ce_strings_by_lab,max_distinct_ce_strings_within_one_lab,max_distinct_single_numeric_ce_within_one_lab,mh_in_dev_range,parent_formal_charge,n_fragments_raw,in_msg15_any,msg15_folds,in_msg15_simchallenge,scaffold_in_msg15,in_muru_registry,in_muru_registry_direct,muru_exposed_populations,scaffold_in_muru_registry,in_study2_pop,scaffold_in_study2_pop,in_comparator_pop,scaffold_in_comparator_pop,in_msnlib_9lib,in_msnlib_v1_0,in_multims2_reserved,msg15_keys_same_formula,msg15_keys_same_formula_and_scaffold,pass_C,pass_B
ABPDEYSUVLXYCB,O=C1CCC2(CCC3(CCC4C3CCC35CC36CCCCC6CCC45)O2)O1,Abietospiran,CC1CC2(CC(C3(O2)CCC4(C3(CCC56C4CCC7C5(C6)CCC(C7(C)C)OC)C)C)C)OC1=O,MC01,APCI-ITFT,Orbitrap Elite,1,"{""MC01"": [""35 CID""]}",1,1,True,0,1,False,,False,False,False,False,,False,False,False,False,False,False,False,False,3,0,True,True
ADFCQWZHKCXPAJ,c1ccc(C2COc3ccccc3C2)cc1,Equol,OC1=CC=C(C=C1)[C@H]1COC2=CC(O)=CC=C2C1,MC20,LC-ESI-ITFT,Thermo Scientific Q-Exactive Focus,6,"{""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""]}",6,6,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,7,1,False,False
ADVPTQAUNPRNPO,__ACYCLIC__ADVPTQAUNPRNPO,3-Sulfinoalanine,N[C@@H](CS(O)=O)C(O)=O,MC20,LC-ESI-ITFT,NOT_FETCHED,1,"{""MC20"": [""100""]}",1,1,True,0,1,True,train,True,True,False,False,,False,False,False,False,False,True,True,False,1,1,False,False
AEMFNILZOJDQLW,O=C1C=C2CCC3C4CCC(=O)C4CCC3C2CC1,Androstenedione,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,MC22,LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic",1,"{""MC22"": [""30 eV""]}",1,1,True,0,1,True,train,True,True,True,True,ENTACT-MIX-LISTS-499-503-505;LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;LCSB-CONFIRMATION,True,False,False,False,False,False,False,False,3,1,False,False
AGIQIKMGJVLKMA,C=C1C(=O)OC2CC3CC3CC12,Carabrone,CC(=O)CC[C@H]1[C@H]2[C@@]1(C[C@@H]3[C@H](C2)C(=C)C(=O)O3)C,MC14,LC-ESI-ITFT,"Q Exactive Plus, ThermoFisher Scientific",1,"{""MC14"": [""50eV""]}",1,1,True,0,1,True,train,False,True,True,True,,True,False,False,False,False,True,True,False,18,1,False,False
AGPKZVBTJJNPAG,__ACYCLIC__AGPKZVBTJJNPAG,L-Isoleucine,CC[C@H](C)[C@H](N)C(O)=O,MC20;MC22,LC-ESI-ITFT;LC-ESI-QFT,"NOT_FETCHED;Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic;Thermo Scientific Q-Exactive Focus",7,"{""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""], ""MC22"": [""30eV""]}",6,6,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,9,1,False,False
AHLPHDHHMVZTML,__ACYCLIC__AHLPHDHHMVZTML,Ornithine,NCCC[C@H](N)C(O)=O,MC20;MC22,LC-ESI-ITFT;LC-ESI-QFT,"NOT_FETCHED;Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic;Thermo Scientific Q-Exactive Focus",8,"{""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""], ""MC22"": [""30eV""]}",6,6,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,1,1,False,False
AIFCFBUSLAEIBR,O=c1cc(-c2cccc(-c3cccc4c(=O)cc(-c5ccccc5)oc34)c2)oc2ccccc12,Ginkgetin,COC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC(=C(OC)C=C1)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=CC=C(O)C=C1,MC09,LC-ESI-QFT,"QE Focus, Thermo Scientfic; UPLC I-Class, Waters",1,"{""MC09"": [""15,30,45 (NCE)""]}",1,0,True,0,1,True,train,True,True,True,True,,True,False,False,False,False,True,True,False,2,2,False,False
AJSPSRWWZBBIOR,O=c1ccc2ccc3occc3c2o1,Isobergapten,COC1=C2C=CC(=O)OC2=C3C=COC3=C1,MC19,LC-ESI-ITFT,"LTQ Orbitrap XL, Thermo Scientfic; Dionex Ultimate 300",1,"{""MC19"": [""45eV""]}",1,1,True,0,1,True,train,False,True,True,True,,True,False,False,False,False,True,False,False,4,2,False,False
ALEXXDVDDISNDU,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,CORTISOL 21-ACETATE,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,MC22,LC-ESI-QFT,"Q-Exactive Orbitrap, Thermo Scientfic; Ultimate 3000 HPLC, Thermo Scientfic",1,"{""MC22"": [""30eV""]}",1,1,True,0,1,True,train,True,True,True,True,V2-DEVELOPMENT-POPULATION;WUR-POS-IDENTITY;WUR-SEALED,True,False,False,False,False,True,True,False,7,2,False,False
ALYNCZNDIQEVRV,c1ccccc1,p-Aminobenzoic acid,NC1=CC=C(C=C1)C(O)=O,MC20,LC-ESI-ITFT,Thermo Scientific Q-Exactive Focus,6,"{""MC20"": [""10"", ""100"", ""20"", ""30"", ""40"", ""60""]}",6,6,True,0,1,True,train,True,True,True,True,ENTACT-MIX-LISTS-499-503-505;LCSB-RAW-MIX-REPLICATE-SET-92,True,False,False,False,False,True,True,False,11,5,False,False
AMRSWCRLMWFDQS,C=C1C(=O)OC2C=CCCC=CC3OC3C12,"8,9-epoxy-14-oxo-germacra-1,10E,4,5Z,7,11-trienolide",C=C1[C@@H]2C3OC3C(=CCCC(C)=C[C@H]2OC1=O)C=O,MC14,LC-ESI-ITFT,"Q Exactive Plus, ThermoFisher Scientific",1,"{""MC14"": [""50eV""]}",1,1,True,0,1,False,,False,False,False,False,,False,False,False,False,False,False,False,False,11,0,True,True
AOQQTUFPZUDJJI,C=C1CCCC2CC3OC(=O)CC3CC12,β-Isoalantolactone-Glutathione,O=C(O)[C@@H](N)CCC(=O)N[C@@H](CSCC1C(=O)O[C@@H]2C[C@@]3(C)CCCC(=C)C3C[C@H]12)C(=O)NCC(=O)O,MC14,LC-ESI-ITFT,"Q Exactive Plus, ThermoFisher Scientific",1,"{""MC14"": [""50eV""]}",1,1,True,0,1,False,,False,False,False,False,,False,False,False,False,False,False,False,False,0,0,True,True
