accession,lab,title,date_published,license,name,smiles,inchi,inchikey,formula,mono,t_itype,t_mstype,t_ce,t_adduct,key,scaffold_group,recorded_block,analyzer,is_orbitrap_type,ionization,is_pos,is_mh,ce_form,ce_value,in_msg15_all,in_msg15_train,in_msg15_val,in_msg15_test,in_msg15_parent_all,in_msg15_simchallenge,in_muru_registry,in_muru_registry_direct,in_muru_exposed_union,in_pr7_study2,in_comparator_common,in_msnlib_9lib,in_multims2_reserved,scaf_in_msg15_scaffolds,scaf_in_muru_registry_scaffolds,scaf_in_pr7_study2_scaffolds,scaf_in_comparator_scaffolds
MSBNK-mFam-MC01_000001,MC01,25-Hydroxycholesterol; APCI-ITFT; MS2; CE: CID 45;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,25-Hydroxycholesterol,CC(CCCC(C)(C)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,"InChI=1S/C27H46O2/c1-18(7-6-14-25(2,3)29)22-10-11-23-21-9-8-19-17-20(28)12-15-26(19,4)24(21)13-16-27(22,23)5/h8,18,20-24,28-29H,6-7,9-17H2,1-5H3",INBGSXNNRGWLJU-UHFFFAOYSA-N,C27H46O2,402.34978,APCI-ITFT,MS2,CID 45,[M-H]-,INBGSXNNRGWLJU,C1=C2CCCCC2C2CCC3CCCC3C2C1,INBGSXNNRGWLJU,ITFT,True,APCI,False,False,MODE_PREFIXED,45.0,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,False
MSBNK-mFam-MC01_000002,MC01,Campesterol; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,Campesterol,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,"InChI=1S/C28H48O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h9,18-20,22-26,29H,7-8,10-17H2,1-6H3",SGNBVLSWZMBQTH-UHFFFAOYSA-N,C28H48O,400.37052,APCI-ITFT,MS2,HCD 90,[M-H]-,SGNBVLSWZMBQTH,C1=C2CCCCC2C2CCC3CCCC3C2C1,SGNBVLSWZMBQTH,ITFT,True,APCI,False,False,MODE_PREFIXED,90.0,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
MSBNK-mFam-MC01_000003,MC01,Corticosterone; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,"InChI=1S/C21H30O4/c1-20-8-7-13(23)9-12(20)3-4-14-15-5-6-16(18(25)11-22)21(15,2)10-17(24)19(14)20/h9,14-17,19,22,24H,3-8,10-11H2,1-2H3",OMFXVFTZEKFJBZ-UHFFFAOYSA-N,C21H30O4,346.21441,APCI-ITFT,MS2,HCD 90,[M-H]-,OMFXVFTZEKFJBZ,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,OMFXVFTZEKFJBZ,ITFT,True,APCI,False,False,MODE_PREFIXED,90.0,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
MSBNK-mFam-MC01_000004,MC01,6-alpha-methylprednisolone; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,6-alpha-methylprednisolone,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,"InChI=1S/C22H30O5/c1-12-8-14-15-5-7-22(27,18(26)11-23)21(15,3)10-17(25)19(14)20(2)6-4-13(24)9-16(12)20/h4,6,9,12,14-15,17,19,23,25,27H,5,7-8,10-11H2,1-3H3",VHRSUDSXCMQTMA-UHFFFAOYSA-N,C22H30O5,374.20932,APCI-ITFT,MS2,HCD 90,[M-H]-,VHRSUDSXCMQTMA,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,VHRSUDSXCMQTMA,ITFT,True,APCI,False,False,MODE_PREFIXED,90.0,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
MSBNK-mFam-MC01_000005,MC01,Ergocalciferol; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,Ergocalciferol,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,"InChI=1S/C28H44O/c1-19(2)20(3)9-10-22(5)26-15-16-27-23(8-7-17-28(26,27)6)12-13-24-18-25(29)14-11-21(24)4/h9-10,12-13,19-20,22,25-27,29H,4,7-8,11,14-18H2,1-3,5-6H3",MECHNRXZTMCUDQ-UHFFFAOYSA-N,C28H44O,396.33922,APCI-ITFT,MS2,HCD 90,[M-H]-,MECHNRXZTMCUDQ,C=C1CCCCC1=CC=C1CCCC2CCCC12,MECHNRXZTMCUDQ,ITFT,True,APCI,False,False,MODE_PREFIXED,90.0,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
MSBNK-mFam-MC01_000006,MC01,Abietic_acid; APCI-ITFT; MS2; CE: CID 45;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,Abietic_acid,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,"InChI=1S/C20H30O2/c1-13(2)14-6-8-16-15(12-14)7-9-17-19(16,3)10-5-11-20(17,4)18(21)22/h7,12-13,16-17H,5-6,8-11H2,1-4H3,(H,21,22)",RSWGJHLUYNHPMX-UHFFFAOYSA-N,C20H30O2,302.22458,APCI-ITFT,MS2,CID 45,[M-H]-,RSWGJHLUYNHPMX,C1=CC2=CCC3CCCCC3C2CC1,RSWGJHLUYNHPMX,ITFT,True,APCI,False,False,MODE_PREFIXED,45.0,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
MSBNK-mFam-MC01_000007,MC01,1s-(-)-Verbenone; APCI-ITFT; MS2; CE: CID 40;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,1s-(-)-Verbenone,CC1=CC(=O)C2CC1C2(C)C,"InChI=1S/C10H14O/c1-6-4-9(11)8-5-7(6)10(8,2)3/h4,7-8H,5H2,1-3H3",DCSCXTJOXBUFGB-UHFFFAOYSA-N,C10H14O,150.10447,APCI-ITFT,MS2,CID 40,[M-H]-,DCSCXTJOXBUFGB,O=C1C=CC2CC1C2,DCSCXTJOXBUFGB,ITFT,True,APCI,False,False,MODE_PREFIXED,40.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
MSBNK-mFam-MC01_000008,MC01,(-)-Borneol; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,(-)-Borneol,CC1(C2CCC1(C(C2)O)C)C,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7-8,11H,4-6H2,1-3H3",DTGKSKDOIYIVQL-UHFFFAOYSA-N,C10H18O,154.13577,APCI-ITFT,MS2,HCD 90,[M-H]-,DTGKSKDOIYIVQL,C1CC2CCC1C2,DTGKSKDOIYIVQL,ITFT,True,APCI,False,False,MODE_PREFIXED,90.0,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,False
MSBNK-mFam-MC01_000009,MC01,cis-Pinan-2-ol; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,cis-Pinan-2-ol,CC1(C2CCC(C1C2)(C)O)C,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(3,11)8(9)6-7/h7-8,11H,4-6H2,1-3H3",YYWZKGZIIKPPJZ-UHFFFAOYSA-N,C10H18O,154.13577,APCI-ITFT,MS2,HCD 90,[M-H]-,YYWZKGZIIKPPJZ,C1CC2CC(C1)C2,YYWZKGZIIKPPJZ,ITFT,True,APCI,False,False,MODE_PREFIXED,90.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
MSBNK-mFam-MC01_000010,MC01,2-cyclohexen-1-one; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,2-cyclohexen-1-one,C1CC=CC(=O)C1,"InChI=1S/C6H8O/c7-6-4-2-1-3-5-6/h2,4H,1,3,5H2",FWFSEYBSWVRWGL-UHFFFAOYSA-N,C6H8O,96.05751,APCI-ITFT,MS2,HCD 90,[M-H]-,FWFSEYBSWVRWGL,O=C1C=CCCC1,FWFSEYBSWVRWGL,ITFT,True,APCI,False,False,MODE_PREFIXED,90.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
MSBNK-mFam-MC01_000011,MC01,(-)-linalool; APCI-ITFT; MS2; CE: HCD 90;  [M-H]-,2023-01-17,https://creativecommons.org/licenses/by/4.0/,(-)-linalool,CC(=CCCC(C)(C=C)O)C,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",CDOSHBSSFJOMGT-UHFFFAOYSA-N,C10H18O,154.13577,APCI-ITFT,MS2,HCD 90,[M-H]-,CDOSHBSSFJOMGT,__ACYCLIC__CDOSHBSSFJOMGT,CDOSHBSSFJOMGT,ITFT,True,APCI,False,False,MODE_PREFIXED,90.0,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
