spectrum_id,adduct,precursor_mz,compound_name,key,scaffold_group
CCMSLIB00012246958,[M+H]1+,342.148,Levosulpiride,BGRJTUBHPOOWDU,O=C(NCC1CCCN1)c1ccccc1
CCMSLIB00012246959,[M+H]1+,342.148,Levosulpiride,BGRJTUBHPOOWDU,O=C(NCC1CCCN1)c1ccccc1
CCMSLIB00012246960,[M+H]1+,195.113,Solriamfetol,UCTRAOBQFUDCSR,c1ccccc1
CCMSLIB00012246961,[M+H]1+,195.113,Solriamfetol,UCTRAOBQFUDCSR,c1ccccc1
CCMSLIB00012246962,[M+Na]1+,217.095,Solriamfetol,UCTRAOBQFUDCSR,c1ccccc1
CCMSLIB00012246963,[M+Na]1+,217.095,Solriamfetol,UCTRAOBQFUDCSR,c1ccccc1
CCMSLIB00012246965,[M+H]1+,342.148,Levosulpiride,BGRJTUBHPOOWDU,O=C(NCC1CCCN1)c1ccccc1
CCMSLIB00012246966,[M+H]1+,342.148,Levosulpiride,BGRJTUBHPOOWDU,O=C(NCC1CCCN1)c1ccccc1
CCMSLIB00012246967,[M+H]1+,203.064,N-phenylthiophene-2-carboximidamide,RCORNHOUCUDCAC,N=C(Nc1ccccc1)c1cccs1
CCMSLIB00012246968,[M+H]1+,225.106,117639-11-9,JEKWFJIPBJGBJT,O=C1CC(Cc2cnc[nH]2)CS1
CCMSLIB00012246969,[M+H]1+,225.106,117639-11-9,JEKWFJIPBJGBJT,O=C1CC(Cc2cnc[nH]2)CS1
CCMSLIB00012246970,[M+H]1+,377.208,Imigliptin,UWSKGQJKQNVRJZ,O=c1[nH]c2nccc(N3CCCCC3)c2n1Cc1ccccc1
CCMSLIB00012246971,[M-2H2O+H]1+,333.217,BW 245C,JDDDZFYKFFEAGW,O=c1[nH]ccn1CCCC1CCCCC1
CCMSLIB00012246972,[M+H]1+,376.198,Metazosin,YEOTYALSMRNXLJ,c1ccc2nc(N3CCNCC3)ncc2c1
CCMSLIB00012246973,[M+H]1+,376.198,Metazosin,YEOTYALSMRNXLJ,c1ccc2nc(N3CCNCC3)ncc2c1
CCMSLIB00012246974,[M+H]1+,378.206,ETOPERIDONE,IZBNNCFOBMGTQX,O=c1[nH]cnn1CCCN1CCN(c2ccccc2)CC1
CCMSLIB00012246975,[M+H]1+,342.192,FENETHYLLINE,NMCHYWGKBADVMK,O=c1[nH]c(=O)c2c(ncn2CCNCCc2ccccc2)[nH]1
CCMSLIB00012246976,[M+H]1+,363.12,SCHEMBL13527805,REYFOMFKDYYVKB,c1ccc(OC2CCCCO2)cc1
CCMSLIB00012246977,[M+Na]1+,327.204,SCHEMBL7091005,VYXPNQWWRFIRQU,c1ccc2c(c1)CCC2
CCMSLIB00012246978,[M+Na]1+,399.19,Imigliptin,UWSKGQJKQNVRJZ,O=c1[nH]c2nccc(N3CCCCC3)c2n1Cc1ccccc1
CCMSLIB00012246979,[M+H]1+,393.217,PD162305,ZZUSANGEAUESFL,c1ccc(CCNC2CCOc3cc4cccnc4cc32)cc1
CCMSLIB00012246980,[M+H]1+,393.217,PD162305,ZZUSANGEAUESFL,c1ccc(CCNC2CCOc3cc4cccnc4cc32)cc1
