spectrum_id,compound_name,adduct,adduct_csv,precursor_mz,source_file,well,scan,task,create_time,smiles,recorded_inchikey_csv,ppm_csv,classyfire_superclass,key,scaffold_group,mono_parent,formula_parent,elements,charged_raw,n_components_raw,charged_parent,any_formal_charge_parent,theoretical_mz,precursor_err_da,recorded_block1,scan_i,coinjected_ion_within_0p7_lower_bound,coinjected_isomer_lower_bound,in_msg15_recorded_all,in_msg15_parent_all,in_msg15_simchallenge_all,in_msg15_recorded_train,in_msg15_recorded_val,in_msg15_recorded_test,in_muru_registry_all,in_muru_registry_direct_reason,in_muru_exposed_union,in_pr7_study2_population,in_comparator_common_population,in_msnlib_9lib,in_msnlib_v1_0_4lib,in_multims2_reserved_validation_secondary,in_muru_exposed_populations_union,in_muru_dev_compounds_csv_keys,in_pop_ENTACT-MIX-LISTS-499-503-505,in_pop_LCSB-ALL-MASSBANK-V1-EXPOSURE-SET,in_pop_LCSB-CONFIRMATION,in_pop_LCSB-DEV,in_pop_LCSB-NEG,in_pop_LCSB-POS-V2-SPECTRA,in_pop_LCSB-RAW-MIX-REPLICATE-SET-92,in_pop_LCSB-RAW-MIXES-499-503-505,in_pop_MultiMS2-ANCHOR,in_pop_V2-DEVELOPMENT-POPULATION,in_pop_WUR-DEV-ANALYSIS,in_pop_WUR-DEV-HOLD,in_pop_WUR-NEG-D6-EXCLUDED,in_pop_WUR-NEG-DEV,in_pop_WUR-POS-IDENTITY,in_pop_WUR-SEALED,sg_in_msg15_scaffold_groups,sg_in_muru_registry_scaffold_groups,sg_in_muru_dev_scaffold_groups,sg_in_pr7_scaffold_groups,sg_in_comparator_scaffold_groups,in_msg15_any_route,formula_in_msg,formula_and_scaffold_in_msg,excluded_key_level_conservative,excluded_scaffold_level_muru_pr7_comparator
CCMSLIB00013568884,UNII-97M3221V6B (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,553.207,reframe_drugs_pos_P2_C7_id.mzML,P2_C7,2235,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,CCC(=O)OC1(C(=O)SC2CCOC2=O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,POTREZAYKLAUSX-UHFFFAOYSA-N,0.7052139163988429,,POTREZAYKLAUSX,O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)SC3CCOC3=O)CCC21,552.1993308680001,C28H34F2O7S,C;F;H;O;S,False,1,False,False,553.2066068680001,0.00039313199988555425,POTREZAYKLAUSX,2235,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00013568887,UNII-97M3221V6B (known structural isomers: 0; isobaric peaks in run: 0),[M+Na]+,[M+Na]1+,575.189,reframe_drugs_pos_P2_C7_id.mzML,P2_C7,2236,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,CCC(=O)OC1(C(=O)SC2CCOC2=O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,POTREZAYKLAUSX-UHFFFAOYSA-N,0.7751911903610381,,POTREZAYKLAUSX,O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)SC3CCOC3=O)CCC21,552.1993308680001,C28H34F2O7S,C;F;H;O;S,False,1,False,False,575.1885488680001,0.00045113199985280517,POTREZAYKLAUSX,2236,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00013568890,UNII-97M3221V6B (known structural isomers: 0; isobaric peaks in run: 0),[M+NH4]+,[M+NH3+H]1+,570.233,reframe_drugs_pos_P2_C7_id.mzML,P2_C7,2239,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,CCC(=O)OC1(C(=O)SC2CCOC2=O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,POTREZAYKLAUSX-UHFFFAOYSA-N,0.2787759666040735,,POTREZAYKLAUSX,O=C1C=CC2C(=C1)CCC1C2CCC2C(C(=O)SC3CCOC3=O)CCC21,552.1993308680001,C28H34F2O7S,C;F;H;O;S,False,1,False,False,570.233153868,-0.00015386800009764556,POTREZAYKLAUSX,2239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00013568892,UNII-H9W4YH429K (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,597.292,reframe_drugs_pos_P2_C7_id.mzML,P2_C7,1773,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,Cc1ccccc1OCC(=O)NC(CC(C)C)C(=O)NC(Cc1ccc(OC(=O)N2CCC(C(N)=O)CC2)cc1)C(=O)O,RZMCXMNNXGCFQG-UHFFFAOYSA-N,0.1779094963116102,,RZMCXMNNXGCFQG,O=C(CNC(=O)COc1ccccc1)NCCc1ccc(OC(=O)N2CCCCC2)cc1,596.2846142400001,C31H40N4O8,C;H;N;O,False,1,False,False,597.2918902400002,0.00010975999987294927,RZMCXMNNXGCFQG,1773,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00013569918,DIAMOCAINE (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,396.301,reframe_drugs_pos_P1_B7_id.mzML,P1_B7,1091,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,CCN(CC)CCOC1(c2ccccc2)CCN(CCNc2ccccc2)CC1,JSELIWGNAHBPAE-UHFFFAOYSA-N,0.1523090003106615,,JSELIWGNAHBPAE,c1ccc(NCCN2CCC(c3ccccc3)CC2)cc1,395.293662804,C25H37N3O,C;H;N;O,False,1,False,False,396.300938804,6.119599999010461e-05,JSELIWGNAHBPAE,1091,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
CCMSLIB00013569919,KPT-9274 (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,611.227,reframe_drugs_pos_P1_B7_id.mzML,P1_B7,1891,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,Nc1ncc(C=CC(=O)NCc2cc3cc(-c4ccc(C(=O)N5CCC(F)(F)CC5)cc4)cc(-c4ccc(F)cc4)c3o2)cc1,MRFOPLWJZULAQD-UHFFFAOYSA-N,0.895131415571059,,MRFOPLWJZULAQD,O=C(C=Cc1cccnc1)NCc1cc2cc(-c3ccc(C(=O)N4CCCCC4)cc3)cc(-c3ccccc3)c2o1,610.219175448,C35H29F3N4O3,C;F;H;N;O,False,1,False,False,611.226451448,0.0005485519999410826,MRFOPLWJZULAQD,1891,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00013569920,604769-01-9 (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,414.123,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,1681,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,O=C(NO)c1cnc(N2CCN(S(=O)(=O)c3cc4ccccc4cc3)CC2)nc1,MUTBJZVSRNUIHA-UHFFFAOYSA-N,0.1281346200235915,,MUTBJZVSRNUIHA,O=S(=O)(c1ccc2ccccc2c1)N1CCN(c2ncccn2)CC1,413.1157750880001,C19H19N5O4S,C;H;N;O;S,False,1,False,False,414.12305108800007,-5.10880000774705e-05,MUTBJZVSRNUIHA,1681,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
CCMSLIB00013569921,CB-5083 (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,414.193,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,1761,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(COCC2)c(NCc2ccccc2)n1,RDALZZCKQFLGJP-UHFFFAOYSA-N,1.3225967713711997,Organoheterocyclic compounds,RDALZZCKQFLGJP,c1ccc(CNc2nc(-n3ccc4ccccc43)nc3c2COCC3)cc1,413.18517497600004,C24H23N5O2,C;H;N;O,False,1,False,False,414.19245097600003,0.0005490239999517144,RDALZZCKQFLGJP,1761,True,False,True,True,True,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False
CCMSLIB00013569922,Y-20811 free acid (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,337.155,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,1174,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,Cc1c(C(O)c2c(C)cc(C(=O)O)cc2C)cc(-n2ccnc2)cc1,QSAHHFJAWATNBG-UHFFFAOYSA-N,0.9785001640663524,,QSAHHFJAWATNBG,c1ccc(Cc2cccc(-n3ccnc3)c2)cc1,336.1473925,C20H20N2O3,C;H;N;O,False,1,False,False,337.1546685,0.0003314999999588508,QSAHHFJAWATNBG,1174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
CCMSLIB00013569923,PD161733 (known structural isomers: 0; isobaric peaks in run: 0),[M+H]+,[M+H]1+,482.103,reframe_drugs_pos_P2_F11_id.mzML,P2_F11,2425,fae7b61cb8b643339ce577878ce2bdba,2024-11-22 15:17:39.0,COc1nccc(N(C)C(=O)C(=O)c2c(C)n(Cc3ccc(Cl)cc3)c3c2cc(Cl)cc3)c1,XEVIOGIJAOMNEC-UHFFFAOYSA-N,0.558233509916824,,XEVIOGIJAOMNEC,O=C(Nc1ccncc1)C(=O)c1cn(Cc2ccccc2)c2ccccc12,481.095996892,C25H21Cl2N3O3,C;Cl;H;N;O,False,1,False,False,482.103272892,-0.0002728919999981372,XEVIOGIJAOMNEC,2425,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
