spectrum_id,compound_name,adduct,ion_mode,task_polarity,source_file,scan,create_time,precursor_mz_gnps,exact_mass_gnps,structure_route,smiles_used,key,scaffold_group,formula_parent,mono_parent,theoretical_mz,precursor_err_da,mh_mz_theoretical,elements,n_components_raw,charged_raw,charged_parent,heavy_atoms,pool_library_keys,coiso_other_ion_within_0.7,coiso_isomer_in_pool,in_msg15_recorded_all,in_msg15_parent_all,in_msg15_simchallenge_all,in_msg15_recorded_train,in_msg15_recorded_val,in_msg15_recorded_test,in_muru_registry_all,in_muru_registry_direct_reason,in_muru_exposed_union,in_pr7_study2_population,in_comparator_common_population,in_msnlib_9lib,in_msnlib_v1_0_4lib,in_multims2_reserved_validation_secondary,in_muru_exposed_populations_union,in_muru_dev_compounds_csv_keys,in_pop_ENTACT-MIX-LISTS-499-503-505,in_pop_LCSB-ALL-MASSBANK-V1-EXPOSURE-SET,in_pop_LCSB-CONFIRMATION,in_pop_LCSB-DEV,in_pop_LCSB-NEG,in_pop_LCSB-POS-V2-SPECTRA,in_pop_LCSB-RAW-MIX-REPLICATE-SET-92,in_pop_LCSB-RAW-MIXES-499-503-505,in_pop_MultiMS2-ANCHOR,in_pop_V2-DEVELOPMENT-POPULATION,in_pop_WUR-DEV-ANALYSIS,in_pop_WUR-DEV-HOLD,in_pop_WUR-NEG-D6-EXCLUDED,in_pop_WUR-NEG-DEV,in_pop_WUR-POS-IDENTITY,in_pop_WUR-SEALED,sg_in_msg15_scaffold_groups,sg_in_muru_registry_scaffold_groups,sg_in_muru_dev_scaffold_groups,sg_in_pr7_scaffold_groups,sg_in_comparator_scaffold_groups,in_msg15_any_route,formula_in_msg,formula_and_scaffold_in_msg,excluded_key_level_conservative,excluded_scaffold_level_muru_pr7_comparator
CCMSLIB00011905966,Alamethicin,M+H,Positive,Positive,Pool2_20230523011440.mzML,6024,2023-09-18 11:43:18.0,1964.12,1963.11,gnps_smiles,CC(C)CC(C(=O)NC(C)(C)C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)N)C(=O)NC(CC2=CC=CC=C2)CO)NC(=O)CNC(=O)C(C)(C)NC(=O)C(C(C)C)NC(=O)C(C)(C)NC(=O)C(CCC(=O)N)NC(=O)C(C)NC(=O)C(C)(C)NC(=O)C(C)NC(=O)C(C)(C)NC(=O)C3CCCN3C(=O)C(C)(C)NC(=O)C,LGHSQOCGTJHDIL,O=C(CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1)NCCc1ccccc1,C92H150N22O25,1963.114248299999,1964.121524299999,-0.001524299999118739,1964.121524299999,C;H;N;O,1.0,False,False,139.0,21.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00011905967,Angolamycin,M+H,Positive,Positive,Pool2_20230523011440.mzML,3406,2023-09-18 11:43:18.0,916.526,915.519,gnps_smiles,CCC1C(C2C(O2)(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC,KZXDKUWSAVUSKI,O=C1C=CC2OC2C(COC2CCCCO2)COC(=O)CCCC(OC2CCC(OC3CCCCO3)CO2)CCC1,C46H77NO17,915.519150004,916.5264260040001,-0.000426004000132707,916.5264260040001,C;H;N;O,1.0,False,False,64.0,21.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
CCMSLIB00011905968,BSM-1,M+H,Positive,Positive,Pool2_20230523011440.mzML,2107,2023-09-18 11:43:18.0,219.065,218.058,no_structure,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00011905969,Calcimycin,M+H,Positive,Positive,Pool2_20230523011440.mzML,6558,2023-09-18 11:43:18.0,524.276,523.268,gnps_smiles,CC1CCC2(C(CC(C(O2)C(C)C(=O)C3=CC=CN3)C)C)OC1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC,HIYAVKIYRIFSCZ,O=C(CC1CCCC2(CCCC(Cc3nc4ccccc4o3)O2)O1)c1ccc[nH]1,C29H37N3O6,523.268235904,524.275511904,0.0004880959999127299,524.275511904,C;H;N;O,1.0,False,False,38.0,21.0,0.0,0.0,True,True,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True
CCMSLIB00011905970,Catechin,M+H,Positive,Positive,Pool2_20230523011440.mzML,963,2023-09-18 11:43:18.0,291.086,290.079,gnps_smiles,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU,c1ccc(C2CCc3ccccc3O2)cc1,C15H14O6,290.07903816799995,291.08631416799994,-0.00031416799993166933,291.08631416799994,C;H;O,1.0,False,False,21.0,21.0,0.0,0.0,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True
CCMSLIB00011905971,Daidzein,M+H,Positive,Positive,Pool2_20230523011440.mzML,2695,2023-09-18 11:43:18.0,255.065,254.058,gnps_smiles,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,ZQSIJRDFPHDXIC,O=c1c(-c2ccccc2)coc2ccccc12,C15H10O4,254.0579088,255.0651848,-0.0001847999999995409,255.0651848,C;H;O,1.0,False,False,19.0,21.0,0.0,0.0,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True
CCMSLIB00011905972,Depsichlorin C,M+H,Positive,Positive,Pool2_20230523011440.mzML,5892,2023-09-18 11:43:18.0,1154.45,1153.44,no_structure,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00011905973,Dermacozine F,M+H,Positive,Positive,Pool2_20230523011440.mzML,3689,2023-09-18 11:43:18.0,398.114,397.106,gnps_smiles,CN1C2=CC=CC(=C2N=C3C1=C4C(=C(C(=O)OC4=O)C5=CC=CC=C5)C=C3)C(=O)N,KRBONJPXVIBADG,O=c1oc(=O)c2c(ccc3nc4ccccc4[nH]c32)c1-c1ccccc1,C23H15N3O4,397.10625596000006,398.11353196000005,0.00046803999993016987,398.11353196000005,C;H;N;O,1.0,False,False,30.0,21.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CCMSLIB00011905974,Desferrioxamine D2,M+H,Positive,Positive,Pool2_20230523011440.mzML,1701,2023-09-18 11:43:18.0,587.34,586.333,gnps_smiles,C1CCNC(=O)CCC(=O)N(CCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O,SXTGVXKFOVZYIK,O=C1CCC(=O)NCCCCCNC(=O)CCC(=O)NCCCCNC(=O)CCC(=O)NCCCCCN1,C26H46N6O9,586.332627052,587.3399030520001,9.694799996395886e-05,587.3399030520001,C;H;N;O,1.0,False,False,41.0,21.0,0.0,0.0,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False
CCMSLIB00011905975,Desferroferrithiocin,M+H,Positive,Positive,Pool2_20230523011440.mzML,2466,2023-09-18 11:43:18.0,239.048,238.041,no_structure,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
