accession,http_status,ion_mode,in_tree_2023_11,in_tree_2025_05_1,blob_changed_2023_11_to_2025_05_1,title,license,date_published,title_instrument_type,title_ms_type,ce_value,ce_unit,ce_raw,compound_name,formula_recorded,inchi,smiles,inchikey_recorded,monoisotopic_recorded,key,scaffold_group,key_route,parent_formula,parent_charge,parent_monoisotopic,elements,n_fragments_raw,smiles_inchi_block1_agree,recorded_block1,recorded_charged,mh_mz_from_parent,precursor_type_codesearch,instrument_codesearch,in_msg15_recorded_all,in_msg15_parent_all,in_msg15_simchallenge_all,in_msg15_recorded_train,in_muru_registry_all,in_muru_exposed_union,in_pr7_study2_population,in_comparator_common_population,in_msnlib_9lib,in_muru_exposed_populations_union,in_muru_dev_compounds_csv_keys,sg_in_msg15_scaffold_groups,sg_in_muru_registry_scaffold_groups,sg_in_muru_dev_scaffold_groups,sg_in_pr7_scaffold_groups,sg_in_comparator_scaffold_groups,in_msg15_any_route
MSBNK-BAFG-CSL2311091,200,POSITIVE,True,True,True,(2-dodecanoylamino-ethyl)-dimethyl-tetradecyl-ammonium; LC-ESI-QTOF; MS2; 110 V,https://www.govdata.de/dl-de/by-2-0,2025-01-17,LC-ESI-QTOF,MS2,110.0,V,110 V,(2-dodecanoylamino-ethyl)-dimethyl-tetradecyl-ammonium,[C30H63N2O]+,"InChI=1S/C30H62N2O/c1-5-7-9-11-13-15-16-17-19-21-23-25-28-32(3,4)29-27-31-30(33)26-24-22-20-18-14-12-10-8-6-2/h5-29H2,1-4H3/p+1",CCCCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCCCCCCCCCC,FFBIRENCNBBTSF-UHFFFAOYSA-O,467.4935,FFBIRENCNBBTSF,__ACYCLIC__FFBIRENCNBBTSF,smiles,C30H63N2O+,1,467.49349105608997,C;N;O,1,True,FFBIRENCNBBTSF,True,468.500767522902,[M]+,TripleTOF 5600 SCIEX,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSBNK-BAFG-CSL23110910,200,POSITIVE,True,True,True,(2-dodecanoylamino-ethyl)-dimethyl-tetradecyl-ammonium; LC-ESI-QTOF; MS2; 30 V,https://www.govdata.de/dl-de/by-2-0,2025-01-17,LC-ESI-QTOF,MS2,30.0,V,30 V,(2-dodecanoylamino-ethyl)-dimethyl-tetradecyl-ammonium,[C30H63N2O]+,"InChI=1S/C30H62N2O/c1-5-7-9-11-13-15-16-17-19-21-23-25-28-32(3,4)29-27-31-30(33)26-24-22-20-18-14-12-10-8-6-2/h5-29H2,1-4H3/p+1",CCCCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCCCCCCCCCC,FFBIRENCNBBTSF-UHFFFAOYSA-O,467.4935,FFBIRENCNBBTSF,__ACYCLIC__FFBIRENCNBBTSF,smiles,C30H63N2O+,1,467.49349105608997,C;N;O,1,True,FFBIRENCNBBTSF,True,468.500767522902,[M]+,TripleTOF 5600 SCIEX,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MSBNK-BAFG-CSL231109100,200,POSITIVE,True,True,True,Benzyl-dimethyl-octylammonium; LC-ESI-QTOF; MS2; 50 V,https://www.govdata.de/dl-de/by-2-0,2025-01-17,LC-ESI-QTOF,MS2,50.0,V,50 V,Benzyl-dimethyl-octylammonium,[C17H30N]+,"InChI=1S/C17H30N/c1-4-5-6-7-8-12-15-18(2,3)16-17-13-10-9-11-14-17/h9-11,13-14H,4-8,12,15-16H2,1-3H3/q+1",CCCCCCCC[N+](C)(C)Cc1ccccc1,SHFLYPPECXRCFO-UHFFFAOYSA-N,248.2373,SHFLYPPECXRCFO,c1ccccc1,smiles,C17H30N+,1,248.23727638008998,C;N,1,True,SHFLYPPECXRCFO,True,249.24455284690197,,,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
MSBNK-BAFG-CSL2311091000,200,NEGATIVE,True,True,True,Nilotinib; LC-ESI-QTOF; MS2; 130 V,https://www.govdata.de/dl-de/by-2-0,2025-01-17,LC-ESI-QTOF,MS2,130.0,V,130 V,Nilotinib,C28H22F3N7O,"InChI=1S/C28H22F3N7O/c1-17-5-6-19(10-25(17)37-27-33-9-7-24(36-27)20-4-3-8-32-14-20)26(39)35-22-11-21(28(29,30)31)12-23(13-22)38-15-18(2)34-16-38/h3-16H,1-2H3,(H,35,39)(H,33,36,37)",Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F,HHZIURLSWUIHRB-UHFFFAOYSA-N,529.1838,HHZIURLSWUIHRB,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,smiles,C28H22F3N7O,0,529.1837929840001,C;F;N;O,1,True,HHZIURLSWUIHRB,False,530.191069450812,,,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,False,True
MSBNK-BAFG-CSL2311091001,200,NEGATIVE,True,True,True,Nilotinib; LC-ESI-QTOF; MS2; 20 V,https://www.govdata.de/dl-de/by-2-0,2025-01-17,LC-ESI-QTOF,MS2,20.0,V,20 V,Nilotinib,C28H22F3N7O,"InChI=1S/C28H22F3N7O/c1-17-5-6-19(10-25(17)37-27-33-9-7-24(36-27)20-4-3-8-32-14-20)26(39)35-22-11-21(28(29,30)31)12-23(13-22)38-15-18(2)34-16-38/h3-16H,1-2H3,(H,35,39)(H,33,36,37)",Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F,HHZIURLSWUIHRB-UHFFFAOYSA-N,529.1838,HHZIURLSWUIHRB,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,smiles,C28H22F3N7O,0,529.1837929840001,C;F;N;O,1,True,HHZIURLSWUIHRB,False,530.191069450812,,,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,False,True
MSBNK-BAFG-CSL2311091002,200,NEGATIVE,True,True,True,Nilotinib; LC-ESI-QTOF; MS2; 120 V,https://www.govdata.de/dl-de/by-2-0,2025-01-17,LC-ESI-QTOF,MS2,120.0,V,120 V,Nilotinib,C28H22F3N7O,"InChI=1S/C28H22F3N7O/c1-17-5-6-19(10-25(17)37-27-33-9-7-24(36-27)20-4-3-8-32-14-20)26(39)35-22-11-21(28(29,30)31)12-23(13-22)38-15-18(2)34-16-38/h3-16H,1-2H3,(H,35,39)(H,33,36,37)",Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F,HHZIURLSWUIHRB-UHFFFAOYSA-N,529.1838,HHZIURLSWUIHRB,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,smiles,C28H22F3N7O,0,529.1837929840001,C;F;N;O,1,True,HHZIURLSWUIHRB,False,530.191069450812,,,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,False,True
MSBNK-BAFG-CSL2311091003,200,NEGATIVE,True,True,True,5-Chloro-2-hydroxybenzophenone; LC-ESI-QTOF; MS2; 50 V,https://www.govdata.de/dl-de/by-2-0,2025-01-17,LC-ESI-QTOF,MS2,50.0,V,50 V,5-Chloro-2-hydroxybenzophenone,C13H9ClO2,"InChI=1S/C13H9ClO2/c14-10-6-7-12(15)11(8-10)13(16)9-4-2-1-3-5-9/h1-8,15H",Oc1ccc(Cl)cc1C(=O)c2ccccc2,OMWSZDODENFLSV-UHFFFAOYSA-N,232.0291,OMWSZDODENFLSV,O=C(c1ccccc1)c1ccccc1,smiles,C13H9ClO2,0,232.029107208,C;Cl;O,1,True,OMWSZDODENFLSV,False,233.036383674812,,,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True
MSBNK-BAFG-CSL2311091004,200,NEGATIVE,True,True,True,5-Chloro-2-hydroxybenzophenone; LC-ESI-QTOF; MS2; 20 V,https://www.govdata.de/dl-de/by-2-0,2025-01-17,LC-ESI-QTOF,MS2,20.0,V,20 V,5-Chloro-2-hydroxybenzophenone,C13H9ClO2,"InChI=1S/C13H9ClO2/c14-10-6-7-12(15)11(8-10)13(16)9-4-2-1-3-5-9/h1-8,15H",Oc1ccc(Cl)cc1C(=O)c2ccccc2,OMWSZDODENFLSV-UHFFFAOYSA-N,232.0291,OMWSZDODENFLSV,O=C(c1ccccc1)c1ccccc1,smiles,C13H9ClO2,0,232.029107208,C;Cl;O,1,True,OMWSZDODENFLSV,False,233.036383674812,,,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True
MSBNK-BAFG-CSL2311091005,200,NEGATIVE,True,True,True,5-Chloro-2-hydroxybenzophenone; LC-ESI-QTOF; MS2; 30 V,https://www.govdata.de/dl-de/by-2-0,2025-01-17,LC-ESI-QTOF,MS2,30.0,V,30 V,5-Chloro-2-hydroxybenzophenone,C13H9ClO2,"InChI=1S/C13H9ClO2/c14-10-6-7-12(15)11(8-10)13(16)9-4-2-1-3-5-9/h1-8,15H",Oc1ccc(Cl)cc1C(=O)c2ccccc2,OMWSZDODENFLSV-UHFFFAOYSA-N,232.0291,OMWSZDODENFLSV,O=C(c1ccccc1)c1ccccc1,smiles,C13H9ClO2,0,232.029107208,C;Cl;O,1,True,OMWSZDODENFLSV,False,233.036383674812,,,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True
MSBNK-BAFG-CSL2311091006,200,NEGATIVE,True,True,True,5-Chloro-2-hydroxybenzophenone; LC-ESI-QTOF; MS2; 60 V,https://www.govdata.de/dl-de/by-2-0,2025-01-17,LC-ESI-QTOF,MS2,60.0,V,60 V,5-Chloro-2-hydroxybenzophenone,C13H9ClO2,"InChI=1S/C13H9ClO2/c14-10-6-7-12(15)11(8-10)13(16)9-4-2-1-3-5-9/h1-8,15H",Oc1ccc(Cl)cc1C(=O)c2ccccc2,OMWSZDODENFLSV-UHFFFAOYSA-N,232.0291,OMWSZDODENFLSV,O=C(c1ccccc1)c1ccccc1,smiles,C13H9ClO2,0,232.029107208,C;Cl;O,1,True,OMWSZDODENFLSV,False,233.036383674812,,,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True
