accession,num_peak,precursor_type,precursor_mz,ion_mode,ce_value,key,parent_charge,mh_mz_from_parent,in_tree_2023_11
MSBNK-BAFG-CSL2311096,2,[M]+,467.4935,POSITIVE,50.0,FFBIRENCNBBTSF,1,468.500767522902,True
MSBNK-BAFG-CSL2311095,4,[M]+,467.4935,POSITIVE,70.0,FFBIRENCNBBTSF,1,468.500767522902,True
MSBNK-BAFG-CSL2311097,7,[M]+,467.4935,POSITIVE,120.0,FFBIRENCNBBTSF,1,468.500767522902,True
MSBNK-BAFG-CSL2311093,2,[M]+,467.4935,POSITIVE,40.0,FFBIRENCNBBTSF,1,468.500767522902,True
MSBNK-BAFG-CSL2311094,3,[M]+,467.4935,POSITIVE,20.0,FFBIRENCNBBTSF,1,468.500767522902,True
MSBNK-BAFG-CSL2311099,6,[M]+,467.4935,POSITIVE,80.0,FFBIRENCNBBTSF,1,468.500767522902,True
MSBNK-BAFG-CSL2311098,9,[M]+,467.4935,POSITIVE,140.0,FFBIRENCNBBTSF,1,468.500767522902,True
MSBNK-BAFG-CSL2311091,10,[M]+,467.4935,POSITIVE,110.0,FFBIRENCNBBTSF,1,468.500767522902,True
MSBNK-BAFG-CSL23110975,4,[M]+,304.2999,POSITIVE,130.0,UBGDIDXCMKJWND,0,306.315526714812,True
MSBNK-BAFG-CSL23110960,5,[M]+,254.1903,POSITIVE,30.0,UAMJPHUIMPFLOK,1,255.19760265490197,True
MSBNK-BAFG-CSL23110948,13,[M]+,176.1434,POSITIVE,100.0,WIKAJTNLVCYEQJ,1,177.15065246290197,True
MSBNK-BAFG-CSL23110918,1,[M]+,417.3839,POSITIVE,60.0,JPYMIDLPHIHRNY,1,418.3912170749021,True
MSBNK-BAFG-CSL23110999,5,[M]+,248.2373,POSITIVE,150.0,SHFLYPPECXRCFO,1,249.24455284690197,True
MSBNK-BAFG-CSL23110922,2,[M]+,417.3839,POSITIVE,110.0,JPYMIDLPHIHRNY,1,418.3912170749021,True
MSBNK-BAFG-CSL23110969,2,[M]+,304.2999,POSITIVE,100.0,UBGDIDXCMKJWND,0,306.315526714812,True
MSBNK-BAFG-CSL23110962,6,[M]+,254.1903,POSITIVE,40.0,UAMJPHUIMPFLOK,1,255.19760265490197,True
MSBNK-BAFG-CSL23110944,11,[M]+,176.1434,POSITIVE,80.0,WIKAJTNLVCYEQJ,1,177.15065246290197,True
MSBNK-BAFG-CSL23110935,6,[M]+,176.1434,POSITIVE,140.0,WIKAJTNLVCYEQJ,1,177.15065246290197,True
MSBNK-BAFG-CSL23110980,2,[M]+,304.2999,POSITIVE,80.0,UBGDIDXCMKJWND,0,306.315526714812,True
