compound,identity_source,smiles,recorded_inchikey,db_precursor_mz,formula,parent_key,recorded_first_block,smiles_formula_matches_recorded_formula,other_route_keys_conflicting,key_route_disagree,scaffold_group,net_formal_charge_raw,parent_mh_mz,mh_in_dev_range,elements,has_F,single_ce_listed,n_single_ce_listed,ces_listed,n_ces_listed,adducts,n_mh_spectra,has_mh,total_spectra,chimeric_flag,rt_min,s1_compound_id,coinjected_ions_within_0p7_mz_of_mh,n_coinjected_ions_within_0p7,in_muru_registry,in_muru_registry_direct_reason,muru_exposed_populations,in_muru_exposed_population_union,group_in_muru_registry_groups,in_pr7_population,group_in_pr7_groups,in_comparator_population,group_in_comparator_groups,in_msg15_any_fold,msg15_folds,in_msg15_simchallenge,msg15_rows,msg15_instrument_types,msg15_mh_qtof_rows,group_in_msg15_groups,in_msnlib_9lib,in_msnlib_v1_0,anyroute_in_muru_registry,anyroute_in_muru_exposed_population_union,anyroute_in_pr7_population,anyroute_in_comparator_population,anyroute_in_msg15_any_fold
2-hydroxy-4-methoxybenzophenone,db_SMILES,COc1cc(O)c(C(=O)c2ccccc2)cc1,DXGLGDHPHMLXJC-UHFFFAOYSA-N,229.0865,C14H12O3,DXGLGDHPHMLXJC,DXGLGDHPHMLXJC,True,,False,O=C(c1ccccc1)c1ccccc1,0.0,229.08592,True,C;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15}",15,True,15,No,15.45,7.0,4-octylphenol[M+Na]+;4-tert-octylphenol[M+Na]+;Bisphenol A[M+H]+;Ibuprofen[M+Na]+;Resveratrol[M+H]+,5,True,True,V2-DEVELOPMENT-POPULATION;WUR-DEV-ANALYSIS;WUR-NEG-DEV;WUR-POS-IDENTITY,True,True,False,False,False,False,True,train,True,65,Orbitrap:39;QTOF:26,26,True,True,True,True,True,False,False,True
2-isopropyl-4-methyl-6-hydroxypyrimidine,db_SMILES,Cc1cc(=O)nc(C(C)C)[nH]1,AJPIUNPJBFBUKK-UHFFFAOYSA-N,153.1028,C8H12N2O,AJPIUNPJBFBUKK,AJPIUNPJBFBUKK,True,,False,O=c1cc[nH]cn1,0.0,153.10224,True,C;N;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15}",15,True,15,No,3.6,8.0,2-phenylphenol[M-H2O+H]+;4-phenylphenol[M-H2O+H]+;Diethyl thiophosphate [M-H2O+H]+;Methylparaben[M+H]+,4,True,True,ENTACT-MIX-LISTS-499-503-505,True,True,False,False,False,False,True,train,True,56,Orbitrap:54;QTOF:2,2,False,False,False,True,True,False,False,True
3-benzylidenecamphor,db_SMILES,CC12CCC(C(=Cc3ccccc3)C1=O)C2(C)C,OIQXFRANQVWXJF-UHFFFAOYSA-N,241.1592,C17H20O,OIQXFRANQVWXJF,OIQXFRANQVWXJF,True,,False,O=C1C(=Cc2ccccc2)C2CCC1C2,0.0,241.15869,True,C;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15, ""[M+H-H2O]+"": 14, ""[M+Na]+"": 2}",15,True,31,Yes,16.78,13.0,1-hydroxypyrene[M+Na]+;Alternariol[M-H2O+H]+,2,False,False,,False,True,False,False,False,False,False,,False,0,,0,True,False,False,False,False,False,False,False
"3,5,6-trichloro-2-pyridinol",db_SMILES,O=c1[nH]c(Cl)c(Cl)cc1Cl,WCYYAQFQZQEUEN-UHFFFAOYSA-N,197.928,C5H2Cl3NO,WCYYAQFQZQEUEN,WCYYAQFQZQEUEN,True,,False,O=c1cccc[nH]1,0.0,197.92747,True,C;Cl;N;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15}",15,True,15,No,5.28,,,0,True,True,ENTACT-MIX-LISTS-499-503-505,True,True,False,False,False,False,False,,False,0,,0,True,True,True,True,True,False,False,False
4-hydroxybenzophenone,db_SMILES,O=C(c1ccccc1)c1ccc(O)cc1,NPFYZDNDJHZQKY-UHFFFAOYSA-N,199.076,C13H10O2,NPFYZDNDJHZQKY,NPFYZDNDJHZQKY,True,,False,O=C(c1ccccc1)c1ccccc1,0.0,199.07536,True,C;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15, ""[M+NH4]+"": 13}",15,True,28,No,8.12,17.0,Cotinine[M+Na]+;Dibromoacetic acid[M-H2O+H]+,2,False,False,,False,True,False,False,False,False,False,,False,0,,0,True,False,False,False,False,False,False,False
4-methylbenzophenone,db_SMILES,Cc1ccc(C(=O)c2ccccc2)cc1,WXPWZZHELZEVPO-UHFFFAOYSA-N,197.0967,C14H12O,WXPWZZHELZEVPO,WXPWZZHELZEVPO,True,,False,O=C(c1ccccc1)c1ccccc1,0.0,197.09609,True,C;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15}",15,True,15,No,15.44,18.0,"2,4,5-trichlorophenol[M+H]+;3-phenoxybenzoic acid[M-H2O+H]+;Benzophenone-1[M-H2O+H]+;Bisphenol E[M-H2O+H]+;Metribuzin[M-H2O+H]+",5,False,False,,False,True,False,False,False,False,True,train,True,6,Orbitrap:6,0,True,False,False,False,False,False,False,True
4-methylbenzylidene camphor,db_SMILES,Cc1ccc(/C=C2\C(=O)C3(C)CCC2C3(C)C)cc1,HEOCBCNFKCOKBX-KAMYIIQDSA-N,255.1743,C18H22O,HEOCBCNFKCOKBX,HEOCBCNFKCOKBX,True,,False,O=C1C(=Cc2ccccc2)C2CCC1C2,0.0,255.17434,True,C;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15, ""[M+H-H2O]+"": 10}",15,True,25,Yes,17.15,16.0,Alternariol monomethyl ether[M-H2O+H]+;Chrysin[M+H]+;Daidzein[M+H]+;Dibromoacetic acid[M+K]+,4,True,True,,False,True,False,False,False,False,True,train,True,23,QTOF:12;Orbitrap:11,12,True,True,True,True,False,False,False,True
5-hydroxymethylfurfural,db_SMILES,O=Cc1ccc(CO)o1,NOEGNKMFWQHSLB-UHFFFAOYSA-N,127.0395,C6H6O3,NOEGNKMFWQHSLB,NOEGNKMFWQHSLB,True,,False,c1ccoc1,0.0,127.03897,True,C;O,False,20;25;30;35;50;55;60;65;70,9,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 13, ""[M+H-H2O]+"": 13}",13,True,26,No,2.62,23.0,2-naphtol[M-H2O+H]+,1,True,True,ENTACT-MIX-LISTS-499-503-505,True,True,False,False,False,False,True,train,False,4,Orbitrap:4,0,True,True,True,True,True,False,False,True
8-Prenylnaringenin,db_SMILES,CC(C)=CCc1c2O[C@H](c3ccc(O)cc3)CC(=O)c2c(O)cc1O,LPEPZZAVFJPLNZ-SFHVURJKSA-N,341.1389,C20H20O5,LPEPZZAVFJPLNZ,LPEPZZAVFJPLNZ,True,,False,O=C1CC(c2ccccc2)Oc2ccccc21,0.0,341.13835,True,C;O,False,20;25;30;35;40;45;50;55;60;65,10,30±10;30±20;40±10,3,"{""[M+H]+"": 13}",13,True,13,No,12.84,24.0,"Bis(1,3-dichloro-2-propyl) phosphate[M+Na]+;Enterodiol[M+K]+;Matairesinol[M-H2O+H]+;Zearalenone[M+Na]+",4,True,True,,False,True,False,False,False,False,True,train,True,63,Orbitrap:57;QTOF:6,6,True,True,False,True,False,False,False,True
Acetaminophen,db_SMILES,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,152.0712,C8H9NO2,RZVAJINKPMORJF,RZVAJINKPMORJF,True,,False,c1ccccc1,0.0,152.0706,True,C;N;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20,2,"{""[M+H]+"": 16, ""[M+H-H2O]+"": 4, ""[M+Na]+"": 2}",16,True,22,No,3.13,25.0,Glyphosate[M-H2O+H]+,1,True,True,ENTACT-MIX-LISTS-499-503-505;V2-DEVELOPMENT-POPULATION;WUR-DEV-ANALYSIS;WUR-POS-IDENTITY,True,True,False,False,False,False,True,train,True,83,Orbitrap:67;QTOF:16,16,True,False,False,True,True,False,False,True
Acetamiprid,db_SMILES,CC(=NC#N)N(C)Cc1cnc(Cl)cc1,WCXDHFDTOYPNIE-UHFFFAOYSA-N,223.0751,C10H11ClN4,WCXDHFDTOYPNIE,WCXDHFDTOYPNIE,True,,False,c1ccncc1,0.0,223.0745,True,C;Cl;N,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15}",15,True,15,No,5.23,27.0,3-benzylidene camphor[M-H2O+H]+;Bisphenol F[M+Na]+;Diethyl phthalate[M+H]+;Mono butyl phthalate[M+H]+;Mono-isobutyl phthalate[M+H]+,5,True,True,V2-DEVELOPMENT-POPULATION;WUR-POS-IDENTITY;WUR-SEALED,True,True,False,False,False,False,True,train,True,58,Orbitrap:40;QTOF:16,16,True,True,True,True,True,False,False,True
Aflatoxicol,db_SMILES,COc1c2c3c(c(=O)oc2c2c(c1)O[C@H]1OC=C[C@@H]21)[C@@H](O)CC3,WYIWLDSPNDMZIT-IRWWLHRVSA-N,315.0869,C17H14O6,WYIWLDSPNDMZIT,WYIWLDSPNDMZIT,True,,False,O=c1oc2c3c(ccc2c2c1CCC2)OC1OC=CC31,0.0,315.08631,True,C;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 14, ""[M+H-H2O]+"": 15, ""[M+Na]+"": 8, ""[M+NH4]+"": 1}",14,True,38,Yes,7.48,29.0,Aflatoxin B2[M+H]+;Duloxetine[M+NH4]+;Mono-(2-ethyl-5-oxohexyl) phthalate[M+Na]+;Mono-iso-nonyl phthalate[M+Na]+;Perfluorohexanoic acid[M+H]+;Triclocarban[M+H]+,6,False,False,,False,False,False,False,False,False,False,,False,0,,0,False,False,False,False,False,False,False,False
Aflatoxin B1,db_SMILES,COc1c2c3c(C(=O)CC3)c(=O)oc2c2c(c1)O[C@H]1OC=C[C@@H]21,OQIQSTLJSLGHID-WNWIJWBNSA-N,313.0712,C17H12O6,OQIQSTLJSLGHID,OQIQSTLJSLGHID,True,,False,O=C1CCc2c1c(=O)oc1c3c(ccc21)OC1OC=CC31,0.0,313.07066,True,C;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15, ""[M+Na]+"": 9}",15,True,24,Yes,7.04,30.0,Aflatoxin G2[M-H2O+H]+;Aflatoxin M2[M-H2O+H]+;Benzophenone-6[M+K]+;Benzyl butyl phthalate[M+H]+;Bisphenol AP[M+Na]+;Fenarimol[M-H2O+H]+;Malathion[M-H2O+H]+;Malathion dicarboxylic acid[M+K]+;Nivalenol[M+H]+;Octyl methoxycinnamate[M+Na]+;Trimethoprim[M+Na]+,11,True,True,V2-DEVELOPMENT-POPULATION;WUR-POS-IDENTITY;WUR-SEALED,True,True,False,False,False,False,True,train,True,23,Orbitrap:12;QTOF:9,9,True,True,True,True,True,False,False,True
Aflatoxin B2,db_SMILES,COc1c2c3c(C(=O)CC3)c(=O)oc2c2c(c1)O[C@H]1OCC[C@@H]21,WWSYXEZEXMQWHT-WNWIJWBNSA-N,315.0869,C17H14O6,WWSYXEZEXMQWHT,WWSYXEZEXMQWHT,True,,False,O=C1CCc2c1c(=O)oc1c3c(ccc21)OC1OCCC31,0.0,315.08631,True,C;O,False,20;25;30;35;40;45;50;55;60;65;70,11,30±10;30±20;40±10;40±20,4,"{""[M+H]+"": 15, ""[M+Na]+"": 10}",15,True,25,No,6.46,32.0,Aflatoxicol[M+H]+;Duloxetine[M+NH4]+;Mono-(2-ethyl-5-oxohexyl) phthalate[M+Na]+;Mono-iso-nonyl phthalate[M+Na]+;Perfluorohexanoic acid[M+H]+;Triclocarban[M+H]+,6,True,True,V2-DEVELOPMENT-POPULATION;WUR-DEV-HOLD;WUR-POS-IDENTITY,True,True,False,False,False,False,True,train,True,18,Orbitrap:8;QTOF:8,8,True,False,False,True,True,False,False,True
