compound,smiles,formula_calc,parent_key,taut_key,skel_key,scaffold_group,n_mh_spectra,single_ce,n_single_ce,chimeric_flag,in_muru_registry,group_in_muru_registry_groups,in_pr7,group_in_pr7,in_comparator,group_in_comparator,in_msg15,group_in_msg15,msg15_pk_hit,msg15_taut_hit,msg15_skel_hit,msg15_new_hit_smiles,muru_dev_pop_pk_hit,muru_dev_pop_taut_hit,muru_dev_pop_skel_hit,muru_dev_pop_new_hit_smiles,pr7_pk_hit,pr7_taut_hit,pr7_skel_hit,pr7_new_hit_smiles,comparator_pk_hit,comparator_taut_hit,comparator_skel_hit,comparator_new_hit_smiles,taut_or_skel_new_hit
2-hydroxy-4-methoxybenzophenone,COc1cc(O)c(C(=O)c2ccccc2)cc1,C14H12O3,DXGLGDHPHMLXJC,DXGLGDHPHMLXJC,NAZSTRORASRVBV,O=C(c1ccccc1)c1ccccc1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
2-isopropyl-4-methyl-6-hydroxypyrimidine,Cc1cc(=O)nc(C(C)C)[nH]1,C8H12N2O,AJPIUNPJBFBUKK,AJPIUNPJBFBUKK,SJFAOSSOHNHUFM,O=c1cc[nH]cn1,15,,0,No,True,True,False,False,False,False,True,False,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
3-benzylidenecamphor,CC12CCC(C(=Cc3ccccc3)C1=O)C2(C)C,C17H20O,OIQXFRANQVWXJF,OIQXFRANQVWXJF,SJLAXDGXVXOPSM,O=C1C(=Cc2ccccc2)C2CCC1C2,15,20;25;30;35;40;45;50;55;60;65;70,11,Yes,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
"3,5,6-trichloro-2-pyridinol",O=c1[nH]c(Cl)c(Cl)cc1Cl,C5H2Cl3NO,WCYYAQFQZQEUEN,WCYYAQFQZQEUEN,AOJJYCMXABXDIK,O=c1cccc[nH]1,15,,0,No,True,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
4-hydroxybenzophenone,O=C(c1ccccc1)c1ccc(O)cc1,C13H10O2,NPFYZDNDJHZQKY,NPFYZDNDJHZQKY,TYPRCTMOBHKUTJ,O=C(c1ccccc1)c1ccccc1,15,20;25;30;40;45;50;55;60;65;70,10,No,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,False,False,False,,False
4-methylbenzophenone,Cc1ccc(C(=O)c2ccccc2)cc1,C14H12O,WXPWZZHELZEVPO,WXPWZZHELZEVPO,MNMTXNKWQTZTSI,O=C(c1ccccc1)c1ccccc1,15,,0,No,False,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
4-methylbenzylidene camphor,Cc1ccc(/C=C2\C(=O)C3(C)CCC2C3(C)C)cc1,C18H22O,HEOCBCNFKCOKBX,HEOCBCNFKCOKBX,YNJRSLMZAGUPIJ,O=C1C(=Cc2ccccc2)C2CCC1C2,15,30;35;40;45;50;55;60;65;70,9,Yes,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
5-hydroxymethylfurfural,O=Cc1ccc(CO)o1,C6H6O3,NOEGNKMFWQHSLB,NOEGNKMFWQHSLB,YCZZQSFWHFBKMU,c1ccoc1,13,20;25;30;35;50;55;60;65;70,9,No,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
8-Prenylnaringenin,CC(C)=CCc1c2O[C@H](c3ccc(O)cc3)CC(=O)c2c(O)cc1O,C20H20O5,LPEPZZAVFJPLNZ,LPEPZZAVFJPLNZ,PBPZFJMWNBXTHO,O=C1CC(c2ccccc2)Oc2ccccc21,13,,0,No,True,True,False,False,False,False,True,True,True,True,True,,False,False,False,,False,False,False,,False,False,False,,False
Acetaminophen,CC(=O)Nc1ccc(O)cc1,C8H9NO2,RZVAJINKPMORJF,RZVAJINKPMORJF,SYBAUZUDMXHHLG,c1ccccc1,16,20;35;40;70,4,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Acetamiprid,CC(=NC#N)N(C)Cc1cnc(Cl)cc1,C10H11ClN4,WCXDHFDTOYPNIE,WCXDHFDTOYPNIE,YTRHYPBZPPVSCL,c1ccncc1,15,,0,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Aflatoxicol,COc1c2c3c(c(=O)oc2c2c(c1)O[C@H]1OC=C[C@@H]21)[C@@H](O)CC3,C17H14O6,WYIWLDSPNDMZIT,WYIWLDSPNDMZIT,QSDGNLBKPDHTEH,O=c1oc2c3c(ccc2c2c1CCC2)OC1OC=CC31,14,20;25;30;35;40;45;50;55;60;65;70,11,Yes,False,False,False,False,False,False,False,False,False,False,True,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1CCOC1O2;COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1CCO[C@@H]1O2,False,False,True,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C2[C@@H]3CCO[C@@H]3OC2=C1,False,False,False,,False,False,False,,True
Aflatoxin B1,COc1c2c3c(C(=O)CC3)c(=O)oc2c2c(c1)O[C@H]1OC=C[C@@H]21,C17H12O6,OQIQSTLJSLGHID,OQIQSTLJSLGHID,QSDGNLBKPDHTEH,O=C1CCc2c1c(=O)oc1c3c(ccc21)OC1OC=CC31,15,20;25;30;35;40,5,Yes,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
Aflatoxin B2,COc1c2c3c(C(=O)CC3)c(=O)oc2c2c(c1)O[C@H]1OCC[C@@H]21,C17H14O6,WWSYXEZEXMQWHT,WWSYXEZEXMQWHT,QSDGNLBKPDHTEH,O=C1CCc2c1c(=O)oc1c3c(ccc21)OC1OCCC31,15,20;25;30;35;40;45,6,No,True,True,False,False,False,False,True,True,True,True,True,,True,True,True,,False,False,False,,False,False,False,,False
