library,SpectrumID,Compound_Name,Adduct,Instrument,Ion_Mode,Precursor_MZ,Smiles,create_time,key
LDB_POSITIVE,CCMSLIB00004751435,12-Desoxydiacetylpyxinol,M+H,qTof,Positive,545.42,CC1(C(C2(CCC1OC(C)=O)C)CCC3(C2CCC4[C@]3(CCC4[C@]5(C)O[C@@H](C(C)(OC(C)=O)C)CC5)C)C)C,2019-01-28 06:45:12.0,RBQLECJYZFCFKA
LDB_POSITIVE,CCMSLIB00004751436,"""2,8-Dimethyl-5,7-dimethoxychromone""",M+H,qTof,Positive,235.102,O=C1C=C(C)OC2=C1C(OC)=CC(OC)=C2C,2019-01-28 06:45:12.0,MJHNYZONVLZSNB
LDB_POSITIVE,CCMSLIB00004751437,"""5,7-Dihydroxy-2,6,8-trimethylchromone""",M+H,qTof,Positive,221.082,O=C1C=C(C)OC2=C1C(O)=C(C)C(O)=C2C,2019-01-28 06:45:12.0,ODNMTIVRLHXQTE
LDB_POSITIVE,CCMSLIB00004751438,Eugenitin,M+H,qTof,Positive,221.083,CC1=CC(=O)C2=C(C(=C(C=C2O1)OC)C)O,2019-01-28 06:45:12.0,RGTSAUBIQAKKLC
LDB_POSITIVE,CCMSLIB00004751439,Eugenitol,M+H,qTof,Positive,207.067,CC1=CC(=O)C2=C(C(=C(C=C2O1)O)C)O,2019-01-28 06:45:12.0,HMAUJNAGOIPKDG
LDB_POSITIVE,CCMSLIB00004751440,Galapagin,M+H,qTof,Positive,425.148,O[C@H]1[C@H](O)[C@@H](O)[C@H](OC2=C(C)C(OC(C)=CC3=O)=C3C(O)=C2C)O[C@@H]1COC(C)=O,2019-01-28 06:45:12.0,NJRLDXGREKHXGV
LDB_POSITIVE,CCMSLIB00004751441,Isoeugenitol,M+H,qTof,Positive,207.067,CC1=CC(C2=C(C(C)=C(O)C=C2O)O1)=O,2019-01-28 06:45:12.0,XSSGQRFNGHRFBC
LDB_POSITIVE,CCMSLIB00004751442,Lobodirin,M+H,qTof,Positive,495.153,CC1=CC(=O)C2=C(O1)C(=C(C=C2O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COC(=O)C)O)OC(=O)C)OC(=O)C)C,2019-01-28 06:45:12.0,HXFPGPYWXWMQDG
LDB_POSITIVE,CCMSLIB00004751443,"""2,4-Dichlor-1,3,6-tri-O-methylnorlichexanthone""",M+H,qTof,Positive,369.033,O=C(C1=C(C(Cl)=C(OC)C(Cl)=C1OC)O2)C3=C2C=C(OC)C=C3C,2019-01-28 06:45:12.0,KAJRGHJEGIZHMO
LDB_POSITIVE,CCMSLIB00004751444,Mollin,M+H,qTof,Positive,411.131,O[C@H]1[C@H](O)[C@@H](OC(C)=O)[C@H](OC2=CC(OC(C)=CC3=O)=C3C(O)=C2C)O[C@@H]1CO,2019-01-28 06:45:12.0,LBPJJBJKHHBVBI
LDB_POSITIVE,CCMSLIB00004751445,Roccellin,M+H,qTof,Positive,453.143,O=C(C)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](COC(C)=O)O[C@H]1OC2=CC(OC(C)=CC3=O)=C3C(O)=C2C,2019-01-28 06:45:12.0,AFCAWRFTSGVRQA
LDB_POSITIVE,CCMSLIB00004751446,"""2,5-Dichlor-1,3,6-tri-O-methylnorlichexanthone""",M+H,qTof,Positive,369.031,O=C(C1=C(C=C(OC)C(Cl)=C1OC)O2)C3=C2C(Cl)=C(OC)C=C3C,2019-01-28 06:45:12.0,QCVBBEYCXWJERE
LDB_POSITIVE,CCMSLIB00004751447,Rupicolin (sordidone),M+H,qTof,Positive,241.028,CC1=CC(=O)C2=C(O1)C(=C(C(=C2O)C)O)Cl,2019-01-28 06:45:12.0,OFIWISPGMYFUGQ
LDB_POSITIVE,CCMSLIB00004751448,Acetyllobodirin,M+H,qTof,Positive,537.161,CC1=CC(C2=C(C(C)=C(O[C@H]3[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](COC(C)=O)O3)C=C2O)O1)=O,2019-01-28 06:45:12.0,NWASWCGVBSEDJX
LDB_POSITIVE,CCMSLIB00004751449,Isokaurane,M+H,qTof,Positive,273.253,CC1=CC23CCC4C(CCCC4(C2CCC1C3)C)(C)C,2019-01-28 06:45:12.0,DQUHDYWUEKWRLN
LDB_POSITIVE,CCMSLIB00004751450,Kaurane,M+H,qTof,Positive,273.253,C[C@@]12CCCC([C@H]1CC[C@]34[C@H]2CC[C@H](C3)C(=C)C4)(C)C,2019-01-28 06:45:12.0,ONVABDHFQKWOSV
LDB_POSITIVE,CCMSLIB00004751451,Diacetylpyxinol,M+H,qTof,Positive,561.41,CC1(C(C2(CCC1OC(C)=O)C)CCC3(C2CC(O)C4[C@]3(CCC4[C@]5(C)O[C@@H](C(C)(OC(C)=O)C)CC5)C)C)C,2019-01-28 06:45:12.0,TWRWTOXPYGQKPW
