spectrum_id,compound_name,adduct,ion_mode,charge,precursor_mz_gnps,exact_mass_gnps,source_file,chemical_class,smiles_gnps,smiles_maf,formula_maf,mz_maf,adduct_maf,retention_time_maf,key,scaffold_group,key_maf,scaffold_group_maf,formula_rdkit_parent,monoisotopic_mass_parent,theoretical_precursor_mz,precursor_err_da,exactmass_err_da,elements,n_components_raw,charged_raw,in_msg15_recorded_all,in_msg15_parent_all,in_msg15_simchallenge_all,in_msg15_recorded_train,in_msg15_recorded_val,in_msg15_recorded_test,in_muru_registry_all,in_muru_registry_direct_reason,in_muru_exposed_union,in_pr7_study2_population,in_comparator_common_population,in_msnlib_9lib,in_msnlib_v1_0_4lib,in_multims2_reserved_validation_secondary,in_muru_exposed_populations_union,in_muru_dev_compounds_csv_keys,in_pop_ENTACT-MIX-LISTS-499-503-505,in_pop_LCSB-ALL-MASSBANK-V1-EXPOSURE-SET,in_pop_LCSB-CONFIRMATION,in_pop_LCSB-DEV,in_pop_LCSB-NEG,in_pop_LCSB-POS-V2-SPECTRA,in_pop_LCSB-RAW-MIX-REPLICATE-SET-92,in_pop_LCSB-RAW-MIXES-499-503-505,in_pop_MultiMS2-ANCHOR,in_pop_V2-DEVELOPMENT-POPULATION,in_pop_WUR-DEV-ANALYSIS,in_pop_WUR-DEV-HOLD,in_pop_WUR-NEG-D6-EXCLUDED,in_pop_WUR-NEG-DEV,in_pop_WUR-POS-IDENTITY,in_pop_WUR-SEALED,sg_in_msg15_scaffold_groups,sg_in_muru_registry_scaffold_groups,sg_in_muru_dev_scaffold_groups,sg_in_pr7_scaffold_groups,sg_in_comparator_scaffold_groups,in_msg15_any_route,formula_in_msg,formula_and_scaffold_in_msg,excluded_key_level_conservative,excluded_scaffold_level_muru_pr7_comparator
CCMSLIB00012718462,3beta-Acetoxyfern-9(11)-ene-12-one,M+H,Positive,1,483.383,482.376,3 Scan.mzXML,Terpene,C[C@]12CC[C@]([C@]3(C)C1CC[C@@H]2C(C)C)(C)C4CCC5C(C)(C)[C@@H](OC(C)=O)CCC5(C)C4=CC3=O,C[C@]12CC[C@]([C@]3(C)C1CC[C@@H]2C(C)C)(C)C4CCC5C(C)(C)[C@@H](OC(C)=O)CCC5(C)C4=CC3=O,C32H50O3,483.3834,M+H,7.8,BPPPHUNQHQJHQW,O=C1C=C2C3CCCCC3CCC2C2CCC3CCCC3C12,BPPPHUNQHQJHQW,O=C1C=C2C3CCCCC3CCC2C2CCC3CCCC3C12,C32H50O3,482.3759954599999,483.3832714599999,-0.0002714599999080747,4.540000077213335e-06,C;H;O;,1.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False
CCMSLIB00012718463,alpha-Acetylconstictic acid,M-H,Negative,-1,443.061,444.069,11 Scan.mzXML,Depsidone,O=C1C2=C(C)C=C(OC)C(C([H])=O)=C2OC(C(C(O)OC3=O)=C3C(O)=C4COC(C)=O)=C4O1,O=C1C2=C(C)C=C(OC)C(C([H])=O)=C2OC(C(C(O)OC3=O)=C3C(O)=C4COC(C)=O)=C4O1,C21H16O11,443.0615,M-H,4.5,DAMFKFMEZQUFKW,O=C1Oc2ccc3c(c2Oc2ccccc21)COC3=O,DAMFKFMEZQUFKW,O=C1Oc2ccc3c(c2Oc2ccccc21)COC3=O,C21H16O11,444.0692613319999,443.0619853319999,-0.0009853319999137966,-0.00026133199986588806,C;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True
CCMSLIB00012718464,alpha-Acetylhypoconstictic acid,M-H,Negative,-1,429.082,430.09,12 Scan.mzXML,Depsidone,O=C1C2=C(C)C=C(OC)C(C)=C2OC(C(C(O)OC3=O)=C3C(O)=C4COC(C)=O)=C4O1,O=C1C2=C(C)C=C(OC)C(C)=C2OC(C(C(O)OC3=O)=C3C(O)=C4COC(C)=O)=C4O1,C21H18O10,429.0822,M-H,5,SRDNMEWJNORVFP,O=C1Oc2ccc3c(c2Oc2ccccc21)COC3=O,SRDNMEWJNORVFP,O=C1Oc2ccc3c(c2Oc2ccccc21)COC3=O,C21H18O10,430.0899967759999,429.0827207759999,-0.0007207759999232621,3.22400006780299e-06,C;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True
CCMSLIB00012718465,2-O-Acetyltenuiorin,M-H,Negative,-1,537.14,538.148,13 Scan.mzXML,Tridepside,O=C(OC1=CC(C)=C(C(OC2=CC(O)=C(C(OC)=O)C(C)=C2)=O)C(O)=C1)C3=C(C)C=C(OC)C=C3OC(C)=O,O=C(OC1=CC(C)=C(C(OC2=CC(O)=C(C(OC)=O)C(C)=C2)=O)C(O)=C1)C3=C(C)C=C(OC)C=C3OC(C)=O,C28H26O11,537.1397,M-H,5.4,BUCICDCMTFJVJR,O=C(Oc1ccc(C(=O)Oc2ccccc2)cc1)c1ccccc1,BUCICDCMTFJVJR,O=C(Oc1ccc(C(=O)Oc2ccccc2)cc1)c1ccccc1,C28H26O11,538.1475116519999,537.1402356519999,-0.00023565199990116525,0.0004883480000898999,C;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
CCMSLIB00012718466,Alectorialic acid,M+H,Positive,1,377.087,376.079,15 Scan.mzXML,Benzyldepside,CC1=CC(=C(C(=C1C(=O)OCC2=CC(=C(C(=C2C(=O)O)O)C)O)O)C=O)O,CC1=CC(=C(C(=C1C(=O)OCC2=CC(=C(C(=C2C(=O)O)O)C)O)O)C=O)O,C18H16O9,377.0872,M+H,5,AUHQGXIVPHNDEE,O=C(OCc1ccccc1)c1ccccc1,AUHQGXIVPHNDEE,O=C(OCc1ccccc1)c1ccccc1,C18H16O9,376.0794320919999,377.08670809199987,0.0002919080001220209,-0.00043209199986904423,C;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True
CCMSLIB00012718467,Alectorialin,M+H,Positive,1,333.097,332.09,16 Scan.mzXML,Benzyldepside,CC1=CC(=C(C(=C1C(=O)OCC2=CC(=C(C(=C2)O)C)O)O)C=O)O,CC1=CC(=C(C(=C1C(=O)OCC2=CC(=C(C(=C2)O)C)O)O)C=O)O,C17H16O7,333.0974,M+H,4.9,OFGVBNPUDVPMGT,O=C(OCc1ccccc1)c1ccccc1,OFGVBNPUDVPMGT,O=C(OCc1ccccc1)c1ccccc1,C17H16O7,332.0896028519999,333.0968788519999,0.00012114800006202131,0.0003971480000473093,C;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True
CCMSLIB00012718468,alpha-Alectoronic acid,M+H,Positive,1,513.212,512.205,17 Scan.mzXML,Depsidone,CCCCCC(CC1=C2C(OC3=C(OC2=O)C=C(O)C4=C3C[C@](CCCCC)(O)OC4=O)=CC(O)=C1)=O,CCCCCC(CC1=C2C(OC3=C(OC2=O)C=C(O)C4=C3C[C@](CCCCC)(O)OC4=O)=CC(O)=C1)=O,C28H32O9,513.2124,M+H,5.6,WXVYEDQSVKIIFW,O=C1Oc2ccc3c(c2Oc2ccccc21)CCOC3=O,WXVYEDQSVKIIFW,O=C1Oc2ccc3c(c2Oc2ccccc21)CCOC3=O,C28H32O9,512.2046326039999,513.211908604,9.13960000161751e-05,0.00036739600011514995,C;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
CCMSLIB00012718469,beta-Alectoronic acid,M+H,Positive,1,513.212,512.205,18 Scan.mzXML,Depsidone,CCCCCC(CC1=C2C(OC3=C(OC2=O)C=C(O)C4=C3C[C@@](CCCCC)(O)OC4=O)=CC(O)=C1)=O,CCCCCC(CC1=C2C(OC3=C(OC2=O)C=C(O)C4=C3C[C@@](CCCCC)(O)OC4=O)=CC(O)=C1)=O,C28H32O9,513.2124,M+H,5.4,WXVYEDQSVKIIFW,O=C1Oc2ccc3c(c2Oc2ccccc21)CCOC3=O,WXVYEDQSVKIIFW,O=C1Oc2ccc3c(c2Oc2ccccc21)CCOC3=O,C28H32O9,512.2046326039999,513.211908604,9.13960000161751e-05,0.00036739600011514995,C;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
CCMSLIB00012718470,Allorhizin,M-H,Negative,-1,395.009,396.017,19 Scan.mzXML,Depsidone,O=C1C2=C(C)C(Cl)=C(O)C(C)=C2OC(C(C([H])=O)=C(Cl)C(OC)=C3C)=C3O1,O=C1C2=C(C)C(Cl)=C(O)C(C)=C2OC(C(C([H])=O)=C(Cl)C(OC)=C3C)=C3O1,C18H14Cl2O6,395.0089,M-H,5.6,LQJWIBZWOALGCL,O=C1Oc2ccccc2Oc2ccccc21,LQJWIBZWOALGCL,O=C1Oc2ccccc2Oc2ccccc21,C18H14Cl2O6,396.01674352799995,395.00946752799996,-0.0004675279999446502,0.0002564720000464149,C;Cl;H;O;,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True
CCMSLIB00012718471,Alternariol,M+H,Positive,1,259.061,258.053,20 Scan.mzXML,Pyrone,CC1=CC(=CC2=C1C3=C(C(=CC(=C3)O)O)C(=O)O2)O,CC1=CC(=CC2=C1C3=C(C(=CC(=C3)O)O)C(=O)O2)O,C14H10O5,259.0606,M+H,4.6,CEBXXEKPIIDJHL,O=c1oc2ccccc2c2ccccc12,CEBXXEKPIIDJHL,O=c1oc2ccccc2c2ccccc12,C14H10O5,258.05282342000004,259.06009942000003,0.0009005799999499686,0.0001765799999589035,C;H;O;,1.0,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True
