SpectrumID,Compound_Name,Adduct,Instrument,Ion_Mode,PI,Data_Collector,submit_user,create_time,library_membership,key,elixdb_compound_name,elixdb_adduct,in_msg15_any_route,excluded_key_level_conservative
CCMSLIB00000081752,Alternariol,M+H,qTof,Positive,Norberto Lopes,Monica Pupo,rsilva,2014-05-27 12:26:35.0,GNPS-LIBRARY,CEBXXEKPIIDJHL,Alternariol,M+H,True,True
CCMSLIB00000424790,Emodin,M+H,qTof,Positive,Norberto Lopes,Lucas Marques,10mauriz,2014-12-15 04:20:47.0,GNPS-LIBRARY,RHMXXJGYXNZAPX,Emodin,M-H,True,True
CCMSLIB00000478084,Ergosterol Peroxide_120246,M+H,qToF,Positive,Cichewicz,Luzzatto,tal_lk,2015-04-24 17:28:51.0,GNPS-LIBRARY,VXOZCESVZIRHCJ,Ergosterol peroxide,M+H,True,True
CCMSLIB00000478418,Rheochrysidin_120098,M+H,qToF,Positive,Cichewicz,Luzzatto,tal_lk,2015-05-12 15:08:32.0,GNPS-LIBRARY,FFWOKTFYGVYKIR,Parietin,M+H,True,True
CCMSLIB00000478422,Alternariol_120108,M+H,qToF,Positive,Cichewicz,Luzzatto,tal_lk,2015-05-12 15:08:32.0,GNPS-LIBRARY,CEBXXEKPIIDJHL,Alternariol,M+H,True,True
CCMSLIB00000478425,Alternariol monomethyl ether_120111,M+H,qToF,Positive,Cichewicz,Luzzatto,tal_lk,2015-05-12 15:08:32.0,GNPS-LIBRARY,LCSDQFNUYFTXMT,Alternariol methyl ether,M-H,True,True
CCMSLIB00004679278,Emodin,M-H,qTof,Negative,Sang Hyun Sung,Kyo BIn Kang,kbkang,2018-05-11 15:28:00.0,GNPS-LIBRARY,RHMXXJGYXNZAPX,Emodin,M-H,True,True
CCMSLIB00005724415,"1,8-dihydroxy-3-methoxy-6-methyl-9,10-dihydroanthracene-9,10-dione",M-H,Orbitrap,Negative,Wolfender,Luis Quiros-Guerrero,mpanitchpakdi,2020-11-03 21:52:23.0,GNPS-LIBRARY,FFWOKTFYGVYKIR,Parietin,M+H,True,True
CCMSLIB00005724546,"1,8-dihydroxy-3-methoxy-6-methyl-9,10-dihydroanthracene-9,10-dione",M+H,Orbitrap,Positive,Wolfender,Luis Quiros-Guerrero,mpanitchpakdi,2020-11-03 21:52:23.0,GNPS-LIBRARY,FFWOKTFYGVYKIR,Parietin,M+H,True,True
CCMSLIB00005778369,Emodin-8-O-glucoside,M-H,Orbitrap,Negative,JL Wolfender,individual data collecting,joelle79,2020-12-03 00:18:45.0,GNPS-LIBRARY,RHMXXJGYXNZAPX,Emodin,M-H,True,True
