key,n_records,n_nce,nce_ladder,sg,n_sg,smiles,name,mh_calc,releases,uchem_ids,instruments,confidence,ge3,in_msg15,in_msg15_recorded_route,in_msg15_parent_route,in_msg15_sim,msg_folds,in_registry,in_exposed_union,in_devpop,in_pr7,in_comparator,in_msnlib9,sg_in_msg15,sg_in_registry,sg_in_pr7,sg_in_comparator,sg_in_devpop_file
AAOVKJBEBIDNHE,9,9,"15,30,45,60,75,90,120,150,180",O=C1CN=C(c2ccccc2)c2ccccc2N1,1,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,"7-chloro-1-methyl-5-phenyl-3H-1,4-benzodiazepin-2-one",285.07891718288005,2024.11,2626,Q Exactive Plus,standard compound,True,True,True,True,True,train,False,False,False,False,False,False,True,True,False,False,True
ADIMAYPTOBDMTL,9,9,"15,30,45,60,75,90,120,150,180",O=C1CN=C(c2ccccc2)c2ccccc2N1,1,OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,"7-chloro-3-hydroxy-5-phenyl-1,3-dihydro-1,4-benzodiazepin-2-one",287.05818173888,2024.11,2743,Q Exactive Plus,standard compound,True,True,True,True,True,train,True,True,True,False,False,False,True,True,False,False,True
AFSDNFLWKVMVRB,9,9,"15,30,45,60,75,90,120,150,180",O=c1oc2cccc3c(=O)oc4cccc1c4c23,1,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,,303.01354361887996,2025.10,11922,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,False,train,True,True,False,False,False,True,True,True,False,False,False
AGCUFKNHQDVTAD,6,6,"15,30,45,60,75,90",__ACYCLIC__AGCUFKNHQDVTAD,1,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,(Tridecafluorohexyl)phosphonic acid,400.96067388088,2024.06,11479,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False
AIBRSVLEQRWAEG,9,9,"15,30,45,60,75,90,120,150,180",c1ccc(OP2OCC3(CO2)COP(Oc2ccccc2)OC3)cc1,1,CC(C)(C)C1=CC(=C(C=C1)OP2OCC3(CO2)COP(OC3)OC4=C(C=C(C=C4)C(C)(C)C)C(C)(C)C)C(C)(C)C,,605.31553904688,2025.10,10963,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False
AIONOLUJZLIMTK,9,9,"15,30,45,60,75,90,120,150,180",O=C1CC(c2ccccc2)Oc2ccccc21,1,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,,303.08631463487995,2024.06,11508,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,False,False,False,True,True,True,False,False,False
AKNMPWVTPUHKCG,6,6,"15,30,45,60,75,90",c1cc(Cc2cccc(C3CCCCC3)c2)cc(C2CCCCC2)c1,1,CC1=CC(=C(C(=C1)C2CCCCC2)O)CC3=C(C(=CC(=C3)C)C4CCCCC4)O,,393.27880685888,2025.10,11945,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False
AKTGKEBIBGSCLD,4,4,"15,30,45,60",O=[PH](c1ccccc1)c1ccccc1,1,CCP(=O)(C1=CC=CC=C1)C2=CC=CC=C2,Ethyldiphenylphosphine Oxide,231.09332819688,dev,11843,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,False,False,False,False,False,False,True,False,False,False,False
ALBYIUDWACNRRB,5,5,"15,30,45,60,75",__ACYCLIC__ALBYIUDWACNRRB,1,CCCCCC(=O)N,Hexanamide,116.10699050288,2024.11,10619,Exploris 240 Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False
AMFGTOFWMRQMEM,9,9,"15,30,45,60,75,90,120,150,180",c1ccc(-n2cncn2)cc1,1,CCOP(=S)(OCC)OC1=NN(C=N1)C2=CC=CC=C2,Triazophos,314.07227546888,2024.11,3795,Exploris 240 Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,True,False,False,False,True,True,False,False,True
AOBIOSPNXBMOAT,5,5,"15,30,45,60,75",C(COCC1CO1)OCC1CO1,1,C(COCC1CO1)OCC1CO1,2-[2-(oxiran-2-ylmethoxy)ethoxymethyl]oxirane,175.09648539488,2024.11,11094,Q Exactive Plus,standard compound,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False
