world_id,cell_id,c_gen_level,c_gen_value,mu_ceil_level,mu_ceil_value,replicate,seed_compounds,seed_law,seed_response
V2C|E0|g1e4_c1e4|r000,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,0,4343046785115952167,15895343524538184442,8601289039769057756
V2C|E0|g1e4_c1e4|r001,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,1,10070803751881925718,6283199913745102248,8264011192524432396
V2C|E0|g1e4_c1e4|r002,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,2,13164892051951180600,15861015922139865463,11197289886560803998
V2C|E0|g1e4_c1e4|r003,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,3,17809166177866785348,11555562330626117215,7076578068769646185
V2C|E0|g1e4_c1e4|r004,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,4,16483466543790251197,15649520467778912963,17689567097466710381
V2C|E0|g1e4_c1e4|r005,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,5,9701535016443175026,7944113174670716390,5346051267038945002
V2C|E0|g1e4_c1e4|r006,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,6,16706913764113116807,2949582672897609532,10629960887117515669
V2C|E0|g1e4_c1e4|r007,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,7,12537016466830174284,10575887977712604697,8380698608371238624
V2C|E0|g1e4_c1e4|r008,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,8,9737879022398667474,16862301731139734435,6519426399694458083
V2C|E0|g1e4_c1e4|r009,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,9,12209101503448253363,10265892159076104630,10996949477699121261
V2C|E0|g1e4_c1e4|r010,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,10,1724947722637575915,15509907502363522594,12409982244609332665
V2C|E0|g1e4_c1e4|r011,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,11,187006998439341970,15236796583145846573,12496009802223873962
V2C|E0|g1e4_c1e4|r012,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,12,2483799624992112046,12412055804170092529,15799810832637237005
V2C|E0|g1e4_c1e4|r013,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,13,8237538186136925181,6264949002524722005,18231299105091397653
V2C|E0|g1e4_c1e4|r014,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,14,12101124903310620008,199759396648794832,10455104449768990598
V2C|E0|g1e4_c1e4|r015,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,15,9813886160644934849,14629682415779805934,1776457586130491181
V2C|E0|g1e4_c1e4|r016,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,16,1192077647062481150,1739610614069667224,413715483643234137
V2C|E0|g1e4_c1e4|r017,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,17,11310534518249430196,7781970090754966070,5125202186038320561
V2C|E0|g1e4_c1e4|r018,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,18,5190207266610874730,14145740005113587097,10464914280886057770
V2C|E0|g1e4_c1e4|r019,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,19,7756749949548797365,11185829979341307176,11232184785256649494
V2C|E0|g1e4_c1e4|r020,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,20,14400667216590302019,7030351399489562287,13983692490025647613
V2C|E0|g1e4_c1e4|r021,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,21,4995649824315440799,3222679163588395584,14426759357288664007
V2C|E0|g1e4_c1e4|r022,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,22,11207974296129511629,5380300564882616355,13512741434613255560
V2C|E0|g1e4_c1e4|r023,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,23,2256078654464274122,17893023031763830268,6708452752397172071
V2C|E0|g1e4_c1e4|r024,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,24,8543889576701592472,1145359676377288482,2782639122391088940
V2C|E0|g1e4_c1e4|r025,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,25,9446183557043230140,9539501744110771768,7362568975060433328
V2C|E0|g1e4_c1e4|r026,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,26,3524829071584941449,7850932691879627896,18231533052060978156
V2C|E0|g1e4_c1e4|r027,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,27,12280312532819465655,17434202339331556190,8506978294749783083
V2C|E0|g1e4_c1e4|r028,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,28,10551551097839982035,6156137088291995429,1413709936604400705
V2C|E0|g1e4_c1e4|r029,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,29,16411485001816696461,13641038459416446313,9481446889713392151
V2C|E0|g1e4_c1e4|r030,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,30,6046164032661479556,10696128196806930641,5264433906403961082
V2C|E0|g1e4_c1e4|r031,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,31,6616671467970394169,8033536636396210636,16168872114734456277
V2C|E0|g1e4_c1e4|r032,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,32,14988897444003463757,2692024977150514136,14330526846585810244
V2C|E0|g1e4_c1e4|r033,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,33,13005864814791268065,8119229395935032396,17579902706471037006
V2C|E0|g1e4_c1e4|r034,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,34,4349519857360657251,7747600777890691311,8988939122549291806
V2C|E0|g1e4_c1e4|r035,g1e4_c1e4,g1e4,0.9999,c1e4,0.9999,35,7541834997287904709,4461167784339896099,22084196180755269
