world_id,cell_id,c_gen_level,mu_ceil_level,replicate,content_hash,case_status,false_m0_rejection,fired,boundary_counts_m1,boundary_counts_m2,boundary_counts_m3,evaluable_m1,evaluable_m2,evaluable_m3,evaluable_sufficient_m1,evaluable_sufficient_m2,evaluable_sufficient_m3,practical_wins_m1,practical_wins_m2,practical_wins_m3,boundary_limited,mu_max_at_clip_share,pin_at_ceiling_share,n_fit_rows,n_contact_fits,n_unresolved_fits,mu_inf,phi_p,scale,coefficient
V2C|E0|g1e3_c1e3|r000,g1e3_c1e3,g1e3,c1e3,0,4fa26e4a868f7cea421cebe598e90a1697fac9bfd5b0642624cd2482fc72de24,BOUNDARY_LIMITED,False,,0,4,14,30,26,16,True,True,False,7,4,3,True,0.03333333333333333,0.22777777777777777,1080,49,45,0.15834908571279005,1.5418736807720554,1.5307436283171691,0.36105957494163043
V2C|E0|g1e3_c1e4|r000,g1e3_c1e4,g1e3,c1e4,0,4fa26e4a868f7cea421cebe598e90a1697fac9bfd5b0642624cd2482fc72de24,BOUNDARY_LIMITED,False,,0,4,14,30,26,16,True,True,False,7,4,3,True,0.03333333333333333,0.2111111111111111,1080,46,44,0.15834908571279005,1.5418736807720554,1.5307436283171691,0.36105957494163043
V2C|E0|g1e3_copen|r000,g1e3_copen,g1e3,copen,0,4fa26e4a868f7cea421cebe598e90a1697fac9bfd5b0642624cd2482fc72de24,BOUNDARY_LIMITED,False,,0,4,12,30,26,18,True,True,False,7,4,3,True,0.03333333333333333,0.13333333333333333,1080,32,30,0.15834908571279005,1.5418736807720554,1.5307436283171691,0.36105957494163043
V2C|E0|g1e4_c1e3|r000,g1e4_c1e3,g1e4,c1e3,0,c1dd94a11d4f0df01a85fe17526817ee491e1442f1e85481a30d665b53e0e2c9,BOUNDARY_LIMITED,False,,0,4,14,30,26,16,True,True,False,7,4,3,True,0.03333333333333333,0.24444444444444444,1080,52,45,0.15834908571279005,1.5418736807720554,1.5307436283171691,0.36105957494163043
V2C|E0|g1e4_c1e4|r000,g1e4_c1e4,g1e4,c1e4,0,c1dd94a11d4f0df01a85fe17526817ee491e1442f1e85481a30d665b53e0e2c9,BOUNDARY_LIMITED,False,,0,4,14,30,26,16,True,True,False,7,4,3,True,0.03333333333333333,0.2111111111111111,1080,46,45,0.15834908571279005,1.5418736807720554,1.5307436283171691,0.36105957494163043
V2C|E0|g1e4_copen|r000,g1e4_copen,g1e4,copen,0,c1dd94a11d4f0df01a85fe17526817ee491e1442f1e85481a30d665b53e0e2c9,BOUNDARY_LIMITED,False,,0,4,13,30,26,17,True,True,False,7,4,3,True,0.03333333333333333,0.13333333333333333,1080,32,31,0.15834908571279005,1.5418736807720554,1.5307436283171691,0.36105957494163043
V2C|E0|gnone_c1e3|r000,gnone_c1e3,gnone,c1e3,0,e4f89526dd05eb1b1e8f221c507c4098470f165ceb1727372ae5c2af70b50eb6,BOUNDARY_LIMITED,False,,0,4,14,30,26,16,True,True,False,8,4,3,True,0.0,0.24444444444444444,1080,53,51,0.15834908571279005,1.5418736807720554,1.5307436283171691,0.36105957494163043
V2C|E0|gnone_c1e4|r000,gnone_c1e4,gnone,c1e4,0,e4f89526dd05eb1b1e8f221c507c4098470f165ceb1727372ae5c2af70b50eb6,BOUNDARY_LIMITED,False,,0,4,14,30,26,16,True,True,False,8,4,3,True,0.0,0.22777777777777777,1080,50,46,0.15834908571279005,1.5418736807720554,1.5307436283171691,0.36105957494163043
V2C|E0|gnone_copen|r000,gnone_copen,gnone,copen,0,e4f89526dd05eb1b1e8f221c507c4098470f165ceb1727372ae5c2af70b50eb6,BOUNDARY_LIMITED,False,,0,4,12,30,26,18,True,True,False,8,4,3,True,0.0,0.12777777777777777,1080,32,31,0.15834908571279005,1.5418736807720554,1.5307436283171691,0.36105957494163043
V2C|E0|g1e3_c1e3|r001,g1e3_c1e3,g1e3,c1e3,1,06845efc7015d38eb53181810f26d1069f9388a85a806325c130d6e96099eeac,M0_NOT_REJECTED,False,,0,0,1,30,30,29,True,True,True,4,5,5,False,0.0,0.016666666666666666,1080,3,3,0.17338288152156564,1.226081178697672,1.1322174938693206,0.3645827743431955
