group_key,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source
AAGFPTSOPGCENQ,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,247.180969238281,40.0,0.0,4.0,0.0,6.0,23.550000000000004,0.16666666666666666,2.0,1.0,0.0,0.0,WUR
ADWTYURAFSWNSU,O=C1NCCN1Cc1cccnc1,212.058654785156,24.0,2.0,2.0,1.0,6.0,45.230000000000004,0.35714285714285715,3.0,1.0,0.0,1.0,WUR
AEKQMJRJRAHOAP,O=C1[C@@H](Cc2c[nH]cn2)CCc2cc3ccccc3n21,294.1601,41.0,2.0,4.0,3.0,12.5,50.68,0.18181818181818182,3.0,1.0,0.0,0.0,LCSB
AEOCXXJPGCBFJA,c1ccncc1,167.0637,21.0,2.0,1.0,1.0,5.0,38.91,0.2727272727272727,2.0,0.0,1.0,0.0,LCSB
AFAIELJLZYUNPW,N=C1C=CC(=C(c2ccccc2)c2ccccc2)C=C1,288.1495,39.0,2.0,3.0,2.0,13.0,75.89,0.13636363636363635,3.0,0.0,0.0,0.0,LCSB
AFYCEAFSNDLKSX,O=c1ccc2ccccc2o1,232.1332,34.0,3.0,2.0,2.0,8.5,33.45,0.17647058823529413,1.0,2.0,0.0,0.0,LCSB
AGOYDEPGAOXOCK,O=C1CCCCOC(=O)C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCC1,748.484741210938,121.0,8.0,3.0,0.0,5.0,182.91,0.2692307692307692,1.0,13.0,0.0,0.0,WUR
AHMMSNQYOPMLSX,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,453.336151123047,77.0,10.0,4.0,0.0,9.0,43.370000000000005,0.09090909090909091,0.0,3.0,0.0,0.0,WUR
AHOUBRCZNHFOSL,c1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,330.150115966797,44.0,4.0,4.0,2.0,10.0,39.72,0.20833333333333334,1.0,3.0,0.0,1.0,WUR
AKNNEGZIBPJZJG,O=C1O[C@H]([C@@H]2NCCc3cc4c(cc32)OCO4)c2ccccc21,414.15478515625,53.0,4.0,5.0,2.0,12.0,75.69000000000001,0.26666666666666666,1.0,7.0,0.0,0.0,WUR
