group_key,scaffold_group,split,source
AAGFPTSOPGCENQ,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,valid,WUR
ADWTYURAFSWNSU,O=C1NCCN1Cc1cccnc1,train,WUR
AGOYDEPGAOXOCK,O=C1CCCCOC(=O)C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCC1,test,WUR
AHMMSNQYOPMLSX,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,train,WUR
AHOUBRCZNHFOSL,c1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,valid,WUR
AKNNEGZIBPJZJG,O=C1O[C@H]([C@@H]2NCCc3cc4c(cc32)OCO4)c2ccccc21,test,WUR
AKNQMEBLVAMSNZ,c1ccc(C2(Cn3cncn3)OCCO2)cc1,train,WUR
AMEKQAFGQBKLKX,O=C(Nc1ccccc1)C1=COCCS1(=O)=O,train,WUR
AMFGTOFWMRQMEM,c1ccc(-n2cncn2)cc1,valid,WUR
ANJTVLIZGCUXLD,O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,valid,WUR
AQHHHDLHHXJYJD,c1ccc2ccccc2c1,train,WUR
ASDAXOTYWQZBDR,O=C1CCC[C@]2(CO2)C(=O)O[C@@H]2CC[NH+]3CC=C(CO1)[C@H]23,valid,WUR
ATROHALUCMTWTB,c1ccccc1,train,WUR
ATWWYGQDYGSWQA,O=c1cccc2c(c1)CCCc1ccccc1-2,train,WUR
AUFSOOYCQYDGES,c1ccccc1,train,WUR
AUGQEEXBDZWUJY,C1=C[C@H]2O[C@@H]3CCC(C2CC1)[C@]31CO1,test,WUR
AUQAUAIUNJIIEP,c1ccccc1,train,WUR
AWZOLILCOUMRDG,O=[PH](Sc1ccccc1)Sc1ccccc1,train,WUR
BAFQDKPJKOLXFZ,c1ccccc1,train,WUR
BBXXLROWFHWFQY,c1cncnc1,train,WUR
BCTQJXQXJVLSIG,O=C(Nc1ccccc1)c1ccccc1,train,WUR
BEAXWKCHSPVXQB,O=C(CN1CCNCC1)c1cccc(-c2nc(=O)c3[nH]ncc3[nH]2)c1,train,WUR
BEZZFPOZAYTVHN,O=S(c1ccccc1)c1ccc2[nH]cnc2c1,valid,WUR
BHHGXPLMPWCGHP,c1ccccc1,train,WUR
BIXJFIJYBLJTMK,C1=C2c3cccc4[nH]cc(c34)CC2NCC1,valid,WUR
BJQHLKABXJIVAM,c1ccccc1,train,WUR
BLGXFZZNTVWLAY,c1ccc2c3c([nH]c2c1)[C@@H]1C[C@@H]2CCCC[C@H]2CN1CC3,test,WUR
BMLIZLVNXIYGCK,c1ccccc1,train,WUR
BOFHKBLZOYVHSI,c1ccccc1,train,WUR
BPICBUSOMSTKRF,c1ccc(NC2=NCCCS2)cc1,valid,WUR
BQYJATMQXGBDHF,c1ccc(Oc2ccc(C3(Cn4cncn4)OCCO3)cc2)cc1,valid,WUR
BUGYDGFZZOZRHP,C1C2CC3CC1CC(C2)C3,test,WUR
BUXRLJCGHZZYNE,c1ccccc1,train,WUR
BUYMVQAILCEWRR,__ACYCLIC__BUYMVQAILCEWRR,train,WUR
BWQSLRZZOVFVHJ,C1CC2CCCN2C1,train,WUR
BXEHUCNTIZGSOJ,c1ccccc1,train,WUR
BXFOFFBJRFZBQZ,C1=C[C@H]2O[C@@H]3CCC(C2CC1)[C@]31CO1,test,WUR
BXNANOICGRISHX,O=c1ccc2ccccc2o1,train,WUR
BYYMILHAKOURNM,c1ccccc1,train,WUR
CAWXEEYDBZRFPE,O=c1nc[nH]c(=O)n1C1CCCCC1,valid,WUR
CCGPUGMWYLICGL,c1ccccc1,train,WUR
CEAZRRDELHUEMR,C1CC[C@@H](O[C@@H]2CCC[C@H](O[C@@H]3CCCCO3)C2)OC1,test,WUR
CEEDFYRUPAWDOU,c1ccccc1,train,WUR
CEIZFXOZIQNICU,O=C1C=CCN1,valid,WUR
CHIFOSRWCNZCFN,c1ccccc1,train,WUR
