group_key,ce_numeric,mu,source
AAGFPTSOPGCENQ,15.0,0.9916087860529553,WUR
AAGFPTSOPGCENQ,30.0,0.930739970242315,WUR
AAGFPTSOPGCENQ,45.0,0.6976049771793736,WUR
AAGFPTSOPGCENQ,60.0,0.5134036881051417,WUR
AAGFPTSOPGCENQ,75.0,0.4233782955672043,WUR
AAGFPTSOPGCENQ,90.0,0.38371980986458987,WUR
ADWTYURAFSWNSU,15.0,0.8924489782548733,WUR
ADWTYURAFSWNSU,30.0,0.648528474342224,WUR
ADWTYURAFSWNSU,45.0,0.5670930937390258,WUR
ADWTYURAFSWNSU,60.0,0.506235232746363,WUR
ADWTYURAFSWNSU,75.0,0.4481391626284508,WUR
ADWTYURAFSWNSU,90.0,0.4054730861069501,WUR
AGOYDEPGAOXOCK,15.0,0.31347983894593534,WUR
AGOYDEPGAOXOCK,30.0,0.1784835404819591,WUR
AGOYDEPGAOXOCK,45.0,0.14637113781899716,WUR
AGOYDEPGAOXOCK,60.0,0.12235693473370356,WUR
AGOYDEPGAOXOCK,75.0,0.10907897678787705,WUR
AGOYDEPGAOXOCK,90.0,0.1015260593902177,WUR
AHMMSNQYOPMLSX,15.0,0.37841780932254904,WUR
AHMMSNQYOPMLSX,30.0,0.2769064672200766,WUR
AHMMSNQYOPMLSX,45.0,0.24910039435335415,WUR
AHMMSNQYOPMLSX,60.0,0.22948578064213612,WUR
AHMMSNQYOPMLSX,75.0,0.21541917833157553,WUR
AHMMSNQYOPMLSX,90.0,0.19581722545349953,WUR
AHOUBRCZNHFOSL,15.0,0.8360289647086279,WUR
AHOUBRCZNHFOSL,30.0,0.4489748916069489,WUR
AHOUBRCZNHFOSL,45.0,0.3244724858127062,WUR
AHOUBRCZNHFOSL,60.0,0.2907821318595409,WUR
AHOUBRCZNHFOSL,75.0,0.27771012388091937,WUR
AHOUBRCZNHFOSL,90.0,0.27374813079590243,WUR
AKNNEGZIBPJZJG,15.0,0.7423079751532705,WUR
AKNNEGZIBPJZJG,30.0,0.572105864798985,WUR
AKNNEGZIBPJZJG,45.0,0.5633921263893592,WUR
AKNNEGZIBPJZJG,60.0,0.5258452976738521,WUR
AKNNEGZIBPJZJG,75.0,0.49099529370493245,WUR
AKNNEGZIBPJZJG,90.0,0.4407136171091259,WUR
AKNQMEBLVAMSNZ,15.0,0.7476933911323421,WUR
AKNQMEBLVAMSNZ,30.0,0.5731196535436327,WUR
AKNQMEBLVAMSNZ,45.0,0.5265956582021791,WUR
AKNQMEBLVAMSNZ,60.0,0.51756471356272,WUR
AKNQMEBLVAMSNZ,75.0,0.5045895860858834,WUR
AKNQMEBLVAMSNZ,90.0,0.47554813893078673,WUR
AMEKQAFGQBKLKX,15.0,0.6599983330638448,WUR
AMEKQAFGQBKLKX,30.0,0.60271434140559,WUR
AMEKQAFGQBKLKX,45.0,0.4475008378560365,WUR
AMEKQAFGQBKLKX,60.0,0.25744323683785497,WUR
AMEKQAFGQBKLKX,75.0,0.18636040560514988,WUR
AMEKQAFGQBKLKX,90.0,0.1724659095267035,WUR
AMFGTOFWMRQMEM,15.0,0.5510605931542866,WUR
AMFGTOFWMRQMEM,30.0,0.49701595432707407,WUR
AMFGTOFWMRQMEM,45.0,0.4564434412418422,WUR
AMFGTOFWMRQMEM,60.0,0.4093612980331231,WUR
AMFGTOFWMRQMEM,75.0,0.36601314476060576,WUR
AMFGTOFWMRQMEM,90.0,0.33318806890572683,WUR
ANJTVLIZGCUXLD,15.0,0.9783819234526367,WUR
ANJTVLIZGCUXLD,30.0,0.838668656277356,WUR
ANJTVLIZGCUXLD,45.0,0.6490670948716148,WUR
ANJTVLIZGCUXLD,60.0,0.5477623797718897,WUR
ANJTVLIZGCUXLD,75.0,0.4970403112394039,WUR
ANJTVLIZGCUXLD,90.0,0.4637584710970308,WUR
AQHHHDLHHXJYJD,15.0,0.9307611542643376,WUR
AQHHHDLHHXJYJD,30.0,0.5141163648742597,WUR
AQHHHDLHHXJYJD,45.0,0.40892496113290855,WUR
AQHHHDLHHXJYJD,60.0,0.3925719164170426,WUR
AQHHHDLHHXJYJD,75.0,0.41500551228955285,WUR
AQHHHDLHHXJYJD,90.0,0.4256208547527336,WUR
ASDAXOTYWQZBDR,15.0,0.9636085584161489,WUR
ASDAXOTYWQZBDR,30.0,0.5280281487808182,WUR
ASDAXOTYWQZBDR,45.0,0.3204858244894624,WUR
ASDAXOTYWQZBDR,60.0,0.2901823536616931,WUR
ASDAXOTYWQZBDR,75.0,0.27447009358367747,WUR
ASDAXOTYWQZBDR,90.0,0.2616063646622602,WUR
ATROHALUCMTWTB,15.0,0.4052386581630952,WUR
ATROHALUCMTWTB,30.0,0.3613043762831642,WUR
ATROHALUCMTWTB,45.0,0.3291624631668667,WUR
ATROHALUCMTWTB,60.0,0.3126652440321317,WUR
ATROHALUCMTWTB,75.0,0.29655111562637393,WUR
ATROHALUCMTWTB,90.0,0.2758638646482308,WUR
ATWWYGQDYGSWQA,15.0,0.9456295754931678,WUR
ATWWYGQDYGSWQA,30.0,0.7784850434721374,WUR
ATWWYGQDYGSWQA,45.0,0.7037356231578643,WUR
ATWWYGQDYGSWQA,60.0,0.59240927521514,WUR
ATWWYGQDYGSWQA,75.0,0.5322807256847457,WUR
ATWWYGQDYGSWQA,90.0,0.48965951591312,WUR
AUFSOOYCQYDGES,15.0,0.6666780117376455,WUR
AUFSOOYCQYDGES,30.0,0.6094730201696856,WUR
AUFSOOYCQYDGES,45.0,0.600546552477521,WUR
AUFSOOYCQYDGES,60.0,0.5910945568263556,WUR
AUFSOOYCQYDGES,75.0,0.5620490417192908,WUR
AUFSOOYCQYDGES,90.0,0.5232762168589788,WUR
AUGQEEXBDZWUJY,15.0,0.4898633638102141,WUR
AUGQEEXBDZWUJY,30.0,0.3937177122278916,WUR
AUGQEEXBDZWUJY,45.0,0.3486127271647945,WUR
AUGQEEXBDZWUJY,60.0,0.32090168769652516,WUR
AUGQEEXBDZWUJY,75.0,0.30227894302046393,WUR
AUGQEEXBDZWUJY,90.0,0.292655533411221,WUR
AUQAUAIUNJIIEP,15.0,0.6865290489573005,WUR
AUQAUAIUNJIIEP,30.0,0.5936529234134539,WUR
AUQAUAIUNJIIEP,45.0,0.5388758966727257,WUR
AUQAUAIUNJIIEP,60.0,0.5030255365408002,WUR
AUQAUAIUNJIIEP,75.0,0.4695288063674171,WUR
AUQAUAIUNJIIEP,90.0,0.44105423103002245,WUR
AWZOLILCOUMRDG,15.0,0.73628521145149,WUR
AWZOLILCOUMRDG,30.0,0.4512496536490802,WUR
AWZOLILCOUMRDG,45.0,0.37436903019804446,WUR
AWZOLILCOUMRDG,60.0,0.3565954128157472,WUR
AWZOLILCOUMRDG,75.0,0.3395824783491976,WUR
AWZOLILCOUMRDG,90.0,0.3358932217698912,WUR
BAFQDKPJKOLXFZ,15.0,0.8383131267777112,WUR
BAFQDKPJKOLXFZ,30.0,0.6196897967304276,WUR
BAFQDKPJKOLXFZ,45.0,0.4534682985015846,WUR
BAFQDKPJKOLXFZ,60.0,0.4049689170181629,WUR
BAFQDKPJKOLXFZ,75.0,0.37822663693074043,WUR
BAFQDKPJKOLXFZ,90.0,0.35169092716069006,WUR
BBXXLROWFHWFQY,15.0,0.9953464975804276,WUR
BBXXLROWFHWFQY,30.0,0.8809686290779344,WUR
BBXXLROWFHWFQY,45.0,0.6229179076229638,WUR
BBXXLROWFHWFQY,60.0,0.44947204513835404,WUR
BBXXLROWFHWFQY,75.0,0.36440466287546625,WUR
BBXXLROWFHWFQY,90.0,0.32003047145254887,WUR
BCTQJXQXJVLSIG,15.0,0.7186038224324213,WUR
BCTQJXQXJVLSIG,30.0,0.48207773044949087,WUR
BCTQJXQXJVLSIG,45.0,0.4292373044543976,WUR
BCTQJXQXJVLSIG,60.0,0.40185876461263653,WUR
BCTQJXQXJVLSIG,75.0,0.3673063216067353,WUR
BCTQJXQXJVLSIG,90.0,0.3416947418090625,WUR
BEAXWKCHSPVXQB,15.0,0.25228193661745024,WUR
BEAXWKCHSPVXQB,30.0,0.19706591816615443,WUR
BEAXWKCHSPVXQB,45.0,0.16755589692629488,WUR
BEAXWKCHSPVXQB,60.0,0.1564341535880969,WUR
BEAXWKCHSPVXQB,75.0,0.14390745491114118,WUR
BEAXWKCHSPVXQB,90.0,0.1343981482012255,WUR
BEZZFPOZAYTVHN,15.0,0.8844269527989977,WUR
BEZZFPOZAYTVHN,30.0,0.635807477153124,WUR
BEZZFPOZAYTVHN,45.0,0.5371562794856871,WUR
BEZZFPOZAYTVHN,60.0,0.5050286832662214,WUR
BEZZFPOZAYTVHN,75.0,0.46793299837673874,WUR
BEZZFPOZAYTVHN,90.0,0.4171115832964258,WUR
BHHGXPLMPWCGHP,15.0,0.8517812375793876,WUR
BHHGXPLMPWCGHP,30.0,0.819842962707763,WUR
BHHGXPLMPWCGHP,45.0,0.7714035904176278,WUR
BHHGXPLMPWCGHP,60.0,0.7285890139522829,WUR
BHHGXPLMPWCGHP,75.0,0.6770422054339639,WUR
BHHGXPLMPWCGHP,90.0,0.6092790308776235,WUR
BIXJFIJYBLJTMK,15.0,0.9687617104848181,WUR
BIXJFIJYBLJTMK,30.0,0.6982716830080585,WUR
BIXJFIJYBLJTMK,45.0,0.545741982724355,WUR
BIXJFIJYBLJTMK,60.0,0.5139150723394005,WUR
BIXJFIJYBLJTMK,75.0,0.49010682834714797,WUR
BIXJFIJYBLJTMK,90.0,0.47954858520508864,WUR
BJQHLKABXJIVAM,15.0,0.35357699470051307,WUR
BJQHLKABXJIVAM,30.0,0.3453080834964678,WUR
BJQHLKABXJIVAM,45.0,0.3448647180013317,WUR
BJQHLKABXJIVAM,60.0,0.33926099073486143,WUR
BJQHLKABXJIVAM,75.0,0.3162097325816788,WUR
BJQHLKABXJIVAM,90.0,0.27844621744478615,WUR
BLGXFZZNTVWLAY,15.0,0.9481967036231147,WUR
BLGXFZZNTVWLAY,30.0,0.7177382873250815,WUR
BLGXFZZNTVWLAY,45.0,0.5506265469154931,WUR
BLGXFZZNTVWLAY,60.0,0.4862086019614384,WUR
BLGXFZZNTVWLAY,75.0,0.45153759895141127,WUR
BLGXFZZNTVWLAY,90.0,0.4333311552184845,WUR
BMLIZLVNXIYGCK,15.0,0.6306449791634647,WUR
BMLIZLVNXIYGCK,30.0,0.36210642340196,WUR
BMLIZLVNXIYGCK,45.0,0.3649069187128579,WUR
BMLIZLVNXIYGCK,60.0,0.37278306167078307,WUR
BMLIZLVNXIYGCK,75.0,0.3738421405538958,WUR
BMLIZLVNXIYGCK,90.0,0.3732881481382628,WUR
BOFHKBLZOYVHSI,15.0,0.9397477804764691,WUR
BOFHKBLZOYVHSI,30.0,0.66354334168006,WUR
BOFHKBLZOYVHSI,45.0,0.47063055473820825,WUR
BOFHKBLZOYVHSI,60.0,0.39905210408464953,WUR
BOFHKBLZOYVHSI,75.0,0.36959264011381626,WUR
