group_key,g_hat,g_var,weight,split
AEKQMJRJRAHOAP,1.0862979613339507,0.004370208699217611,1.507591108974679,train
AEOCXXJPGCBFJA,3.12203160869128,0.006109406095573345,1.078417063170518,train
AFAIELJLZYUNPW,2.499871092745597,0.01020028627547043,0.6459120461303338,train
AFYCEAFSNDLKSX,2.548306958148134,0.005277743374334259,1.2483531903699938,train
AKNQMEBLVAMSNZ,1.2786125898279257,0.013456201795805502,0.4896246265686947,test
ALZOLUNSQWINIR,1.4526213678530735,0.006504178086661033,1.0129623899468774,train
AMFGTOFWMRQMEM,0.6925239609954948,0.004617751738824892,1.4267739263481674,train
AMRQXHFXNZFDCH,0.8960075729894612,0.008710136735531839,0.7564161137020287,train
AQHHHDLHHXJYJD,0.8182159342444952,0.010802875560302537,0.6098827800548835,train
AQSQFWLMFCKKMG,0.6382026778601286,0.03898229322770247,0.1690123190244285,test
AQYMRQUYPFCXDM,0.6392434211692883,0.03898229322769685,0.16901231902445285,train
ASOKPJOREAFHNY,2.48640975874078,0.010200286275473395,0.6459120461301461,valid
AUMLVMKWJGCERZ,0.2875219792170939,0.01628547019067356,0.40456233084859866,test
AWYOMXWDGWUJHS,1.1503193952568251,0.012412062824474797,0.5308132799902302,train
BACYUWVYYTXETD,0.21852814959716632,0.0034300215277808473,1.920829862419809,valid
BBXXLROWFHWFQY,1.6356998380574597,0.00504978305592922,1.3047070946084254,train
BCGWQEUPMDMJNV,0.35064773337960176,0.0078275614655223,0.841703742388262,valid
BDNFQGRSKSQXRI,0.4886552729773716,0.00994381804140147,0.6625712328878953,valid
BEOZJBLIRPRMJM,1.178696141547071,0.018960148291437624,0.34749136336025493,train
BEZZFPOZAYTVHN,1.4800446072440576,0.006504178086661033,1.0129623899468774,train
BGEBZHIAGXMEMV,2.7702308993871303,0.01304469363765201,0.5050703345218743,valid
BGRWYRAHAFMIBJ,0.8912272690601338,0.00871013673553121,0.7564161137020832,train
BHAAPTBBJKJZER,2.866108731178462,0.004226328183581735,1.5589153262870006,train
BMLIZLVNXIYGCK,0.6381859430500313,0.03898229322770247,0.1690123190244285,train
BOFHKBLZOYVHSI,1.0785336689284062,0.0043964891810690234,1.49857932271819,train
BQGRVFPPZJPWPB,0.5868289021459636,0.01628547019067356,0.40456233084859866,test
BQYJATMQXGBDHF,0.9890531379281674,0.004289841685149728,1.5358347143932682,train
BWHOZHOGCMHOBV,2.5383680502741113,0.00571003741599213,1.1538431886368832,train
BXNANOICGRISHX,0.8898544908261669,0.00871013673553213,0.7564161137020033,train
BYYMILHAKOURNM,1.1014513222944704,0.01609208106942192,0.40942422244091686,train
BZKPWHYZMXOIDC,1.60785682507749,0.00504978305592922,1.3047070946084254,train
CABMTIJINOIHOD,1.3883847087189,0.0032284059878768777,2.040786630939533,valid
CAWXEEYDBZRFPE,0.8630482384694257,0.00877074233607411,0.7511892981060204,train
CBVCZFGXHXORBI,0.542744024707458,0.004333659309072189,1.520305891492616,train
CEQFOVLGLXCDCX,1.4955515221990647,0.00650417808666136,1.0129623899468265,train
CGSLYBDCEGBZCG,0.6714065625256137,0.004617751738824443,1.426773926348306,valid
CIEXPHRYOLIQQD,0.6722743972357518,0.004617751738824718,1.426773926348221,valid
CIFWZNRJIBNXRE,2.000044078153899,0.004016797303361432,1.640234067522086,train
CJCSPKMFHVPWAR,1.3875470076710084,0.003244691153571636,2.030543884601129,train
CJPQIRJHIZUAQP,0.5173720112272093,0.005047295917240733,1.3053500106461118,train
CLKZWXHKFXZIMA,0.9808103749011491,0.004410884432379867,1.4936885969940246,train
CMEWLCATCRTSGF,3.4227145985349963,0.026948109610302206,0.24448793902728905,train
CNIGFESSDPOCKS,0.4026387277923576,0.015182466072076916,0.433953729784491,train
CNKHSLKYRMDDNQ,0.23760707373953396,0.06594024176551418,0.0999160391727583,train
CNWSQCLBDWYLAN,1.3726517514944383,0.004355505111635891,1.512680529682512,valid
COYBRKAVBMYYSF,1.2684062490564416,0.035057921391324985,0.1879315007231027,train
CPHJEACXPATRSU,1.0723487895406933,0.00288903425704473,2.280515630175949,valid
CVXBEEMKQHEXEN,1.6271372629993026,0.00504978305592922,1.3047070946084254,train
CXXVJZRGOOIVOD,0.5175433636448584,0.0050472959172412095,1.3053500106459885,test
DBEPLOCGEIEOCV,1.0829529968153528,0.0043702086992170545,1.507591108974871,train
DFPAKSUCGFBDDF,2.9972368642160836,0.009690444507534837,0.6798953107033808,train
DGFTWBUZRHAHTH,2.086390865978498,0.0031498872858817853,2.091658266260748,train
DGFVZQGXKQCQGK,0.9269199668716991,0.0038952064768358785,1.6914347977404713,train
DIOYAVUHUXAUPX,0.32839515091803617,35.096368487005506,0.00018772562699025875,valid
DIZKGJLRHOCMTP,1.3194205823525942,0.004355505111635278,1.5126805296827248,train
DJDSLBVSSOQSLW,0.8984462822056154,0.009201742888851712,0.7160043329711473,train
DJNZZLZKAXGMMC,1.4600180992333793,0.006504178086661033,1.0129623899468774,train
DJRKHTCUXRGYEU,1.503571873033071,0.006504178086660064,1.0129623899470284,train
DMBHHRLKUKUOEG,1.9818334118644425,0.0040167973033616924,1.6402340675219795,train
DNRJTBAOUJJKDY,1.2828452860899986,0.013456201795810087,0.48962462656852784,test
DNTGGZPQPQTDQF,1.1035712726731095,0.01609208106942086,0.4094242224409439,train
DNUAYCRATWAJQE,1.2451975644491036,0.03505792139132195,0.18793150072311893,train
DOIRQSBPFJWKBE,0.8951954870297447,0.008710136735531974,0.7564161137020169,train
DPWPWRLQFGFJFI,1.358252097979805,0.004355505111635586,1.5126805296826178,train
DSKJPMWIHSOYEA,0.9904151240657376,0.004518529340124414,1.4581044590766914,train
DTAPQAJKAFRNJB,0.8936502115974871,0.00871013673553172,0.7564161137020389,train
DUFVKSUJRWYZQP,0.4906523185503697,0.00994381804140147,0.6625712328878953,test
DWFZBUWUXWZWKD,0.5867310281024231,0.016285470190677224,0.4045623308485076,train
FAOZLTXFLGPHNG,0.6423533878376297,0.03898229322769685,0.16901231902445285,train
FBMQNRKSAWNXBT,2.9733479146896546,0.12454032362653744,0.05290244627162967,train
FBOUIAKEJMZPQG,0.7549317975564231,0.07367446276759565,0.08942702168168497,train
