group_key,ce_numeric,mu,source
AEKQMJRJRAHOAP,15.0,0.9983097585013283,LCSB
AEKQMJRJRAHOAP,30.0,0.937702032221122,LCSB
AEKQMJRJRAHOAP,45.0,0.6104188281067451,LCSB
AEKQMJRJRAHOAP,60.0,0.4534680972352739,LCSB
AEKQMJRJRAHOAP,75.0,0.40317216017495694,LCSB
AEKQMJRJRAHOAP,90.0,0.3716633589788305,LCSB
AEOCXXJPGCBFJA,15.0,0.9826997036574756,LCSB
AEOCXXJPGCBFJA,30.0,0.9833891218149209,LCSB
AEOCXXJPGCBFJA,45.0,0.9227589964929516,LCSB
AEOCXXJPGCBFJA,60.0,0.85110790031329,LCSB
AEOCXXJPGCBFJA,75.0,0.7872104204982742,LCSB
AEOCXXJPGCBFJA,90.0,0.7430006006443542,LCSB
AFAIELJLZYUNPW,15.0,0.999928487062143,LCSB
AFAIELJLZYUNPW,30.0,0.9980330045476141,LCSB
AFAIELJLZYUNPW,45.0,0.9310998244719078,LCSB
AFAIELJLZYUNPW,60.0,0.7676626082472754,LCSB
AFAIELJLZYUNPW,75.0,0.696944475814616,LCSB
AFAIELJLZYUNPW,90.0,0.6634760081996239,LCSB
AFYCEAFSNDLKSX,15.0,0.989506786734822,LCSB
AFYCEAFSNDLKSX,30.0,0.960983162484285,LCSB
AFYCEAFSNDLKSX,45.0,0.8830838207612823,LCSB
AFYCEAFSNDLKSX,60.0,0.7826075448493771,LCSB
AFYCEAFSNDLKSX,75.0,0.7182242535310479,LCSB
AFYCEAFSNDLKSX,90.0,0.6527034358761099,LCSB
AKNQMEBLVAMSNZ,15.0,0.9580698139797303,LCSB
AKNQMEBLVAMSNZ,30.0,0.7265873707042988,LCSB
AKNQMEBLVAMSNZ,45.0,0.5582267373558716,LCSB
AKNQMEBLVAMSNZ,60.0,0.5293486060036265,LCSB
AKNQMEBLVAMSNZ,75.0,0.5195947400353573,LCSB
AKNQMEBLVAMSNZ,90.0,0.4926621918017418,LCSB
ALZOLUNSQWINIR,15.0,0.9010094360395767,LCSB
ALZOLUNSQWINIR,30.0,0.8833638248121758,LCSB
ALZOLUNSQWINIR,45.0,0.6317450317841802,LCSB
ALZOLUNSQWINIR,60.0,0.6255507869420542,LCSB
ALZOLUNSQWINIR,75.0,0.5340683626423834,LCSB
ALZOLUNSQWINIR,90.0,0.49889463530475114,LCSB
AMFGTOFWMRQMEM,15.0,0.8281337217398119,LCSB
AMFGTOFWMRQMEM,30.0,0.5326273501470634,LCSB
AMFGTOFWMRQMEM,45.0,0.47747519032909513,LCSB
AMFGTOFWMRQMEM,60.0,0.42487007666583154,LCSB
AMFGTOFWMRQMEM,75.0,0.37291396038118824,LCSB
AMFGTOFWMRQMEM,90.0,0.3335372679512182,LCSB
AMRQXHFXNZFDCH,15.0,0.5655414922989154,LCSB
AMRQXHFXNZFDCH,30.0,0.49800419177016503,LCSB
AMRQXHFXNZFDCH,45.0,0.5570241193152292,LCSB
AMRQXHFXNZFDCH,60.0,0.621252778480887,LCSB
AMRQXHFXNZFDCH,75.0,0.5760952570007893,LCSB
AMRQXHFXNZFDCH,90.0,0.547310824119637,LCSB
AQHHHDLHHXJYJD,15.0,0.9380741288763452,LCSB
AQHHHDLHHXJYJD,30.0,0.6598646532450835,LCSB
AQHHHDLHHXJYJD,45.0,0.42582998104805103,LCSB
AQHHHDLHHXJYJD,60.0,0.38753953272046276,LCSB
AQHHHDLHHXJYJD,75.0,0.38339139635273534,LCSB
AQHHHDLHHXJYJD,90.0,0.3867335274789644,LCSB
AQSQFWLMFCKKMG,15.0,0.6398871294269615,LCSB
AQSQFWLMFCKKMG,30.0,0.6207631955962708,LCSB
AQSQFWLMFCKKMG,45.0,0.4399449563887748,LCSB
AQSQFWLMFCKKMG,60.0,0.3722059825777105,LCSB
AQSQFWLMFCKKMG,75.0,0.34625383983799984,LCSB
AQSQFWLMFCKKMG,90.0,0.3353069066738546,LCSB
AQYMRQUYPFCXDM,15.0,0.5786047109569914,LCSB
AQYMRQUYPFCXDM,30.0,0.5751754243793927,LCSB
AQYMRQUYPFCXDM,45.0,0.5621380577908212,LCSB
AQYMRQUYPFCXDM,60.0,0.5006705415549555,LCSB
AQYMRQUYPFCXDM,90.0,0.3972896449739395,LCSB
ASOKPJOREAFHNY,15.0,0.944266307500471,LCSB
ASOKPJOREAFHNY,30.0,0.9422848488764447,LCSB
ASOKPJOREAFHNY,45.0,0.8928945565506932,LCSB
ASOKPJOREAFHNY,60.0,0.7827766208127462,LCSB
ASOKPJOREAFHNY,75.0,0.6978987869533724,LCSB
ASOKPJOREAFHNY,90.0,0.6388169540672867,LCSB
AUMLVMKWJGCERZ,15.0,0.46348422293628144,LCSB
AUMLVMKWJGCERZ,30.0,0.40271741244621634,LCSB
AUMLVMKWJGCERZ,45.0,0.3537190491515239,LCSB
AUMLVMKWJGCERZ,60.0,0.3368395976042762,LCSB
AUMLVMKWJGCERZ,75.0,0.3274214093821753,LCSB
AUMLVMKWJGCERZ,90.0,0.3113411475203732,LCSB
AWYOMXWDGWUJHS,15.0,0.9164610487787315,LCSB
AWYOMXWDGWUJHS,30.0,0.7594875031516426,LCSB
AWYOMXWDGWUJHS,45.0,0.587699841138346,LCSB
AWYOMXWDGWUJHS,60.0,0.5072242080751237,LCSB
AWYOMXWDGWUJHS,75.0,0.4346687222104301,LCSB
AWYOMXWDGWUJHS,90.0,0.3714064555635273,LCSB
BACYUWVYYTXETD,15.0,0.41252874926266286,LCSB
BACYUWVYYTXETD,30.0,0.355007463464472,LCSB
BACYUWVYYTXETD,45.0,0.32832483636541016,LCSB
