group_key,n_hbd,n_hba,frac_csp3,mol_logp,n_amide,n_ester_carboxyl,n_ether,n_hydroxyl,n_amine,n_aromatic_atoms,n_halogen_aromatic,fraction_rotatable
AAGFPTSOPGCENQ,0.0,2.0,0.8,1.6477,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ADWTYURAFSWNSU,1.0,2.0,0.3333333333333333,1.2601999999999995,2.0,0.0,0.0,0.0,3.0,6.0,1.0,0.14285714285714285
AEKQMJRJRAHOAP,1.0,2.0,0.3333333333333333,3.426540000000002,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.09090909090909091
AEOCXXJPGCBFJA,1.0,2.0,0.25,1.2782,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.18181818181818182
AFAIELJLZYUNPW,3.0,3.0,0.0,3.798670000000002,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.09090909090909091
AFYCEAFSNDLKSX,0.0,3.0,0.35714285714285715,2.9476200000000015,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.17647058823529413
AGOYDEPGAOXOCK,4.0,14.0,0.9473684210526315,2.439700000000004,0.0,1.0,7.0,4.0,1.0,0.0,0.0,0.15384615384615385
AHMMSNQYOPMLSX,0.0,3.0,0.7333333333333333,7.512900000000009,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.30303030303030304
AHOUBRCZNHFOSL,1.0,4.0,0.3684210526315789,3.326500000000002,0.0,0.0,3.0,0.0,1.0,12.0,1.0,0.16666666666666666
AKNNEGZIBPJZJG,0.0,8.0,0.4090909090909091,2.881800000000001,0.0,1.0,6.0,0.0,1.0,12.0,0.0,0.13333333333333333
AKNQMEBLVAMSNZ,0.0,4.0,0.3333333333333333,2.484700000000001,0.0,0.0,2.0,0.0,3.0,11.0,2.0,0.15789473684210525
ALZOLUNSQWINIR,1.0,2.0,0.09090909090909091,2.89482,0.0,1.0,0.0,0.0,1.0,10.0,1.0,0.06666666666666667
AMEKQAFGQBKLKX,1.0,4.0,0.25,1.3016,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.1111111111111111
AMFGTOFWMRQMEM,0.0,6.0,0.3333333333333333,2.9436000000000018,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.35
AMRQXHFXNZFDCH,2.0,3.0,0.3333333333333333,1.7596999999999998,2.0,0.0,1.0,0.0,2.0,6.0,0.0,0.23529411764705882
ANJTVLIZGCUXLD,1.0,2.0,0.5454545454545454,0.5549999999999999,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0
AQHHHDLHHXJYJD,2.0,3.0,0.375,2.5775000000000006,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.3157894736842105
AQSQFWLMFCKKMG,2.0,1.0,0.8888888888888888,1.8858,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5
AQYMRQUYPFCXDM,2.0,3.0,0.05555555555555555,3.8063000000000025,1.0,0.0,1.0,1.0,1.0,16.0,0.0,0.13636363636363635
ASDAXOTYWQZBDR,1.0,7.0,0.7777777777777778,0.2741,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0
ASOKPJOREAFHNY,1.0,3.0,0.0,0.6685999999999999,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0
ATROHALUCMTWTB,0.0,6.0,0.3333333333333333,3.2283800000000014,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.3684210526315789
ATWWYGQDYGSWQA,2.0,6.0,0.35,2.6519000000000004,0.0,0.0,3.0,1.0,1.0,13.0,0.0,0.15384615384615385
AUFSOOYCQYDGES,1.0,1.0,0.4,2.0095,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.2727272727272727
AUGQEEXBDZWUJY,1.0,7.0,0.7894736842105263,1.1248999999999998,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.11538461538461539
AUMLVMKWJGCERZ,1.0,3.0,0.0,3.209600000000002,1.0,0.0,0.0,0.0,1.0,12.0,2.0,0.18181818181818182
AUQAUAIUNJIIEP,1.0,2.0,0.36363636363636365,2.3300600000000005,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.07142857142857142
AWYOMXWDGWUJHS,0.0,6.0,0.6923076923076923,3.8389000000000033,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.3
AWZOLILCOUMRDG,0.0,4.0,0.14285714285714285,5.715600000000004,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.3157894736842105
