group_key,stereo_scaffold,exposed,rmse_V1B_RIDGE_TIERA,rmse_B0_NULL_PROFILE,rmse_B1_MASS_ONLY_ISOTONIC,rmse_V1A_STABLE_LAW,rmse_V1C_RICH_RIDGE_24,rmse_S2A_FROZEN_PIPELINE
ACGPKIHTJATAMX,O=C1CCCC2(CO2)C(=O)OC2CCN3CC=C(CO1)C23,False,0.13142420900362328,0.1408775871277451,0.12098854923541653,0.14378277083652502,0.11794033996525519,0.13254974687358997
ADFIQZBYNGPCGY,O=C1C=CC2OC3CCC(C2C1)C31CO1,False,0.08354447642642698,0.09403202761900585,0.06234532405232871,0.05319802944875546,0.057536087710338725,0.1410990987344575
AOOCSKCGZYCEJX,O=c1cccc2n1CC1CC2CN2CCCCC12,False,0.09392080908251804,0.10932716627684733,0.07323909588030705,0.07403016379022903,0.09371364571373805,0.10893437996574674
ASWVTGNCAZCNNR,O=S(=O)(Nc1ncccn1)c1ccccc1,False,0.08773362505861841,0.06487517406123201,0.08267047113960253,0.06986832579630586,0.13590122741197547,0.11247840403444438
AWSZRJQNBMEZOI,O=C(Cc1ccccc1)c1ccccc1,False,0.07350139351462875,0.19059711835840054,0.044735730807456096,0.07010165051893139,0.1403721261280392,0.14675027825617312
BCJMNZRQJAVDLD,C=C1CCCC(=O)OCC2=CCN3CCC(OC1=O)C23,False,0.11062928584581826,0.1321658577841478,0.10370113590220052,0.1225868313910392,0.11463488578382608,0.10767793565006488
BGPSRMUUQQTZFB,O=S(=O)(c1cccc(-c2nc(=S)c3[nH]ncc3[nH]2)c1)N1CCNCC1,False,0.12207713627034192,0.2040315810737096,0.11355062364611286,0.11514788941491974,0.11831077973128139,0.14564643363707058
BGRWYDHXPHLNKA,__ACYCLIC__,True,0.13982269830267877,0.12435875301639303,0.2299146276731348,0.06481853047218016,0.035689019597753294,0.09320331013864724
BKVJOVPVLOJPKJ,__ACYCLIC__,True,0.04185251339375691,0.16043448139385316,0.1800990012190388,0.04770519816673259,0.04108533036030601,0.08774012332997237
BPZSYCZIITTYBL,c1ccc(CCNCCc2ccccc2)cc1,False,0.09060387399661701,0.13837101426479978,0.09224244530092192,0.05421417905713446,0.0605223153758437,0.13152037462440627
BQXQGZPYHWWCEB,c1ccc2c(c1)[nH]c1ccccc12,True,0.14102941645567835,0.07130836769284823,0.09042001486122798,0.06446193079708658,0.1346143032787483,0.14482152630475142
BVZWTQCTAVYACS,C=C(CC12CCCC(O1)C1OC3(CCCCN3)CC1O2)C1CCCC(CC2CC3OC4(CCC3O2)CCC2(CC=CCO2)O4)O1,False,0.018186378059214237,0.3351174924284136,0.042518679397769855,0.0992744447637966,0.04355527620720539,0.21250953595777453
CMRJPMODSSEAPL,O=C1C=C2CCC3C(=C2CC1)C=CC1CCCC13,False,0.10948327189858972,0.13049975284454193,0.1111679061275466,0.10368623059804966,0.07871254127101752,0.04272534241543448
CWFCYVRIWJMEIN,C=C(CC12CCCC(O1)C1OC3(CCCCN3)CC1O2)C1CCCC(CC2CC3OC4(CCC3O2)CCC2(C=CCCO2)O4)O1,False,0.03665055152212854,0.34548659177656604,0.05476799740393959,0.11534904456419316,0.06843619686422765,0.22466051768099665
CWFOCCVIPCEQCK,c1ccc(-c2ccc[nH]2)cc1,False,0.32783867272662054,0.3640698779386044,0.264594861030752,0.37642187480351375,0.3699329079819616,0.41752266985179937
CXBMCYHAMVGWJQ,O=C(OCN1C(=O)C2=C(CCCC2)C1=O)C1CC1,False,0.11656236480282124,0.14486415553938503,0.12788052142510808,0.11007478105216877,0.11637905488415269,0.15163991221984305
DDUHZTYCFQRHIY,O=C1C=CC2(CC1)Oc1ccccc1C2=O,False,0.05178440010144846,0.0741124430874379,0.026467452516130727,0.04551395986062114,0.07953024971383976,0.1264154036713934
DEDOPGXGGQYYMW,C1CCCNCC1,False,0.15428021348922336,0.09435507405960959,0.26628633060487356,0.16175853639881566,0.10749774147501817,0.21462693959672147
DEQITUUQPICUMR,O=C(NC1OC2C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O)C1CNC2Cc3c[nH]c4cccc(c34)C2C1,False,0.03700242759243777,0.14208426503173835,0.11688712756304198,0.029660003173481962,0.05461178569132798,0.10030672592150511
DVBUIBGJRQBEDP,O=C(Nc1ccccc1)c1ccnn1-c1ccccn1,False,0.0565216335952652,0.11234024811211336,0.051868312663609174,0.06668851663944038,0.030120423875974845,0.1373131122040114
DWZSTEUTHNUVQD,__ACYCLIC__,True,0.025951468248494515,0.15314907214279833,0.12090986401681267,0.021606482947329593,0.010757179804591932,0.04433977495788342
FEWPCPCEGBPTAL,O=c1cccn[nH]1,False,0.06611140797476193,0.2388703555188309,0.06064816726681011,0.14097913829344588,0.0827465309202221,0.06045934697387872
FFQPZWRNXKPNPX,O=C(COc1ccccc1)NCc1ccccc1,False,0.21994083856324997,0.2501757080842493,0.20185518725636645,0.20205512936215397,0.2423573879703953,0.2739402100828061
FKLFBQCQQYDUAM,c1ccc(-c2cc[nH]c2)cc1,False,0.07491542402127828,0.2461275655354978,0.149722688102819,0.030520013038407533,0.08585147867185768,0.029754101417166837
FLUOSFVUPTUYEX,C=C1CCCC(=O)OCC2=CCN3CCC(OC1=O)C23,False,0.1295934140263026,0.13684794703825048,0.13251144335278325,0.15127534213938365,0.11293846817130175,0.11816952779334389
FPQFYIAXQDXNOR,O=C1OCCCCCCCCC=Cc2ccccc21,False,0.09279480462857875,0.03676250764151687,0.03732076932048679,0.05057896501792729,0.03954314796103797,0.04559124197650556
FZRBKIRIBLNOAM,__ACYCLIC__,True,0.12804847558118754,0.07221917470889608,0.05779994868326095,0.0732518180606444,0.09330136883858266,0.17023155420570488
GBOYJIHYACSLGN,O=C(NCc1ccccn1)c1ccccc1,False,0.11583110218370005,0.08747850990888219,0.06757506011039806,0.12213128057685795,0.093927593379848,0.16083425574172835
GGKQIOFASHYUJZ,c1cnc2ncnn2c1,False,0.2596735031610381,0.25427113336961155,0.22681130400048344,0.321642394154401,0.2859204169975295,0.23317441643322764
GGWHBJGBERXSLL,O=C1C=CCC(C2CCCSC2)C1,False,0.07042218462689571,0.17583794319984447,0.19091260940612978,0.09421538190384406,0.06236295938902786,0.17951224266640492
GIIZNNXWQWCKIB,c1ccc(CCCCOCCCCCCNCCc2ccccc2)cc1,False,0.10446615298803145,0.15414793388224612,0.08614049770990781,0.09556007871605195,0.12217789149909145,0.10063287402656694
GJSURZIOUXUGAL,c1ccc(NC2=NCCN2)cc1,False,0.07836368789999226,0.18898872988281987,0.10381352458976752,0.08833890115396852,0.0937544572429543,0.08667034025977348
GQJSFWYQKNQCIK,O=C1C=C2CCC3C(=C2CC1)C=CC1C(OC(=O)OCC2CCCCC2)CCC31,False,0.14560551181634476,0.07497231326434407,0.14544402951621388,0.13008669149438976,0.1070446472924299,0.051173858394396164
HFVMLYAGWXSTQI,O=C1CCC2C(CCC3C4CC=CC4CCC23)C1,False,0.13092833591691574,0.05344091997002686,0.08361818753588894,0.1903008788491938,0.13709561234435363,0.1837366623526514
HGSFRISGULOJBX,O=C1C=C2CCC3C(=C2CC1)C=CC1CCCC13,False,0.15082380364113318,0.06510879123484725,0.10253327070813664,0.10340617613096839,0.11491326785480484,0.044495058340196215
HHJLLPFQZCUZAJ,C=C1CCCC2=NCCCCC23CCC=CC3C2OC3(CCCC2O3)CC2CCCC3(CCC4(CCCC(C1)O4)O3)O2,False,0.04881272466642578,0.2388030829649877,0.04957341919156376,0.056299437072112886,0.0623764999873061,0.14343712969776873
HIIRDDUVRXCDBN,c1ccc(Oc2ccccc2)cc1,True,0.08135502087548176,0.0474027480800453,0.07314963294777214,0.060543247441075275,0.0926948406918986,0.1253914385835823
HJUFTIJOISQSKQ,c1ccc(Oc2ccccc2)cc1,True,0.23613805606705401,0.2321778387417167,0.2464061077852701,0.20552171993615362,0.23509384691596683,0.286277404118201
HKODIGSRFALUTA,C=C1CCCC(=O)OCC2=CCN3CCC(OC1=O)C23,False,0.11510039697276353,0.1297879994664372,0.11572144147272508,0.1258854563533018,0.10970564953451617,0.11791231305142987
HQSKZPOVBDNEGN,O=C1C=CN2CC3CC(CN4CCCCC34)C2C1,False,0.1356168089268807,0.20449412182526225,0.11996566352453533,0.14273987855045422,0.12607127042796581,0.102430831811097
HTORKLPLHJXOOZ,C=C(CC12CCCC(O1)C1OC3(CCCCN3)CC1O2)C1CCCC(CC2CC3OC4(CCC3O2)CCC2(C=CCCO2)O4)O1,False,0.015269936548055286,0.34079613738200387,0.047934208890443995,0.10174584868999834,0.039169300980937544,0.2154292900594683
HWGBHCRJGXAGEU,O=c1cc[nH]c(=S)[nH]1,False,0.07419307871556995,0.09956022558400954,0.17151378279098142,0.20603002489813854,0.14674306736879075,0.1474232528380141
IAPHXJRHXBQDQJ,O=C1CCCC2(CO2)C(=O)OC2CCN3CC=C(CO1)C23,False,0.10554389099122112,0.12756515814213806,0.08521327769359377,0.0995497749267149,0.10481652009349013,0.13199141006952878
IDGRYIRJIFKTAN,O=C1C=CC2OC3CCC(C2C1)C31CO1,False,0.08423080983305224,0.09490417010059991,0.06304659866553664,0.05368158856861464,0.058163731386128986,0.14189230661389987
IPVCSECPEVHQOV,c1ccc(NCn2cccn2)cc1,False,0.18168606330559622,0.22018974295596366,0.2396573652169484,0.18068940652980484,0.18186512176814243,0.242295189661849
IWUCXVSUMQZMFG,c1ncn(C2CCCO2)n1,False,0.18770758993441003,0.10602408414144052,0.2103379424905904,0.14282421605100845,0.07873679240153823,0.1772049527369825
IWYQSQKKOOZLFH,__ACYCLIC__,True,0.08035019272465817,0.12075952927284618,0.1521140500553307,0.047616271717816815,0.09377070081555271,0.0858174052844059
JJNVDCBKBUSUII,C=C(C(=O)OC1CC2NC(C1)C1OC21)c1ccccc1,False,0.12508150020295541,0.08628391764361941,0.11155253684717155,0.12697336404434006,0.1584734873146267,0.22086478528316741
JRWZLRBJNMZMFE,c1ccc(CCCNCCc2ccccc2)cc1,True,0.13236893139843847,0.10464687237183287,0.11621397644091701,0.0662907898162577,0.0794142212525127,0.14750727791872686
JVKYZPBMZPJNAJ,C1=C2CCCCC2C2CCC3C(CC4C3CC3CCCCN34)C2C1,False,0.3300832949713626,0.2898145276125188,0.34580746165480386,0.33581030040609605,0.3178402786011355,0.26632484618691826
JYQUHIFYBATCCY,c1ccc2nccnc2c1,False,0.022642891490839194,0.042305553563665874,0.06898451698986297,0.05687060794319658,0.028911527200288938,0.0942018688741225
KKBGNYHHEIAGOH,O=c1oc2ccccc2cc1C1CC(c2ccc(OCc3ccccc3)cc2)Cc2ccccc21,False,0.17401677308787478,0.21274305487165032,0.05699368671617194,0.1155467313825105,0.1904480806596561,0.2339697201397989
KKOYBOFPUBHPFO,__ACYCLIC__,True,0.06267889391979849,0.09793977184995233,0.11741201243505772,0.030582502357580213,0.059441773518571016,0.03172393901094679
KNAHARQHSZJURB,O=c1cc[nH]c(=S)[nH]1,False,0.0464664560668357,0.12047655200954391,0.09584184613089759,0.08896478283381053,0.08281937782003941,0.08736970163193301
KRTSDMXIXPKRQR,__ACYCLIC__,True,0.09865262743895346,0.09178942550868166,0.1920789569374184,0.07580998304610062,0.11977419647512362,0.11968207999473116
KWVYSEWJJXXTEZ,O=C1CC2C(=CC3C2C=CC2CC(OC4CCCCO4)CC23)C(=O)CC(OC2CCCCO2)CCCCO1,False,0.04473269682789393,0.36673908729375404,0.09036454332115086,0.12562353478776225,0.10182552573708137,0.22550788722065115
LDLMOOXUCMHBMZ,O=C(Nc1ccccc1-c1ccccc1)c1cn[nH]c1,False,0.04607305630837163,0.028899910400347707,0.0968266667966789,0.03928640930474568,0.059474480691295684,0.08257918371248987
LHJPHMKIGRLKDR,O=c1cc(CC2CC3CCCC4CNC(=N2)N43)[nH]c(=O)[nH]1,False,0.06144830347195333,0.07261735477207557,0.04516355725718074,0.0379819252233753,0.03289101463381028,0.08419684572957814
LINOMUASTDIRTM,O=C1C=CC2OC3CCC(C2C1)C31CO1,False,0.14104556996818052,0.08200075108116046,0.10766249198496307,0.08990542098066906,0.07596746023678484,0.16687127100460983
LJUBVCQVNMLSTQ,O=S(=O)(c1cccc(-c2nc(=S)c3[nH]ncc3[nH]2)c1)N1CCNCC1,False,0.12754579804861582,0.20493221183529617,0.11724500048856952,0.11160341591203624,0.11456719762451473,0.15090890880839855
LMVPQMGRYSRMIW,O=C1C(c2ccccc2)N=CN1Nc1ccccc1,False,0.158741387914869,0.1548911729175587,0.166581512115347,0.17643459306315504,0.1735344829908007,0.251358051648869
LSLYOANBFKQKPT,c1ccc(CCNCCc2ccccc2)cc1,False,0.17585399268127624,0.1253038564299352,0.14053144772415632,0.08456208130656016,0.09649230631032157,0.16302706785042387
LTQSAUHRSCMPLD,N=C1SCCS1,True,0.036615417375937966,0.06770415633695089,0.09779965145919962,0.040334010836819714,0.0306186146914113,0.07232361105769419
LUZRJRNZXALNLM,O=C(NC1OC2C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O)C1CNC2Cc3c[nH]c4cccc(c34)C2C1,False,0.040966684618820005,0.13664625736387062,0.11419080871521686,0.040864875843997756,0.051245118759819956,0.11111858532227464
MEAKRQUSGACTFV,O=c1cc[nH]c(=S)[nH]1,False,0.07686577263857182,0.12754417198465157,0.09621418980498889,0.1454637073022205,0.12807884121097324,0.10426826215112225
MEHHPFQKXOUFFV,O=C1C=C2CCC3C(=C2CC1)C=CC1CCCC13,False,0.12901916708850864,0.2065081740082354,0.1777331743564387,0.11654990057619309,0.12792342572527476,0.0734363842319004
MIJFNYMSCFYZNY,O=c1[nH]c(-c2cccc(S(=O)(=O)N3CCNCC3)c2)nc2cc[nH]c12,False,0.2100951244399255,0.13980025788636533,0.16910972168905244,0.18124363795448697,0.19673894140782056,0.12349644393303043
NFACJZMKEDPNKN,__ACYCLIC__,True,0.11686604044902206,0.08719452838945202,0.1644807003053258,0.11957149062829682,0.14096175465695035,0.1796918791075483
NFGXHKASABOEEW,__ACYCLIC__,True,0.05531997173288753,0.16725121618383865,0.17483943192671828,0.06293768552655957,0.06921530581507283,0.04248421416486037
NGZJXCFNBVJLQN,S=C1NCCN1,False,0.05491639613971239,0.09936646669907757,0.19494864355123612,0.19961998104394285,0.1055281969370105,0.14707371383031195
NHKZSTHOYNWEEZ,c1ncn(C2CCCO2)n1,False,0.19365410040949257,0.11277106321986415,0.2159966625446614,0.14201449067021274,0.14153965917778136,0.1719806165155635
NMVCBWZLCXANER,O=C(c1ccccc1)c1cccnc1,False,0.04231944700663208,0.025655280192367878,0.05639921372852313,0.06216224782821174,0.031100768486432166,0.044386035990408634
NQRFDNJEBWAUBL,O=C(NCc1cccs1)c1cncs1,False,0.11739235923880278,0.059717960783736646,0.030220511385401647,0.07168206500382467,0.12239004721513363,0.03624889906239863
OEBRKCOSUFCWJD,__ACYCLIC__,True,0.04459015799846556,0.026302565957250227,0.10493922621897309,0.08434886176621878,0.09850304106093866,0.1458753841800941
OGYFATSSENRIKG,O=C(Nc1ccccc1)N(Cc1ccccc1)C1CCCC1,False,0.15289493433692736,0.12644410435919173,0.14301117540020455,0.12904198366924208,0.0919380596906824,0.20943369799183653
