group_key,scaffold_group,stereo_scaffold,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,n_hbd,n_hba,frac_csp3,mol_logp,n_amide,n_ester_carboxyl,n_ether,n_hydroxyl,n_amine,n_aromatic_atoms,n_halogen_aromatic,fraction_rotatable,source
AABILZKQMVKFHP,C1=C[C@@H]2CCC[NH+]2C1,C1=CC2CCC[NH+]2C1,428.228149414063,63.0,8.0,2.0,0.0,6.0,125.35000000000001,0.3,1.0,8.0,0.0,0.0,2.0,8.0,0.7142857142857143,0.9713999999999998,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.26666666666666666,WUR
AAEVYOVXGOFMJO,c1ncncn1,c1ncncn1,242.143569946289,35.0,5.0,1.0,1.0,4.0,62.730000000000004,0.375,5.0,0.0,1.0,0.0,2.0,6.0,0.7,2.2340999999999998,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.3125,WUR
AAVMGRPGPSSZBQ,O=C1CCCC(=O)O[C@@H]2CCN3CC=C(CO1)[C@H]23,O=C1CCCC(=O)OC2CCN3CC=C(CO1)C23,370.186431884766,53.0,2.0,3.0,0.0,6.0,116.53,0.3076923076923077,1.0,7.0,0.0,0.0,3.0,8.0,0.7777777777777778,-0.7840999999999985,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.07692307692307693,WUR
ABOOPXYCKNFDNJ,c1ccc(Oc2cnc3ccccc3n2)cc1,c1ccc(Oc2cnc3ccccc3n2)cc1,345.063659667969,37.0,5.0,3.0,3.0,12.5,81.53999999999999,0.2916666666666667,2.0,4.0,0.0,1.0,1.0,5.0,0.11764705882352941,3.9274000000000022,0.0,1.0,2.0,0.0,2.0,16.0,1.0,0.20833333333333334,WUR
ACMXQHFNODYQAT,O=C(Cc1ccccc1)N/C(=N\OCC1CC1)c1ccccc1,O=C(Cc1ccccc1)NC(=NOCC1CC1)c1ccccc1,413.128387451172,46.0,6.0,3.0,2.0,11.0,50.69,0.3103448275862069,2.0,2.0,0.0,5.0,1.0,3.0,0.3,4.430700000000003,1.0,0.0,0.0,0.0,2.0,12.0,2.0,0.20689655172413793,WUR
ACWBQPMHZXGDFX,c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,436.235198974609,61.0,10.0,3.0,3.0,13.5,112.07000000000001,0.25,5.0,3.0,0.0,0.0,2.0,5.0,0.375,4.161700000000002,1.0,1.0,0.0,0.0,5.0,17.0,0.0,0.3125,WUR
ADIMAYPTOBDMTL,O=C1CN=C(c2ccccc2)c2ccccc2N1,O=C1CN=C(c2ccccc2)c2ccccc2N1,287.058349609375,31.0,1.0,3.0,2.0,11.0,61.690000000000005,0.25,2.0,2.0,0.0,1.0,2.0,3.0,0.06666666666666667,2.4478999999999997,1.0,0.0,0.0,1.0,2.0,12.0,1.0,0.05,WUR
AEHJMNVBLRLZKK,c1ccc(OCCCOc2ccccn2)cc1,c1ccc(OCCCOc2ccccn2)cc1,489.975280761719,43.0,9.0,2.0,2.0,9.0,40.58,0.3793103448275862,1.0,3.0,0.0,7.0,0.0,4.0,0.2777777777777778,6.952900000000003,0.0,0.0,3.0,0.0,1.0,12.0,2.0,0.3103448275862069,WUR
AFIIBUOYKYSPKB,c1ncncn1,c1ncncn1,226.087005615234,26.0,4.0,1.0,1.0,6.0,99.46000000000001,0.5333333333333333,7.0,0.0,1.0,0.0,1.0,6.0,0.5714285714285714,2.3556,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.26666666666666666,WUR
AGTBLMHWQIEASU,c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1,299.139282226563,40.0,4.0,2.0,2.0,10.0,60.25,0.22727272727272727,2.0,3.0,0.0,0.0,0.0,4.0,0.23529411764705882,4.9909000000000034,1.0,0.0,2.0,0.0,2.0,12.0,0.0,0.18181818181818182,WUR
