group_key,ce_numeric,mu,source
AABILZKQMVKFHP,30.0,0.6740848563580937,WUR
AABILZKQMVKFHP,45.0,0.3796401583812856,WUR
AABILZKQMVKFHP,60.0,0.30434480276562154,WUR
AABILZKQMVKFHP,75.0,0.2701246950904355,WUR
AABILZKQMVKFHP,90.0,0.2480162595261593,WUR
AAEVYOVXGOFMJO,30.0,0.8820236542841107,WUR
AAEVYOVXGOFMJO,45.0,0.7087847203502559,WUR
AAEVYOVXGOFMJO,60.0,0.5340909378014709,WUR
AAEVYOVXGOFMJO,75.0,0.40600380155920957,WUR
AAEVYOVXGOFMJO,90.0,0.3233202706077077,WUR
AAVMGRPGPSSZBQ,30.0,0.7893826628247776,WUR
AAVMGRPGPSSZBQ,45.0,0.5183779673112329,WUR
AAVMGRPGPSSZBQ,60.0,0.3936800627864988,WUR
AAVMGRPGPSSZBQ,75.0,0.327397467353631,WUR
AAVMGRPGPSSZBQ,90.0,0.29033355367744224,WUR
ABOOPXYCKNFDNJ,30.0,0.8104914423262223,WUR
ABOOPXYCKNFDNJ,45.0,0.6118278184044292,WUR
ABOOPXYCKNFDNJ,60.0,0.4864924740353684,WUR
ABOOPXYCKNFDNJ,75.0,0.4515003195345547,WUR
ABOOPXYCKNFDNJ,90.0,0.42267784161141336,WUR
ACMXQHFNODYQAT,30.0,0.5355597717564716,WUR
ACMXQHFNODYQAT,45.0,0.47493417979500363,WUR
ACMXQHFNODYQAT,60.0,0.44305357400464435,WUR
ACMXQHFNODYQAT,75.0,0.41823210082970597,WUR
ACMXQHFNODYQAT,90.0,0.39885796497872555,WUR
ACWBQPMHZXGDFX,30.0,0.5994288467239499,WUR
ACWBQPMHZXGDFX,45.0,0.5105964938342966,WUR
ACWBQPMHZXGDFX,60.0,0.46289954390775134,WUR
ACWBQPMHZXGDFX,75.0,0.4358606601144879,WUR
ACWBQPMHZXGDFX,90.0,0.41054226402618854,WUR
ADIMAYPTOBDMTL,30.0,0.9096172070918139,WUR
ADIMAYPTOBDMTL,45.0,0.789719748925383,WUR
ADIMAYPTOBDMTL,60.0,0.6535700264276653,WUR
ADIMAYPTOBDMTL,75.0,0.5262091268878586,WUR
ADIMAYPTOBDMTL,90.0,0.470037919195003,WUR
AEHJMNVBLRLZKK,30.0,0.3022073709559332,WUR
AEHJMNVBLRLZKK,45.0,0.2533218418902055,WUR
AEHJMNVBLRLZKK,60.0,0.23923824037212857,WUR
AEHJMNVBLRLZKK,75.0,0.2302571236743285,WUR
AEHJMNVBLRLZKK,90.0,0.2270500506238421,WUR
AFIIBUOYKYSPKB,30.0,0.5805393569089486,WUR
AFIIBUOYKYSPKB,45.0,0.45583611541623004,WUR
AFIIBUOYKYSPKB,60.0,0.3807601524808349,WUR
AFIIBUOYKYSPKB,75.0,0.33662276161017496,WUR
AFIIBUOYKYSPKB,90.0,0.30335673645126915,WUR
AGTBLMHWQIEASU,30.0,0.6498539733114299,WUR
AGTBLMHWQIEASU,45.0,0.6018233971651653,WUR
AGTBLMHWQIEASU,60.0,0.5757650498350683,WUR
AGTBLMHWQIEASU,75.0,0.5553518016533053,WUR
AGTBLMHWQIEASU,90.0,0.5264180573540059,WUR
AHIPJALLQVEEQF,30.0,0.7323052000033716,WUR
AHIPJALLQVEEQF,45.0,0.6006050621418871,WUR
AHIPJALLQVEEQF,60.0,0.5122486752065537,WUR
AHIPJALLQVEEQF,75.0,0.45464597518337935,WUR
AHIPJALLQVEEQF,90.0,0.4229360010973188,WUR
ALEXXDVDDISNDU,30.0,0.6140514544899303,WUR
ALEXXDVDDISNDU,45.0,0.42629952601334314,WUR
