group_key,ce_numeric,mu,source
AABILZKQMVKFHP,15.0,0.8756569295104428,WUR
AABILZKQMVKFHP,30.0,0.4079730083749453,WUR
AABILZKQMVKFHP,45.0,0.3071400569149308,WUR
AABILZKQMVKFHP,60.0,0.2674867808385024,WUR
AABILZKQMVKFHP,75.0,0.2437755824519147,WUR
AABILZKQMVKFHP,90.0,0.23032712772463432,WUR
AAEVYOVXGOFMJO,15.0,0.9458116334906991,WUR
AAEVYOVXGOFMJO,30.0,0.7479764216776101,WUR
AAEVYOVXGOFMJO,45.0,0.5426451185811674,WUR
AAEVYOVXGOFMJO,60.0,0.3960173415014225,WUR
AAEVYOVXGOFMJO,75.0,0.3091431416618322,WUR
AAEVYOVXGOFMJO,90.0,0.27106397953185907,WUR
AAVMGRPGPSSZBQ,15.0,0.9432925198256006,WUR
AAVMGRPGPSSZBQ,30.0,0.5582389279140293,WUR
AAVMGRPGPSSZBQ,45.0,0.3987765208362728,WUR
AAVMGRPGPSSZBQ,60.0,0.3226467681496871,WUR
AAVMGRPGPSSZBQ,75.0,0.28305928437154776,WUR
AAVMGRPGPSSZBQ,90.0,0.25781302469238826,WUR
ABOOPXYCKNFDNJ,15.0,0.905760857521284,WUR
ABOOPXYCKNFDNJ,30.0,0.6491982794246857,WUR
ABOOPXYCKNFDNJ,45.0,0.48967692446841543,WUR
ABOOPXYCKNFDNJ,60.0,0.44836355234859276,WUR
ABOOPXYCKNFDNJ,75.0,0.41513031364087427,WUR
ABOOPXYCKNFDNJ,90.0,0.3792523867274994,WUR
ACMXQHFNODYQAT,15.0,0.5685152863846681,WUR
ACMXQHFNODYQAT,30.0,0.4843527168055865,WUR
ACMXQHFNODYQAT,45.0,0.44471077163027867,WUR
ACMXQHFNODYQAT,60.0,0.4159740584519339,WUR
ACMXQHFNODYQAT,75.0,0.3931001213733998,WUR
ACMXQHFNODYQAT,90.0,0.357209346792827,WUR
ACWBQPMHZXGDFX,15.0,0.6467323863244263,WUR
ACWBQPMHZXGDFX,30.0,0.5249713922660639,WUR
ACWBQPMHZXGDFX,45.0,0.4649353151236685,WUR
ACWBQPMHZXGDFX,60.0,0.4333228878629781,WUR
ACWBQPMHZXGDFX,75.0,0.4061665186883122,WUR
ACWBQPMHZXGDFX,90.0,0.39608058418092784,WUR
ADIMAYPTOBDMTL,15.0,0.9503108214469368,WUR
